#code_ligand_num    score   
1a30_ligand_1       -2.26   
1a30_ligand_105     -19.13  
1a30_ligand_107     -26.76  
1a30_ligand_114     -17.13  
1a30_ligand_12      -11.12  
1a30_ligand_132     -24.99  
1a30_ligand_135     -15.32  
1a30_ligand_137     -18.40  
1a30_ligand_153     -30.95  
1a30_ligand_163     -33.04  
1a30_ligand_166     -49.49  
1a30_ligand_17      -10.34  
1a30_ligand_172     -56.87  
1a30_ligand_178     -31.12  
1a30_ligand_179     -39.33  
1a30_ligand_180     -23.36  
1a30_ligand_185     -30.39  
1a30_ligand_186     -26.02  
1a30_ligand_188     -31.94  
1a30_ligand_19      -6.24   
1a30_ligand_193     -31.55  
1a30_ligand_196     -21.43  
1a30_ligand_209     -8.57   
1a30_ligand_210     -10.05  
1a30_ligand_211     -19.58  
1a30_ligand_213     -10.10  
1a30_ligand_216     -31.48  
1a30_ligand_218     -25.37  
1a30_ligand_219     -9.31   
1a30_ligand_222     -11.14  
1a30_ligand_224     -10.13  
1a30_ligand_227     -15.83  
1a30_ligand_228     -10.03  
1a30_ligand_229     -15.33  
1a30_ligand_230     -15.10  
1a30_ligand_232     -18.31  
1a30_ligand_233     -9.98   
1a30_ligand_234     -29.54  
1a30_ligand_238     -7.64   
1a30_ligand_239     -13.13  
1a30_ligand_24      -9.01   
1a30_ligand_241     -11.67  
1a30_ligand_245     -25.96  
1a30_ligand_246     -25.88  
1a30_ligand_254     -34.30  
1a30_ligand_257     -44.93  
1a30_ligand_258     -35.63  
1a30_ligand_262     -31.85  
1a30_ligand_264     -8.00   
1a30_ligand_266     -28.09  
1a30_ligand_267     -22.45  
1a30_ligand_269     -44.99  
1a30_ligand_270     -21.18  
1a30_ligand_271     -48.16  
1a30_ligand_276     -23.93  
1a30_ligand_279     -44.60  
1a30_ligand_282     -16.12  
1a30_ligand_285     -40.14  
1a30_ligand_287     -31.98  
1a30_ligand_288     -23.66  
1a30_ligand_290     -34.28  
1a30_ligand_293     -14.25  
1a30_ligand_295     -38.82  
1a30_ligand_296     -9.65   
1a30_ligand_298     -14.27  
1a30_ligand_299     -24.56  
1a30_ligand_3       -4.28   
1a30_ligand_30      -6.57   
1a30_ligand_300     -42.87  
1a30_ligand_302     -56.96  
1a30_ligand_307     -42.42  
1a30_ligand_308     -88.05  
1a30_ligand_310     -83.88  
1a30_ligand_314     -47.82  
1a30_ligand_318     -57.13  
1a30_ligand_322     -41.10  
1a30_ligand_324     -67.91  
1a30_ligand_345     -47.53  
1a30_ligand_347     -33.18  
1a30_ligand_350     -34.76  
1a30_ligand_370     -13.68  
1a30_ligand_377     -16.06  
1a30_ligand_387     -12.12  
1a30_ligand_393     -15.94  
1a30_ligand_394     -10.71  
1a30_ligand_441     -17.37  
1a30_ligand_442     -7.02   
1a30_ligand_46      -2.01   
1a30_ligand_47      -4.30   
1a30_ligand_471     -10.42  
1a30_ligand_474     -8.99   
1a30_ligand_482     -19.71  
1a30_ligand_54      -18.70  
1a30_ligand_55      -14.44  
1a30_ligand_75      -13.40  
1a30_ligand_78      -16.69  
1a30_ligand_84      -6.46   
1a30_ligand_85      -14.54  
1a30_ligand_90      -17.97  
1a30_ligand_99      -14.32  
1bcu_ligand_156     24.16   
1bcu_ligand_161     24.83   
1bcu_ligand_165     23.70   
1bcu_ligand_166     23.81   
1bcu_ligand_174     22.82   
1bcu_ligand_183     24.94   
1bcu_ligand_185     18.72   
1bcu_ligand_189     22.43   
1bcu_ligand_191     22.33   
1bcu_ligand_194     24.16   
1bcu_ligand_203     29.03   
1bcu_ligand_210     26.85   
1bcu_ligand_219     20.28   
1bcu_ligand_225     22.71   
1bcu_ligand_231     20.14   
1bcu_ligand_232     20.69   
1bcu_ligand_233     20.46   
1bcu_ligand_241     21.80   
1bcu_ligand_242     21.36   
1bcu_ligand_245     20.77   
1bcu_ligand_246     23.32   
1bcu_ligand_249     28.44   
1bcu_ligand_251     9.08    
1bcu_ligand_265     22.59   
1bcu_ligand_268     7.73    
1bcu_ligand_282     20.30   
1bcu_ligand_283     24.35   
1bcu_ligand_289     24.17   
1bcu_ligand_296     22.87   
1bcu_ligand_298     22.32   
1bcu_ligand_304     7.10    
1bcu_ligand_307     25.23   
1bcu_ligand_317     17.60   
1bcu_ligand_319     21.43   
1bcu_ligand_323     24.43   
1bcu_ligand_324     22.20   
1bcu_ligand_329     22.36   
1bcu_ligand_330     -0.32   
1bcu_ligand_333     14.42   
1bcu_ligand_335     20.22   
1bcu_ligand_336     16.99   
1bcu_ligand_339     20.76   
1bcu_ligand_341     6.25    
1bcu_ligand_343     21.40   
1bcu_ligand_345     11.09   
1bcu_ligand_348     16.82   
1bcu_ligand_350     2.47    
1bcu_ligand_356     13.44   
1bcu_ligand_359     18.58   
1bcu_ligand_361     17.08   
1bcu_ligand_362     13.03   
1bcu_ligand_364     13.27   
1bcu_ligand_365     14.03   
1bcu_ligand_366     20.26   
1bcu_ligand_368     16.23   
1bcu_ligand_371     17.06   
1bcu_ligand_372     12.85   
1bcu_ligand_373     20.44   
1bcu_ligand_374     13.96   
1bcu_ligand_375     18.26   
1bcu_ligand_376     19.19   
1bcu_ligand_378     16.85   
1bcu_ligand_379     12.19   
1bcu_ligand_381     13.58   
1bcu_ligand_383     11.88   
1bcu_ligand_384     16.52   
1bcu_ligand_385     18.76   
1bcu_ligand_386     19.12   
1bcu_ligand_388     11.95   
1bcu_ligand_389     16.05   
1bcu_ligand_391     15.66   
1bcu_ligand_392     16.81   
1bcu_ligand_393     17.97   
1bcu_ligand_394     16.64   
1bcu_ligand_395     13.10   
1bcu_ligand_396     17.96   
1bcu_ligand_397     14.12   
1bcu_ligand_398     11.34   
1bcu_ligand_399     12.47   
1bcu_ligand_400     8.46    
1bcu_ligand_403     19.75   
1bcu_ligand_405     20.58   
1bcu_ligand_410     22.40   
1bcu_ligand_426     17.64   
1bcu_ligand_427     21.24   
1bcu_ligand_431     21.78   
1bcu_ligand_434     17.17   
1bcu_ligand_437     15.51   
1bcu_ligand_438     15.56   
1bcu_ligand_444     11.82   
1bcu_ligand_446     13.85   
1bcu_ligand_447     13.32   
1bcu_ligand_470     24.79   
1bcu_ligand_476     23.92   
1bcu_ligand_481     22.31   
1bcu_ligand_487     14.25   
1bcu_ligand_488     17.60   
1bcu_ligand_489     23.05   
1bcu_ligand_493     14.07   
1bcu_ligand_496     23.73   
1bzc_ligand_102     9.20    
1bzc_ligand_109     2.55    
1bzc_ligand_113     13.87   
1bzc_ligand_138     6.22    
1bzc_ligand_144     0.25    
1bzc_ligand_158     -50.49  
1bzc_ligand_161     -36.26  
1bzc_ligand_162     -27.43  
1bzc_ligand_166     -18.92  
1bzc_ligand_172     -24.73  
1bzc_ligand_173     -25.27  
1bzc_ligand_178     -14.88  
1bzc_ligand_18      -1.26   
1bzc_ligand_180     -12.79  
1bzc_ligand_182     -25.52  
1bzc_ligand_188     -10.95  
1bzc_ligand_190     -18.89  
1bzc_ligand_191     -38.72  
1bzc_ligand_193     -32.65  
1bzc_ligand_194     -37.26  
1bzc_ligand_195     -23.51  
1bzc_ligand_196     -18.45  
1bzc_ligand_201     -13.56  
1bzc_ligand_203     -9.59   
1bzc_ligand_204     -16.19  
1bzc_ligand_205     -7.48   
1bzc_ligand_207     -1.48   
1bzc_ligand_208     -5.62   
1bzc_ligand_211     -1.82   
1bzc_ligand_214     -7.65   
1bzc_ligand_215     1.77    
1bzc_ligand_217     -15.90  
1bzc_ligand_220     -12.63  
1bzc_ligand_223     -7.81   
1bzc_ligand_224     -13.92  
1bzc_ligand_227     -15.14  
1bzc_ligand_230     -12.79  
1bzc_ligand_236     -8.36   
1bzc_ligand_238     -13.62  
1bzc_ligand_241     -7.63   
1bzc_ligand_242     -8.23   
1bzc_ligand_243     -21.84  
1bzc_ligand_245     -10.95  
1bzc_ligand_247     -6.48   
1bzc_ligand_248     -11.62  
1bzc_ligand_249     -17.31  
1bzc_ligand_25      6.23    
1bzc_ligand_250     -10.82  
1bzc_ligand_254     -18.36  
1bzc_ligand_255     -5.35   
1bzc_ligand_257     -26.74  
1bzc_ligand_258     9.54    
1bzc_ligand_260     -14.29  
1bzc_ligand_261     -42.29  
1bzc_ligand_263     -52.59  
1bzc_ligand_264     -17.72  
1bzc_ligand_266     -11.59  
1bzc_ligand_267     -18.95  
1bzc_ligand_271     -20.19  
1bzc_ligand_277     -48.61  
1bzc_ligand_278     -6.16   
1bzc_ligand_286     -28.11  
1bzc_ligand_287     -5.76   
1bzc_ligand_292     -30.51  
1bzc_ligand_294     -12.58  
1bzc_ligand_295     -17.45  
1bzc_ligand_299     5.24    
1bzc_ligand_303     -42.82  
1bzc_ligand_305     -20.26  
1bzc_ligand_312     -41.37  
1bzc_ligand_319     -52.67  
1bzc_ligand_322     -38.59  
1bzc_ligand_328     -52.51  
1bzc_ligand_330     -81.13  
1bzc_ligand_334     -23.68  
1bzc_ligand_335     -17.52  
1bzc_ligand_337     -34.98  
1bzc_ligand_342     -8.31   
1bzc_ligand_344     -19.59  
1bzc_ligand_345     -27.86  
1bzc_ligand_347     -22.63  
1bzc_ligand_349     -9.34   
1bzc_ligand_353     0.08    
1bzc_ligand_367     1.17    
1bzc_ligand_369     3.17    
1bzc_ligand_371     3.35    
1bzc_ligand_387     0.67    
1bzc_ligand_410     -4.13   
1bzc_ligand_423     6.01    
1bzc_ligand_442     5.40    
1bzc_ligand_459     -7.09   
1bzc_ligand_47      7.79    
1bzc_ligand_479     -0.24   
1bzc_ligand_61      0.08    
1bzc_ligand_63      3.89    
1bzc_ligand_76      11.45   
1bzc_ligand_80      7.54    
1bzc_ligand_84      11.00   
1bzc_ligand_95      13.26   
1bzc_ligand_99      -21.78  
1c5z_ligand_138     16.19   
1c5z_ligand_151     13.45   
1c5z_ligand_152     15.88   
1c5z_ligand_156     15.64   
1c5z_ligand_157     15.45   
1c5z_ligand_159     13.33   
1c5z_ligand_162     10.19   
1c5z_ligand_168     13.48   
1c5z_ligand_170     13.37   
1c5z_ligand_175     9.32    
1c5z_ligand_176     11.34   
1c5z_ligand_177     14.52   
1c5z_ligand_178     15.59   
1c5z_ligand_179     13.32   
1c5z_ligand_180     14.02   
1c5z_ligand_181     14.49   
1c5z_ligand_182     4.84    
1c5z_ligand_183     14.49   
1c5z_ligand_185     13.55   
1c5z_ligand_187     12.82   
1c5z_ligand_190     13.36   
1c5z_ligand_191     10.43   
1c5z_ligand_192     9.38    
1c5z_ligand_195     14.67   
1c5z_ligand_197     13.19   
1c5z_ligand_200     7.84    
1c5z_ligand_202     17.13   
1c5z_ligand_203     12.12   
1c5z_ligand_207     12.14   
1c5z_ligand_21      13.36   
1c5z_ligand_210     11.68   
1c5z_ligand_211     15.25   
1c5z_ligand_215     7.71    
1c5z_ligand_222     11.08   
1c5z_ligand_224     15.03   
1c5z_ligand_225     11.80   
1c5z_ligand_227     15.81   
1c5z_ligand_228     13.23   
1c5z_ligand_232     14.10   
1c5z_ligand_242     10.63   
1c5z_ligand_245     13.30   
1c5z_ligand_247     11.80   
1c5z_ligand_248     12.34   
1c5z_ligand_253     6.94    
1c5z_ligand_256     11.95   
1c5z_ligand_264     4.98    
1c5z_ligand_265     4.94    
1c5z_ligand_266     10.74   
1c5z_ligand_267     11.52   
1c5z_ligand_269     13.95   
1c5z_ligand_271     12.71   
1c5z_ligand_274     8.50    
1c5z_ligand_276     10.57   
1c5z_ligand_277     13.27   
1c5z_ligand_280     13.27   
1c5z_ligand_283     12.76   
1c5z_ligand_287     12.06   
1c5z_ligand_292     9.71    
1c5z_ligand_294     8.78    
1c5z_ligand_295     15.51   
1c5z_ligand_297     -0.25   
1c5z_ligand_298     12.69   
