#code_ligand_num    score   
1a30_ligand_10      -3.7038 
1a30_ligand_100     -6.5910 
1a30_ligand_104     -9.3830 
1a30_ligand_106     -7.0975 
1a30_ligand_110     -4.5524 
1a30_ligand_115     -8.4740 
1a30_ligand_120     -5.3667 
1a30_ligand_121     -10.1833
1a30_ligand_122     -1.6970 
1a30_ligand_124     -10.1728
1a30_ligand_125     -2.3067 
1a30_ligand_127     -11.2510
1a30_ligand_14      0.6201  
1a30_ligand_140     -7.4259 
1a30_ligand_15      -1.7495 
1a30_ligand_152     -3.2351 
1a30_ligand_16      -1.4208 
1a30_ligand_162     -7.3814 
1a30_ligand_164     -9.0185 
1a30_ligand_171     -5.0847 
1a30_ligand_173     -4.5872 
1a30_ligand_179     -12.8871
1a30_ligand_183     -10.8182
1a30_ligand_19      -0.7018 
1a30_ligand_197     -5.4304 
1a30_ligand_203     3.8678  
1a30_ligand_204     2.2751  
1a30_ligand_205     2.1640  
1a30_ligand_207     -2.2232 
1a30_ligand_209     1.5413  
1a30_ligand_215     0.7255  
1a30_ligand_220     1.5128  
1a30_ligand_222     2.9345  
1a30_ligand_224     1.8533  
1a30_ligand_226     4.3571  
1a30_ligand_227     1.1564  
1a30_ligand_229     3.1279  
1a30_ligand_231     -9.9604 
1a30_ligand_235     -1.3402 
1a30_ligand_236     1.3092  
1a30_ligand_24      -3.1519 
1a30_ligand_240     -0.0237 
1a30_ligand_241     -5.3399 
1a30_ligand_262     -6.7114 
1a30_ligand_265     -3.7887 
1a30_ligand_268     0.5527  
1a30_ligand_27      -1.3807 
1a30_ligand_279     -5.9009 
1a30_ligand_28      3.6224  
1a30_ligand_283     -3.8843 
1a30_ligand_285     -2.8062 
1a30_ligand_289     -4.2910 
1a30_ligand_290     -3.3847 
1a30_ligand_296     -2.4493 
1a30_ligand_30      -2.6152 
1a30_ligand_300     1.4572  
1a30_ligand_301     -3.9800 
1a30_ligand_302     -4.4165 
1a30_ligand_31      -1.5604 
1a30_ligand_310     -16.9540
1a30_ligand_313     -2.9751 
1a30_ligand_314     -11.2012
1a30_ligand_317     -1.2170 
1a30_ligand_319     -5.8370 
1a30_ligand_320     -4.4572 
1a30_ligand_323     -1.2819 
1a30_ligand_327     -1.8508 
1a30_ligand_33      -8.0824 
1a30_ligand_330     1.3728  
1a30_ligand_332     -1.9787 
1a30_ligand_335     -2.2365 
1a30_ligand_337     -0.4768 
1a30_ligand_341     -8.2917 
1a30_ligand_346     -9.0779 
1a30_ligand_349     3.3619  
1a30_ligand_35      -3.5148 
1a30_ligand_369     -10.8505
1a30_ligand_378     -12.5990
1a30_ligand_38      2.8555  
1a30_ligand_387     -11.0461
1a30_ligand_4       2.4324  
1a30_ligand_403     -11.2038
1a30_ligand_42      1.2811  
1a30_ligand_441     -9.4846 
1a30_ligand_446     -8.0594 
1a30_ligand_463     -12.3902
1a30_ligand_48      -0.4752 
1a30_ligand_490     -10.2390
1a30_ligand_5       3.2925  
1a30_ligand_54      -12.0365
1a30_ligand_59      -7.1135 
1a30_ligand_61      -9.4469 
1a30_ligand_64      -2.0924 
1a30_ligand_66      -5.5963 
1a30_ligand_68      -11.6668
1a30_ligand_70      -11.5697
1a30_ligand_8       2.5904  
1a30_ligand_86      -8.8250 
1a30_ligand_87      -7.0562 
1a30_ligand_9       -9.0120 
1bcu_ligand_122     -24.3755
1bcu_ligand_137     -29.8670
1bcu_ligand_154     -22.7776
1bcu_ligand_158     -24.2732
1bcu_ligand_160     -25.0515
1bcu_ligand_167     -21.0693
1bcu_ligand_168     -21.1581
1bcu_ligand_199     -26.7077
1bcu_ligand_202     -27.2162
1bcu_ligand_214     -22.2167
1bcu_ligand_215     -26.8044
1bcu_ligand_223     -22.4812
1bcu_ligand_227     -25.3977
1bcu_ligand_231     -23.4293
1bcu_ligand_233     -23.6842
1bcu_ligand_234     -24.9443
1bcu_ligand_241     -27.6937
1bcu_ligand_259     -22.2873
1bcu_ligand_277     -22.8555
1bcu_ligand_283     -21.4084
1bcu_ligand_284     -17.9110
1bcu_ligand_285     -22.1372
1bcu_ligand_301     -25.5790
1bcu_ligand_309     -28.5284
1bcu_ligand_310     -26.7354
1bcu_ligand_328     -24.1687
1bcu_ligand_335     -22.5422
1bcu_ligand_351     -27.5129
1bcu_ligand_352     -23.7717
1bcu_ligand_354     -16.4867
1bcu_ligand_357     -16.6208
1bcu_ligand_358     -16.0432
1bcu_ligand_364     -16.1159
1bcu_ligand_365     -14.9842
1bcu_ligand_366     -13.7489
1bcu_ligand_367     -12.5950
1bcu_ligand_368     -15.2368
1bcu_ligand_369     -13.1296
1bcu_ligand_370     -13.1427
1bcu_ligand_371     -19.9292
1bcu_ligand_372     -13.8384
1bcu_ligand_373     -13.2215
1bcu_ligand_374     -13.3611
1bcu_ligand_376     -13.1256
1bcu_ligand_377     -14.3040
1bcu_ligand_378     -15.4391
1bcu_ligand_379     -12.4883
1bcu_ligand_380     -16.4994
1bcu_ligand_381     -13.3824
1bcu_ligand_384     -13.1887
1bcu_ligand_385     -16.5965
1bcu_ligand_386     -14.0693
1bcu_ligand_387     -12.8127
1bcu_ligand_388     -19.2054
1bcu_ligand_389     -15.2962
1bcu_ligand_390     -13.5590
1bcu_ligand_391     -14.0718
1bcu_ligand_392     -14.9663
1bcu_ligand_393     -13.0404
1bcu_ligand_395     -12.2047
1bcu_ligand_397     -9.8016 
1bcu_ligand_398     -14.4991
1bcu_ligand_399     -11.8224
1bcu_ligand_400     -12.3169
1bcu_ligand_407     -26.7749
1bcu_ligand_409     -18.5737
1bcu_ligand_415     -22.0598
1bcu_ligand_417     -21.5511
1bcu_ligand_418     -23.0167
1bcu_ligand_419     -21.7940
1bcu_ligand_421     -13.8360
1bcu_ligand_424     -21.6030
1bcu_ligand_426     -15.9139
1bcu_ligand_428     -18.2304
1bcu_ligand_429     -13.4223
1bcu_ligand_432     -19.7730
1bcu_ligand_433     -16.2142
1bcu_ligand_435     -16.1102
1bcu_ligand_438     -16.1799
1bcu_ligand_442     -15.5049
1bcu_ligand_444     -18.2426
1bcu_ligand_446     -12.8283
1bcu_ligand_448     -18.8820
1bcu_ligand_450     -13.4705
1bcu_ligand_452     -29.1509
1bcu_ligand_453     -26.4023
1bcu_ligand_456     -27.2097
1bcu_ligand_458     -22.9353
1bcu_ligand_466     -23.9806
1bcu_ligand_467     -20.6255
1bcu_ligand_468     -23.8216
1bcu_ligand_473     -23.9185
1bcu_ligand_474     -20.3345
1bcu_ligand_481     -20.0008
1bcu_ligand_485     -21.6520
1bcu_ligand_488     -24.4727
1bcu_ligand_493     -21.8047
1bcu_ligand_497     -22.3578
1bcu_ligand_499     -18.6285
1bcu_ligand_64      -29.4412
1bzc_ligand_1       -10.1730
1bzc_ligand_100     -20.2833
1bzc_ligand_105     -21.7233
1bzc_ligand_110     -16.7365
1bzc_ligand_115     -19.4255
1bzc_ligand_122     -4.3661 
1bzc_ligand_149     -14.0802
1bzc_ligand_154     -10.5895
1bzc_ligand_157     -12.6282
1bzc_ligand_158     -14.3516
1bzc_ligand_161     -9.2165 
1bzc_ligand_163     -9.9745 
1bzc_ligand_166     -12.5526
1bzc_ligand_167     -18.2224
1bzc_ligand_170     -9.4101 
1bzc_ligand_173     -12.7248
1bzc_ligand_177     -7.7376 
1bzc_ligand_179     -15.3325
1bzc_ligand_18      -14.9217
1bzc_ligand_180     -12.3659
1bzc_ligand_181     -11.9866
1bzc_ligand_182     -15.4428
1bzc_ligand_183     -11.7932
1bzc_ligand_187     -10.9992
1bzc_ligand_19      -17.2416
1bzc_ligand_190     -12.7038
1bzc_ligand_196     -17.6236
1bzc_ligand_198     -7.2361 
1bzc_ligand_201     -12.0683
1bzc_ligand_206     -4.7960 
1bzc_ligand_212     -7.7173 
1bzc_ligand_217     -7.0695 
1bzc_ligand_220     -9.4604 
1bzc_ligand_223     -6.6274 
1bzc_ligand_225     -8.4924 
1bzc_ligand_226     -6.0391 
1bzc_ligand_230     -11.3851
1bzc_ligand_231     -3.9202 
1bzc_ligand_238     -6.7027 
1bzc_ligand_239     -7.5106 
1bzc_ligand_242     -4.1612 
1bzc_ligand_244     -8.7205 
1bzc_ligand_245     -11.9839
1bzc_ligand_246     -2.0925 
1bzc_ligand_247     -11.7416
1bzc_ligand_248     -2.4218 
1bzc_ligand_249     -8.6998 
1bzc_ligand_250     -10.4005
1bzc_ligand_251     -18.8939
1bzc_ligand_258     -14.8684
1bzc_ligand_260     -14.7275
1bzc_ligand_262     -8.6025 
1bzc_ligand_264     -23.5820
1bzc_ligand_267     -14.9697
1bzc_ligand_271     -16.8999
1bzc_ligand_272     -6.1929 
1bzc_ligand_274     -12.8160
1bzc_ligand_276     -13.8579
1bzc_ligand_277     -9.3576 
1bzc_ligand_278     -9.5936 
1bzc_ligand_28      -19.6674
1bzc_ligand_284     -10.5527
1bzc_ligand_287     -12.7656
1bzc_ligand_291     -8.5799 
1bzc_ligand_296     -16.1231
1bzc_ligand_297     -10.8950
1bzc_ligand_298     -15.8205
1bzc_ligand_30      -9.8581 
1bzc_ligand_300     -11.6863
1bzc_ligand_301     -6.8751 
1bzc_ligand_302     -12.2189
1bzc_ligand_306     -16.7932
1bzc_ligand_310     -8.9220 
1bzc_ligand_313     -10.1013
1bzc_ligand_318     -12.5225
1bzc_ligand_321     -10.7933
1bzc_ligand_322     -17.2639
1bzc_ligand_323     -4.1929 
1bzc_ligand_325     -8.5196 
1bzc_ligand_33      -9.3323 
1bzc_ligand_339     -6.3875 
1bzc_ligand_341     -8.0174 
1bzc_ligand_342     -19.0584
1bzc_ligand_36      -14.3998
1bzc_ligand_37      -17.5015
1bzc_ligand_38      -12.4214
1bzc_ligand_380     -22.3843
1bzc_ligand_386     -19.8270
1bzc_ligand_4       -14.2770
1bzc_ligand_40      -15.7910
1bzc_ligand_62      -15.3039
1bzc_ligand_67      -18.4105
1bzc_ligand_69      -15.5899
1bzc_ligand_7       -7.4437 
1bzc_ligand_75      -19.8005
1bzc_ligand_80      -16.4595
1bzc_ligand_81      -18.3410
1bzc_ligand_90      -13.6593
1bzc_ligand_95      -21.2839
1bzc_ligand_98      -12.5360
1c5z_ligand_125     -18.0795
1c5z_ligand_134     -18.6696
1c5z_ligand_153     -13.3611
1c5z_ligand_160     -10.5892
1c5z_ligand_161     -11.2183
1c5z_ligand_162     -13.9237
1c5z_ligand_164     -15.6633
1c5z_ligand_169     -14.8779
1c5z_ligand_173     -13.3683
1c5z_ligand_183     -12.2925
1c5z_ligand_184     -10.8062
1c5z_ligand_185     -12.1987
1c5z_ligand_192     -12.3416
1c5z_ligand_193     -14.5879
1c5z_ligand_198     -13.4936
1c5z_ligand_199     -15.0587
1c5z_ligand_202     -13.1808
1c5z_ligand_203     -15.0209
1c5z_ligand_204     -14.9235
1c5z_ligand_205     -15.5157
1c5z_ligand_206     -15.2117
1c5z_ligand_207     -15.4315
1c5z_ligand_208     -13.7440
1c5z_ligand_219     -14.9922
1c5z_ligand_220     -13.4213
1c5z_ligand_225     -13.0277
1c5z_ligand_229     -13.6532
1c5z_ligand_232     -12.1851
1c5z_ligand_235     -14.9689
1c5z_ligand_236     -12.4140
1c5z_ligand_237     -15.9543
1c5z_ligand_238     -12.8341
1c5z_ligand_239     -15.3509
1c5z_ligand_240     -12.9276
1c5z_ligand_241     -19.1437
1c5z_ligand_242     -15.1225
1c5z_ligand_251     -18.5753
1c5z_ligand_252     -11.2019
1c5z_ligand_257     -12.4379
1c5z_ligand_267     -14.7285
1c5z_ligand_269     -13.6800
1c5z_ligand_271     -12.6608
1c5z_ligand_272     -13.2445
1c5z_ligand_273     -10.4346
1c5z_ligand_276     -13.0204
1c5z_ligand_278     -11.9608
1c5z_ligand_281     -17.1166
1c5z_ligand_287     -12.2558
1c5z_ligand_289     -14.3888
1c5z_ligand_291     -11.7724
1c5z_ligand_292     -14.8211
1c5z_ligand_294     -13.6361
1c5z_ligand_296     -12.5028
1c5z_ligand_297     -13.4708
1c5z_ligand_298     -10.4120
1c5z_ligand_299     -12.6892
1c5z_ligand_301     -15.4607
1c5z_ligand_302     -13.4890
1c5z_ligand_305     -13.3281
1c5z_ligand_311     -16.8160
1c5z_ligand_313     -14.4844
1c5z_ligand_314     -13.1029
1c5z_ligand_315     -18.4020
1c5z_ligand_318     -11.7300
1c5z_ligand_320     -14.4332
1c5z_ligand_322     -12.8567
1c5z_ligand_323     -10.9664
1c5z_ligand_324     -12.3091
1c5z_ligand_325     -14.1124
1c5z_ligand_328     -11.1144
1c5z_ligand_329     -12.7910
1c5z_ligand_330     -12.1680
1c5z_ligand_334     -13.9772
1c5z_ligand_335     -11.8068
1c5z_ligand_338     -14.0646
1c5z_ligand_341     -16.5896
1c5z_ligand_343     -19.5043
1c5z_ligand_344     -14.6587
1c5z_ligand_346     -16.0655
1c5z_ligand_347     -11.6695
1c5z_ligand_348     -10.6433
1c5z_ligand_367     -17.1272
1c5z_ligand_371     -14.7916
1c5z_ligand_376     -14.4270
1c5z_ligand_377     -14.1907
1c5z_ligand_380     -13.5445
1c5z_ligand_383     -14.5383
1c5z_ligand_384     -14.6177
1c5z_ligand_388     -11.5975
1c5z_ligand_391     -13.7741
1c5z_ligand_396     -12.3704
1c5z_ligand_397     -10.8647
