#code_ligand_num    score   
1a30_ligand_102     -8.2124 
1a30_ligand_104     -11.8760
1a30_ligand_105     -8.8809 
1a30_ligand_107     -8.6448 
1a30_ligand_111     -4.2982 
1a30_ligand_116     -20.1876
1a30_ligand_122     -10.0675
1a30_ligand_123     -8.8715 
1a30_ligand_124     -4.1981 
1a30_ligand_130     -11.0431
1a30_ligand_141     -5.3322 
1a30_ligand_144     -9.5449 
1a30_ligand_147     -6.5124 
1a30_ligand_15      -5.5629 
1a30_ligand_150     -7.4821 
1a30_ligand_153     -9.8797 
1a30_ligand_161     -10.4840
1a30_ligand_173     -8.6582 
1a30_ligand_174     -7.2429 
1a30_ligand_175     -14.0602
1a30_ligand_178     -3.0464 
1a30_ligand_18      -4.1572 
1a30_ligand_181     -10.0390
1a30_ligand_185     -12.2483
1a30_ligand_186     -7.0142 
1a30_ligand_201     6.0254  
1a30_ligand_202     2.7734  
1a30_ligand_206     1.3507  
1a30_ligand_207     -1.5278 
1a30_ligand_208     -0.4623 
1a30_ligand_209     -1.9806 
1a30_ligand_21      -4.6756 
1a30_ligand_210     1.5280  
1a30_ligand_211     3.2152  
1a30_ligand_213     -4.3473 
1a30_ligand_216     2.9196  
1a30_ligand_217     4.0250  
1a30_ligand_221     3.6541  
1a30_ligand_222     4.3692  
1a30_ligand_223     0.6297  
1a30_ligand_226     -5.0936 
1a30_ligand_228     -2.0859 
1a30_ligand_231     3.1498  
1a30_ligand_232     0.4833  
1a30_ligand_237     1.0913  
1a30_ligand_238     3.6048  
1a30_ligand_241     -2.0908 
1a30_ligand_243     1.7582  
1a30_ligand_245     1.7996  
1a30_ligand_246     3.6714  
1a30_ligand_247     1.1428  
1a30_ligand_249     3.6399  
1a30_ligand_250     4.3504  
1a30_ligand_259     -12.9918
1a30_ligand_26      0.8379  
1a30_ligand_261     -15.5414
1a30_ligand_278     -6.1928 
1a30_ligand_280     -13.2896
1a30_ligand_287     -8.8597 
1a30_ligand_292     -16.7435
1a30_ligand_294     0.7565  
1a30_ligand_297     -8.4371 
1a30_ligand_301     -7.3862 
1a30_ligand_322     -10.7044
1a30_ligand_328     -7.2356 
1a30_ligand_329     -5.5841 
1a30_ligand_33      -5.1330 
1a30_ligand_339     -10.1542
1a30_ligand_34      -1.2351 
1a30_ligand_340     -12.6200
1a30_ligand_345     -3.6737 
1a30_ligand_350     -7.9195 
1a30_ligand_351     -19.6808
1a30_ligand_38      -1.3813 
1a30_ligand_388     -10.7131
1a30_ligand_395     -11.5066
1a30_ligand_398     -7.8659 
1a30_ligand_412     -13.8980
1a30_ligand_43      -0.4510 
1a30_ligand_441     -17.1923
1a30_ligand_448     -15.9318
1a30_ligand_449     -15.7887
1a30_ligand_452     -17.5788
1a30_ligand_46      -4.8596 
1a30_ligand_469     -19.4627
1a30_ligand_484     -17.7222
1a30_ligand_488     -13.7749
1a30_ligand_500     -14.1644
1a30_ligand_59      -10.3656
1a30_ligand_60      -12.2841
1a30_ligand_62      -6.2308 
1a30_ligand_63      -10.9714
1a30_ligand_76      -6.6137 
1a30_ligand_78      -8.6894 
1a30_ligand_82      -10.5094
1a30_ligand_84      -12.0455
1a30_ligand_85      -6.1240 
1a30_ligand_88      -10.5529
1a30_ligand_95      -12.1668
1a30_ligand_99      -13.6657
1bcu_ligand_152     -31.1714
1bcu_ligand_156     -26.7014
1bcu_ligand_173     -25.5910
1bcu_ligand_175     -27.1928
1bcu_ligand_181     -26.4581
1bcu_ligand_184     -24.6095
1bcu_ligand_19      -24.8107
1bcu_ligand_191     -27.9512
1bcu_ligand_194     -25.2998
1bcu_ligand_196     -28.2243
1bcu_ligand_197     -27.8677
1bcu_ligand_202     -25.7852
1bcu_ligand_210     -26.8325
1bcu_ligand_216     -23.8581
1bcu_ligand_217     -27.6379
1bcu_ligand_220     -19.4547
1bcu_ligand_226     -26.2164
1bcu_ligand_228     -26.2109
1bcu_ligand_229     -17.3858
1bcu_ligand_230     -23.4628
1bcu_ligand_232     -22.5483
1bcu_ligand_241     -14.4787
1bcu_ligand_243     -21.1126
1bcu_ligand_244     -17.6335
1bcu_ligand_245     -16.3808
1bcu_ligand_247     -22.4402
1bcu_ligand_248     -17.6433
1bcu_ligand_250     -15.4033
1bcu_ligand_251     -16.8128
1bcu_ligand_254     -14.0652
1bcu_ligand_263     -13.6098
1bcu_ligand_264     -23.9647
1bcu_ligand_272     -19.2020
1bcu_ligand_274     -12.3789
1bcu_ligand_276     -14.8713
1bcu_ligand_277     -20.8666
1bcu_ligand_279     -14.5178
1bcu_ligand_281     -22.1658
1bcu_ligand_285     -17.5386
1bcu_ligand_287     -13.4456
1bcu_ligand_292     -23.0545
1bcu_ligand_293     -15.8919
1bcu_ligand_299     -14.7554
1bcu_ligand_301     -28.5653
1bcu_ligand_314     -26.7302
1bcu_ligand_329     -24.3141
1bcu_ligand_332     -25.8906
1bcu_ligand_333     -26.6383
1bcu_ligand_338     -23.0235
1bcu_ligand_340     -26.6405
1bcu_ligand_346     -24.2157
1bcu_ligand_351     -18.3054
1bcu_ligand_354     -17.9346
1bcu_ligand_356     -17.4793
1bcu_ligand_357     -16.5190
1bcu_ligand_358     -16.9660
1bcu_ligand_360     -17.6697
1bcu_ligand_363     -17.3080
1bcu_ligand_368     -17.7697
1bcu_ligand_369     -13.2381
1bcu_ligand_372     -19.7597
1bcu_ligand_374     -14.9231
1bcu_ligand_375     -11.6223
1bcu_ligand_376     -11.0775
1bcu_ligand_377     -13.4825
1bcu_ligand_378     -14.3707
1bcu_ligand_379     -15.7551
1bcu_ligand_381     -14.9383
1bcu_ligand_382     -14.0301
1bcu_ligand_385     -16.9201
1bcu_ligand_386     -17.2484
1bcu_ligand_387     -15.0345
1bcu_ligand_388     -14.5309
1bcu_ligand_390     -14.8761
1bcu_ligand_394     -15.8456
1bcu_ligand_395     -15.8628
1bcu_ligand_396     -10.9736
1bcu_ligand_397     -12.7069
1bcu_ligand_398     -8.6413 
1bcu_ligand_399     -12.1552
1bcu_ligand_400     -12.8572
1bcu_ligand_404     -22.5085
1bcu_ligand_420     -19.8162
1bcu_ligand_421     -16.9933
1bcu_ligand_425     -17.9114
1bcu_ligand_427     -15.1746
