#code_ligand_num    score   
1a30_ligand_103     -12.8576
1a30_ligand_115     -18.2074
1a30_ligand_118     -18.2431
1a30_ligand_12      -14.2833
1a30_ligand_128     -19.7804
1a30_ligand_129     -15.8610
1a30_ligand_134     -13.7936
1a30_ligand_135     -21.0007
1a30_ligand_142     -20.8340
1a30_ligand_146     -18.8708
1a30_ligand_153     -14.4635
1a30_ligand_157     -16.1359
1a30_ligand_158     -10.5180
1a30_ligand_159     -13.2392
1a30_ligand_160     -11.6810
1a30_ligand_161     -20.2625
1a30_ligand_164     -14.5951
1a30_ligand_167     -19.5752
1a30_ligand_169     -12.6865
1a30_ligand_170     -18.3892
1a30_ligand_171     -14.2725
1a30_ligand_172     -19.4488
1a30_ligand_175     -13.8445
1a30_ligand_178     -13.0041
1a30_ligand_186     -12.7525
1a30_ligand_188     -10.8825
1a30_ligand_191     -18.9592
1a30_ligand_192     -13.2906
1a30_ligand_194     -12.5442
1a30_ligand_196     -14.9848
1a30_ligand_198     -15.6518
1a30_ligand_209     -21.4410
1a30_ligand_210     -17.3314
1a30_ligand_211     -13.9858
1a30_ligand_216     -10.3225
1a30_ligand_217     -20.4974
1a30_ligand_218     -16.4292
1a30_ligand_219     -13.6120
1a30_ligand_220     -12.6736
1a30_ligand_221     -13.7735
1a30_ligand_222     -11.1312
1a30_ligand_224     -14.6118
1a30_ligand_227     -12.1251
1a30_ligand_228     -10.7206
1a30_ligand_230     -10.1232
1a30_ligand_231     -22.0048
1a30_ligand_232     -12.8474
1a30_ligand_234     -22.4667
1a30_ligand_235     -12.1032
1a30_ligand_237     -16.6404
1a30_ligand_239     -14.0971
1a30_ligand_240     -17.3243
1a30_ligand_245     -12.9645
1a30_ligand_246     -23.0060
1a30_ligand_248     -18.1601
1a30_ligand_249     -16.0838
1a30_ligand_250     -23.2603
1a30_ligand_273     -17.4581
1a30_ligand_276     -11.6317
1a30_ligand_280     -17.1322
1a30_ligand_284     -15.9625
1a30_ligand_290     -14.6512
1a30_ligand_293     -19.9796
1a30_ligand_295     -14.3202
1a30_ligand_296     -17.9911
1a30_ligand_297     -16.4669
1a30_ligand_300     -13.6289
1a30_ligand_322     -10.5429
1a30_ligand_324     -18.9816
1a30_ligand_328     -17.1393
1a30_ligand_330     -21.9862
1a30_ligand_333     -15.3144
1a30_ligand_334     -13.0895
1a30_ligand_335     -15.4777
1a30_ligand_338     -13.8126
1a30_ligand_34      -18.9917
1a30_ligand_341     -10.7450
1a30_ligand_346     -17.9676
1a30_ligand_348     -17.5496
1a30_ligand_35      -18.8490
1a30_ligand_350     -13.2981
1a30_ligand_373     -13.7078
1a30_ligand_374     -22.8999
1a30_ligand_391     -19.9232
1a30_ligand_395     -24.9993
1a30_ligand_400     -19.9337
1a30_ligand_402     -26.9307
1a30_ligand_415     -21.9231
1a30_ligand_443     -19.6805
1a30_ligand_448     -18.1256
1a30_ligand_482     -29.8401
1a30_ligand_486     -16.8734
1a30_ligand_498     -19.8899
1a30_ligand_57      -23.1533
1a30_ligand_66      -20.1715
1a30_ligand_71      -21.9223
1a30_ligand_76      -17.7788
1a30_ligand_87      -19.0710
1a30_ligand_96      -14.2254
1a30_ligand_99      -24.7113
1bcu_ligand_1       -35.9581
1bcu_ligand_100     -35.0541
1bcu_ligand_102     -38.2041
1bcu_ligand_109     -39.5234
1bcu_ligand_11      -39.1901
1bcu_ligand_110     -38.7620
1bcu_ligand_111     -39.2079
1bcu_ligand_113     -35.0163
1bcu_ligand_114     -37.8719
1bcu_ligand_119     -36.3605
1bcu_ligand_120     -36.0185
1bcu_ligand_122     -37.4210
1bcu_ligand_123     -34.8753
1bcu_ligand_128     -39.7388
1bcu_ligand_131     -39.9425
1bcu_ligand_135     -37.3621
1bcu_ligand_138     -38.3775
1bcu_ligand_140     -38.4648
1bcu_ligand_141     -36.0108
1bcu_ligand_142     -36.2940
1bcu_ligand_143     -36.9934
1bcu_ligand_144     -36.2132
1bcu_ligand_145     -37.2134
1bcu_ligand_146     -35.7032
1bcu_ligand_151     -32.9978
1bcu_ligand_152     -33.6724
1bcu_ligand_153     -39.5363
1bcu_ligand_154     -36.7954
1bcu_ligand_155     -34.1326
1bcu_ligand_16      -35.7671
1bcu_ligand_17      -40.6366
1bcu_ligand_18      -34.5895
1bcu_ligand_189     -40.5093
1bcu_ligand_19      -38.0112
1bcu_ligand_190     -38.0799
1bcu_ligand_192     -38.8682
1bcu_ligand_193     -44.3503
1bcu_ligand_194     -46.3291
1bcu_ligand_195     -42.1425
1bcu_ligand_197     -45.8424
1bcu_ligand_198     -38.8303
1bcu_ligand_199     -46.2820
1bcu_ligand_2       -40.9264
1bcu_ligand_202     -45.2823
1bcu_ligand_204     -43.2915
1bcu_ligand_205     -42.1392
1bcu_ligand_206     -35.2624
1bcu_ligand_207     -40.4442
1bcu_ligand_208     -45.2283
1bcu_ligand_209     -47.8683
1bcu_ligand_210     -37.8987
1bcu_ligand_211     -39.6187
1bcu_ligand_212     -37.8068
