#code_ligand_num    score   
1a30_ligand_10      2.2521  
1a30_ligand_100     -7.1771 
1a30_ligand_103     -7.1189 
1a30_ligand_107     -7.1861 
1a30_ligand_110     -6.8373 
1a30_ligand_111     -6.0372 
1a30_ligand_118     -9.6939 
1a30_ligand_12      -4.5513 
1a30_ligand_128     -8.1299 
1a30_ligand_130     -6.1219 
1a30_ligand_136     -6.4383 
1a30_ligand_140     -9.7294 
1a30_ligand_142     -3.1408 
1a30_ligand_143     -4.4000 
1a30_ligand_146     -8.1755 
1a30_ligand_148     -5.1734 
1a30_ligand_149     -5.4978 
1a30_ligand_16      -3.9917 
1a30_ligand_17      -1.1372 
1a30_ligand_187     -0.2101 
1a30_ligand_191     -2.1548 
1a30_ligand_194     -6.7962 
1a30_ligand_214     3.8251  
1a30_ligand_215     -0.4617 
1a30_ligand_219     3.4647  
1a30_ligand_229     -6.4607 
1a30_ligand_23      -2.9326 
1a30_ligand_232     4.7449  
1a30_ligand_238     -2.6350 
1a30_ligand_24      0.6502  
1a30_ligand_240     -1.4114 
1a30_ligand_244     -0.6695 
1a30_ligand_251     -0.5243 
1a30_ligand_256     3.5152  
1a30_ligand_265     1.2825  
1a30_ligand_269     0.4956  
1a30_ligand_275     -7.8106 
1a30_ligand_277     0.5158  
1a30_ligand_285     0.6571  
1a30_ligand_287     -4.0949 
1a30_ligand_289     -4.0081 
1a30_ligand_290     -4.3565 
1a30_ligand_291     3.2571  
1a30_ligand_299     -1.4985 
1a30_ligand_3       0.0249  
1a30_ligand_30      -0.2974 
1a30_ligand_301     5.4105  
1a30_ligand_302     -5.8181 
1a30_ligand_305     1.0655  
1a30_ligand_310     -1.7851 
1a30_ligand_311     4.9697  
1a30_ligand_319     -3.8923 
1a30_ligand_321     -2.3288 
1a30_ligand_322     -3.0662 
1a30_ligand_324     -0.7134 
1a30_ligand_325     -1.8853 
1a30_ligand_33      1.7730  
1a30_ligand_335     0.9634  
1a30_ligand_337     0.8153  
1a30_ligand_340     -2.7862 
1a30_ligand_341     -0.6021 
1a30_ligand_342     -2.3498 
1a30_ligand_344     -3.3021 
1a30_ligand_345     -4.7143 
1a30_ligand_349     2.2660  
1a30_ligand_354     -13.4515
1a30_ligand_361     -20.3221
1a30_ligand_372     -13.2456
1a30_ligand_38      -0.7039 
1a30_ligand_382     -11.2383
1a30_ligand_385     -8.4991 
1a30_ligand_39      -5.2066 
1a30_ligand_394     -5.6258 
1a30_ligand_401     -18.4816
1a30_ligand_41      -2.6525 
1a30_ligand_412     -12.4871
1a30_ligand_414     -14.2246
1a30_ligand_424     -15.8199
1a30_ligand_429     -17.9105
1a30_ligand_45      -2.7846 
1a30_ligand_46      -3.5792 
1a30_ligand_48      3.5047  
1a30_ligand_5       -3.5955 
1a30_ligand_50      -4.8015 
1a30_ligand_51      -5.3940 
1a30_ligand_55      -7.8856 
1a30_ligand_58      -8.6159 
1a30_ligand_63      -13.0490
1a30_ligand_70      -6.6864 
1a30_ligand_74      -13.4595
1a30_ligand_76      -11.7349
1a30_ligand_79      -13.6847
1a30_ligand_8       -4.4115 
1a30_ligand_82      -4.5129 
1a30_ligand_83      -7.8147 
1a30_ligand_85      -5.8018 
1a30_ligand_88      -11.4700
1a30_ligand_92      -8.9332 
1a30_ligand_96      -14.6071
1a30_ligand_98      -6.1246 
1bcu_ligand_104     -21.1734
1bcu_ligand_119     -21.3287
1bcu_ligand_155     -19.2179
1bcu_ligand_160     -24.9130
1bcu_ligand_169     -19.0062
1bcu_ligand_181     -16.1098
1bcu_ligand_184     -16.0565
