#code_ligand_num    score   
1a30_ligand_101     -4.5034 
1a30_ligand_102     -17.1620
1a30_ligand_107     -4.6851 
1a30_ligand_109     -7.0388 
1a30_ligand_110     -9.1948 
1a30_ligand_111     -16.7137
1a30_ligand_112     -11.3253
1a30_ligand_124     -10.5081
1a30_ligand_125     -4.2347 
1a30_ligand_127     -15.2440
1a30_ligand_131     -18.7999
1a30_ligand_139     -10.7387
1a30_ligand_142     -7.2539 
1a30_ligand_144     -5.5710 
1a30_ligand_145     -7.3977 
1a30_ligand_148     -18.1653
1a30_ligand_150     -12.3237
1a30_ligand_159     -14.0747
1a30_ligand_16      -6.6888 
1a30_ligand_160     -9.7856 
1a30_ligand_17      -12.6378
1a30_ligand_184     -11.4293
1a30_ligand_196     -17.4044
1a30_ligand_201     -7.1787 
1a30_ligand_202     -1.9550 
1a30_ligand_203     -1.6301 
1a30_ligand_205     0.3033  
1a30_ligand_207     -2.8987 
1a30_ligand_208     5.4398  
1a30_ligand_209     4.2466  
1a30_ligand_21      -3.5639 
1a30_ligand_211     -3.4570 
1a30_ligand_220     -3.6707 
1a30_ligand_227     -2.1249 
1a30_ligand_228     -1.2639 
1a30_ligand_230     -3.9503 
1a30_ligand_232     -3.6454 
1a30_ligand_234     -2.7470 
1a30_ligand_235     -6.5448 
1a30_ligand_237     -8.9075 
1a30_ligand_238     -4.2360 
1a30_ligand_242     -0.2033 
1a30_ligand_248     -0.2725 
1a30_ligand_273     -17.4099
1a30_ligand_28      -9.3043 
1a30_ligand_285     -12.0492
1a30_ligand_287     -7.8067 
1a30_ligand_295     -9.6262 
1a30_ligand_30      -4.4229 
1a30_ligand_301     -4.6788 
1a30_ligand_308     -12.3207
1a30_ligand_313     -15.0454
1a30_ligand_326     -10.8711
1a30_ligand_336     -13.0125
1a30_ligand_339     -7.9848 
1a30_ligand_34      -13.0374
1a30_ligand_348     -4.1261 
1a30_ligand_351     -20.7203
1a30_ligand_366     -14.3071
1a30_ligand_378     -16.9457
1a30_ligand_382     -15.7719
1a30_ligand_383     -13.0973
1a30_ligand_385     -15.2351
1a30_ligand_387     -18.9362
1a30_ligand_39      -6.6591 
1a30_ligand_419     -15.9021
1a30_ligand_421     -14.5485
1a30_ligand_428     -8.8046 
1a30_ligand_43      -1.6325 
1a30_ligand_435     -16.1264
1a30_ligand_436     -16.3626
1a30_ligand_439     -8.1578 
1a30_ligand_444     -11.1760
1a30_ligand_447     -8.9578 
1a30_ligand_45      -8.3043 
1a30_ligand_47      -14.1069
1a30_ligand_474     -14.5487
1a30_ligand_5       -5.9410 
1a30_ligand_50      -6.2738 
1a30_ligand_51      -15.9533
1a30_ligand_55      -14.6071
1a30_ligand_57      -14.6053
1a30_ligand_58      -5.5013 
1a30_ligand_60      -0.1900 
1a30_ligand_64      -12.3247
1a30_ligand_67      -3.6083 
1a30_ligand_68      -9.7568 
1a30_ligand_7       -8.9620 
1a30_ligand_71      -9.7319 
1a30_ligand_72      -7.6270 
1a30_ligand_74      -13.0590
1a30_ligand_77      -9.5639 
1a30_ligand_79      -2.4130 
1a30_ligand_82      -10.6190
1a30_ligand_9       -1.5928 
1a30_ligand_93      -5.1711 
1a30_ligand_94      -18.4231
1a30_ligand_95      -7.6663 
1a30_ligand_98      -11.2633
1a30_ligand_99      -10.1751
1bcu_ligand_168     -30.1538
1bcu_ligand_191     -36.4149
1bcu_ligand_196     -34.1655
1bcu_ligand_2       -32.7983
1bcu_ligand_203     -31.1797
1bcu_ligand_204     -26.7063
1bcu_ligand_205     -26.4382
1bcu_ligand_210     -31.3863
1bcu_ligand_213     -32.9220
1bcu_ligand_216     -29.7902
1bcu_ligand_217     -21.1003
1bcu_ligand_222     -31.8018
1bcu_ligand_223     -18.8874
1bcu_ligand_225     -33.9302
1bcu_ligand_227     -24.9325
1bcu_ligand_229     -31.5170
1bcu_ligand_230     -33.8873
1bcu_ligand_231     -26.2020
1bcu_ligand_234     -25.9540
1bcu_ligand_237     -32.7123
1bcu_ligand_242     -32.7571
1bcu_ligand_243     -23.9271
1bcu_ligand_250     -33.1145
1bcu_ligand_255     -37.0561
1bcu_ligand_267     -33.1307
