#code_ligand_num    score   
1a30_ligand_102     -15.3266
1a30_ligand_119     -6.3892 
1a30_ligand_121     -9.2879 
1a30_ligand_128     -7.8460 
1a30_ligand_129     -2.8438 
1a30_ligand_130     -5.9719 
1a30_ligand_135     -8.1115 
1a30_ligand_139     -7.3005 
1a30_ligand_143     -7.0543 
1a30_ligand_15      -2.2191 
1a30_ligand_154     -3.7307 
1a30_ligand_156     -0.5818 
1a30_ligand_159     -1.9646 
1a30_ligand_163     -5.0846 
1a30_ligand_165     -2.2005 
1a30_ligand_169     -0.3299 
1a30_ligand_172     -1.2955 
1a30_ligand_177     -1.9692 
1a30_ligand_180     -5.7031 
1a30_ligand_190     -2.0098 
1a30_ligand_193     -1.3180 
1a30_ligand_195     -1.0092 
1a30_ligand_207     -1.1947 
1a30_ligand_21      -8.3127 
1a30_ligand_212     2.4901  
1a30_ligand_214     -2.6331 
1a30_ligand_217     -1.4847 
1a30_ligand_218     -6.3865 
1a30_ligand_221     0.5677  
1a30_ligand_222     -2.8052 
1a30_ligand_226     -0.5892 
1a30_ligand_231     -6.3069 
1a30_ligand_238     -6.5629 
1a30_ligand_239     4.1639  
1a30_ligand_245     -2.9689 
1a30_ligand_249     0.5218  
1a30_ligand_25      -7.7768 
1a30_ligand_250     0.4477  
1a30_ligand_26      -3.0636 
1a30_ligand_260     -3.2395 
1a30_ligand_263     -2.1800 
1a30_ligand_264     -3.2820 
1a30_ligand_270     -7.5464 
1a30_ligand_285     -5.0677 
1a30_ligand_286     0.1910  
1a30_ligand_289     -3.0488 
1a30_ligand_291     -2.3863 
1a30_ligand_300     -4.0839 
1a30_ligand_302     -8.8537 
1a30_ligand_307     1.4388  
1a30_ligand_308     -1.8685 
1a30_ligand_311     -6.4063 
1a30_ligand_313     -5.3422 
1a30_ligand_317     -4.3072 
1a30_ligand_319     -4.2684 
1a30_ligand_32      -3.0838 
1a30_ligand_320     -3.9366 
1a30_ligand_322     -9.4183 
1a30_ligand_323     -3.7481 
1a30_ligand_326     -1.1647 
1a30_ligand_327     -3.4476 
1a30_ligand_328     -1.2904 
1a30_ligand_33      -5.3636 
1a30_ligand_331     -1.4543 
1a30_ligand_332     2.4203  
1a30_ligand_334     -7.5004 
1a30_ligand_339     -3.6584 
1a30_ligand_343     -1.8513 
1a30_ligand_348     0.0274  
1a30_ligand_35      -9.0310 
1a30_ligand_36      -6.7562 
1a30_ligand_37      -4.6231 
1a30_ligand_379     -12.4873
1a30_ligand_388     -14.1642
1a30_ligand_39      -9.6876 
1a30_ligand_391     -17.9740
1a30_ligand_392     -13.8880
1a30_ligand_393     -15.1892
1a30_ligand_397     -12.8936
1a30_ligand_398     -15.8954
1a30_ligand_399     -10.5085
1a30_ligand_429     -20.7992
1a30_ligand_445     -17.6986
1a30_ligand_45      -8.8017 
1a30_ligand_49      -4.2944 
1a30_ligand_498     -18.8558
1a30_ligand_55      -9.6380 
1a30_ligand_58      -13.0324
1a30_ligand_60      -6.5757 
1a30_ligand_62      -16.1003
1a30_ligand_66      -17.0704
1a30_ligand_67      -8.0076 
1a30_ligand_70      -11.6457
1a30_ligand_71      -14.0555
1a30_ligand_78      -8.2611 
1a30_ligand_79      -13.7154
1a30_ligand_80      -11.4808
1a30_ligand_85      -13.1440
1a30_ligand_93      -11.1700
1a30_ligand_97      -13.9254
1bcu_ligand_113     -26.1087
1bcu_ligand_129     -21.2252
1bcu_ligand_152     -19.3547
1bcu_ligand_161     -19.7340
1bcu_ligand_184     -16.4350
1bcu_ligand_193     -16.1271
1bcu_ligand_195     -18.7930
1bcu_ligand_196     -18.7436
1bcu_ligand_200     -17.2472
1bcu_ligand_205     -18.7111
1bcu_ligand_210     -24.2362
1bcu_ligand_211     -22.5358
1bcu_ligand_212     -18.5347
1bcu_ligand_213     -17.6180
1bcu_ligand_214     -20.0276
1bcu_ligand_215     -20.2261
1bcu_ligand_216     -23.6195
1bcu_ligand_225     -18.1953
1bcu_ligand_226     -27.3726
1bcu_ligand_227     -20.8791
1bcu_ligand_229     -19.5831
1bcu_ligand_234     -26.1275
1bcu_ligand_239     -19.2565
1bcu_ligand_244     -15.6482
1bcu_ligand_251     -19.5192
1bcu_ligand_256     -19.3854
1bcu_ligand_266     -19.7634
1bcu_ligand_268     -15.7271
1bcu_ligand_282     -14.5908
1bcu_ligand_285     -19.0690
1bcu_ligand_286     -15.7547
1bcu_ligand_289     -21.8578
1bcu_ligand_298     -18.7612
1bcu_ligand_306     -21.4848
1bcu_ligand_311     -21.0358
1bcu_ligand_312     -22.4322
1bcu_ligand_314     -21.5189
1bcu_ligand_319     -20.0964
1bcu_ligand_329     -24.9701
1bcu_ligand_332     -25.0768
1bcu_ligand_336     -20.4791
1bcu_ligand_339     -23.1547
1bcu_ligand_341     -19.4012
1bcu_ligand_344     -18.9178
1bcu_ligand_354     -17.0769
1bcu_ligand_355     -20.3420
1bcu_ligand_357     -21.4755
1bcu_ligand_358     -23.2311
1bcu_ligand_359     -17.8606
1bcu_ligand_362     -20.3559
1bcu_ligand_363     -18.3798
1bcu_ligand_364     -22.9682
1bcu_ligand_365     -19.1718
1bcu_ligand_368     -18.4324
1bcu_ligand_370     -17.3579
1bcu_ligand_374     -21.1128
1bcu_ligand_375     -13.8283
1bcu_ligand_376     -19.5562
1bcu_ligand_380     -19.5774
1bcu_ligand_382     -17.0001
1bcu_ligand_384     -20.9525
1bcu_ligand_385     -17.6218
1bcu_ligand_386     -16.6821
1bcu_ligand_387     -18.7761
1bcu_ligand_388     -19.2298
1bcu_ligand_389     -16.7812
