#code_ligand_num    score   
1a30_ligand_102     -5.1039 
1a30_ligand_103     -10.4496
1a30_ligand_108     -2.8844 
1a30_ligand_109     -1.6396 
1a30_ligand_11      2.5142  
1a30_ligand_111     -3.7466 
1a30_ligand_113     -5.3774 
1a30_ligand_116     -10.2034
1a30_ligand_118     -9.2451 
1a30_ligand_119     -6.8969 
1a30_ligand_12      2.4278  
1a30_ligand_123     -7.2849 
1a30_ligand_13      0.2786  
1a30_ligand_133     -8.4360 
1a30_ligand_135     -11.9632
1a30_ligand_148     -3.3148 
1a30_ligand_157     -9.0500 
1a30_ligand_16      -5.2996 
1a30_ligand_162     -10.5774
1a30_ligand_169     -8.9252 
1a30_ligand_17      -0.6765 
1a30_ligand_176     -12.0443
1a30_ligand_183     -7.5458 
1a30_ligand_188     -10.6902
1a30_ligand_193     -7.6907 
1a30_ligand_199     -11.2196
1a30_ligand_200     -10.1971
1a30_ligand_201     -3.5842 
1a30_ligand_209     -0.5711 
1a30_ligand_214     -3.2861 
1a30_ligand_224     0.5893  
1a30_ligand_225     0.7723  
1a30_ligand_232     -1.5710 
1a30_ligand_233     -0.0671 
1a30_ligand_234     -3.0553 
1a30_ligand_235     1.4291  
1a30_ligand_239     1.8858  
1a30_ligand_244     -10.2758
1a30_ligand_263     -4.3258 
1a30_ligand_27      0.0964  
1a30_ligand_283     -0.6683 
1a30_ligand_287     -7.0438 
1a30_ligand_29      3.4410  
1a30_ligand_296     2.6866  
1a30_ligand_297     -1.6692 
1a30_ligand_3       -1.8466 
1a30_ligand_305     -0.1637 
1a30_ligand_31      -0.0150 
1a30_ligand_311     -3.9369 
1a30_ligand_32      2.8366  
1a30_ligand_325     0.8472  
1a30_ligand_33      -6.4796 
1a30_ligand_332     1.1612  
1a30_ligand_342     -2.4470 
1a30_ligand_346     -0.0387 
1a30_ligand_36      -3.7344 
1a30_ligand_362     -10.5184
1a30_ligand_368     -6.3031 
1a30_ligand_376     -5.0157 
1a30_ligand_377     -7.3585 
1a30_ligand_38      -0.9923 
1a30_ligand_386     -9.5760 
1a30_ligand_389     -5.8084 
1a30_ligand_390     -5.3189 
1a30_ligand_397     -3.8906 
1a30_ligand_4       -1.9280 
1a30_ligand_400     -3.1818 
1a30_ligand_41      0.1333  
1a30_ligand_42      -4.0163 
1a30_ligand_427     -9.4767 
1a30_ligand_43      -2.0864 
1a30_ligand_432     -7.8440 
1a30_ligand_44      4.0247  
1a30_ligand_444     -5.8912 
1a30_ligand_449     -4.1204 
1a30_ligand_45      -2.6583 
1a30_ligand_462     -9.8331 
1a30_ligand_466     -9.1510 
1a30_ligand_498     -8.2858 
1a30_ligand_58      -10.9634
1a30_ligand_6       -6.3630 
1a30_ligand_60      -9.3446 
1a30_ligand_63      -4.9758 
1a30_ligand_65      -7.9340 
1a30_ligand_66      -4.4566 
1a30_ligand_67      -1.3844 
1a30_ligand_7       -0.7025 
1a30_ligand_70      0.1941  
1a30_ligand_73      -8.1991 
1a30_ligand_74      -9.2480 
1a30_ligand_76      -13.2046
1a30_ligand_79      -7.3414 
1a30_ligand_8       -4.4337 
1a30_ligand_82      -2.6869 
1a30_ligand_85      -2.4882 
1a30_ligand_89      -8.3106 
1a30_ligand_9       -3.7618 
1a30_ligand_94      -5.2436 
1a30_ligand_95      -5.2992 
1a30_ligand_96      -6.4143 
1bcu_ligand_152     -34.0171
1bcu_ligand_156     -33.8841
1bcu_ligand_160     -33.0205
1bcu_ligand_162     -31.8429
1bcu_ligand_166     -33.1212
1bcu_ligand_172     -33.0697
1bcu_ligand_175     -31.7725
1bcu_ligand_179     -33.6084
1bcu_ligand_182     -34.3121
1bcu_ligand_184     -32.6124
1bcu_ligand_186     -34.4931
1bcu_ligand_189     -30.8967
1bcu_ligand_194     -33.3192
1bcu_ligand_207     -28.6219
1bcu_ligand_211     -35.0128
1bcu_ligand_218     -29.3943
1bcu_ligand_228     -30.2061
1bcu_ligand_229     -27.6419
1bcu_ligand_232     -24.5710
1bcu_ligand_234     -26.2906
1bcu_ligand_236     -21.8444
1bcu_ligand_237     -33.0547
1bcu_ligand_240     -24.5891
1bcu_ligand_242     -30.9389
1bcu_ligand_246     -27.1267
1bcu_ligand_257     -24.7797
1bcu_ligand_262     -24.6917
1bcu_ligand_263     -18.4114
1bcu_ligand_265     -24.6250
1bcu_ligand_294     -22.7700
1bcu_ligand_298     -25.8885
1bcu_ligand_299     -29.4522
1bcu_ligand_302     -30.1183
1bcu_ligand_303     -35.0152
1bcu_ligand_311     -34.2694
1bcu_ligand_315     -32.4085
1bcu_ligand_316     -33.7010
1bcu_ligand_317     -34.1286
1bcu_ligand_320     -31.9689
1bcu_ligand_331     -34.4505
1bcu_ligand_339     -29.1233
1bcu_ligand_346     -31.3820
1bcu_ligand_347     -36.1533
1bcu_ligand_351     -23.4272
1bcu_ligand_353     -22.2733
1bcu_ligand_355     -18.7490
1bcu_ligand_357     -18.8702
1bcu_ligand_360     -16.4802
1bcu_ligand_363     -16.0907
1bcu_ligand_365     -15.9753
1bcu_ligand_366     -17.8761
1bcu_ligand_369     -14.6948
1bcu_ligand_370     -16.7883
1bcu_ligand_372     -17.3041
1bcu_ligand_373     -15.1045
1bcu_ligand_376     -13.4746
1bcu_ligand_377     -16.6761
1bcu_ligand_379     -14.2108
1bcu_ligand_380     -16.1860
1bcu_ligand_381     -16.5332
1bcu_ligand_382     -13.6278
1bcu_ligand_383     -16.7255
1bcu_ligand_384     -16.0573
1bcu_ligand_385     -16.8242
1bcu_ligand_386     -17.1886
1bcu_ligand_387     -12.4248
1bcu_ligand_388     -12.6312
1bcu_ligand_389     -14.1081
1bcu_ligand_391     -14.1547
1bcu_ligand_392     -13.0917
1bcu_ligand_393     -13.1376
1bcu_ligand_394     -14.0083
1bcu_ligand_395     -11.7977
1bcu_ligand_396     -15.9701
1bcu_ligand_397     -12.0966
1bcu_ligand_398     -13.4166
1bcu_ligand_400     -11.7614
1bcu_ligand_405     -20.9297
1bcu_ligand_407     -18.3168
1bcu_ligand_409     -15.6357
1bcu_ligand_420     -16.2583
1bcu_ligand_421     -18.7369
1bcu_ligand_429     -17.2913
1bcu_ligand_434     -14.1477
1bcu_ligand_435     -17.6481
1bcu_ligand_436     -17.5812
1bcu_ligand_438     -18.3575
1bcu_ligand_440     -16.5315
1bcu_ligand_444     -22.2216
1bcu_ligand_447     -16.2395
1bcu_ligand_448     -14.6503
1bcu_ligand_449     -17.4777
1bcu_ligand_453     -17.8582
1bcu_ligand_459     -18.4894
1bcu_ligand_484     -19.2728
1bcu_ligand_488     -15.6116
1bcu_ligand_491     -17.1840
1bcu_ligand_492     -17.3022
1bcu_ligand_494     -17.4776
1bcu_ligand_495     -17.1509
1bzc_ligand_10      -16.9149
1bzc_ligand_105     -23.1772
1bzc_ligand_115     -18.1611
1bzc_ligand_123     -19.4986
1bzc_ligand_127     -16.2380
1bzc_ligand_136     -12.9775
1bzc_ligand_150     -20.2937
1bzc_ligand_155     -21.6871
1bzc_ligand_160     -19.8820
1bzc_ligand_166     -20.5588
1bzc_ligand_173     -20.2597
1bzc_ligand_178     -19.9558
1bzc_ligand_180     -20.5380
1bzc_ligand_181     -20.9954
1bzc_ligand_182     -22.4744
1bzc_ligand_183     -19.0745
1bzc_ligand_186     -22.6255
1bzc_ligand_187     -19.4594
1bzc_ligand_188     -19.7390
1bzc_ligand_196     -22.0517
1bzc_ligand_199     -23.5774
1bzc_ligand_204     -18.2118
1bzc_ligand_205     -12.8219
1bzc_ligand_209     -11.4199
1bzc_ligand_212     -12.8380
1bzc_ligand_214     -16.0386
1bzc_ligand_215     -17.1325
1bzc_ligand_216     -11.1319
1bzc_ligand_219     -18.4902
1bzc_ligand_220     -19.3034
1bzc_ligand_223     -16.4803
1bzc_ligand_224     -8.2794 
1bzc_ligand_226     -22.1934
1bzc_ligand_227     -23.7717
1bzc_ligand_231     -16.3362
1bzc_ligand_232     -15.7306
1bzc_ligand_233     -10.2939
1bzc_ligand_234     -17.2797
1bzc_ligand_235     -13.8130
1bzc_ligand_236     -18.0559
1bzc_ligand_237     -12.7347
1bzc_ligand_239     -19.9668
1bzc_ligand_240     -18.7439
1bzc_ligand_242     -15.2014
1bzc_ligand_243     -17.8606
1bzc_ligand_244     -20.7749
1bzc_ligand_247     -12.8780
1bzc_ligand_249     -13.9425
1bzc_ligand_256     -19.8233
1bzc_ligand_258     -22.8369
1bzc_ligand_26      -20.9016
1bzc_ligand_267     -22.2216
1bzc_ligand_271     -23.2643
1bzc_ligand_274     -21.5234
1bzc_ligand_278     -19.6569
1bzc_ligand_282     -23.2525
1bzc_ligand_285     -18.7772
1bzc_ligand_286     -19.4116
1bzc_ligand_287     -22.3266
1bzc_ligand_289     -18.6200
1bzc_ligand_293     -20.4421
1bzc_ligand_298     -17.0211
1bzc_ligand_300     -22.7959
1bzc_ligand_303     -17.9738
1bzc_ligand_304     -21.7338
1bzc_ligand_309     -19.5995
1bzc_ligand_314     -21.3831
1bzc_ligand_315     -21.3851
1bzc_ligand_317     -19.3845
1bzc_ligand_319     -20.0205
1bzc_ligand_32      -17.4267
1bzc_ligand_321     -21.2333
1bzc_ligand_323     -12.6181
1bzc_ligand_324     -19.3286
1bzc_ligand_331     -17.7415
1bzc_ligand_332     -20.7628
1bzc_ligand_333     -15.1140
1bzc_ligand_340     -17.9540
1bzc_ligand_342     -22.1135
1bzc_ligand_344     -20.0824
1bzc_ligand_346     -19.8122
1bzc_ligand_348     -17.5366
1bzc_ligand_349     -17.6054
1bzc_ligand_364     -21.8796
1bzc_ligand_380     -19.7466
1bzc_ligand_385     -10.9788
1bzc_ligand_397     -16.4129
1bzc_ligand_45      -21.0097
1bzc_ligand_46      -19.2034
1bzc_ligand_480     -20.5862
1bzc_ligand_481     -20.7085
1bzc_ligand_49      -20.6612
1bzc_ligand_52      -17.2711
1bzc_ligand_53      -23.3312
1bzc_ligand_54      -22.7406
1bzc_ligand_58      -24.7992
1bzc_ligand_61      -18.5965
1bzc_ligand_64      -24.3106
1bzc_ligand_92      -20.5093
1bzc_ligand_98      -18.5754
1c5z_ligand_105     -19.0902
1c5z_ligand_126     -18.6549
1c5z_ligand_156     -19.1791
1c5z_ligand_178     -19.5817
1c5z_ligand_179     -19.2064
1c5z_ligand_180     -19.4359
1c5z_ligand_183     -19.6781
1c5z_ligand_188     -18.1730
1c5z_ligand_189     -19.7489
1c5z_ligand_192     -19.5225
1c5z_ligand_193     -18.5307
1c5z_ligand_194     -18.0353
1c5z_ligand_195     -18.9442
1c5z_ligand_197     -19.4469
1c5z_ligand_200     -17.3609
1c5z_ligand_205     -19.8301
1c5z_ligand_206     -19.9869
1c5z_ligand_209     -19.7507
1c5z_ligand_211     -19.8889
1c5z_ligand_213     -19.8455
1c5z_ligand_216     -20.0091
1c5z_ligand_218     -18.2075
1c5z_ligand_229     -15.5211
1c5z_ligand_230     -16.2099
1c5z_ligand_231     -19.1982
1c5z_ligand_232     -19.0344
1c5z_ligand_233     -19.1127
1c5z_ligand_234     -20.0329
1c5z_ligand_235     -17.5877
1c5z_ligand_237     -16.3603
1c5z_ligand_239     -19.9761
1c5z_ligand_240     -19.8317
1c5z_ligand_246     -19.9295
1c5z_ligand_249     -16.4544
1c5z_ligand_250     -19.9398
1c5z_ligand_253     -14.9086
1c5z_ligand_255     -13.9286
1c5z_ligand_257     -13.1582
1c5z_ligand_261     -9.3416 
1c5z_ligand_264     -19.2911
1c5z_ligand_265     -17.3960
1c5z_ligand_266     -11.1816
1c5z_ligand_270     -16.8054
1c5z_ligand_277     -14.3840
1c5z_ligand_278     -13.8166
1c5z_ligand_279     -11.6650
1c5z_ligand_280     -14.7141
1c5z_ligand_281     -19.7010
1c5z_ligand_282     -16.5785
1c5z_ligand_283     -16.5428
1c5z_ligand_288     -16.7303
1c5z_ligand_289     -11.7487
1c5z_ligand_290     -12.8850
1c5z_ligand_293     -10.6102
1c5z_ligand_295     -16.3340
1c5z_ligand_296     -14.1950
1c5z_ligand_3       -19.1797
1c5z_ligand_300     -12.6426
1c5z_ligand_301     -19.9475
1c5z_ligand_302     -19.7938
1c5z_ligand_308     -19.6241
1c5z_ligand_309     -19.5582
1c5z_ligand_310     -19.6507
1c5z_ligand_312     -19.9983
1c5z_ligand_319     -18.0604
1c5z_ligand_32      -19.1656
1c5z_ligand_321     -19.6531
1c5z_ligand_322     -18.9003
1c5z_ligand_328     -19.7675
1c5z_ligand_331     -20.1831
1c5z_ligand_333     -19.1437
1c5z_ligand_337     -17.7582
1c5z_ligand_340     -18.8173
1c5z_ligand_342     -19.0525
1c5z_ligand_344     -18.3855
1c5z_ligand_346     -17.2944
1c5z_ligand_350     -20.5193
1c5z_ligand_367     -11.9935
1c5z_ligand_370     -13.7111
1c5z_ligand_377     -16.7636
1c5z_ligand_384     -11.9558
1c5z_ligand_386     -15.2215
1c5z_ligand_390     -17.0293
1c5z_ligand_392     -16.3635
1c5z_ligand_394     -13.2111
1c5z_ligand_395     -13.2909
1c5z_ligand_397     -15.5866
1c5z_ligand_398     -12.3520
1c5z_ligand_399     -14.3443
1c5z_ligand_427     -16.1010
1c5z_ligand_439     -15.9398
1c5z_ligand_440     -14.9041
1c5z_ligand_442     -15.5086
1c5z_ligand_446     -16.4496
1c5z_ligand_472     -20.0541
1c5z_ligand_48      -19.4066
1c5z_ligand_483     -17.8595
1c5z_ligand_63      -19.6769
1c5z_ligand_66      -20.0187
1c5z_ligand_86      -19.9187
1e66_ligand_120     -24.1303
1e66_ligand_138     -29.6037
1e66_ligand_139     -23.2376
1e66_ligand_142     -23.6603
1e66_ligand_144     -22.7688
1e66_ligand_160     -45.1823
1e66_ligand_161     -45.5229
1e66_ligand_163     -44.2146
1e66_ligand_164     -41.1750
1e66_ligand_166     -41.8978
1e66_ligand_167     -43.1779
1e66_ligand_168     -42.4980
1e66_ligand_177     -40.8479
1e66_ligand_178     -42.8497
1e66_ligand_183     -44.0557
1e66_ligand_185     -43.7626
1e66_ligand_187     -40.9046
1e66_ligand_190     -43.2165
1e66_ligand_191     -43.9371
1e66_ligand_192     -38.2403
1e66_ligand_194     -44.5639
1e66_ligand_195     -44.2330
1e66_ligand_197     -42.2015
1e66_ligand_198     -44.8382
1e66_ligand_200     -45.2691
1e66_ligand_204     -21.1879
1e66_ligand_207     -22.2743
1e66_ligand_210     -28.3199
1e66_ligand_214     -19.3383
1e66_ligand_216     -20.0111
1e66_ligand_219     -16.9327
1e66_ligand_220     -23.9707
1e66_ligand_221     -11.2188
1e66_ligand_222     -12.1617
1e66_ligand_227     -13.3004
1e66_ligand_229     -26.4848
1e66_ligand_231     -21.1873
1e66_ligand_232     -14.8047
1e66_ligand_233     -20.4589
1e66_ligand_235     -24.3823
1e66_ligand_236     -19.2135
1e66_ligand_238     -32.3314
1e66_ligand_241     -25.6816
1e66_ligand_243     -15.8506
1e66_ligand_245     -25.4201
1e66_ligand_246     -33.0141
1e66_ligand_247     -25.8673
1e66_ligand_248     -26.0591
1e66_ligand_254     -30.3112
1e66_ligand_258     -30.9320
1e66_ligand_261     -32.6623
1e66_ligand_267     -25.1320
1e66_ligand_268     -27.1858
1e66_ligand_269     -26.9480
1e66_ligand_277     -30.3458
1e66_ligand_281     -45.6794
1e66_ligand_285     -38.1106
1e66_ligand_287     -27.4233
1e66_ligand_288     -30.7504
1e66_ligand_289     -45.6755
1e66_ligand_290     -29.9938
1e66_ligand_291     -36.9625
1e66_ligand_294     -41.6874
1e66_ligand_295     -19.5419
1e66_ligand_297     -25.6138
1e66_ligand_3       -40.3071
1e66_ligand_300     -36.2384
1e66_ligand_314     -36.0131
1e66_ligand_315     -34.7942
1e66_ligand_327     -34.2867
1e66_ligand_333     -35.5144
1e66_ligand_334     -29.6827
1e66_ligand_337     -35.3155
1e66_ligand_339     -42.2741
1e66_ligand_34      -23.7404
1e66_ligand_341     -26.2777
1e66_ligand_342     -28.3534
1e66_ligand_343     -22.9697
1e66_ligand_347     -32.8465
1e66_ligand_369     -17.5192
1e66_ligand_371     -19.6613
1e66_ligand_375     -15.5043
1e66_ligand_377     -17.2577
1e66_ligand_382     -19.3558
1e66_ligand_384     -15.0780
1e66_ligand_385     -16.0510
1e66_ligand_386     -12.2956
1e66_ligand_390     -15.2864
1e66_ligand_396     -21.1943
1e66_ligand_397     -15.9691
1e66_ligand_399     -18.5111
1e66_ligand_42      -31.4914
1e66_ligand_426     -19.4029
1e66_ligand_427     -24.6686
1e66_ligand_476     -23.5998
1e66_ligand_497     -20.9219
1e66_ligand_498     -16.4412
1e66_ligand_67      -43.9285
1e66_ligand_7       -23.0100
1e66_ligand_8       -28.9691
1eby_ligand_100     -18.7248
1eby_ligand_103     -23.1462
1eby_ligand_104     -18.4324
1eby_ligand_105     -20.0352
1eby_ligand_108     -21.0523
1eby_ligand_11      -14.6290
1eby_ligand_110     -14.5771
1eby_ligand_111     -19.5315
1eby_ligand_114     -21.1579
1eby_ligand_115     -15.6665
1eby_ligand_117     -22.9049
1eby_ligand_119     -21.4152
1eby_ligand_12      -15.7108
1eby_ligand_120     -20.1796
1eby_ligand_121     -49.2029
1eby_ligand_122     -22.0371
1eby_ligand_123     -25.9936
1eby_ligand_125     -25.1388
1eby_ligand_127     -19.9385
1eby_ligand_128     -19.6811
1eby_ligand_135     -20.9551
1eby_ligand_137     -19.8966
1eby_ligand_145     -18.5086
1eby_ligand_146     -15.3763
1eby_ligand_148     -24.3928
1eby_ligand_150     -15.9504
1eby_ligand_160     -61.8122
1eby_ligand_162     -47.6165
1eby_ligand_166     -61.2221
1eby_ligand_173     -48.1249
1eby_ligand_175     -60.1680
1eby_ligand_182     -57.8009
1eby_ligand_189     -52.8476
1eby_ligand_191     -56.0481
1eby_ligand_192     -53.0576
1eby_ligand_195     -40.8972
1eby_ligand_2       -21.7685
1eby_ligand_206     -12.6434
1eby_ligand_211     -19.2326
1eby_ligand_212     -16.8565
1eby_ligand_216     -13.2851
1eby_ligand_222     -16.1760
1eby_ligand_223     -9.4135 
1eby_ligand_224     -7.6888 
1eby_ligand_228     -18.1966
1eby_ligand_231     -9.6839 
1eby_ligand_233     -28.7698
1eby_ligand_239     -21.0710
1eby_ligand_241     -11.8028
1eby_ligand_242     -21.3543
1eby_ligand_243     -8.3067 
1eby_ligand_244     -23.5563
1eby_ligand_247     -14.0931
1eby_ligand_25      -15.0820
1eby_ligand_260     -32.7139
1eby_ligand_278     -37.2171
1eby_ligand_280     -31.7867
1eby_ligand_283     -25.4045
1eby_ligand_287     -17.9970
1eby_ligand_293     -14.5650
1eby_ligand_31      -13.9176
1eby_ligand_330     -27.5464
1eby_ligand_344     -30.7171
1eby_ligand_35      -18.4917
1eby_ligand_368     -22.6835
1eby_ligand_369     -25.9294
1eby_ligand_379     -25.4705
1eby_ligand_381     -25.2523
1eby_ligand_390     -22.9062
1eby_ligand_393     -23.6145
1eby_ligand_396     -16.4187
1eby_ligand_397     -23.5547
1eby_ligand_4       -15.6650
1eby_ligand_404     -32.5746
1eby_ligand_410     -33.2221
1eby_ligand_417     -32.6764
1eby_ligand_424     -33.4851
1eby_ligand_44      -18.6684
1eby_ligand_440     -24.5587
1eby_ligand_443     -31.5909
1eby_ligand_445     -26.2118
1eby_ligand_448     -28.1656
1eby_ligand_450     -31.5202
1eby_ligand_55      -22.6678
1eby_ligand_6       -13.3687
1eby_ligand_68      -32.9500
1eby_ligand_7       -20.3908
1eby_ligand_71      -57.8408
1eby_ligand_75      -22.6541
1eby_ligand_79      -43.2736
1eby_ligand_8       -11.3994
1eby_ligand_81      -20.5996
1eby_ligand_82      -15.8983
1eby_ligand_84      -19.6389
1eby_ligand_86      -22.0019
1eby_ligand_9       -17.1927
1eby_ligand_91      -22.9202
1eby_ligand_92      -24.4728
1eby_ligand_97      -20.2828
1eby_ligand_98      -26.8644
1g2k_ligand_104     -25.2863
1g2k_ligand_106     -20.1250
1g2k_ligand_107     -17.3041
1g2k_ligand_114     -24.0040
1g2k_ligand_115     -21.2773
1g2k_ligand_116     -22.8694
1g2k_ligand_117     -16.5180
1g2k_ligand_118     -21.5403
1g2k_ligand_124     -29.4841
1g2k_ligand_125     -19.7506
1g2k_ligand_133     -24.3263
1g2k_ligand_135     -30.1463
1g2k_ligand_14      -22.7633
1g2k_ligand_142     -24.7991
1g2k_ligand_147     -22.7971
1g2k_ligand_150     -17.2834
1g2k_ligand_164     -44.1868
1g2k_ligand_17      -24.9909
1g2k_ligand_171     -59.3969
1g2k_ligand_172     -57.8211
1g2k_ligand_174     -51.6293
1g2k_ligand_182     -61.7786
1g2k_ligand_193     -59.3001
1g2k_ligand_197     -48.4112
1g2k_ligand_20      -19.0688
1g2k_ligand_205     -16.2209
1g2k_ligand_211     -17.0523
1g2k_ligand_213     -14.9452
1g2k_ligand_214     -13.3663
1g2k_ligand_217     -22.3819
1g2k_ligand_218     -15.6201
1g2k_ligand_231     -14.9512
1g2k_ligand_235     -10.6943
