#code_ligand_num    score   
1a30_ligand_10      -76.0641
1a30_ligand_100     -88.2742
1a30_ligand_104     -110.6270
1a30_ligand_106     -117.7472
1a30_ligand_110     -90.3581
1a30_ligand_115     -72.6309
1a30_ligand_120     -56.6617
1a30_ligand_121     -88.2455
1a30_ligand_122     -115.4320
1a30_ligand_124     -97.4702
1a30_ligand_125     -66.0861
1a30_ligand_127     -101.7756
1a30_ligand_14      -62.5283
1a30_ligand_140     -102.2019
1a30_ligand_15      -89.9750
1a30_ligand_152     -117.0625
1a30_ligand_16      -79.0175
1a30_ligand_162     -120.8550
1a30_ligand_164     -128.7928
1a30_ligand_171     -100.8865
1a30_ligand_173     -115.1530
1a30_ligand_179     -132.6185
1a30_ligand_183     -146.8839
1a30_ligand_19      -87.7123
1a30_ligand_197     -100.7315
1a30_ligand_203     -56.4202
1a30_ligand_204     -26.0990
1a30_ligand_205     -45.0082
1a30_ligand_207     -73.7228
1a30_ligand_209     -41.4418
1a30_ligand_215     -67.8986
1a30_ligand_220     -89.4368
1a30_ligand_222     -55.1663
1a30_ligand_224     -67.4920
1a30_ligand_226     -29.1037
1a30_ligand_227     -63.5978
1a30_ligand_229     -35.2498
1a30_ligand_231     -92.5830
1a30_ligand_235     -107.5908
1a30_ligand_236     -73.7636
1a30_ligand_24      -62.7444
1a30_ligand_240     -63.8134
1a30_ligand_241     -77.9850
1a30_ligand_262     -145.4416
1a30_ligand_265     -142.6573
1a30_ligand_268     -111.3548
1a30_ligand_27      -93.9873
1a30_ligand_279     -92.4889
1a30_ligand_28      -82.4042
1a30_ligand_283     -109.2861
1a30_ligand_285     -107.6890
1a30_ligand_289     -94.1758
1a30_ligand_290     -92.2597
1a30_ligand_296     -132.5341
1a30_ligand_30      -90.6438
1a30_ligand_300     -89.8011
1a30_ligand_301     -111.5010
1a30_ligand_302     -141.7815
1a30_ligand_31      -38.0144
1a30_ligand_310     -128.2341
1a30_ligand_313     -123.8532
1a30_ligand_314     -137.0191
1a30_ligand_317     -127.3421
1a30_ligand_319     -118.4605
1a30_ligand_320     -115.1636
1a30_ligand_323     -101.7894
1a30_ligand_327     -141.4680
1a30_ligand_33      -77.7890
1a30_ligand_330     -103.9021
1a30_ligand_332     -114.4479
1a30_ligand_335     -89.8617
1a30_ligand_337     -89.4229
1a30_ligand_341     -169.4367
1a30_ligand_346     -115.1006
1a30_ligand_349     -101.0681
1a30_ligand_35      -96.4984
1a30_ligand_369     -129.9808
1a30_ligand_378     -140.4645
1a30_ligand_38      -78.0440
1a30_ligand_387     -75.2513
1a30_ligand_4       -48.7527
1a30_ligand_403     -124.2888
1a30_ligand_42      -49.6056
1a30_ligand_441     -50.3943
1a30_ligand_446     -81.7752
1a30_ligand_463     -147.6323
1a30_ligand_48      -84.3281
1a30_ligand_490     -65.9436
1a30_ligand_5       -76.3085
1a30_ligand_54      -68.2111
1a30_ligand_59      -105.5523
1a30_ligand_61      -69.3160
1a30_ligand_64      -75.3185
1a30_ligand_66      -28.0756
1a30_ligand_68      -104.0450
1a30_ligand_70      -49.9763
1a30_ligand_8       -67.3288
1a30_ligand_86      -99.4157
1a30_ligand_87      -78.7494
1a30_ligand_9       -76.3474
1bcu_ligand_122     -73.8636
1bcu_ligand_137     -84.0988
1bcu_ligand_154     -62.9028
1bcu_ligand_158     -70.5179
1bcu_ligand_160     -71.2811
1bcu_ligand_167     -63.2871
1bcu_ligand_168     -58.2294
1bcu_ligand_199     -97.4019
1bcu_ligand_202     -92.9866
1bcu_ligand_214     -63.5441
1bcu_ligand_215     -88.8198
1bcu_ligand_223     -68.6036
1bcu_ligand_227     -78.9555
1bcu_ligand_231     -68.2980
1bcu_ligand_233     -73.0208
1bcu_ligand_234     -81.0464
1bcu_ligand_241     -83.7265
1bcu_ligand_259     -67.5867
1bcu_ligand_277     -64.8249
1bcu_ligand_283     -69.3419
1bcu_ligand_284     -51.3270
1bcu_ligand_285     -70.2455
1bcu_ligand_301     -90.4701
1bcu_ligand_309     -91.0847
1bcu_ligand_310     -97.6887
1bcu_ligand_328     -85.0917
1bcu_ligand_335     -75.8492
1bcu_ligand_351     -79.1877
1bcu_ligand_352     -69.3461
1bcu_ligand_354     -48.3698
1bcu_ligand_357     -37.3851
1bcu_ligand_358     -54.1509
1bcu_ligand_364     -38.3334
1bcu_ligand_365     -46.3966
1bcu_ligand_366     -49.4385
1bcu_ligand_367     -25.6592
1bcu_ligand_368     -48.3900
1bcu_ligand_369     -40.3157
1bcu_ligand_370     -39.2589
1bcu_ligand_371     -59.6318
1bcu_ligand_372     -36.9533
1bcu_ligand_373     -29.8422
1bcu_ligand_374     -43.2312
1bcu_ligand_376     -39.1559
1bcu_ligand_377     -37.6144
1bcu_ligand_378     -29.7105
1bcu_ligand_379     -29.1636
1bcu_ligand_380     -41.2539
1bcu_ligand_381     -37.8263
1bcu_ligand_384     -41.0669
1bcu_ligand_385     -32.3075
1bcu_ligand_386     -48.2955
1bcu_ligand_387     -38.1994
1bcu_ligand_388     -55.4894
1bcu_ligand_389     -54.8720
1bcu_ligand_390     -29.0495
1bcu_ligand_391     -26.1531
1bcu_ligand_392     -38.3130
1bcu_ligand_393     -49.1831
1bcu_ligand_395     -38.2658
1bcu_ligand_397     -31.8845
1bcu_ligand_398     -35.2892
1bcu_ligand_399     -19.4608
1bcu_ligand_400     -44.4360
1bcu_ligand_407     -80.8595
1bcu_ligand_409     -60.2214
1bcu_ligand_415     -69.8507
1bcu_ligand_417     -67.5254
1bcu_ligand_418     -71.1344
1bcu_ligand_419     -67.5580
1bcu_ligand_421     -52.1721
1bcu_ligand_424     -58.7414
1bcu_ligand_426     -57.7476
1bcu_ligand_428     -48.2959
1bcu_ligand_429     -49.9973
1bcu_ligand_432     -42.6230
1bcu_ligand_433     -47.3393
1bcu_ligand_435     -30.2437
1bcu_ligand_438     -61.9819
1bcu_ligand_442     -47.8979
1bcu_ligand_444     -54.9812
1bcu_ligand_446     -42.6514
1bcu_ligand_448     -42.6559
1bcu_ligand_450     -24.8901
1bcu_ligand_452     -84.7818
1bcu_ligand_453     -73.4926
1bcu_ligand_456     -79.2310
1bcu_ligand_458     -75.2320
1bcu_ligand_466     -74.6080
1bcu_ligand_467     -79.1872
1bcu_ligand_468     -69.0999
1bcu_ligand_473     -74.5524
1bcu_ligand_474     -64.0917
1bcu_ligand_481     -67.7352
1bcu_ligand_485     -61.5977
1bcu_ligand_488     -76.0912
1bcu_ligand_493     -68.2198
1bcu_ligand_497     -67.0514
1bcu_ligand_499     -45.2533
1bcu_ligand_64      -85.0772
1bzc_ligand_1       -57.9084
1bzc_ligand_100     -76.6470
1bzc_ligand_105     -67.7153
1bzc_ligand_110     -90.5241
1bzc_ligand_115     -99.9541
1bzc_ligand_122     -50.2218
1bzc_ligand_149     -65.6143
1bzc_ligand_154     -53.7157
1bzc_ligand_157     -119.7200
1bzc_ligand_158     -110.7321
1bzc_ligand_161     -107.9266
1bzc_ligand_163     -95.4928
1bzc_ligand_166     -134.2349
1bzc_ligand_167     -139.8649
1bzc_ligand_170     -117.2510
1bzc_ligand_173     -97.1216
1bzc_ligand_177     -100.4813
1bzc_ligand_179     -130.4347
1bzc_ligand_18      -65.0488
1bzc_ligand_180     -99.1874
1bzc_ligand_181     -103.4336
1bzc_ligand_182     -138.3060
1bzc_ligand_183     -118.1065
1bzc_ligand_187     -125.9814
1bzc_ligand_19      -86.5434
1bzc_ligand_190     -73.8760
1bzc_ligand_196     -98.6002
1bzc_ligand_198     -74.3034
1bzc_ligand_201     -46.6358
1bzc_ligand_206     -65.3596
1bzc_ligand_212     -63.4270
1bzc_ligand_217     -63.5272
1bzc_ligand_220     -64.7545
1bzc_ligand_223     -41.9654
1bzc_ligand_225     -42.6347
1bzc_ligand_226     -45.4070
1bzc_ligand_230     -48.7200
