#code_ligand_num    score   
1a30_ligand_1       -105.1787
1a30_ligand_10      -132.1079
1a30_ligand_102     -137.1990
1a30_ligand_103     -108.8935
1a30_ligand_106     -79.9482
1a30_ligand_109     -117.5107
1a30_ligand_111     -100.2876
1a30_ligand_114     -140.8011
1a30_ligand_115     -156.4806
1a30_ligand_116     -110.8352
1a30_ligand_121     -121.7860
1a30_ligand_123     -111.1267
1a30_ligand_126     -138.5734
1a30_ligand_13      -122.4015
1a30_ligand_130     -109.9781
1a30_ligand_131     -128.7312
1a30_ligand_147     -100.5536
1a30_ligand_151     -175.0436
1a30_ligand_16      -106.8438
1a30_ligand_165     -145.7110
1a30_ligand_169     -156.3223
1a30_ligand_182     -160.6226
1a30_ligand_186     -190.9339
1a30_ligand_188     -192.8995
1a30_ligand_190     -159.3355
1a30_ligand_191     -196.5107
1a30_ligand_195     -190.0158
1a30_ligand_198     -163.0184
1a30_ligand_203     -154.6018
1a30_ligand_208     -161.0656
1a30_ligand_215     -137.5525
1a30_ligand_219     -105.4041
1a30_ligand_22      -148.4484
1a30_ligand_226     -119.7943
1a30_ligand_228     -103.4290
1a30_ligand_231     -95.7511
1a30_ligand_234     -95.1608
1a30_ligand_239     -113.2550
1a30_ligand_242     -115.3214
1a30_ligand_243     -117.1455
1a30_ligand_245     -113.0032
1a30_ligand_246     -114.8782
1a30_ligand_249     -130.3336
1a30_ligand_25      -129.2795
1a30_ligand_259     -93.5367
1a30_ligand_268     -166.0662
1a30_ligand_269     -121.4261
1a30_ligand_27      -143.3827
1a30_ligand_271     -150.4339
1a30_ligand_272     -165.2189
1a30_ligand_280     -123.1120
1a30_ligand_284     -144.3472
1a30_ligand_29      -118.5483
1a30_ligand_291     -135.1807
1a30_ligand_296     -137.0838
1a30_ligand_307     -173.1463
1a30_ligand_319     -179.8324
1a30_ligand_32      -103.4210
1a30_ligand_328     -186.5646
1a30_ligand_336     -145.9006
1a30_ligand_341     -152.4384
1a30_ligand_342     -150.2053
1a30_ligand_349     -137.0535
1a30_ligand_350     -137.6910
1a30_ligand_366     -140.2059
1a30_ligand_376     -143.2682
1a30_ligand_380     -91.1981
1a30_ligand_39      -114.1322
1a30_ligand_395     -139.6055
1a30_ligand_402     -126.6018
1a30_ligand_403     -108.1765
1a30_ligand_416     -132.3655
1a30_ligand_421     -142.2818
1a30_ligand_438     -121.7187
1a30_ligand_458     -135.8647
1a30_ligand_47      -125.3296
1a30_ligand_475     -130.3168
1a30_ligand_479     -100.2712
1a30_ligand_48      -136.9067
1a30_ligand_497     -138.7463
1a30_ligand_55      -77.5852
1a30_ligand_58      -101.3811
1a30_ligand_60      -88.8222
1a30_ligand_61      -120.6556
1a30_ligand_63      -102.1887
1a30_ligand_64      -112.0875
1a30_ligand_65      -96.1007
1a30_ligand_69      -89.0615
1a30_ligand_7       -137.5060
1a30_ligand_72      -135.7191
1a30_ligand_74      -14.3482
1a30_ligand_80      -113.3308
1a30_ligand_82      -115.3096
1a30_ligand_86      -85.3641
1a30_ligand_87      -75.5002
1a30_ligand_88      -87.3202
1a30_ligand_9       -103.1307
1a30_ligand_90      -96.6666
1a30_ligand_92      -171.1693
1a30_ligand_96      -68.6294
1bcu_ligand_109     -56.3342
1bcu_ligand_139     -75.3077
1bcu_ligand_159     -66.7362
1bcu_ligand_165     -71.2244
1bcu_ligand_168     -75.9508
1bcu_ligand_190     -62.5198
1bcu_ligand_192     -75.0313
1bcu_ligand_195     -55.1797
1bcu_ligand_201     -59.0751
1bcu_ligand_205     -38.4088
1bcu_ligand_207     -53.4277
1bcu_ligand_21      -66.2459
1bcu_ligand_212     -67.1001
1bcu_ligand_213     -54.1418
1bcu_ligand_215     -54.9574
1bcu_ligand_220     -62.2305
1bcu_ligand_222     -44.7671
1bcu_ligand_224     -53.4205
1bcu_ligand_225     -48.7835
1bcu_ligand_227     -54.2289
1bcu_ligand_228     -46.5862
1bcu_ligand_233     -51.5501
1bcu_ligand_234     -54.6666
1bcu_ligand_241     -39.7805
1bcu_ligand_242     -57.1221
1bcu_ligand_250     -50.5984
1bcu_ligand_255     -74.7547
1bcu_ligand_260     -53.3997
1bcu_ligand_266     -67.4450
1bcu_ligand_282     -57.0147
1bcu_ligand_283     -59.6491
1bcu_ligand_285     -68.3856
1bcu_ligand_291     -59.1040
1bcu_ligand_293     -56.0079
1bcu_ligand_294     -65.0998
1bcu_ligand_295     -70.5161
1bcu_ligand_308     -56.7616
1bcu_ligand_313     -60.8420
1bcu_ligand_318     -73.6758
1bcu_ligand_336     -58.5064
1bcu_ligand_342     -57.2029
1bcu_ligand_344     -78.6564
1bcu_ligand_347     -52.3516
1bcu_ligand_350     -74.4945
1bcu_ligand_351     -73.1498
1bcu_ligand_354     -70.2642
1bcu_ligand_357     -64.3568
1bcu_ligand_361     -34.3177
1bcu_ligand_363     -39.0765
1bcu_ligand_364     -33.9637
1bcu_ligand_368     -34.3175
1bcu_ligand_369     -37.3535
1bcu_ligand_372     -33.5305
1bcu_ligand_377     -44.7975
1bcu_ligand_379     -29.6783
1bcu_ligand_380     -25.7176
1bcu_ligand_381     -28.6905
1bcu_ligand_382     -38.3827
1bcu_ligand_383     -39.5968
1bcu_ligand_384     -31.4229
1bcu_ligand_385     -29.3729
1bcu_ligand_386     -36.0428
1bcu_ligand_387     -56.4454
1bcu_ligand_388     -38.0836
1bcu_ligand_389     -32.7744
1bcu_ligand_390     -26.3182
1bcu_ligand_391     -28.2962
1bcu_ligand_392     -28.9821
1bcu_ligand_393     -32.3150
1bcu_ligand_394     -43.5747
1bcu_ligand_395     -31.3936
1bcu_ligand_396     -36.7604
1bcu_ligand_397     -28.3614
1bcu_ligand_398     -46.0798
1bcu_ligand_399     -14.9673
1bcu_ligand_400     -21.0540
1bcu_ligand_401     -60.3294
1bcu_ligand_406     -63.6170
1bcu_ligand_411     -68.7588
1bcu_ligand_417     -51.7059
1bcu_ligand_418     -49.9088
1bcu_ligand_423     -37.4177
1bcu_ligand_430     -29.6303
1bcu_ligand_433     -44.5759
1bcu_ligand_435     -29.0501
1bcu_ligand_436     -42.7021
1bcu_ligand_437     -29.9066
1bcu_ligand_44      -56.9659
1bcu_ligand_452     -77.2286
1bcu_ligand_482     -49.5363
1bcu_ligand_483     -40.5079
1bcu_ligand_484     -53.3590
1bcu_ligand_487     -37.4712
1bcu_ligand_491     -59.3054
1bcu_ligand_492     -60.6337
1bcu_ligand_496     -40.2684
1bcu_ligand_498     -46.6563
1bcu_ligand_499     -42.0813
1bcu_ligand_65      -67.3350
1bcu_ligand_88      -46.4759
1bzc_ligand_10      -160.8508
1bzc_ligand_113     -146.6174
1bzc_ligand_116     -155.1447
1bzc_ligand_12      -183.1522
1bzc_ligand_128     -158.2526
1bzc_ligand_13      -166.7492
1bzc_ligand_133     -178.3390
1bzc_ligand_134     -143.8722
1bzc_ligand_138     -133.5394
1bzc_ligand_148     -152.6660
1bzc_ligand_157     -194.4722
1bzc_ligand_158     -225.1878
1bzc_ligand_160     -162.6293
1bzc_ligand_162     -170.2449
1bzc_ligand_167     -189.3788
1bzc_ligand_172     -186.9535
1bzc_ligand_174     -195.9011
1bzc_ligand_175     -142.1061
1bzc_ligand_179     -180.3108
1bzc_ligand_182     -150.5940
1bzc_ligand_188     -181.4174
1bzc_ligand_190     -222.0550
1bzc_ligand_191     -186.1434
1bzc_ligand_192     -188.9991
1bzc_ligand_193     -195.3125
1bzc_ligand_196     -152.8688
1bzc_ligand_199     -176.2286
1bzc_ligand_201     -181.9629
1bzc_ligand_204     -126.4215
1bzc_ligand_205     -153.8040
1bzc_ligand_206     -153.8594
1bzc_ligand_208     -151.4874
1bzc_ligand_209     -126.7830
1bzc_ligand_213     -138.8628
1bzc_ligand_215     -121.4260
1bzc_ligand_216     -157.9380
1bzc_ligand_217     -139.1113
1bzc_ligand_218     -136.1076
1bzc_ligand_219     -119.3180
1bzc_ligand_220     -157.0215
1bzc_ligand_221     -126.0021
1bzc_ligand_227     -114.6728
1bzc_ligand_228     -113.2040
1bzc_ligand_229     -133.8537
1bzc_ligand_230     -123.3542
1bzc_ligand_231     -140.0302
1bzc_ligand_234     -141.6454
1bzc_ligand_237     -137.2584
1bzc_ligand_238     -131.3240
1bzc_ligand_241     -88.4657
1bzc_ligand_243     -151.5345
1bzc_ligand_246     -105.6027
1bzc_ligand_248     -158.6246
1bzc_ligand_249     -131.1894
1bzc_ligand_257     -167.6182
1bzc_ligand_262     -141.8255
1bzc_ligand_273     -202.3154
1bzc_ligand_274     -166.2744
1bzc_ligand_276     -151.1945
1bzc_ligand_277     -171.5605
1bzc_ligand_278     -192.5406
1bzc_ligand_287     -152.1315
1bzc_ligand_288     -169.2114
1bzc_ligand_294     -198.6693
1bzc_ligand_296     -146.9120
1bzc_ligand_302     -204.3394
1bzc_ligand_307     -175.0018
1bzc_ligand_31      -156.6466
1bzc_ligand_314     -202.3130
1bzc_ligand_319     -181.4364
1bzc_ligand_321     -187.1288
1bzc_ligand_325     -170.2433
1bzc_ligand_327     -167.7781
1bzc_ligand_328     -147.8886
1bzc_ligand_329     -191.5585
1bzc_ligand_330     -213.1372
1bzc_ligand_332     -167.7105
1bzc_ligand_334     -168.7698
1bzc_ligand_335     -170.6346
1bzc_ligand_338     -175.6151
1bzc_ligand_346     -190.6798
1bzc_ligand_348     -163.9945
1bzc_ligand_349     -183.8563
1bzc_ligand_367     -80.3025
1bzc_ligand_390     -88.1734
1bzc_ligand_406     -128.2759
1bzc_ligand_413     -177.0743
1bzc_ligand_421     -86.1659
1bzc_ligand_423     -138.7380
1bzc_ligand_43      -160.6274
1bzc_ligand_46      -137.2669
1bzc_ligand_58      -136.9264
1bzc_ligand_69      -148.2491
1bzc_ligand_73      -142.0635
1bzc_ligand_74      -141.5370
1bzc_ligand_75      -139.4296
1bzc_ligand_76      -169.4266
1bzc_ligand_81      -158.7586
1bzc_ligand_84      -157.6826
1bzc_ligand_90      -150.9104
1c5z_ligand_10      -41.0834
1c5z_ligand_158     -13.5366
1c5z_ligand_159     -27.3142
1c5z_ligand_160     -33.3042
1c5z_ligand_161     -20.4832
1c5z_ligand_168     -32.7855
1c5z_ligand_180     -22.7343
1c5z_ligand_186     -19.9823
1c5z_ligand_189     -32.2417
1c5z_ligand_191     -15.0380
1c5z_ligand_193     -32.6488
1c5z_ligand_194     -25.6474
1c5z_ligand_195     -13.8000
