#code_ligand_num    score   
1a30_ligand_105     -95.4206
1a30_ligand_106     -179.0953
1a30_ligand_108     -93.0493
1a30_ligand_109     -176.3688
1a30_ligand_111     -105.3889
1a30_ligand_114     -102.0949
1a30_ligand_115     -63.3169
1a30_ligand_120     -168.0575
1a30_ligand_125     -172.6315
1a30_ligand_127     -54.0593
1a30_ligand_128     -165.2306
1a30_ligand_13      -160.0794
1a30_ligand_136     -187.8255
1a30_ligand_140     -160.3393
1a30_ligand_141     -153.3314
1a30_ligand_143     -104.3477
1a30_ligand_148     -117.7441
1a30_ligand_153     -200.3413
1a30_ligand_16      -163.6644
1a30_ligand_165     -184.3221
1a30_ligand_17      -94.8417
1a30_ligand_171     -167.5600
1a30_ligand_180     -207.7161
1a30_ligand_197     -195.1132
1a30_ligand_198     -174.1123
1a30_ligand_200     -171.9502
1a30_ligand_206     -171.9418
1a30_ligand_215     -177.1279
1a30_ligand_218     -206.0789
1a30_ligand_219     -156.0602
1a30_ligand_222     -181.9370
1a30_ligand_223     -180.6113
1a30_ligand_225     -174.8151
1a30_ligand_232     -194.7945
1a30_ligand_234     -193.5189
1a30_ligand_235     -166.0120
1a30_ligand_237     -178.6442
1a30_ligand_240     -188.4069
1a30_ligand_242     -196.4833
1a30_ligand_243     -151.1681
1a30_ligand_244     -170.3173
1a30_ligand_247     -154.3987
1a30_ligand_253     -171.9529
1a30_ligand_254     -162.8725
1a30_ligand_259     -178.9375
1a30_ligand_264     -219.8735
1a30_ligand_278     -182.5147
1a30_ligand_29      -70.9615
1a30_ligand_293     -202.0519
1a30_ligand_294     -185.9787
1a30_ligand_296     -189.0083
1a30_ligand_30      -185.9526
1a30_ligand_306     -186.1220
1a30_ligand_309     -197.9743
1a30_ligand_311     -164.0292
1a30_ligand_331     -195.9726
1a30_ligand_339     -214.8727
1a30_ligand_341     -171.7518
1a30_ligand_346     -175.5173
1a30_ligand_349     -175.8021
1a30_ligand_36      -176.0106
1a30_ligand_364     -213.8638
1a30_ligand_371     -203.4025
1a30_ligand_372     -193.1458
1a30_ligand_374     -218.5606
1a30_ligand_375     -207.9143
1a30_ligand_377     -215.8020
1a30_ligand_383     -182.2535
1a30_ligand_385     -211.0926
1a30_ligand_394     -192.7988
1a30_ligand_395     -204.5554
1a30_ligand_4       -152.5161
1a30_ligand_400     -202.7472
1a30_ligand_401     -232.7539
1a30_ligand_42      -123.4077
1a30_ligand_437     -212.4917
1a30_ligand_440     -193.7522
1a30_ligand_492     -211.9917
1a30_ligand_52      -74.6888
1a30_ligand_53      -59.0424
1a30_ligand_54      -107.5102
1a30_ligand_56      -74.1163
1a30_ligand_58      -119.5991
1a30_ligand_59      -71.8602
1a30_ligand_60      -82.7048
1a30_ligand_61      -82.3216
1a30_ligand_62      -73.4794
1a30_ligand_63      -92.5040
1a30_ligand_70      -185.6083
1a30_ligand_71      -109.0133
1a30_ligand_74      -104.4792
1a30_ligand_75      -114.6377
1a30_ligand_77      -121.0181
1a30_ligand_80      -83.0264
1a30_ligand_84      -92.8834
1a30_ligand_85      -80.7248
1a30_ligand_86      -82.4349
1a30_ligand_88      -115.2788
1a30_ligand_90      -164.0708
1a30_ligand_99      -97.7547
1bcu_ligand_142     -93.4163
1bcu_ligand_159     -92.3687
1bcu_ligand_165     -84.5719
1bcu_ligand_169     -84.9051
1bcu_ligand_170     -93.8056
1bcu_ligand_171     -82.2980
1bcu_ligand_172     -95.7211
1bcu_ligand_178     -87.6705
1bcu_ligand_189     -92.4976
1bcu_ligand_190     -92.2308
1bcu_ligand_191     -92.3273
1bcu_ligand_195     -92.3170
1bcu_ligand_196     -91.5781
1bcu_ligand_197     -89.4424
1bcu_ligand_198     -104.5974
1bcu_ligand_201     -86.0547
1bcu_ligand_207     -85.6782
1bcu_ligand_210     -90.0970
1bcu_ligand_217     -96.1536
1bcu_ligand_224     -88.8903
1bcu_ligand_226     -96.0181
1bcu_ligand_228     -98.9770
1bcu_ligand_232     -101.9489
1bcu_ligand_233     -92.6240
1bcu_ligand_238     -92.7297
1bcu_ligand_239     -102.6056
1bcu_ligand_241     -90.6934
1bcu_ligand_244     -85.0074
1bcu_ligand_247     -88.1196
1bcu_ligand_248     -93.0181
1bcu_ligand_250     -93.8985
1bcu_ligand_256     -95.4668
1bcu_ligand_264     -95.7496
1bcu_ligand_265     -83.4156
1bcu_ligand_267     -81.0472
1bcu_ligand_270     -96.8545
1bcu_ligand_274     -85.6648
1bcu_ligand_275     -85.2208
1bcu_ligand_283     -87.3082
1bcu_ligand_284     -83.5654
1bcu_ligand_285     -96.5677
1bcu_ligand_286     -86.0121
1bcu_ligand_298     -79.8174
1bcu_ligand_299     -90.5487
1bcu_ligand_3       -95.9328
1bcu_ligand_300     -96.9424
1bcu_ligand_301     -103.9387
1bcu_ligand_305     -108.2421
1bcu_ligand_308     -89.7967
1bcu_ligand_309     -103.3351
1bcu_ligand_310     -100.1475
1bcu_ligand_313     -96.9561
1bcu_ligand_314     -97.6567
1bcu_ligand_316     -89.6542
1bcu_ligand_319     -94.6242
1bcu_ligand_32      -90.8098
1bcu_ligand_325     -96.6091
1bcu_ligand_327     -87.7845
1bcu_ligand_328     -94.1330
1bcu_ligand_341     -94.6491
1bcu_ligand_343     -104.4871
1bcu_ligand_346     -89.7178
1bcu_ligand_347     -88.6864
1bcu_ligand_348     -93.6504
1bcu_ligand_352     -91.2967
1bcu_ligand_355     -92.9733
1bcu_ligand_357     -84.3367
1bcu_ligand_363     -96.1732
1bcu_ligand_365     -93.4711
1bcu_ligand_366     -93.2481
1bcu_ligand_37      -95.3899
1bcu_ligand_371     -83.9175
1bcu_ligand_381     -40.8920
1bcu_ligand_385     -81.6383
1bcu_ligand_386     -90.1044
1bcu_ligand_388     -76.3996
1bcu_ligand_389     -77.3145
1bcu_ligand_390     -88.7695
1bcu_ligand_391     -46.3341
1bcu_ligand_394     -92.5880
1bcu_ligand_395     -84.2072
1bcu_ligand_396     -53.2785
1bcu_ligand_398     -74.4349
1bcu_ligand_399     -46.7412
1bcu_ligand_400     -74.8003
1bcu_ligand_447     -68.7504
1bcu_ligand_45      -92.9631
1bcu_ligand_450     -86.3629
1bcu_ligand_454     -102.1100
1bcu_ligand_456     -90.8416
1bcu_ligand_459     -89.7308
1bcu_ligand_464     -89.8883
1bcu_ligand_476     -91.9336
1bcu_ligand_49      -90.0339
1bcu_ligand_492     -96.1106
1bcu_ligand_495     -93.5425
1bcu_ligand_499     -92.1563
1bcu_ligand_500     -92.7849
1bcu_ligand_57      -98.8127
1bcu_ligand_72      -95.2887
1bzc_ligand_1       -132.6017
1bzc_ligand_100     -130.6955
1bzc_ligand_102     -102.6252
1bzc_ligand_11      -113.2338
