#code_ligand_num    score   
1a30_ligand_1       -68.8460
1a30_ligand_109     -101.1166
1a30_ligand_11      -112.1098
1a30_ligand_122     -83.3690
1a30_ligand_125     -50.4698
1a30_ligand_126     -105.8585
1a30_ligand_13      -89.0164
1a30_ligand_130     -49.3521
1a30_ligand_138     -61.0994
1a30_ligand_139     -104.2132
1a30_ligand_142     -118.4354
1a30_ligand_149     -94.3330
1a30_ligand_15      -113.3218
1a30_ligand_16      -83.2866
1a30_ligand_163     -116.5232
1a30_ligand_165     -120.2223
1a30_ligand_17      -94.5780
1a30_ligand_18      -104.3037
1a30_ligand_188     -115.3418
1a30_ligand_192     -97.0292
1a30_ligand_194     -98.6438
1a30_ligand_197     -89.2889
1a30_ligand_202     -98.2880
1a30_ligand_205     -112.6666
1a30_ligand_207     -73.6033
1a30_ligand_21      -50.5827
1a30_ligand_212     -70.3377
1a30_ligand_226     -115.8059
1a30_ligand_228     -108.0543
1a30_ligand_234     -111.6589
1a30_ligand_239     -72.2227
1a30_ligand_240     -89.3342
1a30_ligand_241     -81.1954
1a30_ligand_243     -88.7206
1a30_ligand_244     -64.6715
1a30_ligand_249     -61.3905
1a30_ligand_262     -83.9190
1a30_ligand_264     -96.3222
1a30_ligand_265     -129.1749
1a30_ligand_27      -66.8599
1a30_ligand_274     -121.8883
1a30_ligand_28      -98.5053
1a30_ligand_284     -119.9116
1a30_ligand_286     -126.3631
1a30_ligand_288     -125.8976
1a30_ligand_29      -67.7826
1a30_ligand_296     -115.7521
1a30_ligand_298     -132.8127
1a30_ligand_3       -63.5720
1a30_ligand_307     -144.4790
1a30_ligand_309     -140.1288
1a30_ligand_311     -126.0883
1a30_ligand_313     -92.1158
1a30_ligand_317     -139.2274
1a30_ligand_318     -139.6015
1a30_ligand_319     -124.8783
1a30_ligand_323     -155.9567
1a30_ligand_326     -99.4984
1a30_ligand_328     -77.5049
1a30_ligand_33      -115.8133
1a30_ligand_332     -116.0471
1a30_ligand_335     -78.7103
1a30_ligand_347     -104.3159
1a30_ligand_349     -78.3133
1a30_ligand_35      -70.4736
1a30_ligand_355     -134.9425
1a30_ligand_36      -51.4425
1a30_ligand_37      -98.1550
1a30_ligand_377     -109.1949
1a30_ligand_398     -92.7361
1a30_ligand_40      -89.2971
1a30_ligand_402     -155.3423
1a30_ligand_41      -40.1330
1a30_ligand_42      -73.7722
1a30_ligand_437     -95.2516
1a30_ligand_447     -134.4267
1a30_ligand_46      -62.2165
1a30_ligand_468     -183.8803
1a30_ligand_47      -73.1482
1a30_ligand_48      -63.6686
1a30_ligand_499     -121.2786
1a30_ligand_50      -74.6983
1a30_ligand_51      -79.8623
1a30_ligand_55      -68.0803
1a30_ligand_57      -88.6311
1a30_ligand_6       -44.7583
1a30_ligand_60      -70.5169
1a30_ligand_61      -51.8053
1a30_ligand_66      -87.6614
1a30_ligand_68      -57.0270
1a30_ligand_73      -135.0250
1a30_ligand_76      -62.1550
1a30_ligand_81      -72.9682
1a30_ligand_83      -81.7596
1a30_ligand_88      -55.5399
1a30_ligand_89      -92.9437
1a30_ligand_95      -114.7054
1a30_ligand_96      -59.5893
1a30_ligand_97      -96.2024
1a30_ligand_98      -84.8405
1bcu_ligand_14      -66.2272
1bcu_ligand_154     -52.0161
1bcu_ligand_155     -70.9756
1bcu_ligand_166     -71.8088
1bcu_ligand_170     -56.8895
1bcu_ligand_179     -48.1594
1bcu_ligand_183     -72.2149
1bcu_ligand_188     -64.8763
1bcu_ligand_191     -85.9131
1bcu_ligand_196     -56.8608
1bcu_ligand_199     -83.0440
1bcu_ligand_210     -59.2231
1bcu_ligand_217     -62.6185
1bcu_ligand_229     -66.3080
1bcu_ligand_236     -54.5548
1bcu_ligand_246     -65.9679
1bcu_ligand_258     -44.4183
1bcu_ligand_271     -39.2567
1bcu_ligand_275     -79.2209
1bcu_ligand_276     -44.9571
1bcu_ligand_278     -51.5858
1bcu_ligand_279     -56.4218
1bcu_ligand_280     -85.0165
1bcu_ligand_283     -44.5931
1bcu_ligand_290     -69.0198
1bcu_ligand_294     -51.1118
1bcu_ligand_299     -41.4339
1bcu_ligand_303     -78.8998
1bcu_ligand_322     -63.0581
1bcu_ligand_325     -73.1479
1bcu_ligand_327     -65.4930
1bcu_ligand_328     -57.9038
1bcu_ligand_330     -60.7699
1bcu_ligand_333     -63.5963
1bcu_ligand_337     -61.8647
1bcu_ligand_344     -70.1603
1bcu_ligand_347     -70.3171
1bcu_ligand_354     -57.6765
1bcu_ligand_358     -57.8342
1bcu_ligand_359     -55.8296
1bcu_ligand_361     -54.1208
1bcu_ligand_362     -45.1629
1bcu_ligand_363     -66.1214
1bcu_ligand_364     -56.0699
1bcu_ligand_366     -44.4715
1bcu_ligand_367     -40.7638
1bcu_ligand_368     -49.0369
1bcu_ligand_369     -48.2386
1bcu_ligand_371     -29.4068
1bcu_ligand_372     -26.7129
1bcu_ligand_373     -26.3136
1bcu_ligand_374     -53.7785
1bcu_ligand_375     -41.8324
1bcu_ligand_378     -43.8480
1bcu_ligand_381     -43.2288
1bcu_ligand_382     -39.9359
1bcu_ligand_388     -29.3505
1bcu_ligand_389     -42.3224
1bcu_ligand_390     -33.3380
1bcu_ligand_391     -59.4790
1bcu_ligand_392     -30.1116
1bcu_ligand_393     -23.4272
1bcu_ligand_394     -26.5184
1bcu_ligand_395     -20.7512
1bcu_ligand_396     -19.4374
1bcu_ligand_397     -21.6132
1bcu_ligand_398     -20.5929
1bcu_ligand_399     -44.8037
1bcu_ligand_400     -25.2509
1bcu_ligand_402     -67.1060
1bcu_ligand_409     -43.6499
1bcu_ligand_412     -34.6642
1bcu_ligand_415     -58.6786
1bcu_ligand_417     -43.3654
1bcu_ligand_418     -55.7705
1bcu_ligand_423     -46.8043
1bcu_ligand_429     -44.8400
1bcu_ligand_431     -59.9604
1bcu_ligand_432     -35.9569
1bcu_ligand_433     -48.8015
1bcu_ligand_435     -39.0090
1bcu_ligand_436     -30.8212
1bcu_ligand_438     -38.2355
1bcu_ligand_443     -34.5201
1bcu_ligand_444     -50.9045
1bcu_ligand_445     -52.8150
1bcu_ligand_447     -30.7038
1bcu_ligand_448     -35.5901
1bcu_ligand_456     -79.1942
1bcu_ligand_458     -79.4783
1bcu_ligand_473     -51.5685
1bcu_ligand_479     -54.8107
1bcu_ligand_483     -56.5907
1bcu_ligand_491     -57.5202
1bcu_ligand_494     -58.7286
1bcu_ligand_495     -37.3260
1bcu_ligand_497     -56.6927
1bcu_ligand_499     -48.9790
1bcu_ligand_76      -56.3982
1bcu_ligand_85      -63.5029
1bzc_ligand_103     -90.9456
1bzc_ligand_106     -122.9911
1bzc_ligand_108     -115.8122
1bzc_ligand_111     -74.8824
1bzc_ligand_123     -99.7459
1bzc_ligand_139     -97.2356
1bzc_ligand_141     -120.6684
1bzc_ligand_142     -113.0642
1bzc_ligand_145     -99.7669
1bzc_ligand_153     -113.7371
1bzc_ligand_157     -121.4688
1bzc_ligand_161     -123.4622
1bzc_ligand_164     -137.2555
1bzc_ligand_170     -103.6610
1bzc_ligand_176     -116.6319
1bzc_ligand_189     -86.4263
1bzc_ligand_197     -135.7433
1bzc_ligand_2       -86.6468
1bzc_ligand_20      -82.3301
1bzc_ligand_202     -84.1214
1bzc_ligand_208     -102.4928
1bzc_ligand_21      -126.0323
1bzc_ligand_213     -131.1246
1bzc_ligand_214     -71.8348
1bzc_ligand_215     -52.8340
1bzc_ligand_216     -61.8445
1bzc_ligand_218     -99.4881
1bzc_ligand_219     -72.9563
1bzc_ligand_228     -106.7015
1bzc_ligand_230     -95.3724
1bzc_ligand_231     -72.6255
1bzc_ligand_232     -76.8012
1bzc_ligand_243     -62.4542
1bzc_ligand_245     -57.0013
1bzc_ligand_248     -65.5058
1bzc_ligand_249     -76.5733
1bzc_ligand_252     -112.3963
1bzc_ligand_262     -59.1506
1bzc_ligand_265     -126.5129
1bzc_ligand_268     -56.1700
1bzc_ligand_269     -88.6565
1bzc_ligand_277     -78.2734
1bzc_ligand_278     -78.7246
1bzc_ligand_29      -119.3468
1bzc_ligand_291     -103.6625
1bzc_ligand_296     -118.3059
1bzc_ligand_297     -87.7118
1bzc_ligand_298     -71.9929
1bzc_ligand_301     -108.4703
1bzc_ligand_303     -129.3640
1bzc_ligand_306     -112.4114
1bzc_ligand_31      -95.4143
1bzc_ligand_310     -128.5948
1bzc_ligand_311     -122.1128
1bzc_ligand_316     -135.7501
1bzc_ligand_319     -131.3087
1bzc_ligand_320     -92.2120
1bzc_ligand_321     -141.1607
1bzc_ligand_322     -116.4323
1bzc_ligand_323     -140.9631
1bzc_ligand_328     -128.5170
1bzc_ligand_33      -107.7867
1bzc_ligand_332     -114.7429
1bzc_ligand_334     -101.1322
1bzc_ligand_335     -122.8289
1bzc_ligand_336     -70.2722
1bzc_ligand_337     -129.0323
1bzc_ligand_338     -138.7022
1bzc_ligand_34      -112.2257
1bzc_ligand_340     -119.6346
1bzc_ligand_343     -106.4068
1bzc_ligand_346     -112.6380
1bzc_ligand_347     -96.0286
1bzc_ligand_348     -116.1877
1bzc_ligand_349     -110.2579
1bzc_ligand_367     -74.2554
1bzc_ligand_389     -75.0354
1bzc_ligand_391     -111.3891
1bzc_ligand_392     -72.9552
1bzc_ligand_396     -112.1068
1bzc_ligand_398     -104.8026
1bzc_ligand_45      -112.5344
1bzc_ligand_481     -139.4070
1bzc_ligand_486     -109.7174
1bzc_ligand_49      -86.8549
1bzc_ligand_54      -124.9504
1bzc_ligand_58      -109.3762
1bzc_ligand_60      -56.6361
1bzc_ligand_65      -111.5441
1bzc_ligand_81      -59.2437
1bzc_ligand_82      -122.6141
1bzc_ligand_85      -90.3554
1bzc_ligand_86      -81.7136
1bzc_ligand_89      -90.1308
1bzc_ligand_9       -107.0800
1bzc_ligand_90      -65.3112
1bzc_ligand_91      -128.4058
1bzc_ligand_94      -110.3800
1bzc_ligand_95      -116.8249
1bzc_ligand_99      -104.9432
1c5z_ligand_110     -49.5162
1c5z_ligand_114     -45.0798
1c5z_ligand_115     -45.5177
1c5z_ligand_122     -43.5302
1c5z_ligand_153     -47.5065
1c5z_ligand_154     -45.6940
1c5z_ligand_155     -41.1232
1c5z_ligand_156     -51.3044
1c5z_ligand_157     -37.2391
1c5z_ligand_158     -45.5836
1c5z_ligand_159     -39.4661
1c5z_ligand_161     -47.3839
1c5z_ligand_163     -50.0682
1c5z_ligand_165     -31.5067
1c5z_ligand_167     -40.3459
1c5z_ligand_169     -41.9618
1c5z_ligand_173     -41.3955
1c5z_ligand_174     -44.4220
1c5z_ligand_176     -45.5375
1c5z_ligand_180     -30.5805
1c5z_ligand_182     -48.3051
1c5z_ligand_183     -48.5875
1c5z_ligand_186     -41.4947
1c5z_ligand_190     -38.1138
1c5z_ligand_192     -45.6677
1c5z_ligand_196     -52.3049
1c5z_ligand_197     -41.4760
1c5z_ligand_198     -48.0794
1c5z_ligand_200     -45.4625
1c5z_ligand_203     -74.5785
1c5z_ligand_208     -62.1031
1c5z_ligand_211     -42.2516
1c5z_ligand_215     -64.3193
1c5z_ligand_219     -65.5154
1c5z_ligand_221     -33.9191
1c5z_ligand_223     -68.4287
1c5z_ligand_228     -43.7705
1c5z_ligand_231     -59.4351
1c5z_ligand_234     -32.3367
1c5z_ligand_236     -27.0952
1c5z_ligand_239     -35.9290
1c5z_ligand_241     -29.3909
1c5z_ligand_242     -36.4403
1c5z_ligand_243     -28.1870
1c5z_ligand_245     -60.8103
1c5z_ligand_247     -46.6415
1c5z_ligand_248     -50.9733
1c5z_ligand_250     -36.8083
1c5z_ligand_253     -61.4049
1c5z_ligand_255     -73.2894
1c5z_ligand_256     -64.3646
1c5z_ligand_261     -56.1026
1c5z_ligand_264     -62.7891
1c5z_ligand_266     -49.6319
1c5z_ligand_268     -57.0813
1c5z_ligand_274     -59.1287
1c5z_ligand_276     -50.4485
1c5z_ligand_281     -58.5392
1c5z_ligand_282     -55.4997
1c5z_ligand_284     -57.5747
1c5z_ligand_285     -46.5717
1c5z_ligand_286     -66.5988
1c5z_ligand_298     -27.7844
1c5z_ligand_301     -68.3765
1c5z_ligand_304     -69.0284
1c5z_ligand_306     -59.9439
1c5z_ligand_307     -69.3444
1c5z_ligand_308     -66.8632
1c5z_ligand_311     -63.8980
1c5z_ligand_312     -61.4150
1c5z_ligand_313     -48.7576
1c5z_ligand_318     -63.3416
1c5z_ligand_320     -64.8424
1c5z_ligand_324     -51.2871
1c5z_ligand_325     -40.5678
1c5z_ligand_331     -49.6605
1c5z_ligand_335     -41.0711
1c5z_ligand_341     -55.4337
1c5z_ligand_343     -71.2882
1c5z_ligand_344     -61.5972
1c5z_ligand_350     -75.4752
1c5z_ligand_356     -35.1435
1c5z_ligand_36      -48.8111
1c5z_ligand_370     -36.5056
1c5z_ligand_387     -35.3058
1c5z_ligand_389     -37.5471
1c5z_ligand_391     -32.4876
1c5z_ligand_395     -39.1241
1c5z_ligand_398     -50.5047
1c5z_ligand_399     -33.2508
1c5z_ligand_402     -70.8111
1c5z_ligand_406     -35.1407
1c5z_ligand_412     -70.1619
1c5z_ligand_424     -47.2619
1c5z_ligand_433     -42.7879
1c5z_ligand_443     -32.8264
1c5z_ligand_486     -68.9220
1c5z_ligand_487     -40.3608
1c5z_ligand_58      -44.4868
1c5z_ligand_90      -36.9628
1e66_ligand_11      -62.3481
1e66_ligand_119     -82.3052
1e66_ligand_137     -78.7424
1e66_ligand_141     -75.3233
1e66_ligand_151     -97.2339
1e66_ligand_157     -67.4333
1e66_ligand_158     -73.9734
1e66_ligand_160     -87.4359
1e66_ligand_163     -74.4822
1e66_ligand_169     -63.1367
1e66_ligand_170     -91.8098
1e66_ligand_171     -89.6753
1e66_ligand_172     -88.1911
1e66_ligand_173     -70.1367
1e66_ligand_180     -87.9376
1e66_ligand_181     -80.1534
1e66_ligand_182     -82.7035
1e66_ligand_186     -63.4051
1e66_ligand_187     -85.8341
1e66_ligand_188     -81.7658
1e66_ligand_189     -60.9604
1e66_ligand_193     -84.4982
1e66_ligand_194     -88.1579
1e66_ligand_196     -61.5900
1e66_ligand_197     -74.2729
1e66_ligand_200     -87.7450
1e66_ligand_216     -72.7079
1e66_ligand_221     -68.3891
1e66_ligand_231     -73.0421
1e66_ligand_237     -52.3646
1e66_ligand_238     -66.8495
1e66_ligand_24      -80.9010
1e66_ligand_240     -73.6679
1e66_ligand_243     -67.8675
1e66_ligand_244     -59.7850
1e66_ligand_245     -71.1707
1e66_ligand_248     -77.5879
1e66_ligand_249     -69.1591
1e66_ligand_256     -87.2952
1e66_ligand_262     -70.8643
1e66_ligand_264     -56.3923
1e66_ligand_268     -88.7023
1e66_ligand_277     -71.6126
1e66_ligand_278     -85.6243
1e66_ligand_280     -57.3550
1e66_ligand_281     -71.4645
1e66_ligand_285     -62.1757
1e66_ligand_290     -77.1160
1e66_ligand_291     -62.7215
1e66_ligand_294     -89.1858
1e66_ligand_296     -65.0441
1e66_ligand_297     -55.7935
1e66_ligand_298     -73.8019
1e66_ligand_304     -95.8363
1e66_ligand_310     -79.5076
1e66_ligand_320     -88.6821
1e66_ligand_324     -78.9462
1e66_ligand_326     -82.7951
1e66_ligand_328     -87.1635
1e66_ligand_330     -88.8227
1e66_ligand_331     -83.2681
1e66_ligand_333     -80.8790
1e66_ligand_338     -70.5134
1e66_ligand_340     -89.5580
1e66_ligand_347     -89.9658
1e66_ligand_348     -92.7372
1e66_ligand_349     -89.6744
1e66_ligand_352     -70.1671
1e66_ligand_355     -77.2406
1e66_ligand_356     -78.7132
1e66_ligand_365     -76.0168
1e66_ligand_366     -65.0544
1e66_ligand_369     -50.7707
1e66_ligand_374     -64.5119
1e66_ligand_379     -65.2606
1e66_ligand_384     -58.1702
1e66_ligand_385     -58.6079
1e66_ligand_386     -65.8861
1e66_ligand_387     -67.6885
1e66_ligand_388     -67.6210
1e66_ligand_389     -50.1268
1e66_ligand_391     -52.9075
1e66_ligand_394     -52.5946
1e66_ligand_396     -51.9092
1e66_ligand_397     -40.9228
1e66_ligand_400     -65.8405
1e66_ligand_401     -73.8054
1e66_ligand_404     -77.4764
1e66_ligand_417     -47.0907
1e66_ligand_424     -61.3303
1e66_ligand_426     -79.5480
1e66_ligand_439     -66.5255
1e66_ligand_443     -70.2021
1e66_ligand_449     -64.1386
1e66_ligand_452     -87.7929
1e66_ligand_456     -83.9106
1e66_ligand_460     -87.8885
1e66_ligand_467     -69.3866
1e66_ligand_469     -83.2092
1e66_ligand_497     -49.0022
1eby_ligand_100     -111.1473
1eby_ligand_102     -118.1275
1eby_ligand_103     -141.0522
1eby_ligand_104     -118.6323
1eby_ligand_106     -107.3755
1eby_ligand_107     -111.4419
1eby_ligand_108     -115.1167
1eby_ligand_109     -103.7699
1eby_ligand_110     -137.8533
1eby_ligand_111     -107.0114
1eby_ligand_112     -151.4947
1eby_ligand_118     -132.5960
1eby_ligand_122     -132.8708
1eby_ligand_124     -102.2553
1eby_ligand_125     -145.9751
1eby_ligand_126     -140.8503
1eby_ligand_129     -137.4030
1eby_ligand_13      -134.9791
1eby_ligand_131     -122.6943
1eby_ligand_132     -101.7361
1eby_ligand_134     -123.4074
1eby_ligand_146     -134.4548
1eby_ligand_147     -137.2060
1eby_ligand_148     -107.3267
1eby_ligand_15      -121.3152
1eby_ligand_156     -183.3322
1eby_ligand_158     -228.7283
1eby_ligand_16      -128.0572
1eby_ligand_17      -104.4958
1eby_ligand_171     -210.0915
1eby_ligand_178     -147.8357
1eby_ligand_18      -111.7309
1eby_ligand_180     -174.8612
1eby_ligand_193     -187.8412
1eby_ligand_200     -172.2169
1eby_ligand_203     -74.8801
1eby_ligand_213     -64.4211
1eby_ligand_215     -63.1535
1eby_ligand_216     -64.0637
1eby_ligand_218     -71.5386
1eby_ligand_219     -53.2345
1eby_ligand_222     -98.3893
1eby_ligand_224     -93.0075
1eby_ligand_225     -68.1930
1eby_ligand_226     -87.7668
1eby_ligand_228     -106.5263
1eby_ligand_229     -114.8570
1eby_ligand_231     -96.4879
1eby_ligand_233     -87.7104
1eby_ligand_234     -83.7021
1eby_ligand_237     -118.0117
1eby_ligand_239     -58.4323
1eby_ligand_240     -39.6834
1eby_ligand_241     -76.8779
1eby_ligand_242     -109.5023
1eby_ligand_243     -79.6029
1eby_ligand_247     -149.1999
1eby_ligand_248     -50.1193
1eby_ligand_249     -89.4652
1eby_ligand_250     -88.4265
1eby_ligand_255     -138.4681
1eby_ligand_258     -170.3345
1eby_ligand_26      -124.8276
1eby_ligand_266     -141.8190
1eby_ligand_269     -174.5002
1eby_ligand_273     -134.9788
1eby_ligand_281     -132.9234
1eby_ligand_290     -100.3743
1eby_ligand_291     -178.2660
1eby_ligand_295     -91.6643
1eby_ligand_297     -144.3406
1eby_ligand_298     -135.7240
1eby_ligand_305     -188.2756
1eby_ligand_308     -193.7321
1eby_ligand_31      -109.2911
1eby_ligand_313     -179.3575
1eby_ligand_324     -109.1902
1eby_ligand_329     -154.0015
1eby_ligand_340     -122.8020
1eby_ligand_342     -130.4637
1eby_ligand_343     -147.2096
1eby_ligand_370     -216.4090
1eby_ligand_373     -147.5859
1eby_ligand_376     -171.2074
1eby_ligand_378     -173.9199
1eby_ligand_386     -168.5820
1eby_ligand_387     -190.6530
1eby_ligand_39      -126.8697
1eby_ligand_412     -185.9698
1eby_ligand_420     -170.7527
1eby_ligand_436     -169.2035
1eby_ligand_437     -183.3416
1eby_ligand_438     -155.0199
1eby_ligand_446     -144.1079
1eby_ligand_57      -138.8884
1eby_ligand_6       -115.9427
1eby_ligand_65      -116.0666
1eby_ligand_76      -85.5492
1eby_ligand_77      -132.4790
1eby_ligand_89      -132.1491
1g2k_ligand_101     -113.4468
