#code_ligand_num    score   
1a30_ligand_1       -83.6421
1a30_ligand_101     -90.5507
1a30_ligand_106     -89.8447
1a30_ligand_108     -83.2407
1a30_ligand_11      -82.4696
1a30_ligand_113     -88.6558
1a30_ligand_124     -84.1358
1a30_ligand_126     -97.6504
1a30_ligand_133     -90.6217
1a30_ligand_139     -81.6651
1a30_ligand_140     -69.6948
1a30_ligand_142     -83.4528
1a30_ligand_148     -82.3902
1a30_ligand_167     -71.8674
1a30_ligand_185     -70.0757
1a30_ligand_187     -140.9101
1a30_ligand_188     -101.7718
1a30_ligand_190     -115.4705
1a30_ligand_191     -73.0364
1a30_ligand_192     -76.7662
1a30_ligand_199     -114.0437
1a30_ligand_204     -110.9987
1a30_ligand_208     -72.7609
1a30_ligand_211     -72.3448
1a30_ligand_213     -52.4330
1a30_ligand_215     -45.7348
1a30_ligand_216     -88.7496
1a30_ligand_217     -57.5571
1a30_ligand_22      -78.7670
1a30_ligand_224     -58.7976
1a30_ligand_227     -53.7548
1a30_ligand_23      -108.7706
1a30_ligand_231     -84.1921
1a30_ligand_233     -63.4950
1a30_ligand_240     -94.5924
1a30_ligand_245     -62.2480
1a30_ligand_246     -82.8578
1a30_ligand_248     -66.6098
1a30_ligand_249     -72.6791
1a30_ligand_25      -62.6984
1a30_ligand_250     -57.5868
1a30_ligand_261     -71.8024
1a30_ligand_267     -90.4371
1a30_ligand_27      -71.9540
1a30_ligand_271     -73.8157
1a30_ligand_272     -79.2986
1a30_ligand_283     -81.2007
1a30_ligand_290     -100.8733
1a30_ligand_293     -99.7338
1a30_ligand_299     -70.3557
1a30_ligand_300     -62.9223
1a30_ligand_308     -86.2055
1a30_ligand_309     -93.8038
1a30_ligand_310     -81.5707
1a30_ligand_315     -94.9765
1a30_ligand_316     -110.5575
1a30_ligand_317     -90.1423
1a30_ligand_318     -106.4830
1a30_ligand_319     -96.9344
1a30_ligand_32      -74.5962
1a30_ligand_323     -97.1812
1a30_ligand_327     -99.1682
1a30_ligand_337     -104.8975
1a30_ligand_344     -96.3521
1a30_ligand_345     -106.6130
1a30_ligand_350     -128.6342
1a30_ligand_353     -83.2908
1a30_ligand_37      -66.0020
1a30_ligand_370     -97.4347
1a30_ligand_374     -90.0393
1a30_ligand_378     -94.9792
1a30_ligand_380     -107.5719
1a30_ligand_382     -89.7264
1a30_ligand_39      -58.0992
1a30_ligand_393     -95.3393
1a30_ligand_401     -132.3359
1a30_ligand_411     -112.1560
1a30_ligand_43      -59.7886
1a30_ligand_45      -81.8968
1a30_ligand_462     -102.1685
1a30_ligand_467     -89.8913
1a30_ligand_47      -95.1656
1a30_ligand_474     -133.0834
1a30_ligand_477     -117.1696
1a30_ligand_49      -80.1624
1a30_ligand_5       -91.6039
1a30_ligand_55      -69.2328
1a30_ligand_6       -69.2432
1a30_ligand_64      -79.3918
1a30_ligand_68      -81.1616
1a30_ligand_70      -57.0600
1a30_ligand_75      -90.7401
1a30_ligand_76      -90.8584
1a30_ligand_77      -92.7897
1a30_ligand_81      -68.9948
1a30_ligand_85      -77.5143
1a30_ligand_87      -63.0732
1a30_ligand_88      -70.3498
1a30_ligand_94      -64.3678
1a30_ligand_99      -64.7951
1bcu_ligand_117     -85.5531
1bcu_ligand_121     -58.2160
1bcu_ligand_135     -89.9127
1bcu_ligand_16      -85.0047
1bcu_ligand_182     -58.6316
1bcu_ligand_184     -61.9378
1bcu_ligand_192     -55.3756
1bcu_ligand_193     -65.2193
1bcu_ligand_194     -64.6410
1bcu_ligand_195     -59.1361
1bcu_ligand_199     -83.1016
1bcu_ligand_207     -64.6414
1bcu_ligand_219     -58.5170
1bcu_ligand_222     -86.8000
1bcu_ligand_231     -75.5595
1bcu_ligand_241     -63.0219
1bcu_ligand_250     -61.3138
1bcu_ligand_253     -54.9932
1bcu_ligand_254     -72.4897
1bcu_ligand_255     -61.4155
1bcu_ligand_256     -46.8807
1bcu_ligand_262     -55.8045
1bcu_ligand_264     -58.8946
1bcu_ligand_265     -57.8483
1bcu_ligand_275     -48.5123
1bcu_ligand_278     -61.4054
1bcu_ligand_279     -52.8203
1bcu_ligand_28      -84.4933
1bcu_ligand_281     -51.7856
1bcu_ligand_289     -68.3551
1bcu_ligand_298     -59.9397
1bcu_ligand_30      -63.9584
1bcu_ligand_31      -71.3908
1bcu_ligand_313     -68.0994
1bcu_ligand_315     -83.8259
1bcu_ligand_317     -56.0248
1bcu_ligand_325     -79.0796
1bcu_ligand_326     -72.6367
1bcu_ligand_327     -78.3601
1bcu_ligand_338     -59.0247
1bcu_ligand_341     -66.3424
1bcu_ligand_343     -68.7827
1bcu_ligand_354     -52.9657
1bcu_ligand_355     -69.4787
1bcu_ligand_359     -72.3707
1bcu_ligand_360     -74.8812
1bcu_ligand_361     -69.0070
1bcu_ligand_365     -60.3654
1bcu_ligand_367     -71.3936
1bcu_ligand_368     -62.9177
1bcu_ligand_370     -65.4786
1bcu_ligand_372     -70.4890
1bcu_ligand_375     -78.3079
1bcu_ligand_376     -67.4088
1bcu_ligand_377     -69.0511
1bcu_ligand_378     -59.3973
1bcu_ligand_379     -70.9375
1bcu_ligand_380     -72.0926
1bcu_ligand_384     -52.3353
1bcu_ligand_386     -73.0520
1bcu_ligand_387     -65.4434
1bcu_ligand_388     -66.4222
1bcu_ligand_389     -61.9696
1bcu_ligand_391     -57.1842
1bcu_ligand_392     -46.5370
1bcu_ligand_393     -76.6365
1bcu_ligand_394     -54.9527
1bcu_ligand_395     -57.4362
1bcu_ligand_396     -65.6941
1bcu_ligand_397     -53.7825
1bcu_ligand_398     -58.8019
1bcu_ligand_399     -53.7325
1bcu_ligand_400     -50.5135
1bcu_ligand_401     -85.0579
1bcu_ligand_402     -81.9108
1bcu_ligand_404     -87.3042
1bcu_ligand_406     -87.7886
1bcu_ligand_408     -80.1188
1bcu_ligand_410     -85.4978
1bcu_ligand_412     -78.3913
1bcu_ligand_415     -80.7925
1bcu_ligand_425     -76.4505
