#code_ligand_num    score   
1a30_ligand_102     -114.1006
1a30_ligand_119     -98.0556
1a30_ligand_121     -122.5925
1a30_ligand_128     -125.4932
1a30_ligand_129     -92.1409
1a30_ligand_130     -101.1604
1a30_ligand_135     -128.8507
1a30_ligand_139     -125.7174
1a30_ligand_143     -88.7144
1a30_ligand_15      -124.4487
1a30_ligand_154     -128.8611
1a30_ligand_156     -100.5735
1a30_ligand_159     -104.6898
1a30_ligand_163     -107.6948
1a30_ligand_165     -105.8391
1a30_ligand_169     -85.7712
1a30_ligand_172     -122.1261
1a30_ligand_177     -113.3622
1a30_ligand_180     -131.9714
1a30_ligand_190     -119.6822
1a30_ligand_193     -133.7837
1a30_ligand_195     -117.4492
1a30_ligand_207     -103.6514
1a30_ligand_21      -109.4881
1a30_ligand_212     -88.2464
1a30_ligand_214     -131.7024
1a30_ligand_217     -90.5274
1a30_ligand_218     -61.6130
1a30_ligand_221     -95.1239
1a30_ligand_222     -119.6786
1a30_ligand_226     -114.5268
1a30_ligand_231     -105.8824
1a30_ligand_238     -122.2144
1a30_ligand_239     -36.6697
1a30_ligand_245     -79.5053
1a30_ligand_249     -102.7948
1a30_ligand_25      -114.4075
1a30_ligand_250     -77.5819
1a30_ligand_26      -91.8498
1a30_ligand_260     -132.0694
1a30_ligand_263     -112.4180
1a30_ligand_264     -98.6838
1a30_ligand_270     -94.5772
1a30_ligand_285     -142.6375
1a30_ligand_286     -93.1212
1a30_ligand_289     -121.3624
1a30_ligand_291     -80.9767
1a30_ligand_300     -98.0829
1a30_ligand_302     -111.5975
1a30_ligand_307     -119.9421
1a30_ligand_308     -130.9084
1a30_ligand_311     -116.1560
1a30_ligand_313     -103.7829
1a30_ligand_317     -119.4073
1a30_ligand_319     -128.5785
1a30_ligand_32      -110.0288
1a30_ligand_320     -113.8433
1a30_ligand_322     -72.8389
1a30_ligand_323     -110.7999
1a30_ligand_326     -113.7863
1a30_ligand_327     -128.5614
1a30_ligand_328     -133.3732
1a30_ligand_33      -114.7253
1a30_ligand_331     -95.2782
1a30_ligand_332     -94.4328
1a30_ligand_334     -130.3158
1a30_ligand_339     -139.2195
1a30_ligand_343     -105.8489
1a30_ligand_348     -126.2867
1a30_ligand_35      -119.8169
1a30_ligand_36      -103.3840
1a30_ligand_37      -103.7573
1a30_ligand_379     -139.1689
1a30_ligand_388     -109.1997
1a30_ligand_39      -88.2793
1a30_ligand_391     -145.5274
1a30_ligand_392     -124.8219
1a30_ligand_393     -125.0303
1a30_ligand_397     -140.5130
1a30_ligand_398     -135.5793
1a30_ligand_399     -150.4959
1a30_ligand_429     -131.1320
1a30_ligand_445     -104.0365
1a30_ligand_45      -90.3621
1a30_ligand_49      -97.2689
1a30_ligand_498     -128.3575
1a30_ligand_55      -100.7844
1a30_ligand_58      -98.2862
1a30_ligand_60      -86.8022
1a30_ligand_62      -84.9489
1a30_ligand_66      -97.8786
1a30_ligand_67      -109.8621
1a30_ligand_70      -85.8951
1a30_ligand_71      -79.6598
1a30_ligand_78      -86.8495
1a30_ligand_79      -96.6765
1a30_ligand_80      -116.3514
1a30_ligand_85      -121.3355
1a30_ligand_93      -112.8080
1a30_ligand_97      -123.4481
1bcu_ligand_113     -70.4122
1bcu_ligand_129     -75.1332
1bcu_ligand_152     -62.5365
1bcu_ligand_161     -55.3714
1bcu_ligand_184     -44.8860
1bcu_ligand_193     -43.7109
1bcu_ligand_195     -64.1574
1bcu_ligand_196     -56.2525
1bcu_ligand_200     -55.5053
1bcu_ligand_205     -56.8854
1bcu_ligand_210     -63.4335
1bcu_ligand_211     -59.5644
1bcu_ligand_212     -53.9276
1bcu_ligand_213     -57.3011
1bcu_ligand_214     -62.1942
1bcu_ligand_215     -66.3702
1bcu_ligand_216     -65.8551
1bcu_ligand_225     -71.0224
1bcu_ligand_226     -81.3905
1bcu_ligand_227     -67.2726
1bcu_ligand_229     -58.7288
1bcu_ligand_234     -71.9053
1bcu_ligand_239     -64.8676
1bcu_ligand_244     -57.2514
1bcu_ligand_251     -74.3095
1bcu_ligand_256     -69.9277
1bcu_ligand_266     -65.4706
1bcu_ligand_268     -63.9503
1bcu_ligand_282     -71.3968
1bcu_ligand_285     -80.2694
1bcu_ligand_286     -52.9775
1bcu_ligand_289     -80.6436
1bcu_ligand_298     -63.8891
1bcu_ligand_306     -81.6179
1bcu_ligand_311     -63.3108
1bcu_ligand_312     -69.4887
1bcu_ligand_314     -82.9820
1bcu_ligand_319     -96.4609
1bcu_ligand_329     -81.5075
1bcu_ligand_332     -74.0666
1bcu_ligand_336     -68.0746
1bcu_ligand_339     -71.3233
1bcu_ligand_341     -61.4807
1bcu_ligand_344     -72.8213
1bcu_ligand_354     -60.7720
1bcu_ligand_355     -59.6858
1bcu_ligand_357     -47.0991
1bcu_ligand_358     -72.0297
1bcu_ligand_359     -65.9674
1bcu_ligand_362     -76.6593
1bcu_ligand_363     -45.5196
1bcu_ligand_364     -67.1725
1bcu_ligand_365     -65.3813
1bcu_ligand_368     -38.1249
1bcu_ligand_370     -54.8559
1bcu_ligand_374     -64.4393
1bcu_ligand_375     -50.0327
1bcu_ligand_376     -45.0434
1bcu_ligand_380     -41.5208
1bcu_ligand_382     -32.8663
1bcu_ligand_384     -67.9732
1bcu_ligand_385     -38.8009
1bcu_ligand_386     -71.8967
1bcu_ligand_387     -49.8507
1bcu_ligand_388     -75.5001
1bcu_ligand_389     -66.0353
1bcu_ligand_390     -48.2837
1bcu_ligand_394     -45.4043
1bcu_ligand_395     -45.9515
1bcu_ligand_396     -42.8046
1bcu_ligand_397     -70.4053
1bcu_ligand_398     -29.0098
1bcu_ligand_399     -69.4127
1bcu_ligand_400     -40.4559
1bcu_ligand_404     -84.7662
1bcu_ligand_405     -88.0743
1bcu_ligand_407     -72.4180
1bcu_ligand_418     -66.5167
1bcu_ligand_421     -70.2493
1bcu_ligand_425     -86.8999
1bcu_ligand_426     -40.1497
1bcu_ligand_433     -43.2494
1bcu_ligand_436     -59.0782
1bcu_ligand_440     -68.9454
1bcu_ligand_444     -36.3859
1bcu_ligand_451     -92.5331
1bcu_ligand_455     -79.0162
1bcu_ligand_459     -70.4686
1bcu_ligand_461     -68.1459
1bcu_ligand_468     -75.0917
1bcu_ligand_480     -47.2098
1bcu_ligand_484     -57.0690
1bcu_ligand_488     -47.4506
1bcu_ligand_491     -47.8013
1bcu_ligand_493     -73.7017
1bcu_ligand_51      -71.1059
1bcu_ligand_60      -82.3410
1bcu_ligand_7       -78.8872
1bcu_ligand_80      -64.5725
1bcu_ligand_83      -65.7936
1bzc_ligand_1       -88.1921
1bzc_ligand_11      -92.5761
1bzc_ligand_114     -99.8591
1bzc_ligand_116     -70.9682
1bzc_ligand_117     -113.3637
1bzc_ligand_118     -106.3871
1bzc_ligand_125     -134.0500
1bzc_ligand_131     -104.4407
1bzc_ligand_135     -126.8528
1bzc_ligand_137     -94.0646
1bzc_ligand_14      -88.9720
1bzc_ligand_162     -94.1462
1bzc_ligand_164     -98.1853
1bzc_ligand_166     -95.6032
1bzc_ligand_170     -124.1556
1bzc_ligand_171     -136.3658
1bzc_ligand_176     -124.1156
1bzc_ligand_178     -123.0241
1bzc_ligand_181     -93.7826
1bzc_ligand_183     -114.8765
1bzc_ligand_186     -94.8915
1bzc_ligand_191     -114.0758
1bzc_ligand_192     -105.9404
1bzc_ligand_194     -101.9030
1bzc_ligand_201     -86.7361
1bzc_ligand_202     -74.7360
1bzc_ligand_207     -81.2454
1bzc_ligand_212     -87.5275
1bzc_ligand_213     -86.1431
1bzc_ligand_214     -98.1284
1bzc_ligand_217     -104.4252
1bzc_ligand_218     -92.3247
1bzc_ligand_221     -99.5053
1bzc_ligand_224     -94.4618
1bzc_ligand_225     -87.0866
1bzc_ligand_228     -81.5561
1bzc_ligand_231     -84.8368
1bzc_ligand_233     -90.6300
1bzc_ligand_234     -63.4064
1bzc_ligand_235     -93.0566
1bzc_ligand_236     -111.8160
1bzc_ligand_237     -113.2651
1bzc_ligand_241     -81.7287
1bzc_ligand_242     -86.1806
1bzc_ligand_246     -111.9681
1bzc_ligand_249     -69.4024
1bzc_ligand_253     -94.0664
1bzc_ligand_257     -85.2003
1bzc_ligand_259     -124.4045
1bzc_ligand_261     -87.7355
1bzc_ligand_265     -94.9010
1bzc_ligand_27      -88.9527
1bzc_ligand_271     -96.0258
1bzc_ligand_272     -119.1322
1bzc_ligand_277     -137.6148
1bzc_ligand_278     -82.2679
1bzc_ligand_279     -66.6044
1bzc_ligand_283     -89.7361
1bzc_ligand_289     -89.9860
1bzc_ligand_295     -83.4286
1bzc_ligand_298     -107.0432
1bzc_ligand_299     -83.4576
1bzc_ligand_309     -101.8962
1bzc_ligand_323     -107.2258
1bzc_ligand_325     -123.9092
1bzc_ligand_326     -103.9781
1bzc_ligand_327     -95.4170
1bzc_ligand_328     -111.0887
1bzc_ligand_331     -99.2736
1bzc_ligand_334     -117.1955
1bzc_ligand_336     -117.3926
1bzc_ligand_343     -92.6286
1bzc_ligand_346     -103.8870
1bzc_ligand_349     -115.6093
1bzc_ligand_350     -114.1397
1bzc_ligand_351     -138.6112
1bzc_ligand_356     -118.5277
1bzc_ligand_363     -109.8332
1bzc_ligand_375     -87.1943
1bzc_ligand_377     -108.1184
1bzc_ligand_387     -86.4096
1bzc_ligand_397     -118.7699
1bzc_ligand_400     -133.0763
1bzc_ligand_41      -79.3618
1bzc_ligand_430     -121.4840
1bzc_ligand_45      -81.4066
1bzc_ligand_46      -76.5660
1bzc_ligand_466     -96.9371
1bzc_ligand_47      -107.1397
1bzc_ligand_473     -111.8291
1bzc_ligand_5       -86.6229
1bzc_ligand_63      -76.3543
1bzc_ligand_70      -98.5511
1bzc_ligand_73      -116.8122
1bzc_ligand_74      -94.2415
1bzc_ligand_83      -55.1083
1bzc_ligand_86      -111.4676
1bzc_ligand_88      -126.0673
1bzc_ligand_91      -59.2112
1bzc_ligand_93      -93.7382
1c5z_ligand_10      -59.3189
1c5z_ligand_118     -43.8021
1c5z_ligand_12      -53.4970
1c5z_ligand_132     -53.6127
1c5z_ligand_141     -53.0529
1c5z_ligand_154     -49.9402
1c5z_ligand_155     -57.8333
1c5z_ligand_156     -52.1830
1c5z_ligand_158     -48.6280
1c5z_ligand_159     -48.8959
1c5z_ligand_165     -53.2562
1c5z_ligand_170     -47.4463
1c5z_ligand_172     -62.6147
1c5z_ligand_174     -47.8080
1c5z_ligand_176     -54.9133
1c5z_ligand_178     -47.5734
1c5z_ligand_180     -61.2526
1c5z_ligand_182     -53.2571
1c5z_ligand_183     -57.3607
1c5z_ligand_185     -46.1260
1c5z_ligand_186     -57.8399
1c5z_ligand_187     -64.6723
1c5z_ligand_188     -55.4814
1c5z_ligand_190     -57.0706
1c5z_ligand_192     -51.8443
1c5z_ligand_193     -44.8771
1c5z_ligand_194     -56.1010
1c5z_ligand_196     -53.6992
1c5z_ligand_197     -38.9982
1c5z_ligand_199     -43.1800
1c5z_ligand_2       -48.7506
1c5z_ligand_200     -57.9987
1c5z_ligand_206     -67.9725
1c5z_ligand_207     -68.2882
1c5z_ligand_210     -62.6142
1c5z_ligand_213     -70.4858
1c5z_ligand_221     -65.7274
1c5z_ligand_226     -75.5201
1c5z_ligand_230     -67.6544
1c5z_ligand_232     -62.4984
1c5z_ligand_239     -64.0173
1c5z_ligand_242     -56.0271
1c5z_ligand_245     -62.4523
1c5z_ligand_248     -59.7656
1c5z_ligand_251     -68.1043
1c5z_ligand_253     -66.6154
1c5z_ligand_263     -59.3508
1c5z_ligand_264     -67.7458
1c5z_ligand_268     -66.5052
1c5z_ligand_270     -63.4861
1c5z_ligand_271     -69.2516
1c5z_ligand_275     -57.5331
1c5z_ligand_276     -59.1550
1c5z_ligand_278     -66.0848
1c5z_ligand_284     -57.7519
1c5z_ligand_285     -61.5379
1c5z_ligand_289     -61.7036
1c5z_ligand_292     -60.0175
1c5z_ligand_294     -66.2165
1c5z_ligand_299     -63.7543
1c5z_ligand_301     -72.5901
1c5z_ligand_304     -70.8666
1c5z_ligand_31      -57.2714
1c5z_ligand_310     -68.9154
1c5z_ligand_312     -67.6302
1c5z_ligand_315     -66.4334
1c5z_ligand_317     -65.4497
1c5z_ligand_318     -68.2684
1c5z_ligand_322     -66.3372
1c5z_ligand_325     -64.8376
1c5z_ligand_332     -62.2932
1c5z_ligand_333     -66.1196
1c5z_ligand_335     -54.4649
1c5z_ligand_348     -65.2524
1c5z_ligand_350     -64.6240
1c5z_ligand_360     -42.3154
1c5z_ligand_367     -65.4647
1c5z_ligand_370     -50.5153
1c5z_ligand_373     -58.7494
1c5z_ligand_377     -54.3144
1c5z_ligand_383     -22.8239
1c5z_ligand_386     -59.6827
1c5z_ligand_388     -26.4907
1c5z_ligand_389     -46.6138
1c5z_ligand_392     -43.5794
1c5z_ligand_393     -57.2962
1c5z_ligand_395     -51.3190
1c5z_ligand_398     -46.5521
1c5z_ligand_399     -27.9707
1c5z_ligand_400     -59.2429
1c5z_ligand_408     -61.6140
1c5z_ligand_426     -58.7081
1c5z_ligand_450     -53.8971
1c5z_ligand_479     -60.9406
1c5z_ligand_53      -37.3544
1c5z_ligand_54      -39.7245
1c5z_ligand_73      -53.7790
1c5z_ligand_78      -39.2884
1c5z_ligand_81      -36.0952
1c5z_ligand_9       -54.7804
1e66_ligand_117     -98.0318
1e66_ligand_119     -108.4358
1e66_ligand_139     -77.5497
1e66_ligand_163     -101.3226
1e66_ligand_169     -96.0778
1e66_ligand_175     -96.9257
1e66_ligand_176     -85.7991
1e66_ligand_177     -90.7030
1e66_ligand_186     -98.9770
1e66_ligand_187     -96.0550
1e66_ligand_188     -94.8295
1e66_ligand_189     -96.9970
1e66_ligand_192     -90.9974
1e66_ligand_194     -100.8477
1e66_ligand_197     -102.0030
1e66_ligand_198     -98.5304
1e66_ligand_199     -111.7833
1e66_ligand_207     -103.5924
1e66_ligand_209     -83.4971
1e66_ligand_210     -103.4925
1e66_ligand_215     -102.4243
1e66_ligand_219     -76.8711
1e66_ligand_222     -80.4892
1e66_ligand_223     -79.9636
1e66_ligand_227     -55.4160
1e66_ligand_229     -74.7017
1e66_ligand_230     -63.8245
1e66_ligand_231     -86.4019
1e66_ligand_232     -77.6100
1e66_ligand_233     -99.9695
1e66_ligand_235     -82.6438
1e66_ligand_238     -93.5651
1e66_ligand_239     -69.6171
1e66_ligand_244     -75.0141
1e66_ligand_245     -93.4959
1e66_ligand_248     -81.5575
1e66_ligand_249     -87.0986
1e66_ligand_254     -107.6763
1e66_ligand_260     -88.1572
1e66_ligand_261     -97.3414
1e66_ligand_270     -99.4910
1e66_ligand_273     -99.0843
1e66_ligand_274     -92.4722
1e66_ligand_276     -120.8925
1e66_ligand_277     -104.8541
1e66_ligand_284     -88.4939
1e66_ligand_287     -70.6681
1e66_ligand_288     -105.0124
1e66_ligand_294     -98.4779
1e66_ligand_302     -100.0126
1e66_ligand_303     -109.3192
1e66_ligand_306     -106.6715
1e66_ligand_307     -112.3809
1e66_ligand_309     -123.8765
1e66_ligand_312     -104.8469
1e66_ligand_315     -100.2085
1e66_ligand_317     -94.5474
1e66_ligand_319     -110.7777
1e66_ligand_327     -102.5173
1e66_ligand_328     -99.1309
1e66_ligand_329     -98.7698
1e66_ligand_330     -107.8394
1e66_ligand_331     -92.5674
1e66_ligand_333     -101.4532
1e66_ligand_334     -105.9323
1e66_ligand_335     -105.5691
1e66_ligand_336     -95.9866
1e66_ligand_345     -102.7834
1e66_ligand_347     -99.8961
1e66_ligand_348     -91.2128
1e66_ligand_355     -104.0059
1e66_ligand_360     -104.5732
1e66_ligand_363     -78.3895
1e66_ligand_366     -102.0170
1e66_ligand_371     -87.9666
1e66_ligand_372     -86.5448
1e66_ligand_378     -98.2971
1e66_ligand_379     -64.0004
1e66_ligand_384     -108.1594
1e66_ligand_386     -92.2246
1e66_ligand_388     -93.8888
1e66_ligand_389     -106.4497
1e66_ligand_392     -87.6302
1e66_ligand_393     -92.9714
1e66_ligand_394     -99.9587
1e66_ligand_396     -105.0555
1e66_ligand_397     -72.5431
1e66_ligand_400     -104.1981
1e66_ligand_411     -95.3168
1e66_ligand_420     -95.3405
1e66_ligand_439     -76.8915
1e66_ligand_445     -97.5452
1e66_ligand_451     -106.9901
1e66_ligand_454     -98.5826
1e66_ligand_462     -86.4164
1e66_ligand_468     -103.0389
1e66_ligand_479     -100.7975
1e66_ligand_484     -63.7324
1e66_ligand_53      -102.0037
1e66_ligand_57      -119.6532
1eby_ligand_10      -98.0869
1eby_ligand_102     -124.1572
1eby_ligand_109     -88.8063
1eby_ligand_11      -111.3891
1eby_ligand_114     -122.6889
1eby_ligand_117     -155.0842
1eby_ligand_121     -136.3203
1eby_ligand_124     -123.7018
1eby_ligand_125     -139.0674
1eby_ligand_129     -109.5550
1eby_ligand_130     -98.3172
1eby_ligand_131     -77.9809
1eby_ligand_132     -220.7206
1eby_ligand_133     -162.5465
1eby_ligand_139     -98.8852
1eby_ligand_14      -82.5403
1eby_ligand_140     -106.1248
1eby_ligand_153     -218.6061
1eby_ligand_154     -272.5687
1eby_ligand_163     -254.0285
1eby_ligand_168     -234.0209
1eby_ligand_17      -95.4807
1eby_ligand_170     -251.2979
1eby_ligand_183     -224.6391
1eby_ligand_19      -138.5039
1eby_ligand_193     -260.0692
1eby_ligand_197     -205.4877
1eby_ligand_201     -72.7644
1eby_ligand_202     -169.3322
1eby_ligand_203     -163.2444
1eby_ligand_204     -117.4494
1eby_ligand_205     -149.9749
1eby_ligand_207     -53.7737
1eby_ligand_208     -163.1583
1eby_ligand_209     -68.1651
1eby_ligand_211     -135.4450
1eby_ligand_212     -145.5711
1eby_ligand_214     -190.9240
1eby_ligand_219     -156.5227
1eby_ligand_223     -72.4839
1eby_ligand_224     -109.2290
1eby_ligand_225     -134.3470
1eby_ligand_227     -99.2641
1eby_ligand_228     -117.1886
1eby_ligand_229     -109.4973
1eby_ligand_231     -140.8953
1eby_ligand_232     -201.3752
1eby_ligand_235     -177.7938
1eby_ligand_236     -190.8048
1eby_ligand_238     -204.4967
1eby_ligand_24      -93.3561
1eby_ligand_242     -117.5391
1eby_ligand_244     -139.1133
1eby_ligand_246     -134.4585
1eby_ligand_247     -170.8204
1eby_ligand_248     -132.1747
1eby_ligand_25      -110.1473
1eby_ligand_250     -145.8183
1eby_ligand_267     -205.3030
1eby_ligand_27      -124.1082
1eby_ligand_276     -224.7486
1eby_ligand_278     -247.8065
1eby_ligand_28      -76.7854
1eby_ligand_291     -215.4783
1eby_ligand_292     -194.0143
1eby_ligand_297     -205.6550
1eby_ligand_298     -169.0995
1eby_ligand_3       -88.1120
1eby_ligand_312     -202.7940
1eby_ligand_32      -109.4740
1eby_ligand_333     -150.2972
1eby_ligand_351     -230.0525
1eby_ligand_357     -192.0549
1eby_ligand_364     -202.3690
1eby_ligand_37      -87.9384
1eby_ligand_373     -228.7569
1eby_ligand_376     -204.1514
1eby_ligand_385     -197.6634
1eby_ligand_386     -211.7736
1eby_ligand_39      -77.4159
1eby_ligand_40      -155.6203
1eby_ligand_41      -144.5393
1eby_ligand_423     -210.5331
1eby_ligand_43      -92.6679
1eby_ligand_436     -235.6863
1eby_ligand_44      -132.2323
1eby_ligand_440     -243.8064
1eby_ligand_441     -226.4445
1eby_ligand_45      -123.5216
1eby_ligand_46      -123.8093
1eby_ligand_50      -86.5238
1eby_ligand_52      -82.2422
1eby_ligand_58      -112.0117
1eby_ligand_6       -78.8581
1eby_ligand_72      -92.7935
1eby_ligand_81      -117.7974
1eby_ligand_84      -121.6682
1eby_ligand_89      -109.3234
1eby_ligand_9       -104.0725
1eby_ligand_98      -110.0708
1g2k_ligand_15      -88.9767
1g2k_ligand_153     -212.0883
1g2k_ligand_154     -205.7490
1g2k_ligand_158     -228.9107
1g2k_ligand_163     -259.7784
1g2k_ligand_164     -252.7119
1g2k_ligand_165     -199.7323
1g2k_ligand_166     -234.9614
1g2k_ligand_172     -255.5631
1g2k_ligand_177     -228.6380
1g2k_ligand_180     -256.2196
1g2k_ligand_181     -236.3590
1g2k_ligand_185     -224.3302
1g2k_ligand_186     -256.9297
1g2k_ligand_187     -249.4517
1g2k_ligand_19      -205.0430
1g2k_ligand_191     -197.2277
1g2k_ligand_195     -243.4642
1g2k_ligand_196     -240.7309
1g2k_ligand_198     -211.3408
1g2k_ligand_199     -230.2783
1g2k_ligand_200     -236.6537
1g2k_ligand_202     -142.4675
1g2k_ligand_204     -89.3976
1g2k_ligand_205     -73.9956
1g2k_ligand_209     -54.0826
1g2k_ligand_211     -122.8373
1g2k_ligand_212     -107.2888
1g2k_ligand_213     -191.2224
1g2k_ligand_215     -109.8254
1g2k_ligand_216     -116.4936
1g2k_ligand_217     -95.2729
1g2k_ligand_218     -185.1599
1g2k_ligand_219     -115.6408
1g2k_ligand_221     -133.6563
1g2k_ligand_222     -157.4581
1g2k_ligand_225     -133.5310
1g2k_ligand_227     -198.5858
1g2k_ligand_232     -136.3297
1g2k_ligand_233     -172.7510
1g2k_ligand_234     -97.0599
1g2k_ligand_237     -106.2664
1g2k_ligand_238     -129.1563
1g2k_ligand_243     -136.3501
1g2k_ligand_245     -96.6814
1g2k_ligand_246     -193.9115
1g2k_ligand_247     -180.1373
1g2k_ligand_249     -83.9259
1g2k_ligand_250     -151.1608
1g2k_ligand_252     -191.4076
1g2k_ligand_255     -194.1445
1g2k_ligand_256     -234.5565
1g2k_ligand_262     -193.6109
1g2k_ligand_264     -196.7008
1g2k_ligand_266     -212.1860
1g2k_ligand_270     -207.8771
1g2k_ligand_271     -189.9522
1g2k_ligand_275     -209.9762
1g2k_ligand_276     -231.8800
1g2k_ligand_277     -211.1860
1g2k_ligand_281     -238.7730
1g2k_ligand_283     -186.6168
1g2k_ligand_284     -219.9542
1g2k_ligand_285     -246.0856
1g2k_ligand_288     -196.0511
1g2k_ligand_289     -165.8381
1g2k_ligand_290     -150.0801
1g2k_ligand_291     -168.5853
1g2k_ligand_293     -203.3434
1g2k_ligand_294     -254.1948
1g2k_ligand_296     -200.2066
1g2k_ligand_298     -233.3082
1g2k_ligand_299     -205.0231
1g2k_ligand_300     -168.8855
1g2k_ligand_301     -216.0463
1g2k_ligand_302     -213.4468
1g2k_ligand_310     -207.1100
1g2k_ligand_311     -219.4043
1g2k_ligand_314     -164.8280
1g2k_ligand_316     -211.4584
1g2k_ligand_320     -220.5257
1g2k_ligand_321     -164.1851
1g2k_ligand_322     -214.6010
1g2k_ligand_324     -168.5464
1g2k_ligand_326     -172.3528
1g2k_ligand_327     -149.7868
1g2k_ligand_33      -84.0789
1g2k_ligand_331     -179.9356
1g2k_ligand_335     -154.5109
1g2k_ligand_341     -210.0905
1g2k_ligand_343     -208.9228
1g2k_ligand_344     -218.1451
