#code_ligand_num    score   
1a30_ligand_1       -158.5312
1a30_ligand_101     -83.0870
1a30_ligand_122     -177.4052
1a30_ligand_123     -192.3814
1a30_ligand_124     -177.2194
1a30_ligand_125     -172.6802
1a30_ligand_141     -147.6724
1a30_ligand_143     -159.2511
1a30_ligand_144     -74.5834
1a30_ligand_146     -177.2686
1a30_ligand_149     -105.2513
1a30_ligand_154     -142.0234
1a30_ligand_159     -165.7555
1a30_ligand_167     -175.4991
1a30_ligand_170     -175.4015
1a30_ligand_184     -174.2060
1a30_ligand_185     -180.8911
1a30_ligand_188     -236.2032
1a30_ligand_19      -159.8062
1a30_ligand_195     -177.4582
1a30_ligand_196     -179.3517
1a30_ligand_197     -191.4929
1a30_ligand_198     -187.7676
1a30_ligand_20      -148.9003
1a30_ligand_201     -149.0055
1a30_ligand_203     -153.5496
1a30_ligand_204     -124.2439
1a30_ligand_205     -125.9852
1a30_ligand_206     -117.7526
1a30_ligand_207     -125.2208
1a30_ligand_210     -153.3328
1a30_ligand_213     -176.0889
1a30_ligand_214     -120.6969
1a30_ligand_215     -137.2777
1a30_ligand_219     -104.9207
1a30_ligand_222     -180.7554
1a30_ligand_229     -141.7910
1a30_ligand_232     -128.3496
1a30_ligand_236     -148.9975
1a30_ligand_237     -177.3883
1a30_ligand_238     -184.1984
1a30_ligand_239     -149.1651
1a30_ligand_240     -95.5327
1a30_ligand_241     -171.2283
1a30_ligand_242     -111.7450
1a30_ligand_243     -131.0862
1a30_ligand_246     -150.8871
1a30_ligand_253     -178.5218
1a30_ligand_264     -173.7203
1a30_ligand_267     -169.5680
1a30_ligand_27      -189.8879
1a30_ligand_274     -170.3712
1a30_ligand_276     -194.6637
1a30_ligand_279     -151.8152
1a30_ligand_282     -190.8253
1a30_ligand_290     -159.3729
1a30_ligand_293     -160.1043
1a30_ligand_3       -159.5136
1a30_ligand_304     -177.2025
1a30_ligand_306     -162.6504
1a30_ligand_31      -158.7611
1a30_ligand_313     -169.8045
1a30_ligand_315     -165.5546
1a30_ligand_316     -153.2098
1a30_ligand_322     -141.1602
1a30_ligand_333     -165.7709
1a30_ligand_340     -171.3681
1a30_ligand_341     -173.2692
1a30_ligand_346     -178.3825
1a30_ligand_347     -159.1861
1a30_ligand_349     -163.5746
1a30_ligand_350     -185.9570
1a30_ligand_376     -197.9796
1a30_ligand_385     -215.3655
1a30_ligand_389     -185.5453
1a30_ligand_391     -190.5669
1a30_ligand_393     -221.8975
1a30_ligand_397     -168.8747
1a30_ligand_40      -89.1881
1a30_ligand_403     -207.5047
1a30_ligand_405     -168.5107
1a30_ligand_431     -215.7395
1a30_ligand_432     -176.0227
1a30_ligand_444     -184.6450
1a30_ligand_449     -184.2636
1a30_ligand_45      -119.8143
1a30_ligand_493     -168.5510
1a30_ligand_50      -112.6685
1a30_ligand_51      -123.4312
1a30_ligand_52      -98.9549
1a30_ligand_55      -131.2927
1a30_ligand_63      -101.5771
1a30_ligand_65      -181.7618
1a30_ligand_69      -161.0720
1a30_ligand_7       -181.3732
1a30_ligand_70      -151.1520
1a30_ligand_76      -77.3970
1a30_ligand_85      -87.5166
1a30_ligand_86      -179.6472
1a30_ligand_94      -150.6584
1bcu_ligand_105     -76.7790
1bcu_ligand_115     -60.9747
1bcu_ligand_134     -54.2871
1bcu_ligand_135     -61.3307
1bcu_ligand_136     -86.9797
1bcu_ligand_148     -79.7078
1bcu_ligand_155     -78.2090
1bcu_ligand_162     -82.5256
1bcu_ligand_163     -82.5324
1bcu_ligand_168     -78.3453
1bcu_ligand_176     -68.4314
1bcu_ligand_178     -70.4482
1bcu_ligand_179     -80.0092
1bcu_ligand_182     -67.4047
1bcu_ligand_183     -74.4594
1bcu_ligand_191     -79.7812
1bcu_ligand_2       -74.9272
1bcu_ligand_200     -81.9263
1bcu_ligand_205     -69.9307
1bcu_ligand_210     -69.0890
1bcu_ligand_216     -79.1495
1bcu_ligand_219     -58.0047
1bcu_ligand_222     -75.7467
1bcu_ligand_23      -75.4895
1bcu_ligand_230     -70.4966
1bcu_ligand_234     -75.6046
1bcu_ligand_240     -74.1841
1bcu_ligand_244     -59.3781
1bcu_ligand_249     -62.3578
1bcu_ligand_256     -72.5794
1bcu_ligand_261     -67.9171
1bcu_ligand_263     -60.5756
1bcu_ligand_265     -62.8912
1bcu_ligand_274     -69.7533
1bcu_ligand_276     -64.6043
1bcu_ligand_293     -84.1955
1bcu_ligand_294     -67.8298
1bcu_ligand_297     -72.5446
1bcu_ligand_3       -95.8698
1bcu_ligand_313     -82.6379
1bcu_ligand_328     -78.8820
1bcu_ligand_337     -69.1778
1bcu_ligand_340     -83.5416
1bcu_ligand_344     -76.1610
1bcu_ligand_346     -92.3449
1bcu_ligand_355     -75.5588
1bcu_ligand_357     -58.5824
1bcu_ligand_362     -71.5237
1bcu_ligand_363     -58.2210
1bcu_ligand_366     -42.1986
1bcu_ligand_367     -52.7621
1bcu_ligand_368     -34.4240
1bcu_ligand_37      -70.5622
1bcu_ligand_370     -35.2643
1bcu_ligand_373     -50.3262
1bcu_ligand_374     -43.0829
1bcu_ligand_375     -48.7405
1bcu_ligand_376     -27.4639
1bcu_ligand_377     -67.4183
1bcu_ligand_379     -40.3590
1bcu_ligand_381     -47.5232
1bcu_ligand_382     -40.0188
1bcu_ligand_383     -37.6587
1bcu_ligand_384     -47.6920
1bcu_ligand_385     -40.7323
1bcu_ligand_388     -29.1980
1bcu_ligand_390     -40.8341
1bcu_ligand_391     -57.3792
1bcu_ligand_392     -65.1171
1bcu_ligand_394     -41.7389
1bcu_ligand_395     -41.4712
1bcu_ligand_396     -40.6569
1bcu_ligand_397     -22.7072
1bcu_ligand_400     -34.8886
1bcu_ligand_401     -66.9634
1bcu_ligand_404     -74.7572
1bcu_ligand_405     -71.7856
1bcu_ligand_406     -73.3157
1bcu_ligand_407     -57.1110
1bcu_ligand_411     -70.8774
1bcu_ligand_413     -64.0455
1bcu_ligand_414     -70.3701
1bcu_ligand_419     -65.4662
1bcu_ligand_42      -83.9205
1bcu_ligand_420     -69.0563
1bcu_ligand_424     -67.2707
1bcu_ligand_432     -61.9779
1bcu_ligand_437     -62.4343
1bcu_ligand_440     -78.4665
1bcu_ligand_442     -66.5304
1bcu_ligand_443     -54.8677
1bcu_ligand_445     -71.1331
1bcu_ligand_446     -73.3470
1bcu_ligand_449     -71.3969
1bcu_ligand_450     -55.4051
1bcu_ligand_457     -74.3893
1bcu_ligand_458     -77.0260
1bcu_ligand_480     -65.9565
1bcu_ligand_498     -67.6682
1bcu_ligand_99      -72.2703
1bzc_ligand_107     -167.7877
1bzc_ligand_113     -213.2775
1bzc_ligand_127     -205.5060
1bzc_ligand_14      -188.0041
1bzc_ligand_147     -170.4715
1bzc_ligand_152     -225.5822
1bzc_ligand_159     -230.2533
1bzc_ligand_165     -200.9198
1bzc_ligand_166     -207.2835
1bzc_ligand_168     -225.6165
1bzc_ligand_171     -184.9556
1bzc_ligand_175     -180.8574
1bzc_ligand_176     -210.4217
1bzc_ligand_179     -186.2504
1bzc_ligand_189     -215.5905
1bzc_ligand_191     -214.8841
1bzc_ligand_192     -213.9824
1bzc_ligand_199     -217.7146
1bzc_ligand_202     -170.7616
1bzc_ligand_203     -146.9504
1bzc_ligand_207     -182.1892
1bzc_ligand_208     -181.6625
1bzc_ligand_209     -142.2864
1bzc_ligand_210     -145.0618
1bzc_ligand_211     -184.1440
1bzc_ligand_212     -147.4199
1bzc_ligand_214     -182.7343
1bzc_ligand_219     -173.8595
1bzc_ligand_221     -154.7799
1bzc_ligand_222     -122.8442
1bzc_ligand_223     -156.0631
1bzc_ligand_225     -157.1166
1bzc_ligand_228     -174.6112
1bzc_ligand_229     -134.2695
1bzc_ligand_230     -189.2950
1bzc_ligand_231     -161.7471
1bzc_ligand_235     -136.9214
1bzc_ligand_238     -165.3478
1bzc_ligand_239     -163.8759
1bzc_ligand_242     -165.9515
1bzc_ligand_246     -153.6754
1bzc_ligand_247     -140.6123
1bzc_ligand_252     -185.8163
1bzc_ligand_257     -182.6957
1bzc_ligand_259     -166.2942
1bzc_ligand_26      -200.3559
1bzc_ligand_267     -189.8601
1bzc_ligand_272     -198.3610
1bzc_ligand_276     -180.5135
1bzc_ligand_277     -188.8705
1bzc_ligand_278     -177.8699
1bzc_ligand_283     -177.8348
1bzc_ligand_285     -202.4587
1bzc_ligand_287     -191.1983
1bzc_ligand_289     -179.9011
1bzc_ligand_290     -178.8102
1bzc_ligand_300     -207.8600
1bzc_ligand_303     -159.6203
1bzc_ligand_307     -177.3061
1bzc_ligand_309     -173.1453
1bzc_ligand_310     -182.5587
1bzc_ligand_311     -184.7863
1bzc_ligand_313     -168.1628
1bzc_ligand_315     -176.5283
1bzc_ligand_316     -159.6096
1bzc_ligand_317     -187.7109
1bzc_ligand_322     -191.1618
1bzc_ligand_325     -192.7766
1bzc_ligand_327     -190.1780
1bzc_ligand_328     -190.7179
1bzc_ligand_330     -218.6893
1bzc_ligand_331     -196.9976
1bzc_ligand_334     -166.9070
1bzc_ligand_335     -157.0598
1bzc_ligand_336     -180.8456
1bzc_ligand_337     -170.1259
1bzc_ligand_340     -157.4000
1bzc_ligand_344     -164.4925
1bzc_ligand_345     -182.1308
1bzc_ligand_347     -194.3447
1bzc_ligand_349     -188.4742
1bzc_ligand_350     -206.4537
1bzc_ligand_358     -183.7991
1bzc_ligand_38      -211.5893
1bzc_ligand_384     -175.7994
1bzc_ligand_392     -183.2981
1bzc_ligand_43      -193.7857
1bzc_ligand_447     -220.5302
1bzc_ligand_451     -187.8548
1bzc_ligand_454     -207.0857
1bzc_ligand_51      -135.1435
1bzc_ligand_64      -176.1270
1bzc_ligand_73      -190.8798
1bzc_ligand_74      -154.6796
1bzc_ligand_76      -187.6043
1bzc_ligand_79      -190.3726
1bzc_ligand_80      -191.9112
1bzc_ligand_85      -181.4591
1bzc_ligand_94      -87.1715
1bzc_ligand_99      -171.3558
1c5z_ligand_128     -55.9859
1c5z_ligand_13      -47.9081
1c5z_ligand_132     -43.0903
1c5z_ligand_144     -44.1710
1c5z_ligand_169     -5.6223 
1c5z_ligand_173     -19.8698
1c5z_ligand_176     -4.2607 
1c5z_ligand_180     -5.5163 
1c5z_ligand_181     -13.0158
1c5z_ligand_193     -28.6854
1c5z_ligand_194     -17.0526
1c5z_ligand_198     -20.1687
1c5z_ligand_20      -51.4192
1c5z_ligand_200     -30.1342
1c5z_ligand_203     -4.0466 
1c5z_ligand_206     4.5927  
1c5z_ligand_210     -21.2587
1c5z_ligand_212     -10.3441
1c5z_ligand_213     -1.4197 
1c5z_ligand_215     -18.0913
1c5z_ligand_217     -10.9563
1c5z_ligand_218     -30.4868
1c5z_ligand_219     4.3902  
1c5z_ligand_221     -9.4358 
1c5z_ligand_222     -25.0650
1c5z_ligand_224     -7.1872 
1c5z_ligand_225     -5.0926 
1c5z_ligand_227     -17.8158
1c5z_ligand_230     -14.5977
1c5z_ligand_231     8.4979  
1c5z_ligand_233     -26.7565
1c5z_ligand_234     -5.9534 
1c5z_ligand_235     -22.2164
1c5z_ligand_236     -8.3979 
1c5z_ligand_237     -7.7654 
1c5z_ligand_239     -26.0695
1c5z_ligand_243     -20.0265
1c5z_ligand_244     -12.4107
1c5z_ligand_247     1.4587  
1c5z_ligand_248     -4.2806 
1c5z_ligand_249     -3.9734 
1c5z_ligand_252     -10.8913
1c5z_ligand_253     -7.3207 
1c5z_ligand_254     -3.0282 
1c5z_ligand_264     0.1428  
1c5z_ligand_266     -0.0469 
1c5z_ligand_267     -10.4165
1c5z_ligand_269     -8.6825 
1c5z_ligand_273     0.1645  
1c5z_ligand_279     -0.3166 
1c5z_ligand_280     -8.4427 
1c5z_ligand_282     1.6605  
1c5z_ligand_285     -1.5921 
1c5z_ligand_287     -8.4762 
1c5z_ligand_289     0.4135  
1c5z_ligand_293     0.2194  
1c5z_ligand_295     -17.7085
1c5z_ligand_297     -6.3740 
1c5z_ligand_298     -0.7891 
1c5z_ligand_303     -10.2501
1c5z_ligand_304     -23.2431
1c5z_ligand_305     -19.5281
1c5z_ligand_308     -18.0420
1c5z_ligand_309     -12.3681
1c5z_ligand_311     -12.5187
1c5z_ligand_312     -15.2092
1c5z_ligand_315     -24.3652
1c5z_ligand_316     -30.3005
1c5z_ligand_318     -21.2140
1c5z_ligand_320     -26.7739
1c5z_ligand_322     -24.2452
1c5z_ligand_324     -16.0411
1c5z_ligand_326     -0.7180 
1c5z_ligand_328     -14.1540
1c5z_ligand_330     -26.6550
1c5z_ligand_333     -10.2391
1c5z_ligand_334     -9.6390 
1c5z_ligand_339     4.5996  
1c5z_ligand_340     -17.4166
1c5z_ligand_342     -24.4879
1c5z_ligand_343     -5.0080 
1c5z_ligand_346     -16.7193
1c5z_ligand_347     -18.3131
1c5z_ligand_350     -21.1317
1c5z_ligand_352     -8.2333 
1c5z_ligand_366     -9.9915 
1c5z_ligand_374     -13.1708
1c5z_ligand_377     -18.9713
1c5z_ligand_384     -15.1176
1c5z_ligand_386     -13.0042
1c5z_ligand_389     -12.2510
1c5z_ligand_398     -8.4332 
1c5z_ligand_432     -16.3176
1c5z_ligand_439     -8.4212 
1c5z_ligand_48      -49.4756
1c5z_ligand_50      -49.5691
1c5z_ligand_53      -34.5371
1c5z_ligand_64      -47.9454
1c5z_ligand_81      -41.4506
1c5z_ligand_95      -50.8566
1e66_ligand_1       -119.8909
1e66_ligand_105     -108.8204
1e66_ligand_140     -88.3836
1e66_ligand_143     -79.6282
1e66_ligand_151     -135.3560
1e66_ligand_155     -104.9174
1e66_ligand_158     -127.6797
1e66_ligand_160     -105.7403
1e66_ligand_161     -121.8664
1e66_ligand_162     -118.7954
1e66_ligand_165     -102.7978
1e66_ligand_168     -112.6773
1e66_ligand_169     -117.2114
1e66_ligand_171     -114.9138
1e66_ligand_175     -87.4833
1e66_ligand_179     -103.8904
1e66_ligand_180     -103.0069
1e66_ligand_181     -114.3043
1e66_ligand_188     -101.5849
1e66_ligand_190     -110.6703
1e66_ligand_191     -109.6021
1e66_ligand_194     -86.8115
1e66_ligand_198     -92.9731
1e66_ligand_199     -105.3335
1e66_ligand_200     -94.0118
1e66_ligand_208     -88.0281
1e66_ligand_209     -89.7117
1e66_ligand_211     -88.8111
1e66_ligand_214     -101.2497
1e66_ligand_218     -80.9096
1e66_ligand_219     -97.1299
1e66_ligand_222     -88.8425
1e66_ligand_224     -88.7416
