#code_ligand_num    score   
1a30_ligand_102     -78.9575
1a30_ligand_103     -122.8256
1a30_ligand_108     -85.8553
1a30_ligand_109     -85.3484
1a30_ligand_11      -62.0733
1a30_ligand_111     -73.8494
1a30_ligand_113     -68.5129
1a30_ligand_116     -90.7045
1a30_ligand_118     -86.5089
1a30_ligand_119     -132.8784
1a30_ligand_12      -38.8957
1a30_ligand_123     -84.7653
1a30_ligand_13      -54.2292
1a30_ligand_133     -67.2872
1a30_ligand_135     -86.9477
1a30_ligand_148     -84.7153
1a30_ligand_157     -136.0331
1a30_ligand_16      -96.0630
1a30_ligand_162     -124.4313
1a30_ligand_169     -138.2368
1a30_ligand_17      -57.0214
1a30_ligand_176     -128.8936
1a30_ligand_183     -116.0918
1a30_ligand_188     -136.3539
1a30_ligand_193     -122.2365
1a30_ligand_199     -155.9356
1a30_ligand_200     -129.1128
1a30_ligand_201     -94.0687
1a30_ligand_209     -91.3359
1a30_ligand_214     -91.6462
1a30_ligand_224     -82.3175
1a30_ligand_225     -46.5037
1a30_ligand_232     -36.1939
1a30_ligand_233     -79.6262
1a30_ligand_234     -75.1951
1a30_ligand_235     -89.0553
1a30_ligand_239     -70.7453
1a30_ligand_244     -63.4781
1a30_ligand_263     -111.3391
1a30_ligand_27      -80.6258
1a30_ligand_283     -81.8458
1a30_ligand_287     -118.9842
1a30_ligand_29      -25.1543
1a30_ligand_296     -96.9001
1a30_ligand_297     -74.2976
1a30_ligand_3       -100.6100
1a30_ligand_305     -89.5099
1a30_ligand_31      -42.2794
1a30_ligand_311     -129.2400
1a30_ligand_32      -41.0587
1a30_ligand_325     -113.4199
1a30_ligand_33      -123.5779
1a30_ligand_332     -63.5141
1a30_ligand_342     -76.6335
1a30_ligand_346     -125.0115
1a30_ligand_36      -57.9573
1a30_ligand_362     -73.5630
1a30_ligand_368     -79.0100
1a30_ligand_376     -64.1938
1a30_ligand_377     -80.5711
1a30_ligand_38      -82.9141
1a30_ligand_386     -125.0322
1a30_ligand_389     -84.9462
1a30_ligand_390     -107.8785
1a30_ligand_397     -72.8062
1a30_ligand_4       -55.0855
1a30_ligand_400     -65.6188
1a30_ligand_41      -71.7640
1a30_ligand_42      -60.6766
1a30_ligand_427     -141.9363
1a30_ligand_43      -91.1556
1a30_ligand_432     -82.5294
1a30_ligand_44      -59.1153
1a30_ligand_444     -82.0792
1a30_ligand_449     -73.4571
1a30_ligand_45      -67.2690
1a30_ligand_462     -113.8550
1a30_ligand_466     -98.4334
1a30_ligand_498     -123.6675
1a30_ligand_58      -103.9465
1a30_ligand_6       -62.8471
1a30_ligand_60      -67.9514
1a30_ligand_63      -79.1317
1a30_ligand_65      -100.4995
1a30_ligand_66      -59.8391
1a30_ligand_67      -67.3925
1a30_ligand_7       -48.4736
1a30_ligand_70      -80.0292
1a30_ligand_73      -53.6859
1a30_ligand_74      -37.5971
1a30_ligand_76      -111.9696
1a30_ligand_79      -124.2523
