#code_ligand_num    score   
1a30_ligand_100     -200539 
1a30_ligand_104     -180449 
1a30_ligand_106     -185742 
1a30_ligand_10      -164508 
1a30_ligand_110     -197307 
1a30_ligand_115     -160695 
1a30_ligand_120     -130368 
1a30_ligand_121     -189383 
1a30_ligand_122     -151745 
1a30_ligand_124     -192019 
1a30_ligand_125     -179806 
1a30_ligand_127     -189674 
1a30_ligand_140     -157600 
1a30_ligand_14      -172521 
1a30_ligand_152     -55596.8
1a30_ligand_15      -166776 
1a30_ligand_162     -72919.2
1a30_ligand_164     -55637  
1a30_ligand_16      -133026 
1a30_ligand_171     -94381.6
1a30_ligand_173     -75082.1
1a30_ligand_179     -63917.8
1a30_ligand_183     -11215.9
1a30_ligand_197     -68929.6
1a30_ligand_19      -125982 
1a30_ligand_203     -75703.6
1a30_ligand_204     -93969.5
1a30_ligand_205     -89235.9
1a30_ligand_207     -117804 
1a30_ligand_209     -83626.5
1a30_ligand_215     -92865.1
1a30_ligand_220     -102782 
1a30_ligand_222     -91940.1
1a30_ligand_224     -66201.8
1a30_ligand_226     -92528.1
1a30_ligand_227     -55582.6
1a30_ligand_229     -141112 
1a30_ligand_231     -136909 
1a30_ligand_235     -64556.5
1a30_ligand_236     -95762.5
1a30_ligand_240     -93831.8
1a30_ligand_241     -74913.6
1a30_ligand_24      -119235 
1a30_ligand_262     -88216.4
1a30_ligand_265     -130691 
1a30_ligand_268     -10556.3
1a30_ligand_279     -111358 
1a30_ligand_27      -170100 
1a30_ligand_283     -122604 
1a30_ligand_285     -57694.5
1a30_ligand_289     -99945.8
1a30_ligand_28      -162165 
1a30_ligand_290     -4662.17
1a30_ligand_296     -77388.1
1a30_ligand_300     -109203 
1a30_ligand_301     -38161.3
1a30_ligand_302     -24010  
1a30_ligand_30      -128146 
1a30_ligand_310     -31355.5
1a30_ligand_313     -5211.83
1a30_ligand_314     16662.1 
1a30_ligand_317     -63754.1
1a30_ligand_319     -77633.1
1a30_ligand_31      -142569 
1a30_ligand_320     -50464.1
1a30_ligand_323     -89535  
1a30_ligand_327     -32607.5
1a30_ligand_330     -44920  
1a30_ligand_332     -81783  
1a30_ligand_335     -114381 
1a30_ligand_337     -99585.5
1a30_ligand_33      -171239 
1a30_ligand_341     1588.28 
1a30_ligand_346     -35461.7
1a30_ligand_349     -15659.7
1a30_ligand_35      -157858 
1a30_ligand_369     -162171 
1a30_ligand_378     -175226 
1a30_ligand_387     -171593 
1a30_ligand_38      -168422 
1a30_ligand_403     -127120 
1a30_ligand_42      -116967 
1a30_ligand_441     -77428.5
1a30_ligand_446     -152097 
1a30_ligand_463     -174136 
1a30_ligand_48      -153741 
1a30_ligand_490     -105759 
1a30_ligand_4       -169601 
1a30_ligand_54      -142122 
1a30_ligand_59      -138698 
1a30_ligand_5       -113882 
1a30_ligand_61      -181191 
1a30_ligand_64      -140096 
1a30_ligand_66      -100004 
1a30_ligand_68      -185859 
1a30_ligand_70      -122672 
1a30_ligand_86      -207045 
1a30_ligand_87      -188801 
1a30_ligand_8       -147925 
1a30_ligand_9       -149516 
1bcu_ligand_122     -182586 
1bcu_ligand_137     -168330 
1bcu_ligand_154     -143437 
1bcu_ligand_158     -107440 
1bcu_ligand_160     -87007.1
1bcu_ligand_167     -122729 
1bcu_ligand_168     -151864 
1bcu_ligand_199     -92817.5
1bcu_ligand_202     -138000 
1bcu_ligand_214     -134262 
1bcu_ligand_215     -149397 
1bcu_ligand_223     -174431 
1bcu_ligand_227     -113945 
1bcu_ligand_231     -129480 
1bcu_ligand_233     -131952 
1bcu_ligand_234     -151684 
1bcu_ligand_241     -127937 
1bcu_ligand_259     -165377 
1bcu_ligand_277     -152365 
1bcu_ligand_283     -125618 
1bcu_ligand_284     -98353.5
1bcu_ligand_285     -131425 
1bcu_ligand_301     -4671.02
1bcu_ligand_309     -101702 
1bcu_ligand_310     -51927.2
1bcu_ligand_328     -60918.2
1bcu_ligand_335     -72218.4
1bcu_ligand_351     -145010 
1bcu_ligand_352     -133228 
1bcu_ligand_354     -61268.1
1bcu_ligand_357     -53469.1
1bcu_ligand_358     -115874 
1bcu_ligand_364     -59526.3
1bcu_ligand_365     -69920.1
1bcu_ligand_366     -41873  
1bcu_ligand_367     -15020  
1bcu_ligand_368     -37860.5
1bcu_ligand_369     -53389.9
1bcu_ligand_370     -44943.4
1bcu_ligand_371     -107262 
1bcu_ligand_372     -60471.1
1bcu_ligand_373     -31901.9
1bcu_ligand_374     -52744.9
1bcu_ligand_376     -28649.9
1bcu_ligand_377     -89309.2
1bcu_ligand_378     -62635.6
1bcu_ligand_379     -51988.9
1bcu_ligand_380     -85769.3
1bcu_ligand_381     -57029.5
1bcu_ligand_384     -46453.2
1bcu_ligand_385     -56435.2
1bcu_ligand_386     -46608.8
1bcu_ligand_387     -76338.5
1bcu_ligand_388     -90618  
1bcu_ligand_389     -100404 
1bcu_ligand_390     -75583.3
1bcu_ligand_391     -35080.2
1bcu_ligand_392     -59651.2
1bcu_ligand_393     -48539.8
1bcu_ligand_395     -72481.5
1bcu_ligand_397     -32822.3
1bcu_ligand_398     -97656  
1bcu_ligand_399     -60822  
1bcu_ligand_400     -53296.4
1bcu_ligand_407     -131793 
1bcu_ligand_409     -81766.9
1bcu_ligand_415     -105877 
1bcu_ligand_417     -128794 
1bcu_ligand_418     -136184 
1bcu_ligand_419     -135806 
1bcu_ligand_421     -58031.8
1bcu_ligand_424     -131592 
1bcu_ligand_426     -72896.3
1bcu_ligand_428     -85803.5
1bcu_ligand_429     -47190  
1bcu_ligand_432     -85806.7
1bcu_ligand_433     -26600.1
1bcu_ligand_435     -60807.3
1bcu_ligand_438     -100536 
1bcu_ligand_442     -77169.5
1bcu_ligand_444     -82846.6
