#code_ligand_num    score   
1a30_ligand_102     -114625 
1a30_ligand_103     -149216 
1a30_ligand_106     -96202.3
1a30_ligand_109     -147922 
1a30_ligand_10      -172155 
1a30_ligand_111     -111542 
1a30_ligand_114     -171768 
1a30_ligand_115     -143804 
1a30_ligand_116     -117373 
1a30_ligand_121     -166016 
1a30_ligand_123     -146698 
1a30_ligand_126     -140053 
1a30_ligand_130     -121647 
1a30_ligand_131     -157248 
1a30_ligand_13      -157693 
1a30_ligand_147     -103518 
1a30_ligand_151     -52552.6
1a30_ligand_165     -98592.5
1a30_ligand_169     -57112.1
1a30_ligand_16      -90957.8
1a30_ligand_182     23271.7 
1a30_ligand_186     112773  
1a30_ligand_188     -9494.7 
1a30_ligand_190     -102693 
1a30_ligand_191     -11903.2
1a30_ligand_195     -41806.4
1a30_ligand_198     -19924.3
1a30_ligand_1       -99346.6
1a30_ligand_203     -86504.9
1a30_ligand_208     -117038 
1a30_ligand_215     -105306 
1a30_ligand_219     -42585  
1a30_ligand_226     -112160 
1a30_ligand_228     -110305 
1a30_ligand_22      -172490 
1a30_ligand_231     -84385.8
1a30_ligand_234     -111044 
1a30_ligand_239     -125351 
1a30_ligand_242     -60112.3
1a30_ligand_243     -114518 
1a30_ligand_245     -78515.9
1a30_ligand_246     -109327 
1a30_ligand_249     -145240 
1a30_ligand_259     10485.6 
1a30_ligand_25      -173832 
1a30_ligand_268     -76439.3
1a30_ligand_269     -85978.6
1a30_ligand_271     -37729.6
1a30_ligand_272     -124138 
1a30_ligand_27      -183819 
1a30_ligand_280     -85753.2
1a30_ligand_284     -118250 
1a30_ligand_291     -58008.3
1a30_ligand_296     -105264 
1a30_ligand_29      -124970 
1a30_ligand_307     -145768 
1a30_ligand_319     -96607.6
1a30_ligand_328     -88551.3
1a30_ligand_32      -141168 
1a30_ligand_336     77772.4 
1a30_ligand_341     -5717   
1a30_ligand_342     -75688.1
1a30_ligand_349     -83417.9
1a30_ligand_350     -72061.1
1a30_ligand_366     -108502 
1a30_ligand_376     -88150  
1a30_ligand_380     -116323 
1a30_ligand_395     -100407 
1a30_ligand_39      -141848 
1a30_ligand_402     -117269 
1a30_ligand_403     -114358 
1a30_ligand_416     -147741 
1a30_ligand_421     -164956 
1a30_ligand_438     -50446.2
1a30_ligand_458     -114950 
1a30_ligand_475     -208208 
1a30_ligand_479     -126285 
1a30_ligand_47      -127644 
1a30_ligand_48      -136124 
1a30_ligand_497     -121502 
1a30_ligand_55      -133896 
1a30_ligand_58      -86688.7
1a30_ligand_60      -99385.3
1a30_ligand_61      -96080.1
1a30_ligand_63      -98288.7
1a30_ligand_64      -116113 
1a30_ligand_65      -131763 
1a30_ligand_69      -117033 
1a30_ligand_72      -145223 
1a30_ligand_74      -43825.6
1a30_ligand_7       -144112 
1a30_ligand_80      -122757 
1a30_ligand_82      -138085 
1a30_ligand_86      -95277.9
1a30_ligand_87      -70115.2
1a30_ligand_88      -113625 
1a30_ligand_90      -88323.1
1a30_ligand_92      -163575 
1a30_ligand_96      -114364 
1a30_ligand_9       -150488 
1bcu_ligand_109     -156936 
1bcu_ligand_139     -191096 
1bcu_ligand_159     -77973.4
1bcu_ligand_165     -26028.7
1bcu_ligand_168     -61295  
1bcu_ligand_190     -83013.2
1bcu_ligand_192     -78153  
1bcu_ligand_195     -140598 
1bcu_ligand_201     -125172 
1bcu_ligand_205     -110991 
1bcu_ligand_207     -128820 
1bcu_ligand_212     -88272.6
1bcu_ligand_213     -142731 
1bcu_ligand_215     -125311 
1bcu_ligand_21      -178149 
1bcu_ligand_220     -119656 
1bcu_ligand_222     -104266 
1bcu_ligand_224     -137395 
1bcu_ligand_225     -128146 
1bcu_ligand_227     -127951 
1bcu_ligand_228     -127486 
1bcu_ligand_233     -138801 
1bcu_ligand_234     -73345.3
1bcu_ligand_241     -64700.5
1bcu_ligand_242     -58802.6
1bcu_ligand_250     -79035.8
1bcu_ligand_255     -125740 
1bcu_ligand_260     -87621.4
1bcu_ligand_266     -118096 
1bcu_ligand_282     -94834  
1bcu_ligand_283     -143548 
1bcu_ligand_285     -107667 
1bcu_ligand_291     -114561 
1bcu_ligand_293     -86803.9
1bcu_ligand_294     -57271.3
1bcu_ligand_295     -8599.31
1bcu_ligand_308     3155.62 
1bcu_ligand_313     -102576 
1bcu_ligand_318     -111023 
1bcu_ligand_336     -55929.3
1bcu_ligand_342     -31357  
1bcu_ligand_344     -67862.6
1bcu_ligand_347     -46664.2
1bcu_ligand_350     -66422.5
1bcu_ligand_351     -122689 
1bcu_ligand_354     -63322.8
1bcu_ligand_357     -38374.2
1bcu_ligand_361     -80770.8
1bcu_ligand_363     -42564  
1bcu_ligand_364     -22804.7
1bcu_ligand_368     -55780.4
1bcu_ligand_369     -41150.8
1bcu_ligand_372     -64442.2
1bcu_ligand_377     -1721.89
1bcu_ligand_379     -35915.3
1bcu_ligand_380     -68706.3
1bcu_ligand_381     28857.9 
1bcu_ligand_382     -56496.6
1bcu_ligand_383     -67931.3
1bcu_ligand_384     -58001.3
1bcu_ligand_385     -54835.1
1bcu_ligand_386     -65995  
1bcu_ligand_387     4119.45 
1bcu_ligand_388     9713.2  
1bcu_ligand_389     -69692.6
1bcu_ligand_390     -62226.6
1bcu_ligand_391     1655.39 
1bcu_ligand_392     -74285.8
1bcu_ligand_393     -53710.9
1bcu_ligand_394     -77219.6
1bcu_ligand_395     -58701.1
1bcu_ligand_396     -69384.3
1bcu_ligand_397     20129   
1bcu_ligand_398     -82108.5
1bcu_ligand_399     -22075.9
1bcu_ligand_400     -30459.8
1bcu_ligand_401     -63954  
1bcu_ligand_406     -97337.3
1bcu_ligand_411     -97401.2
1bcu_ligand_417     -47102.2
1bcu_ligand_418     -38571.2
1bcu_ligand_423     -72117.5
1bcu_ligand_430     -52092.6
1bcu_ligand_433     -57905.5
1bcu_ligand_435     -61847.8
1bcu_ligand_436     -74074.3
1bcu_ligand_437     -65852.2
1bcu_ligand_44      -173612 
1bcu_ligand_452     -136389 
1bcu_ligand_482     -32164.3
1bcu_ligand_483     -68475.7
1bcu_ligand_484     -77856.6
1bcu_ligand_487     -76159.4
1bcu_ligand_491     -82114.1
