#code_ligand_num    score   
1a30_ligand_101     -128983 
1a30_ligand_107     -118146 
1a30_ligand_108     -146121 
1a30_ligand_10      -126256 
1a30_ligand_115     -123820 
1a30_ligand_128     -157421 
1a30_ligand_129     -144813 
1a30_ligand_131     -125591 
1a30_ligand_135     -83348.7
1a30_ligand_152     -30988.5
1a30_ligand_154     -21328.2
1a30_ligand_163     -6304.26
1a30_ligand_171     30062.5 
1a30_ligand_190     29857.7 
1a30_ligand_191     -12640.5
1a30_ligand_193     -36054.7
1a30_ligand_200     -42989.6
1a30_ligand_201     -52789.6
1a30_ligand_203     -69803.7
1a30_ligand_206     -41178.2
1a30_ligand_207     -69799.3
1a30_ligand_209     -48544.6
1a30_ligand_210     -58407.2
1a30_ligand_216     -47755.3
1a30_ligand_217     -43360.6
1a30_ligand_218     -68434.4
1a30_ligand_219     -105041 
1a30_ligand_21      -128774 
1a30_ligand_220     -86932.4
1a30_ligand_222     -27831.2
1a30_ligand_224     -77105.8
1a30_ligand_225     -86140.2
1a30_ligand_230     -80634.1
1a30_ligand_231     -61105.1
1a30_ligand_233     -33232.1
1a30_ligand_235     -62255.5
1a30_ligand_237     -49064.8
1a30_ligand_238     -52724  
1a30_ligand_239     -56766.4
1a30_ligand_240     -33018.3
1a30_ligand_241     -85467.9
1a30_ligand_242     -32817.1
1a30_ligand_243     -99993.2
1a30_ligand_244     -78864.2
1a30_ligand_245     -22798.8
1a30_ligand_246     -22356.5
1a30_ligand_248     -26126.4
1a30_ligand_253     -84643.8
1a30_ligand_272     -14808.3
1a30_ligand_274     -69260.6
1a30_ligand_275     -92869.6
1a30_ligand_280     38955.4 
1a30_ligand_282     24112.2 
1a30_ligand_283     -3713.01
1a30_ligand_284     91294.7 
1a30_ligand_287     -24693.4
1a30_ligand_291     -23146  
1a30_ligand_292     71593.5 
1a30_ligand_294     -57617.2
1a30_ligand_29      -174350 
1a30_ligand_300     -11322.2
1a30_ligand_303     -52221.1
1a30_ligand_307     -13974.6
1a30_ligand_311     -26422.9
1a30_ligand_319     3339.17 
1a30_ligand_31      -105032 
1a30_ligand_327     -12115.8
1a30_ligand_338     1536.52 
1a30_ligand_342     42551.1 
1a30_ligand_34      -118143 
1a30_ligand_351     -122989 
1a30_ligand_354     -129049 
1a30_ligand_35      -86122.2
1a30_ligand_366     -107533 
1a30_ligand_377     -149680 
1a30_ligand_387     -89650.5
1a30_ligand_397     -114497 
1a30_ligand_402     -125048 
1a30_ligand_428     -127735 
1a30_ligand_445     -81496.4
1a30_ligand_51      -135352 
1a30_ligand_52      -107583 
1a30_ligand_55      -92052.6
1a30_ligand_60      -74040.5
1a30_ligand_63      -75233.5
1a30_ligand_65      -104531 
1a30_ligand_66      -70714.9
1a30_ligand_68      -67643.3
1a30_ligand_69      -96645.8
1a30_ligand_71      -125373 
1a30_ligand_74      -98871.9
1a30_ligand_75      -145674 
1a30_ligand_79      -81768.8
1a30_ligand_7       -140769 
1a30_ligand_83      -112196 
1a30_ligand_85      -93577.7
1a30_ligand_90      -143085 
1a30_ligand_92      -74381.8
1a30_ligand_93      -140068 
1a30_ligand_99      -96686.1
1bcu_ligand_160     -64900.7
1bcu_ligand_189     -94186.2
1bcu_ligand_193     -67946.9
1bcu_ligand_196     -93755.9
1bcu_ligand_200     -84697.5
1bcu_ligand_215     -94388.7
1bcu_ligand_219     -111520 
1bcu_ligand_222     -60328.8
1bcu_ligand_224     -118617 
1bcu_ligand_227     -81924.4
1bcu_ligand_237     -115141 
1bcu_ligand_24      -132900 
1bcu_ligand_253     -106566 
1bcu_ligand_262     -84968.4
1bcu_ligand_263     -14360.8
1bcu_ligand_268     -90482  
1bcu_ligand_269     -105125 
1bcu_ligand_272     -79849.5
1bcu_ligand_275     -68183.8
1bcu_ligand_281     -78288.1
1bcu_ligand_283     -86934.6
1bcu_ligand_285     -54279.5
1bcu_ligand_286     -75916.2
1bcu_ligand_296     -91409.2
1bcu_ligand_298     -55985.3
1bcu_ligand_29      -133797 
1bcu_ligand_310     -52494.4
1bcu_ligand_313     -59050.9
1bcu_ligand_315     -113919 
1bcu_ligand_318     -97431.6
1bcu_ligand_331     -71153.7
1bcu_ligand_338     -53145.7
1bcu_ligand_340     -87318.9
1bcu_ligand_345     -80204.8
1bcu_ligand_355     -48177.4
1bcu_ligand_357     -111237 
1bcu_ligand_358     -30540.7
1bcu_ligand_361     -16565.6
1bcu_ligand_365     44552   
1bcu_ligand_369     -72247.6
1bcu_ligand_370     -60752.3
1bcu_ligand_371     -8985.89
1bcu_ligand_373     -63138.8
1bcu_ligand_374     -66009.9
1bcu_ligand_375     -5946.33
1bcu_ligand_377     -45242.3
1bcu_ligand_378     -3645.01
1bcu_ligand_379     -58565.3
1bcu_ligand_380     -50333.8
1bcu_ligand_381     -51371.5
1bcu_ligand_382     -14325.9
1bcu_ligand_383     -66572.3
1bcu_ligand_385     -9534.22
1bcu_ligand_386     -75191.6
1bcu_ligand_387     -25676.7
1bcu_ligand_388     -51025.1
1bcu_ligand_389     -31612.4
1bcu_ligand_390     -33609.7
1bcu_ligand_393     -69000.1
1bcu_ligand_394     -82280.7
1bcu_ligand_395     -29248  
1bcu_ligand_396     -63147.1
1bcu_ligand_397     -39268.2
1bcu_ligand_398     -50440.1
1bcu_ligand_399     -28526  
1bcu_ligand_400     -2666.86
1bcu_ligand_402     -101656 
1bcu_ligand_405     -89068.6
1bcu_ligand_406     -89391.4
1bcu_ligand_408     -60923.7
1bcu_ligand_412     -82612.8
1bcu_ligand_418     -77109.3
1bcu_ligand_420     -63892.2
1bcu_ligand_422     -11455.1
1bcu_ligand_430     -75140.8
1bcu_ligand_432     -41693.2
1bcu_ligand_433     -40889.3
1bcu_ligand_434     885.083 
1bcu_ligand_435     -70751.8
1bcu_ligand_436     -41980  
1bcu_ligand_441     -38484.3
1bcu_ligand_444     -64620  
1bcu_ligand_446     -25481.6
1bcu_ligand_447     -18731.6
1bcu_ligand_449     -5893.98
1bcu_ligand_450     -9435.05
1bcu_ligand_451     -104260 
1bcu_ligand_456     -127499 
1bcu_ligand_458     -75121.7
1bcu_ligand_463     -79405.9
1bcu_ligand_46      -127725 
1bcu_ligand_471     -86768.4
1bcu_ligand_479     13721.4 
1bcu_ligand_488     -52766.8
1bcu_ligand_490     -38203.5
1bcu_ligand_491     -41723.5
1bcu_ligand_493     15186.4 
1bcu_ligand_499     -41535  
1bcu_ligand_500     -6050.75
1bcu_ligand_72      -135070 
1bzc_ligand_103     -131871 
1bzc_ligand_104     -107043 
1bzc_ligand_11      -126644 
1bzc_ligand_120     -136064 
1bzc_ligand_12      -154539 
1bzc_ligand_137     -121575 
1bzc_ligand_144     -132641 
1bzc_ligand_146     -160103 
1bzc_ligand_150     -98574.2
1bzc_ligand_152     5711.91 
1bzc_ligand_177     3020.11 
1bzc_ligand_179     -56216.4
1bzc_ligand_182     27648   
1bzc_ligand_184     85422.1 
1bzc_ligand_190     -13890.4
1bzc_ligand_194     -30021.4
1bzc_ligand_195     -18201.4
1bzc_ligand_200     25.5027 
1bzc_ligand_201     -119041 
1bzc_ligand_202     -109852 
1bzc_ligand_209     -44943.4
1bzc_ligand_214     -57742.8
1bzc_ligand_215     -91249.8
1bzc_ligand_216     -62866.7
1bzc_ligand_220     -78660.5
1bzc_ligand_221     -46985.1
1bzc_ligand_224     -85397.2
1bzc_ligand_227     -73224.6
1bzc_ligand_228     -63389.5
1bzc_ligand_230     -88415.6
1bzc_ligand_232     -73327.6
1bzc_ligand_234     -95451.2
1bzc_ligand_235     -84034.3
1bzc_ligand_236     -81054.3
1bzc_ligand_237     -44601  
1bzc_ligand_239     -113141 
1bzc_ligand_241     -87432.4
1bzc_ligand_242     -92831.7
1bzc_ligand_243     -79834.8
1bzc_ligand_245     -70702.1
1bzc_ligand_246     -64185.1
1bzc_ligand_247     -67827.9
1bzc_ligand_248     -89300.3
1bzc_ligand_250     -56985.3
1bzc_ligand_251     -24594.2
1bzc_ligand_260     -133750 
1bzc_ligand_263     -112501 
1bzc_ligand_265     -34804.3
1bzc_ligand_26      -101113 
1bzc_ligand_273     -45808  
1bzc_ligand_274     -42760.6
1bzc_ligand_276     -32885.3
1bzc_ligand_284     21167.3 
1bzc_ligand_285     -37200.9
1bzc_ligand_289     -79209.7
1bzc_ligand_28      -142239 
1bzc_ligand_292     -19733.3
1bzc_ligand_294     -72536.3
1bzc_ligand_295     -70516  
1bzc_ligand_298     -52054.7
1bzc_ligand_299     -32163.6
1bzc_ligand_308     -40178.5
1bzc_ligand_331     12224.4 
1bzc_ligand_332     -43947.6
1bzc_ligand_343     -37528.3
1bzc_ligand_345     -41111.6
1bzc_ligand_350     -64362.3
1bzc_ligand_361     -110175 
1bzc_ligand_36      -149128 
1bzc_ligand_373     -60290.3
1bzc_ligand_379     -54730.9
1bzc_ligand_390     -93460.6
1bzc_ligand_397     -41644  
1bzc_ligand_399     -50620.8
1bzc_ligand_400     -80415.6
1bzc_ligand_41      -107410 
1bzc_ligand_424     -27246  
1bzc_ligand_44      -115498 
1bzc_ligand_457     -78711.3
1bzc_ligand_484     -69445.6
1bzc_ligand_52      -96068.2
1bzc_ligand_55      -123558 
1bzc_ligand_61      -90278.6
1bzc_ligand_62      -54159.9
1bzc_ligand_66      -136176 
