#code_ligand_num    score   
1a30_ligand_103     13865.5 
1a30_ligand_115     -9716.82
1a30_ligand_118     -22772  
1a30_ligand_128     -49085  
1a30_ligand_129     -66516.7
1a30_ligand_12      -19177.1
1a30_ligand_134     -64713  
1a30_ligand_135     -38558.6
1a30_ligand_142     -37251.3
1a30_ligand_146     -52828.5
1a30_ligand_153     149064  
1a30_ligand_157     194059  
1a30_ligand_158     200934  
1a30_ligand_159     170920  
1a30_ligand_160     152842  
1a30_ligand_161     243538  
1a30_ligand_164     176463  
1a30_ligand_167     209181  
1a30_ligand_169     126489  
1a30_ligand_170     128490  
1a30_ligand_171     176254  
1a30_ligand_172     241754  
1a30_ligand_175     298153  
1a30_ligand_178     266906  
1a30_ligand_186     290283  
1a30_ligand_188     267672  
1a30_ligand_191     277393  
1a30_ligand_192     126448  
1a30_ligand_194     157120  
1a30_ligand_196     255636  
1a30_ligand_198     210917  
1a30_ligand_209     80513.7 
1a30_ligand_210     202932  
1a30_ligand_211     172210  
1a30_ligand_216     173627  
1a30_ligand_217     149570  
1a30_ligand_218     147453  
1a30_ligand_219     234403  
1a30_ligand_220     175519  
1a30_ligand_221     200282  
1a30_ligand_222     121288  
1a30_ligand_224     240605  
1a30_ligand_227     155391  
1a30_ligand_228     116695  
1a30_ligand_230     149723  
1a30_ligand_231     159063  
1a30_ligand_232     149798  
1a30_ligand_234     125996  
1a30_ligand_235     271138  
1a30_ligand_237     285832  
1a30_ligand_239     103452  
1a30_ligand_240     155424  
1a30_ligand_245     190860  
1a30_ligand_246     152287  
1a30_ligand_248     181137  
1a30_ligand_249     132035  
1a30_ligand_250     91962.6 
1a30_ligand_273     227860  
1a30_ligand_276     136194  
1a30_ligand_280     151495  
1a30_ligand_284     259696  
1a30_ligand_290     242954  
1a30_ligand_293     252670  
1a30_ligand_295     135228  
1a30_ligand_296     190256  
1a30_ligand_297     152035  
1a30_ligand_300     258450  
1a30_ligand_322     88782.1 
1a30_ligand_324     222541  
1a30_ligand_328     219071  
1a30_ligand_330     225756  
1a30_ligand_333     137907  
1a30_ligand_334     158730  
1a30_ligand_335     103514  
1a30_ligand_338     175023  
