#code_ligand_num    score   
1a30_ligand_102     -205799 
1a30_ligand_106     -184290 
1a30_ligand_111     -182671 
1a30_ligand_112     -182680 
1a30_ligand_114     -213400 
1a30_ligand_118     -237292 
1a30_ligand_119     -206309 
1a30_ligand_126     -192856 
1a30_ligand_128     -223437 
1a30_ligand_13      -152287 
1a30_ligand_157     -27209.6
1a30_ligand_15      -206734 
1a30_ligand_162     -32104.9
1a30_ligand_165     -55163.2
1a30_ligand_166     -66231.5
1a30_ligand_172     -86691.1
1a30_ligand_173     -146205 
1a30_ligand_175     -113593 
1a30_ligand_176     -70633.8
1a30_ligand_179     -110772 
1a30_ligand_185     -57138.9
1a30_ligand_187     -93161.1
1a30_ligand_192     -132519 
1a30_ligand_193     -176556 
1a30_ligand_1       -192630 
1a30_ligand_202     -137072 
1a30_ligand_203     -132008 
1a30_ligand_207     -103514 
1a30_ligand_209     -56563.7
1a30_ligand_20      -177386 
1a30_ligand_210     -100588 
1a30_ligand_212     -68337  
1a30_ligand_215     -118295 
1a30_ligand_217     -145161 
1a30_ligand_220     -66126.9
1a30_ligand_223     -93999.3
1a30_ligand_225     -103336 
1a30_ligand_226     -12391.2
1a30_ligand_227     -128277 
1a30_ligand_229     -55573.6
1a30_ligand_232     -39696.9
1a30_ligand_235     -93999.4
1a30_ligand_236     -56065.9
1a30_ligand_23      -210263 
1a30_ligand_242     -88949.8
1a30_ligand_243     -144012 
1a30_ligand_244     -95459.6
1a30_ligand_246     -82760.4
1a30_ligand_249     -91651.9
1a30_ligand_260     -92412.4
1a30_ligand_267     -86442.8
1a30_ligand_270     -94163.8
1a30_ligand_272     -64446  
1a30_ligand_274     -86119.8
1a30_ligand_275     -118298 
1a30_ligand_277     -29166.6
1a30_ligand_280     -70640.8
1a30_ligand_281     -43899.2
1a30_ligand_287     -47903.7
1a30_ligand_289     -80736.8
1a30_ligand_28      -193016 
1a30_ligand_294     -107317 
1a30_ligand_295     -64087.6
1a30_ligand_296     -43434.2
1a30_ligand_298     -70456.2
1a30_ligand_300     -69630.5
1a30_ligand_306     -63894.1
1a30_ligand_330     -75165.7
1a30_ligand_338     -92926.6
1a30_ligand_33      -209485 
1a30_ligand_340     -93958.8
1a30_ligand_342     -106403 
1a30_ligand_350     -35139  
1a30_ligand_360     -155601 
1a30_ligand_36      -212203 
1a30_ligand_373     -172397 
1a30_ligand_379     -202727 
1a30_ligand_381     -164472 
1a30_ligand_389     -154324 
1a30_ligand_391     -203288 
1a30_ligand_399     -182043 
1a30_ligand_400     -168373 
1a30_ligand_416     -172278 
1a30_ligand_425     -169628 
1a30_ligand_427     -157092 
1a30_ligand_431     -172209 
1a30_ligand_43      -190833 
1a30_ligand_445     -166678 
1a30_ligand_446     -130199 
1a30_ligand_456     -159291 
1a30_ligand_46      -248743 
1a30_ligand_473     -145379 
1a30_ligand_493     -172826 
1a30_ligand_56      -185690 
1a30_ligand_59      -152749 
1a30_ligand_64      -242780 
