#code_ligand_num    score   
1a30_ligand_101     -170555 
1a30_ligand_102     -235427 
1a30_ligand_107     -147307 
1a30_ligand_109     -219992 
1a30_ligand_110     -161196 
1a30_ligand_111     -134465 
1a30_ligand_112     -174273 
1a30_ligand_124     -142057 
1a30_ligand_125     -155396 
1a30_ligand_127     -232917 
1a30_ligand_131     -207540 
1a30_ligand_139     -160240 
1a30_ligand_142     -134567 
1a30_ligand_144     -155271 
1a30_ligand_145     -123816 
1a30_ligand_148     -182505 
1a30_ligand_150     -201240 
1a30_ligand_159     -14705.2
1a30_ligand_160     -16975.4
1a30_ligand_16      -227981 
1a30_ligand_17      -184519 
1a30_ligand_184     89374.5 
1a30_ligand_196     -30686.4
1a30_ligand_201     -154725 
1a30_ligand_202     -115725 
1a30_ligand_203     -84904.9
1a30_ligand_205     -81917.9
1a30_ligand_207     -165273 
1a30_ligand_208     -59097.7
1a30_ligand_209     -75352.8
1a30_ligand_211     -87110.1
1a30_ligand_21      -175812 
1a30_ligand_220     -58496.1
1a30_ligand_227     -17365.2
1a30_ligand_228     -65302  
1a30_ligand_230     -17010.6
1a30_ligand_232     -78433.2
1a30_ligand_234     -79926.6
1a30_ligand_235     -82804.2
1a30_ligand_237     -52565.7
1a30_ligand_238     -67144.3
1a30_ligand_242     -34706.2
1a30_ligand_248     -26207.3
1a30_ligand_273     -172876 
1a30_ligand_285     -88113.8
1a30_ligand_287     -133620 
1a30_ligand_28      -172501 
1a30_ligand_295     -116846 
1a30_ligand_301     -37870.3
1a30_ligand_308     -133603 
1a30_ligand_30      -211894 
1a30_ligand_313     -58212.2
1a30_ligand_326     15842.1 
1a30_ligand_336     -62455.1
1a30_ligand_339     11584.1 
1a30_ligand_348     -59088.9
1a30_ligand_34      -127815 
1a30_ligand_351     -138160 
1a30_ligand_366     -223000 
1a30_ligand_378     -126176 
1a30_ligand_382     -176847 
1a30_ligand_383     -117880 
1a30_ligand_385     -148441 
1a30_ligand_387     -160452 
1a30_ligand_39      -131356 
1a30_ligand_419     -213007 
1a30_ligand_421     -118078 
1a30_ligand_428     -124577 
1a30_ligand_435     -43731.7
1a30_ligand_436     -203369 
1a30_ligand_439     -157764 
1a30_ligand_43      -105638 
1a30_ligand_444     -205766 
1a30_ligand_447     -156903 
1a30_ligand_45      -135385 
1a30_ligand_474     -236328 
1a30_ligand_47      -111354 
1a30_ligand_50      -196663 
1a30_ligand_51      -105385 
1a30_ligand_55      -160687 
1a30_ligand_57      -154486 
1a30_ligand_58      -101089 
1a30_ligand_5       -142636 
1a30_ligand_60      -103253 
1a30_ligand_64      -104289 
1a30_ligand_67      -139059 
1a30_ligand_68      -179558 
1a30_ligand_71      -152560 
1a30_ligand_72      -131843 
1a30_ligand_74      -175561 
1a30_ligand_77      -168142 
1a30_ligand_79      -125550 
1a30_ligand_7       -214177 
1a30_ligand_82      -124331 
1a30_ligand_93      -135839 
1a30_ligand_94      -221796 
1a30_ligand_95      -164109 
1a30_ligand_98      -151107 
1a30_ligand_99      -162235 
1a30_ligand_9       -163164 
1bcu_ligand_168     -153445 
1bcu_ligand_191     -113153 
1bcu_ligand_196     -147423 
1bcu_ligand_203     -189581 
1bcu_ligand_204     -123308 
1bcu_ligand_205     -182764 
1bcu_ligand_210     -170909 
1bcu_ligand_213     -210504 
1bcu_ligand_216     -155995 
1bcu_ligand_217     -130111 
1bcu_ligand_222     -172244 
1bcu_ligand_223     -104671 
1bcu_ligand_225     -134072 
1bcu_ligand_227     -168071 
1bcu_ligand_229     -176757 
1bcu_ligand_230     -154343 
1bcu_ligand_231     -116884 
1bcu_ligand_234     -141621 
1bcu_ligand_237     -172143 
1bcu_ligand_242     -158336 
1bcu_ligand_243     -113904 
1bcu_ligand_250     -113064 
