#code_ligand_num    score   
1a30_ligand_101     -111150 
1a30_ligand_102     -143880 
1a30_ligand_103     -138104 
1a30_ligand_10      -139371 
1a30_ligand_110     -143804 
1a30_ligand_126     -89228.2
1a30_ligand_129     -125677 
1a30_ligand_130     -152957 
1a30_ligand_132     -102890 
1a30_ligand_134     -116248 
1a30_ligand_139     -93779.7
1a30_ligand_140     -124567 
1a30_ligand_142     -101358 
1a30_ligand_145     -94239.4
1a30_ligand_146     -97951.8
1a30_ligand_148     -114003 
1a30_ligand_150     -119087 
1a30_ligand_153     160343  
1a30_ligand_158     93526.6 
1a30_ligand_15      -119130 
1a30_ligand_162     30310.2 
1a30_ligand_163     70983.3 
1a30_ligand_166     -10381.3
1a30_ligand_167     45779.8 
1a30_ligand_174     80534.7 
1a30_ligand_17      -131005 
1a30_ligand_185     -29751.5
1a30_ligand_186     76525   
1a30_ligand_198     11422.2 
1a30_ligand_203     -49191.8
1a30_ligand_208     -78954.5
1a30_ligand_209     -62912.5
1a30_ligand_212     -44564.8
1a30_ligand_213     -33753.2
1a30_ligand_214     -80456.6
1a30_ligand_215     -33148.9
1a30_ligand_217     -43676.7
1a30_ligand_218     -57788.8
1a30_ligand_21      -165899 
1a30_ligand_223     -62758.6
1a30_ligand_224     -84158.8
1a30_ligand_225     -78434.2
1a30_ligand_228     -33059.4
1a30_ligand_230     -38950.1
1a30_ligand_231     -82529  
1a30_ligand_232     -41200.6
1a30_ligand_235     -82382.3
1a30_ligand_23      -190005 
1a30_ligand_240     -15772.4
1a30_ligand_242     -64106.4
1a30_ligand_243     -44900  
1a30_ligand_245     -57897.7
1a30_ligand_246     -62518.9
1a30_ligand_248     -41387.1
1a30_ligand_254     -25831.2
1a30_ligand_259     -26684.3
1a30_ligand_260     -68917.9
1a30_ligand_263     -108287 
1a30_ligand_265     11002.1 
1a30_ligand_266     27540.7 
1a30_ligand_267     -40866.9
1a30_ligand_273     -61512.2
1a30_ligand_278     3768.16 
1a30_ligand_27      -102304 
1a30_ligand_282     -7661.75
1a30_ligand_289     2966.11 
1a30_ligand_28      -130137 
1a30_ligand_291     -5964.98
1a30_ligand_292     13344.8 
1a30_ligand_293     -1291.47
1a30_ligand_298     -78970.3
1a30_ligand_300     -12661.3
1a30_ligand_301     -31204.5
1a30_ligand_305     -57716.7
1a30_ligand_309     -16217.1
1a30_ligand_310     -17627.9
1a30_ligand_319     37144.8 
1a30_ligand_31      -159002 
1a30_ligand_324     -48588.9
1a30_ligand_326     -4537.94
1a30_ligand_328     173.315 
1a30_ligand_32      -90545.8
1a30_ligand_335     73248   
1a30_ligand_345     -22306.5
1a30_ligand_35      -95477.2
1a30_ligand_44      -163784 
1a30_ligand_47      -115290 
1a30_ligand_51      -140838 
1a30_ligand_59      -108386 
1a30_ligand_61      -87015.2
1a30_ligand_63      -114603 
1a30_ligand_67      -67944.6
1a30_ligand_68      -86402.8
1a30_ligand_73      -111658 
1a30_ligand_77      -113074 
1a30_ligand_78      -90895.2
1a30_ligand_85      -73070.4
1a30_ligand_87      -85615.3
1a30_ligand_94      -58488.2
1a30_ligand_96      -69404  
1bcu_ligand_111     -77867.7
1bcu_ligand_112     -104184 
1bcu_ligand_120     -118005 
1bcu_ligand_124     -107665 
1bcu_ligand_131     -98882.9
1bcu_ligand_167     -68789.1
1bcu_ligand_172     -29143.6
1bcu_ligand_179     8352.3  
1bcu_ligand_184     -22625.6
1bcu_ligand_188     28303.4 
1bcu_ligand_196     92771   
1bcu_ligand_202     -91407.2
1bcu_ligand_207     -111561 
1bcu_ligand_211     -80959.8
1bcu_ligand_213     -108854 
1bcu_ligand_215     -73561.8
1bcu_ligand_217     -78463.5
1bcu_ligand_219     -72789.2
1bcu_ligand_221     -75711.9
1bcu_ligand_222     -82478.5
1bcu_ligand_224     -45848.2
1bcu_ligand_226     -67737.5
1bcu_ligand_227     -64106.8
1bcu_ligand_228     -69361.3
1bcu_ligand_236     -36123.1
1bcu_ligand_237     -72383.4
1bcu_ligand_239     -62548.2
1bcu_ligand_243     -62891.1
1bcu_ligand_244     -47360  
