#code_ligand_num    score   
1a30_ligand_106     -109439 
1a30_ligand_109     -133591 
1a30_ligand_10      -181099 
1a30_ligand_110     -112637 
1a30_ligand_111     -180159 
1a30_ligand_115     -130817 
1a30_ligand_116     -122762 
1a30_ligand_118     -228954 
1a30_ligand_121     -154354 
1a30_ligand_126     -160022 
1a30_ligand_130     -159359 
1a30_ligand_147     -192563 
1a30_ligand_151     -85640.7
1a30_ligand_152     -89106.7
1a30_ligand_15      -231994 
1a30_ligand_167     -41904.6
1a30_ligand_171     -58652.5
1a30_ligand_180     -46290.5
1a30_ligand_1       -116658 
1a30_ligand_201     -143932 
1a30_ligand_202     -84871.3
1a30_ligand_203     -106049 
1a30_ligand_205     -100348 
1a30_ligand_206     -79537.1
1a30_ligand_208     -126041 
1a30_ligand_210     -108106 
1a30_ligand_211     -99627.5
1a30_ligand_213     -51222.4
1a30_ligand_214     -111081 
1a30_ligand_218     -89818.3
1a30_ligand_219     -129764 
1a30_ligand_220     -98117  
1a30_ligand_222     -61989.8
1a30_ligand_223     -118390 
1a30_ligand_224     -58068.6
1a30_ligand_226     -26987.4
1a30_ligand_227     -82081.8
1a30_ligand_228     -64191.8
1a30_ligand_229     -86692.6
1a30_ligand_230     -92354.8
1a30_ligand_232     -62229.5
1a30_ligand_233     -100469 
1a30_ligand_234     -111883 
1a30_ligand_243     -99286.1
1a30_ligand_244     -102745 
1a30_ligand_245     -85366.1
1a30_ligand_247     -74888  
1a30_ligand_248     -65646.2
1a30_ligand_249     -78069.1
1a30_ligand_250     -93787.5
1a30_ligand_252     -85983.6
1a30_ligand_253     -128442 
1a30_ligand_255     -94146.1
1a30_ligand_256     -140987 
1a30_ligand_257     -164796 
1a30_ligand_259     -146879 
1a30_ligand_262     -137281 
1a30_ligand_263     -146960 
1a30_ligand_269     -151499 
1a30_ligand_270     -99400.5
1a30_ligand_276     -18506.3
1a30_ligand_27      -136294 
1a30_ligand_281     -131160 
1a30_ligand_282     -122356 
1a30_ligand_289     -43561.6
1a30_ligand_292     -70195.7
1a30_ligand_296     -87838.6
1a30_ligand_298     -60276.9
1a30_ligand_300     -44050.2
1a30_ligand_305     -27401.8
1a30_ligand_312     -20476.7
1a30_ligand_314     -127822 
1a30_ligand_322     -59550.5
1a30_ligand_325     -77749.5
1a30_ligand_33      -119459 
1a30_ligand_340     15344.9 
1a30_ligand_345     -62235.7
1a30_ligand_346     -115248 
1a30_ligand_348     -156271 
1a30_ligand_34      -217260 
1a30_ligand_35      -161397 
1a30_ligand_42      -132790 
1a30_ligand_44      -183097 
1a30_ligand_46      -122219 
1a30_ligand_53      -129371 
1a30_ligand_55      -163379 
1a30_ligand_58      -127324 
1a30_ligand_59      -91132.8
1a30_ligand_5       -108251 
1a30_ligand_69      -107647 
1a30_ligand_70      -104091 
1a30_ligand_75      -208442 
1a30_ligand_76      -116903 
1a30_ligand_77      -122663 
1a30_ligand_79      -99734.4
1a30_ligand_82      -112830 
1a30_ligand_8       -145033 
1a30_ligand_95      -143721 
1a30_ligand_96      -129974 
1a30_ligand_98      -160200 
1bcu_ligand_151     -144707 
1bcu_ligand_155     -113014 
1bcu_ligand_162     -124442 
1bcu_ligand_179     -87761.8
1bcu_ligand_180     -129883 
1bcu_ligand_182     -146152 
1bcu_ligand_187     -135566 
1bcu_ligand_188     -113283 
1bcu_ligand_196     -122328 
1bcu_ligand_200     -78595.9
1bcu_ligand_208     -170663 
1bcu_ligand_210     -186241 
1bcu_ligand_216     -160430 
1bcu_ligand_221     -144089 
1bcu_ligand_222     -176277 
1bcu_ligand_223     -167203 
1bcu_ligand_227     -140505 
1bcu_ligand_228     -121830 
1bcu_ligand_231     -157501 
1bcu_ligand_233     -144952 
1bcu_ligand_243     -183911 
1bcu_ligand_259     -161840 
1bcu_ligand_261     -167179 
1bcu_ligand_263     -171202 
1bcu_ligand_267     -192711 
1bcu_ligand_269     -187069 
1bcu_ligand_273     -179850 
1bcu_ligand_297     -138648 
1bcu_ligand_300     -166194 
1bcu_ligand_303     -119331 
1bcu_ligand_308     -95403  
1bcu_ligand_319     -103821 
1bcu_ligand_328     -130024 
1bcu_ligand_335     -97859.9
1bcu_ligand_346     -85784.1
1bcu_ligand_350     -118166 
1bcu_ligand_352     -115665 
1bcu_ligand_354     -70648  
1bcu_ligand_355     -108635 
1bcu_ligand_356     -87023.2
1bcu_ligand_358     -14158.9
1bcu_ligand_361     -44450.1
1bcu_ligand_362     -112209 
1bcu_ligand_363     -34817.7
1bcu_ligand_364     -114632 
1bcu_ligand_365     -85754.3
1bcu_ligand_369     -125079 
1bcu_ligand_370     -82109.9
1bcu_ligand_371     -34093.4
1bcu_ligand_372     -91439.1
1bcu_ligand_373     -47356.6
1bcu_ligand_374     -61153.8
1bcu_ligand_375     -27183.2
1bcu_ligand_376     -84443.4
1bcu_ligand_379     -66711.6
1bcu_ligand_380     -70428.3
1bcu_ligand_381     -63171.2
1bcu_ligand_382     -66636.8
1bcu_ligand_383     -104878 
1bcu_ligand_384     -69367.8
1bcu_ligand_385     -42092.1
1bcu_ligand_386     -58743.6
1bcu_ligand_387     -33807.1
1bcu_ligand_388     -34545.3
1bcu_ligand_389     -37939  
1bcu_ligand_390     -61469.1
1bcu_ligand_392     -51819.8
1bcu_ligand_393     -68650.2
1bcu_ligand_395     -89885.6
1bcu_ligand_396     -34067.5
1bcu_ligand_397     -35556.8
1bcu_ligand_398     -81246.6
1bcu_ligand_399     -39063.8
1bcu_ligand_400     -73267  
1bcu_ligand_408     -146612 
1bcu_ligand_411     -155783 
1bcu_ligand_413     -80232  
1bcu_ligand_420     -47210.9
1bcu_ligand_429     -65866.2
1bcu_ligand_431     -76478.2
1bcu_ligand_433     -70943.2
1bcu_ligand_435     -75821.6
1bcu_ligand_437     -39963.8
1bcu_ligand_438     -35798.3
1bcu_ligand_441     -86648.8
1bcu_ligand_443     -32137.2
1bcu_ligand_448     -62298.3
1bcu_ligand_449     -53639.6
1bcu_ligand_450     -43557.7
1bcu_ligand_468     -53402.5
1bcu_ligand_471     -43421.3
1bcu_ligand_472     -64503.3
