#code_ligand_num    score   
1a30_ligand_100     -171786 
1a30_ligand_103     -179369 
1a30_ligand_107     -137817 
1a30_ligand_118     -180493 
1a30_ligand_127     -122648 
1a30_ligand_135     -138998 
1a30_ligand_138     -159201 
1a30_ligand_143     -177981 
1a30_ligand_146     -146038 
1a30_ligand_150     -161937 
1a30_ligand_168     -19310.5
1a30_ligand_180     -131858 
1a30_ligand_185     -11235.9
1a30_ligand_188     -91723.7
1a30_ligand_198     -52460.1
1a30_ligand_20      -146101 
1a30_ligand_210     -37345.9
1a30_ligand_213     -106808 
1a30_ligand_21      -147281 
1a30_ligand_220     -32118.7
1a30_ligand_227     -41846.4
1a30_ligand_228     -98982.2
1a30_ligand_229     -59821.7
1a30_ligand_230     -36575.9
1a30_ligand_231     -120505 
1a30_ligand_232     -80774.3
1a30_ligand_236     -74108  
1a30_ligand_237     -62838.6
1a30_ligand_23      -178723 
1a30_ligand_241     -61564.9
1a30_ligand_242     -73937.5
1a30_ligand_247     -29131.7
1a30_ligand_248     -42500  
1a30_ligand_24      -158881 
1a30_ligand_250     -37544.2
1a30_ligand_253     -32455.4
1a30_ligand_255     -98895.8
1a30_ligand_258     -74216.9
1a30_ligand_263     -17536  
1a30_ligand_269     -38051.5
1a30_ligand_270     -40796.4
1a30_ligand_271     -49751.7
1a30_ligand_275     -64082.1
1a30_ligand_277     -51587.9
1a30_ligand_281     -55923.4
1a30_ligand_284     -65554.3
1a30_ligand_290     29494   
1a30_ligand_294     -78398  
1a30_ligand_295     -50.4893
1a30_ligand_298     485.485 
1a30_ligand_305     -23618.4
1a30_ligand_311     163697  
1a30_ligand_315     224184  
1a30_ligand_316     54678.5 
1a30_ligand_324     -16511.9
1a30_ligand_328     27605.2 
1a30_ligand_330     -7541.28
1a30_ligand_334     4327.71 
1a30_ligand_338     -37925.5
1a30_ligand_343     9053.29 
1a30_ligand_344     50265.8 
1a30_ligand_348     64613.4 
1a30_ligand_352     -113915 
1a30_ligand_370     -50713.2
1a30_ligand_376     -120074 
1a30_ligand_384     -89206.3
1a30_ligand_388     -43778.6
1a30_ligand_393     -74982.7
1a30_ligand_396     23513.9 
1a30_ligand_410     -17798.5
1a30_ligand_422     -162147 
1a30_ligand_430     -153359 
1a30_ligand_443     -118456 
1a30_ligand_445     -64314.6
1a30_ligand_448     -64231.5
1a30_ligand_45      -171349 
1a30_ligand_462     -106148 
1a30_ligand_479     -22762.5
