#code_ligand_num    score   
1a30_ligand_105     -154597 
1a30_ligand_106     -90525.7
1a30_ligand_119     -167584 
1a30_ligand_122     -133930 
1a30_ligand_134     -138024 
1a30_ligand_142     -100811 
1a30_ligand_144     -94996.9
1a30_ligand_147     -128437 
1a30_ligand_156     17263.4 
1a30_ligand_15      -94786.4
1a30_ligand_166     171981  
1a30_ligand_18      -156501 
1a30_ligand_190     -21410.9
1a30_ligand_191     89316.1 
1a30_ligand_1       -77961.3
1a30_ligand_200     28462.5 
1a30_ligand_202     -55488  
1a30_ligand_204     -5887.42
1a30_ligand_206     -57074.1
1a30_ligand_208     -51632.3
1a30_ligand_20      -159173 
1a30_ligand_210     -67950.3
1a30_ligand_211     -48218.5
1a30_ligand_212     -68423.1
1a30_ligand_214     -37115.9
1a30_ligand_215     -87601.1
1a30_ligand_216     -101826 
1a30_ligand_217     -32873.5
1a30_ligand_218     -24537.7
1a30_ligand_219     5906.61 
1a30_ligand_21      -151533 
1a30_ligand_220     -18479.3
1a30_ligand_221     -23404.3
1a30_ligand_223     -89491.3
1a30_ligand_226     -8389.19
1a30_ligand_227     -63358.4
1a30_ligand_229     -53108.1
1a30_ligand_232     -51690.7
1a30_ligand_234     3888.02 
1a30_ligand_236     -35453.4
1a30_ligand_237     -5649.5 
1a30_ligand_238     -31971.5
1a30_ligand_23      -70057.8
1a30_ligand_240     -24765.4
1a30_ligand_241     -14357  
1a30_ligand_243     -35791.3
1a30_ligand_244     65404.9 
1a30_ligand_245     -47167.2
1a30_ligand_259     -19922.6
1a30_ligand_265     27949.8 
1a30_ligand_266     55409.5 
1a30_ligand_26      -95798.1
1a30_ligand_272     -8391.97
1a30_ligand_273     33588.4 
1a30_ligand_274     56634   
1a30_ligand_278     74323.3 
1a30_ligand_296     -29663.9
1a30_ligand_29      -107723 
1a30_ligand_302     4710.1  
1a30_ligand_305     132334  
1a30_ligand_307     -37074.2
1a30_ligand_310     80458.9 
1a30_ligand_315     23214.1 
1a30_ligand_317     109024  
1a30_ligand_327     115241  
1a30_ligand_333     41182.4 
1a30_ligand_33      -120310 
1a30_ligand_340     32867   
1a30_ligand_341     162025  
1a30_ligand_342     -3927.86
1a30_ligand_346     82353.4 
1a30_ligand_350     116021  
1a30_ligand_352     -79289.4
1a30_ligand_393     -109322 
