#code_ligand_num    score   
1a30_ligand_102     -184426 
1a30_ligand_119     -148722 
1a30_ligand_121     -189564 
1a30_ligand_128     -163248 
1a30_ligand_129     -173837 
1a30_ligand_130     -160559 
1a30_ligand_135     -187098 
1a30_ligand_139     -171626 
1a30_ligand_143     -165590 
1a30_ligand_154     -31974  
1a30_ligand_156     -67251.3
1a30_ligand_159     -71256.8
1a30_ligand_15      -183987 
1a30_ligand_163     -14700.4
1a30_ligand_165     -51548  
1a30_ligand_169     -21846.4
1a30_ligand_172     -52991.2
1a30_ligand_177     10401.4 
1a30_ligand_180     -60139.4
1a30_ligand_190     -19790.7
1a30_ligand_193     -17689.5
1a30_ligand_195     67308.7 
1a30_ligand_207     -92863.3
1a30_ligand_212     -46846  
1a30_ligand_214     -148041 
1a30_ligand_217     -116810 
1a30_ligand_218     -60630.7
1a30_ligand_21      -171678 
1a30_ligand_221     -57527.2
1a30_ligand_222     -106110 
1a30_ligand_226     -117293 
1a30_ligand_231     -119188 
1a30_ligand_238     -89230  
1a30_ligand_239     -19377.6
1a30_ligand_245     -106127 
1a30_ligand_249     -119365 
1a30_ligand_250     -89242.7
1a30_ligand_25      -178655 
1a30_ligand_260     -78858.2
1a30_ligand_263     67563.4 
1a30_ligand_264     -99617.1
1a30_ligand_26      -183947 
1a30_ligand_270     2708.3  
1a30_ligand_285     -55429.5
1a30_ligand_286     -47125.7
1a30_ligand_289     -115862 
1a30_ligand_291     -66375  
1a30_ligand_300     -131767 
1a30_ligand_302     -46313.6
1a30_ligand_307     28624.1 
1a30_ligand_308     8310.55 
1a30_ligand_311     67035.8 
1a30_ligand_313     -83157.5
1a30_ligand_317     -54937.9
1a30_ligand_319     -44635.9
1a30_ligand_320     60070.9 
1a30_ligand_322     9833.48 
1a30_ligand_323     -53200.3
1a30_ligand_326     -34789.4
1a30_ligand_327     -21752.5
1a30_ligand_328     8470.21 
1a30_ligand_32      -166466 
1a30_ligand_331     -46118.7
1a30_ligand_332     11301.3 
1a30_ligand_334     52958.4 
1a30_ligand_339     8935.69 
1a30_ligand_33      -184273 
1a30_ligand_343     99050   
1a30_ligand_348     -60911.1
1a30_ligand_35      -144518 
1a30_ligand_36      -167139 
1a30_ligand_379     -122235 
1a30_ligand_37      -149877 
1a30_ligand_388     -151246 
1a30_ligand_391     -171236 
1a30_ligand_392     -177554 
1a30_ligand_393     -200217 
1a30_ligand_397     -106649 
1a30_ligand_398     -125915 
1a30_ligand_399     -113203 
1a30_ligand_39      -173852 
1a30_ligand_429     -191749 
1a30_ligand_445     -185810 
1a30_ligand_45      -194347 
1a30_ligand_498     -121347 
1a30_ligand_49      -131856 
1a30_ligand_55      -153577 
1a30_ligand_58      -164225 
1a30_ligand_60      -105417 
1a30_ligand_62      -151914 
1a30_ligand_66      -165634 
1a30_ligand_67      -143480 
1a30_ligand_70      -126110 
1a30_ligand_71      -166060 
1a30_ligand_78      -137509 
1a30_ligand_79      -164063 
1a30_ligand_80      -104587 
1a30_ligand_85      -140339 
1a30_ligand_93      -144481 
