#code_ligand_num    score   
1a30_ligand_101     -82110.6
1a30_ligand_122     -144826 
1a30_ligand_123     -153889 
1a30_ligand_124     -96554.8
1a30_ligand_125     -150212 
1a30_ligand_141     -131044 
1a30_ligand_143     -123027 
1a30_ligand_144     -76853.7
1a30_ligand_146     -182900 
1a30_ligand_149     -111001 
1a30_ligand_154     -15824.5
1a30_ligand_159     65018.4 
1a30_ligand_167     5029.02 
1a30_ligand_170     69777.3 
1a30_ligand_184     52938   
1a30_ligand_185     25104   
1a30_ligand_188     172019  
1a30_ligand_195     45366.6 
1a30_ligand_196     28362.5 
1a30_ligand_197     60385.5 
1a30_ligand_198     -1218.86
1a30_ligand_19      -120994 
1a30_ligand_1       -122897 
1a30_ligand_201     -12758.2
1a30_ligand_203     26428.5 
1a30_ligand_204     -61162.8
1a30_ligand_205     -6824.32
1a30_ligand_206     -71413.9
1a30_ligand_207     18947.6 
1a30_ligand_20      -113232 
1a30_ligand_210     44352.6 
1a30_ligand_213     12596.5 
1a30_ligand_214     13781.8 
1a30_ligand_215     -35157  
1a30_ligand_219     -15154  
1a30_ligand_222     49328.4 
1a30_ligand_229     55955.6 
1a30_ligand_232     -2638.81
1a30_ligand_236     6982.28 
1a30_ligand_237     43984   
1a30_ligand_238     5244.22 
1a30_ligand_239     3016.54 
1a30_ligand_240     43510.4 
1a30_ligand_241     -10812.3
1a30_ligand_242     20233   
1a30_ligand_243     -16953.2
1a30_ligand_246     -37655.8
1a30_ligand_253     110539  
1a30_ligand_264     72062.4 
1a30_ligand_267     16808.7 
1a30_ligand_274     99216.5 
1a30_ligand_276     119638  
1a30_ligand_279     75305.6 
1a30_ligand_27      -164235 
1a30_ligand_282     64839.2 
1a30_ligand_290     30076.5 
1a30_ligand_293     68632.1 
1a30_ligand_304     120503  
1a30_ligand_306     84475.3 
1a30_ligand_313     35319.5 
1a30_ligand_315     127511  
1a30_ligand_316     65186.7 
1a30_ligand_31      -152741 
1a30_ligand_322     50798   
1a30_ligand_333     91213.9 
1a30_ligand_340     95808.4 
1a30_ligand_341     151936  
1a30_ligand_346     46176.2 
1a30_ligand_347     182280  
1a30_ligand_349     108245  
1a30_ligand_350     82760   
1a30_ligand_376     -12178.5
1a30_ligand_385     -74189.1
1a30_ligand_389     -113417 
1a30_ligand_391     -33625.3
1a30_ligand_393     -93009.8
1a30_ligand_397     -48063.8
1a30_ligand_3       -119644 
1a30_ligand_403     -118375 
1a30_ligand_405     -46237.3
1a30_ligand_40      -77524.4
1a30_ligand_431     -120951 
1a30_ligand_432     -53773.6
1a30_ligand_444     -42965.5
1a30_ligand_449     -53936  
1a30_ligand_45      -130158 
1a30_ligand_493     -57141.4
1a30_ligand_50      -64898  
1a30_ligand_51      -64681.1
1a30_ligand_52      -103518 
1a30_ligand_55      -86547.3
1a30_ligand_63      -28489.5
1a30_ligand_65      -128075 
1a30_ligand_69      -106288 
1a30_ligand_70      -106644 
1a30_ligand_76      -56119.1
1a30_ligand_7       -111656 
1a30_ligand_85      -40528.6
1a30_ligand_86      -108437 
1a30_ligand_94      -100240 
1bcu_ligand_105     -131269 
1bcu_ligand_115     -98982.4
1bcu_ligand_134     -131998 
1bcu_ligand_135     -120981 
1bcu_ligand_136     165.415 
1bcu_ligand_148     -70471.9
1bcu_ligand_155     -89675.7
1bcu_ligand_162     -38075.2
1bcu_ligand_163     -27325.6
1bcu_ligand_168     -31172.5
1bcu_ligand_176     -82764.8
1bcu_ligand_178     -9828.42
1bcu_ligand_179     -118814 
1bcu_ligand_182     -62880.9
1bcu_ligand_183     -42547.8
1bcu_ligand_191     11944.7 
1bcu_ligand_200     -21298.9
1bcu_ligand_205     -54875.2
1bcu_ligand_210     -57299.9
1bcu_ligand_216     -116729 
1bcu_ligand_219     -35889.2
1bcu_ligand_222     -27721.8
1bcu_ligand_230     -93031.5
1bcu_ligand_234     -66521.2
1bcu_ligand_23      -119580 
1bcu_ligand_240     -31672.9
1bcu_ligand_244     -83744.2
1bcu_ligand_249     -85812.1
1bcu_ligand_256     -40168.1
1bcu_ligand_261     -60897.5
1bcu_ligand_263     -40194.8
1bcu_ligand_265     -14798.7
1bcu_ligand_274     -15777.6
1bcu_ligand_276     -83809.3
1bcu_ligand_293     -91980  
1bcu_ligand_294     -62623.6
1bcu_ligand_297     -38359.8
1bcu_ligand_2       -97175.5
1bcu_ligand_313     -51121.7
1bcu_ligand_328     -27311.4
1bcu_ligand_337     882.828 
1bcu_ligand_340     3365.38 
1bcu_ligand_344     -23084.9
1bcu_ligand_346     -97169  
1bcu_ligand_355     -84729.4
1bcu_ligand_357     -54844.4
1bcu_ligand_362     -126474 
1bcu_ligand_363     -26710.4
1bcu_ligand_366     -45340.4
1bcu_ligand_367     -94990.1
1bcu_ligand_368     3247.13 
1bcu_ligand_370     -14520.4
1bcu_ligand_373     -76538.4
1bcu_ligand_374     -75731.5
1bcu_ligand_375     -99630.9
1bcu_ligand_376     -40805.9
1bcu_ligand_377     -117648 
1bcu_ligand_379     -19889.1
1bcu_ligand_37      -81096.5
1bcu_ligand_381     -75036.6
1bcu_ligand_382     -29358.8
1bcu_ligand_383     41520.8 
1bcu_ligand_384     -54417.8
1bcu_ligand_385     -11722.1
