#code_ligand_num    score   
1a30_ligand_112     -99313.7
1a30_ligand_113     -151176 
1a30_ligand_117     -154028 
1a30_ligand_119     -178286 
1a30_ligand_11      -85339.5
1a30_ligand_120     -116822 
1a30_ligand_128     -153643 
1a30_ligand_134     -128656 
1a30_ligand_13      -140912 
1a30_ligand_146     -149803 
1a30_ligand_14      -144587 
1a30_ligand_150     -162595 
1a30_ligand_151     71987.6 
1a30_ligand_156     -10638.7
1a30_ligand_159     38873.9 
1a30_ligand_165     24910   
1a30_ligand_173     12184.9 
1a30_ligand_179     -35861.6
1a30_ligand_181     -37714.6
1a30_ligand_182     182955  
1a30_ligand_188     -10853  
1a30_ligand_189     22935   
1a30_ligand_191     114482  
1a30_ligand_192     -108431 
1a30_ligand_194     -71732.9
1a30_ligand_197     -47201.8
1a30_ligand_198     110576  
1a30_ligand_200     55186.4 
1a30_ligand_206     -21790.9
1a30_ligand_209     -79198  
1a30_ligand_20      -151219 
1a30_ligand_221     -144572 
1a30_ligand_223     -78362.2
1a30_ligand_225     -86519.7
1a30_ligand_228     -101124 
1a30_ligand_232     -101788 
1a30_ligand_235     -75311.1
1a30_ligand_236     -72252.6
1a30_ligand_237     -98827.6
1a30_ligand_238     -114620 
1a30_ligand_241     -60798.3
1a30_ligand_244     -82352.7
1a30_ligand_247     -5225.5 
1a30_ligand_249     2411.69 
1a30_ligand_250     -76702.9
1a30_ligand_251     -54377.4
1a30_ligand_259     -97798.7
1a30_ligand_263     63769.8 
1a30_ligand_26      -196150 
1a30_ligand_271     -8924.16
1a30_ligand_272     -47.5023
1a30_ligand_273     -55093  
1a30_ligand_276     25850.3 
1a30_ligand_278     -25707.7
1a30_ligand_282     31382.2 
1a30_ligand_287     -93541.2
1a30_ligand_288     29830.3 
1a30_ligand_294     -31789.6
1a30_ligand_296     145737  
1a30_ligand_298     -27002.8
1a30_ligand_29      -185452 
1a30_ligand_306     222815  
1a30_ligand_307     51180.4 
1a30_ligand_308     106745  
1a30_ligand_322     15858.2 
1a30_ligand_328     -1078.14
1a30_ligand_329     96441.1 
1a30_ligand_330     34552.6 
1a30_ligand_331     85109   
1a30_ligand_335     33036.5 
1a30_ligand_341     153213  
1a30_ligand_343     -36518.5
1a30_ligand_348     27186.5 
1a30_ligand_349     4504.05 
1a30_ligand_36      -141050 
1a30_ligand_373     -164591 
1a30_ligand_375     -13689.6
1a30_ligand_381     -52663.4
1a30_ligand_390     -64909.3
1a30_ligand_391     -86894.2
1a30_ligand_393     -102277 
1a30_ligand_398     -116647 
1a30_ligand_399     -101847 
1a30_ligand_448     -103646 
1a30_ligand_49      -181808 
1a30_ligand_55      -134831 
1a30_ligand_60      -105170 
1a30_ligand_67      -87029.6
1a30_ligand_68      -86115  
1a30_ligand_69      -106116 
1a30_ligand_72      -132791 
1a30_ligand_75      -120214 
1a30_ligand_77      -76213.4
1a30_ligand_82      -88908.1
1a30_ligand_83      -72458.5
1a30_ligand_85      -130830 
1a30_ligand_86      -83405.8
1a30_ligand_91      -108338 
1a30_ligand_95      -100139 
1a30_ligand_96      -98443.5
1bcu_ligand_157     -5171.93
1bcu_ligand_173     -96812.8
1bcu_ligand_175     -121207 
1bcu_ligand_191     -100205 
1bcu_ligand_204     -92899.2
1bcu_ligand_212     -64072.9
1bcu_ligand_215     -92030  
1bcu_ligand_219     -102745 
1bcu_ligand_221     -46019.4
1bcu_ligand_225     -92089.4
1bcu_ligand_227     -73874.9
1bcu_ligand_232     -92091.4
1bcu_ligand_233     -119594 
1bcu_ligand_234     -21733.7
1bcu_ligand_235     -100677 
1bcu_ligand_236     -120497 
1bcu_ligand_238     -82586.3
1bcu_ligand_243     -63172  
1bcu_ligand_245     -67109.1
1bcu_ligand_252     -110148 
1bcu_ligand_259     12686.8 
1bcu_ligand_260     -142928 
1bcu_ligand_267     -84778.9
1bcu_ligand_269     -7953.8 
1bcu_ligand_273     -23222.8
1bcu_ligand_275     -86757  
1bcu_ligand_277     -100972 
1bcu_ligand_285     -43875.2
1bcu_ligand_297     6337.62 
1bcu_ligand_301     -13321.9
1bcu_ligand_304     -44439.9
1bcu_ligand_305     -15091.3
1bcu_ligand_306     -22869.1
1bcu_ligand_318     -37273.6
1bcu_ligand_319     -1602.28
1bcu_ligand_321     -94366.8
1bcu_ligand_324     -24675.4
1bcu_ligand_330     -64402.4
1bcu_ligand_347     -9013.01
1bcu_ligand_354     -17992.5
1bcu_ligand_355     -40929.7
