#code_ligand_num    score   
1a30_ligand_105     -156563 
1a30_ligand_107     -114042 
1a30_ligand_114     -119213 
1a30_ligand_12      -143862 
1a30_ligand_132     -138434 
1a30_ligand_135     -139217 
1a30_ligand_137     -158357 
1a30_ligand_153     -27891.3
1a30_ligand_163     16322.2 
1a30_ligand_166     46955.9 
1a30_ligand_172     109754  
1a30_ligand_178     -343.684
1a30_ligand_179     13616.3 
1a30_ligand_17      -125961 
1a30_ligand_180     26296.4 
1a30_ligand_185     -31254  
1a30_ligand_186     19961.7 
1a30_ligand_188     2202.67 
1a30_ligand_193     73616   
1a30_ligand_196     10209.7 
1a30_ligand_19      -115211 
1a30_ligand_1       -107356 
1a30_ligand_209     -51838.6
1a30_ligand_210     -67097.7
1a30_ligand_211     -30820.6
1a30_ligand_213     -34341  
1a30_ligand_216     -87257.9
1a30_ligand_218     -34240  
1a30_ligand_219     -77048.9
1a30_ligand_222     -65794.2
1a30_ligand_224     -69499.1
1a30_ligand_227     -59064.8
1a30_ligand_228     -55648.1
1a30_ligand_229     -69348.2
1a30_ligand_230     -66410.3
1a30_ligand_232     -60506  
1a30_ligand_233     -53809.6
1a30_ligand_234     -15565.6
1a30_ligand_238     -65218.4
1a30_ligand_239     -81925.9
1a30_ligand_241     -47095.5
1a30_ligand_245     -62363.7
1a30_ligand_246     -28823.3
1a30_ligand_24      -125466 
1a30_ligand_254     -6065.88
1a30_ligand_257     26606.4 
1a30_ligand_258     -2689.18
1a30_ligand_262     76615.4 
1a30_ligand_264     -98504.9
1a30_ligand_266     19208.8 
1a30_ligand_267     -46485.6
1a30_ligand_269     1586.11 
1a30_ligand_270     -26931  
1a30_ligand_271     67374.2 
1a30_ligand_276     34474.2 
1a30_ligand_279     17240.5 
1a30_ligand_282     29579.5 
1a30_ligand_285     60864.2 
1a30_ligand_287     23962   
1a30_ligand_288     -67007.6
1a30_ligand_290     61582.2 
1a30_ligand_293     -62420.4
1a30_ligand_295     48871.4 
1a30_ligand_296     -108816 
1a30_ligand_298     -27929.2
1a30_ligand_299     10507.2 
1a30_ligand_300     69923.2 
1a30_ligand_302     39482.5 
1a30_ligand_307     -91298.5
1a30_ligand_308     65067.4 
1a30_ligand_30      -158914 
1a30_ligand_310     116612  
1a30_ligand_314     -40605.8
1a30_ligand_318     17465.4 
1a30_ligand_322     -20154.5
1a30_ligand_324     80753   
1a30_ligand_345     -3817.8 
1a30_ligand_347     -21383.9
1a30_ligand_350     -35974  
1a30_ligand_370     -79228.4
1a30_ligand_377     -3264.51
1a30_ligand_387     -108629 
1a30_ligand_393     2358.24 
1a30_ligand_394     -120288 
1a30_ligand_3       -176243 
1a30_ligand_441     -37423.9
1a30_ligand_442     -52327  
1a30_ligand_46      -166699 
1a30_ligand_471     -113425 
1a30_ligand_474     -112948 
1a30_ligand_47      -115654 
1a30_ligand_482     37143.9 
1a30_ligand_54      -145392 
1a30_ligand_55      -71532.4
1a30_ligand_75      -121888 
1a30_ligand_78      -166486 
1a30_ligand_84      -162772 
1a30_ligand_85      -133515 
1a30_ligand_90      -136095 
1a30_ligand_99      -122630 
1bcu_ligand_156     -119030 
1bcu_ligand_161     -131530 
1bcu_ligand_165     -127059 
1bcu_ligand_166     -121078 
1bcu_ligand_174     -119563 
1bcu_ligand_183     -116872 
1bcu_ligand_185     -114971 
1bcu_ligand_189     -114600 
1bcu_ligand_191     -121021 
1bcu_ligand_194     -123910 
1bcu_ligand_203     -142859 
1bcu_ligand_210     -123458 
1bcu_ligand_219     -95665.8
1bcu_ligand_225     -98113.2
1bcu_ligand_231     -95215.1
1bcu_ligand_232     -111669 
1bcu_ligand_233     -54154.5
1bcu_ligand_241     -78718.5
1bcu_ligand_242     -102911 
1bcu_ligand_245     -99879.8
1bcu_ligand_246     -108787 
1bcu_ligand_249     -79592.4
1bcu_ligand_251     -53036.6
1bcu_ligand_265     -83200.3
1bcu_ligand_268     -90727.5
1bcu_ligand_282     -119197 
1bcu_ligand_283     -108476 
1bcu_ligand_289     -114898 
1bcu_ligand_296     -104837 
1bcu_ligand_298     -58642.5
1bcu_ligand_304     -6980.98
1bcu_ligand_307     -89018.5
1bcu_ligand_317     -63492  
1bcu_ligand_319     -112652 
1bcu_ligand_323     -59601.9
1bcu_ligand_324     -57763.9
1bcu_ligand_329     -89325.9
1bcu_ligand_330     -1767.64
1bcu_ligand_333     -51600.1
1bcu_ligand_335     -44490.5
1bcu_ligand_336     -67846.6
1bcu_ligand_339     -54121.2
1bcu_ligand_341     -47337.7
1bcu_ligand_343     -100634 
1bcu_ligand_345     -69268.1
1bcu_ligand_348     -93840  
1bcu_ligand_350     -10182.2
1bcu_ligand_356     -61447.1
1bcu_ligand_359     -77851  
1bcu_ligand_361     -78433.5
1bcu_ligand_362     -82917.3
1bcu_ligand_364     -62111.4
1bcu_ligand_365     -40777.1
1bcu_ligand_366     -107020 
1bcu_ligand_368     -68639.7
1bcu_ligand_371     25170.2 
1bcu_ligand_372     -11964.7
1bcu_ligand_373     10661.4 
1bcu_ligand_374     -95020.7
1bcu_ligand_375     -89400.4
1bcu_ligand_376     -62630  
1bcu_ligand_378     19753.5 
1bcu_ligand_379     -37418.1
1bcu_ligand_381     -48792.8
1bcu_ligand_383     -12265.5
1bcu_ligand_384     -34501.5
1bcu_ligand_385     -62619  
1bcu_ligand_386     -25919  
1bcu_ligand_388     -39235.4
1bcu_ligand_389     -37578.8
1bcu_ligand_391     -41280.8
1bcu_ligand_392     -24551.3
1bcu_ligand_393     -61193.8
1bcu_ligand_394     -46388.2
1bcu_ligand_395     -60274.1
1bcu_ligand_396     -24095.6
1bcu_ligand_397     -3196.12
1bcu_ligand_398     -32591.2
1bcu_ligand_399     -28662.7
1bcu_ligand_400     -12565.8
1bcu_ligand_403     16092.9 
1bcu_ligand_405     -24121.5
1bcu_ligand_410     3266.13 
1bcu_ligand_426     -26487.5
1bcu_ligand_427     -17563.4
1bcu_ligand_431     -40050.3
1bcu_ligand_434     45780.7 
1bcu_ligand_437     -63275.3
1bcu_ligand_438     -73982.2
1bcu_ligand_444     81129.8 
