#code_ligand_num    score   
1a30_ligand_101     -81.8748
1a30_ligand_103     -168.9875
1a30_ligand_114     -257.5439
1a30_ligand_115     -96.3489
1a30_ligand_120     -95.7974
1a30_ligand_122     -202.2127
1a30_ligand_135     -220.3503
1a30_ligand_143     -64.4822
1a30_ligand_148     -234.8982
1a30_ligand_158     -220.5556
1a30_ligand_159     -232.8276
1a30_ligand_16      -157.4043
1a30_ligand_163     -212.5941
1a30_ligand_167     -206.7279
1a30_ligand_171     -225.2713
1a30_ligand_175     -261.8041
1a30_ligand_176     -191.8735
1a30_ligand_177     -232.5198
1a30_ligand_178     -137.6602
1a30_ligand_179     -249.9157
1a30_ligand_18      -199.8290
1a30_ligand_186     -215.2623
1a30_ligand_189     -227.8881
1a30_ligand_190     -193.0481
1a30_ligand_191     -167.9912
1a30_ligand_194     -184.3921
1a30_ligand_195     -202.2612
1a30_ligand_196     -209.3779
1a30_ligand_199     -179.6768
1a30_ligand_203     -198.7260
1a30_ligand_204     -228.4902
1a30_ligand_206     -205.3171
1a30_ligand_207     -151.5655
1a30_ligand_209     -218.0682
1a30_ligand_211     -224.8322
1a30_ligand_213     -206.3054
1a30_ligand_215     -122.6017
1a30_ligand_216     -199.0234
1a30_ligand_217     -246.9748
1a30_ligand_221     -260.5940
1a30_ligand_222     -216.3830
1a30_ligand_223     -204.5256
1a30_ligand_225     -208.0252
1a30_ligand_226     -179.1349
1a30_ligand_229     -229.9853
1a30_ligand_232     -169.3973
1a30_ligand_234     -193.9912
1a30_ligand_237     -286.1557
1a30_ligand_239     -209.2660
1a30_ligand_241     -190.9201
1a30_ligand_242     -205.1736
1a30_ligand_247     -229.8487
1a30_ligand_249     -203.2711
1a30_ligand_265     -187.8442
1a30_ligand_269     -199.8117
1a30_ligand_27      -190.7154
1a30_ligand_273     -185.1748
1a30_ligand_282     -201.6335
1a30_ligand_284     -174.1074
1a30_ligand_285     -205.1182
1a30_ligand_287     -211.2459
1a30_ligand_293     -207.9421
1a30_ligand_294     -228.0451
1a30_ligand_296     -282.1107
1a30_ligand_297     -223.0351
1a30_ligand_30      -187.0233
1a30_ligand_309     -172.8844
1a30_ligand_317     -220.0523
1a30_ligand_329     -213.9809
1a30_ligand_334     -239.0338
1a30_ligand_341     -163.5223
1a30_ligand_343     -229.3695
1a30_ligand_344     -147.1618
1a30_ligand_349     -209.3066
1a30_ligand_356     -281.0832
1a30_ligand_36      -94.0621
1a30_ligand_4       -268.4550
1a30_ligand_400     -262.2539
1a30_ligand_43      -187.6902
1a30_ligand_44      -183.4850
1a30_ligand_454     -290.8434
1a30_ligand_5       -105.9178
1a30_ligand_51      -60.6296
1a30_ligand_52      -235.1362
1a30_ligand_53      -61.2133
1a30_ligand_57      -127.6477
1a30_ligand_65      -174.7082
1a30_ligand_68      -168.1484
1a30_ligand_71      -110.4406
1a30_ligand_76      -112.9494
1a30_ligand_77      -226.8035
1a30_ligand_80      -160.3458
1a30_ligand_83      -135.0582
1a30_ligand_85      -158.4691
1a30_ligand_86      -155.3755
1a30_ligand_87      -33.3255
1a30_ligand_9       -115.9953
1a30_ligand_91      -214.2647
1a30_ligand_93      -146.3192
1a30_ligand_96      -263.9561
1bcu_ligand_155     -147.3643
1bcu_ligand_164     -144.5930
1bcu_ligand_167     -169.5998
1bcu_ligand_171     -163.1716
1bcu_ligand_178     -159.0444
1bcu_ligand_184     -125.1887
1bcu_ligand_185     -164.0550
1bcu_ligand_189     -155.1456
1bcu_ligand_195     -153.1969
1bcu_ligand_203     -171.2529
1bcu_ligand_215     -134.6593
1bcu_ligand_218     -132.1056
1bcu_ligand_223     -147.8902
1bcu_ligand_224     -141.3506
1bcu_ligand_227     -144.3001
1bcu_ligand_229     -125.1879
1bcu_ligand_231     -130.9845
1bcu_ligand_234     -147.9237
1bcu_ligand_241     -147.5391
1bcu_ligand_242     -153.2887
1bcu_ligand_243     -133.1195
1bcu_ligand_245     -159.0997
1bcu_ligand_246     -144.2501
1bcu_ligand_247     -153.4125
1bcu_ligand_248     -134.7306
1bcu_ligand_251     -111.7504
1bcu_ligand_252     -136.4128
1bcu_ligand_254     -109.6355
1bcu_ligand_255     -139.8472
