#code_ligand_num    score   
1a30_ligand_103     -358.4388
1a30_ligand_106     -420.8490
1a30_ligand_107     -387.4820
1a30_ligand_115     -387.8418
1a30_ligand_116     -376.8531
1a30_ligand_121     -365.6536
1a30_ligand_129     -316.7707
1a30_ligand_133     -420.7253
1a30_ligand_146     -347.0553
1a30_ligand_149     -376.7794
1a30_ligand_150     -351.1689
1a30_ligand_152     -194.2908
1a30_ligand_157     -286.3323
1a30_ligand_160     -251.9520
1a30_ligand_161     -231.7132
1a30_ligand_164     -325.9918
1a30_ligand_168     -317.9019
1a30_ligand_172     -321.5436
1a30_ligand_177     -174.9270
1a30_ligand_181     -286.8782
1a30_ligand_182     -208.5814
1a30_ligand_183     -274.4780
1a30_ligand_184     -282.3908
1a30_ligand_186     -295.6675
1a30_ligand_187     -264.2993
1a30_ligand_188     -303.0365
1a30_ligand_190     -296.7673
1a30_ligand_191     -265.9461
1a30_ligand_200     -244.0787
1a30_ligand_201     -315.8805
1a30_ligand_202     -280.5616
1a30_ligand_203     -234.3062
1a30_ligand_205     -243.1553
1a30_ligand_206     -298.6107
1a30_ligand_209     -283.0845
1a30_ligand_21      -362.4897
1a30_ligand_210     -286.3352
1a30_ligand_211     -318.8493
1a30_ligand_213     -286.7926
1a30_ligand_215     -285.3325
1a30_ligand_219     -315.5145
1a30_ligand_222     -270.6225
1a30_ligand_226     -275.4177
1a30_ligand_229     -244.8120
1a30_ligand_230     -287.9415
1a30_ligand_232     -329.7630
1a30_ligand_235     -291.2866
1a30_ligand_236     -267.7041
1a30_ligand_239     -240.0035
1a30_ligand_240     -288.4869
1a30_ligand_244     -269.8860
1a30_ligand_246     -294.1486
1a30_ligand_250     -264.2085
1a30_ligand_254     -353.7194
1a30_ligand_256     -238.7474
1a30_ligand_260     -290.7413
1a30_ligand_262     -377.0265
1a30_ligand_265     -326.0444
1a30_ligand_274     -342.5337
1a30_ligand_277     -217.9278
1a30_ligand_283     -272.1819
1a30_ligand_286     -273.1793
1a30_ligand_287     -230.8480
1a30_ligand_291     -307.6032
1a30_ligand_293     -223.0188
1a30_ligand_294     -259.0196
1a30_ligand_296     -277.1772
1a30_ligand_298     -206.1116
1a30_ligand_317     -268.1476
1a30_ligand_318     -270.2479
1a30_ligand_320     -262.9927
1a30_ligand_322     -275.9346
1a30_ligand_325     -227.6140
1a30_ligand_339     -198.3921
1a30_ligand_344     -236.3812
1a30_ligand_345     -368.2631
1a30_ligand_349     -216.0434
1a30_ligand_357     -455.4103
1a30_ligand_367     -443.2167
1a30_ligand_369     -298.5983
1a30_ligand_372     -361.4657
1a30_ligand_373     -320.7892
1a30_ligand_383     -411.4046
1a30_ligand_385     -476.0013
1a30_ligand_395     -339.7034
1a30_ligand_400     -433.6056
1a30_ligand_437     -445.5281
1a30_ligand_444     -501.7887
1a30_ligand_489     -382.7155
1a30_ligand_493     -421.0469
1a30_ligand_61      -316.5277
1a30_ligand_62      -347.8149
1a30_ligand_65      -319.1851
1a30_ligand_68      -349.2781
1a30_ligand_73      -360.1820
1a30_ligand_78      -316.5465
1a30_ligand_79      -418.2925
1a30_ligand_80      -367.5139
1a30_ligand_82      -331.8598
1a30_ligand_97      -399.0931
1bcu_ligand_118     -243.2608
1bcu_ligand_127     -248.3734
1bcu_ligand_129     -224.2017
1bcu_ligand_133     -229.2632
1bcu_ligand_140     -230.1175
1bcu_ligand_171     -165.3654
1bcu_ligand_172     -129.1304
1bcu_ligand_173     -145.4733
1bcu_ligand_189     -141.9769
1bcu_ligand_190     -168.5439
1bcu_ligand_191     -161.3146
1bcu_ligand_192     -174.7803
1bcu_ligand_193     -228.8790
1bcu_ligand_194     -169.9097
1bcu_ligand_195     -165.0476
1bcu_ligand_196     -154.0123
1bcu_ligand_197     -165.5776
1bcu_ligand_198     -131.7947
1bcu_ligand_199     -186.0213
1bcu_ligand_200     -135.3918
1bcu_ligand_201     -226.3718
1bcu_ligand_202     -218.4819
1bcu_ligand_203     -204.6169
1bcu_ligand_204     -206.1163
1bcu_ligand_207     -210.9310
1bcu_ligand_208     -209.7361
1bcu_ligand_209     -216.8766
1bcu_ligand_210     -184.6582
1bcu_ligand_211     -225.2455
1bcu_ligand_212     -194.3666
1bcu_ligand_213     -196.0536
1bcu_ligand_214     -200.9644
1bcu_ligand_215     -193.9510
1bcu_ligand_216     -221.0601
1bcu_ligand_217     -216.6484
1bcu_ligand_218     -191.8454
1bcu_ligand_219     -195.7440
1bcu_ligand_221     -202.6301
1bcu_ligand_222     -215.5920
1bcu_ligand_223     -208.9606
1bcu_ligand_224     -199.2770
1bcu_ligand_225     -213.1431
1bcu_ligand_226     -183.6937
1bcu_ligand_227     -185.3841
1bcu_ligand_228     -191.9055
1bcu_ligand_229     -204.9512
1bcu_ligand_233     -202.3885
1bcu_ligand_235     -204.4785
1bcu_ligand_236     -178.2286
1bcu_ligand_237     -210.5054
1bcu_ligand_238     -164.5556
1bcu_ligand_239     -186.4565
1bcu_ligand_240     -213.0985
1bcu_ligand_241     -194.4674
1bcu_ligand_242     -184.2032
1bcu_ligand_243     -174.6798
1bcu_ligand_244     -195.4915
1bcu_ligand_245     -179.4347
1bcu_ligand_246     -153.7324
1bcu_ligand_247     -170.1333
1bcu_ligand_248     -205.0679
1bcu_ligand_249     -183.4363
1bcu_ligand_250     -157.1876
1bcu_ligand_259     -186.6944
1bcu_ligand_260     -189.1361
1bcu_ligand_263     -192.2676
1bcu_ligand_272     -174.6645
1bcu_ligand_277     -187.2351
1bcu_ligand_291     -136.7769
1bcu_ligand_293     -191.4767
1bcu_ligand_297     -163.7271
1bcu_ligand_298     -156.2447
