#code_ligand_num    score   
1a30_ligand_1       -150.1873
1a30_ligand_100     -112.1703
1a30_ligand_101     -161.8137
1a30_ligand_108     -221.8552
1a30_ligand_120     -124.4933
1a30_ligand_121     -195.3279
1a30_ligand_127     -184.4162
1a30_ligand_13      -139.9218
1a30_ligand_132     -122.1140
1a30_ligand_140     -204.9714
1a30_ligand_145     -168.5479
1a30_ligand_151     -201.6052
1a30_ligand_161     -190.7136
1a30_ligand_162     -191.6615
1a30_ligand_165     -172.1989
1a30_ligand_171     -145.2120
1a30_ligand_178     -225.3123
1a30_ligand_185     -244.1846
1a30_ligand_19      -142.0321
1a30_ligand_191     -164.2798
1a30_ligand_194     -161.0132
1a30_ligand_198     -222.4822
1a30_ligand_199     -215.7987
1a30_ligand_200     -213.1756
1a30_ligand_202     -209.6991
1a30_ligand_210     -134.4390
1a30_ligand_211     -111.0361
1a30_ligand_215     -143.2663
1a30_ligand_216     -138.5934
1a30_ligand_218     -105.8432
1a30_ligand_219     -151.4658
1a30_ligand_223     -106.5174
1a30_ligand_229     -114.7203
1a30_ligand_231     -142.2637
1a30_ligand_233     -223.0643
1a30_ligand_236     -150.0810
1a30_ligand_241     -169.3740
1a30_ligand_245     -238.2782
1a30_ligand_246     -120.5389
1a30_ligand_248     -155.9709
1a30_ligand_253     -240.6183
1a30_ligand_258     -235.0514
1a30_ligand_266     -162.8801
1a30_ligand_27      -134.7676
1a30_ligand_276     -163.6630
1a30_ligand_277     -178.0462
1a30_ligand_278     -165.1177
1a30_ligand_279     -182.4251
1a30_ligand_290     -153.8568
1a30_ligand_295     -225.6452
1a30_ligand_302     -234.7047
1a30_ligand_303     -249.2044
1a30_ligand_309     -188.2532
1a30_ligand_31      -120.8177
1a30_ligand_316     -143.6758
1a30_ligand_320     -189.7759
1a30_ligand_323     -156.9730
1a30_ligand_328     -197.5912
1a30_ligand_332     -229.0281
1a30_ligand_335     -199.2152
1a30_ligand_338     -173.9578
1a30_ligand_34      -136.7976
1a30_ligand_344     -145.0919
1a30_ligand_346     -234.5904
1a30_ligand_350     -185.6002
1a30_ligand_365     -198.0847
1a30_ligand_37      -188.1951
1a30_ligand_377     -220.7218
1a30_ligand_38      -176.9093
1a30_ligand_389     -290.2042
1a30_ligand_40      -172.6242
1a30_ligand_401     -246.6215
1a30_ligand_406     -278.8078
1a30_ligand_41      -175.5053
1a30_ligand_417     -221.0014
1a30_ligand_42      -132.1837
1a30_ligand_422     -289.1307
1a30_ligand_425     -273.3933
