#code_ligand_num    score   
1a30_ligand_10      -137.1001
1a30_ligand_101     -187.7746
1a30_ligand_107     -79.3963
1a30_ligand_108     -175.8237
1a30_ligand_115     -124.8488
1a30_ligand_128     -219.8350
1a30_ligand_129     -129.2870
1a30_ligand_131     -131.1581
1a30_ligand_135     -74.7618
1a30_ligand_152     -157.7212
1a30_ligand_154     -151.1764
1a30_ligand_163     -161.1736
1a30_ligand_171     -138.8322
1a30_ligand_190     -132.9434
1a30_ligand_191     -157.2578
1a30_ligand_193     -117.0528
1a30_ligand_200     -201.4230
1a30_ligand_201     -129.2288
1a30_ligand_203     -54.0312
1a30_ligand_206     -43.1261
1a30_ligand_207     -89.3983
1a30_ligand_209     -34.8954
1a30_ligand_21      -144.1465
1a30_ligand_210     -18.8003
1a30_ligand_216     -71.8474
1a30_ligand_217     -39.8181
1a30_ligand_218     -151.3651
1a30_ligand_219     -123.0792
1a30_ligand_220     -88.2612
1a30_ligand_222     -89.1995
1a30_ligand_224     -96.7696
1a30_ligand_225     -82.5470
1a30_ligand_230     -97.2071
1a30_ligand_231     -97.4344
1a30_ligand_233     -73.5987
1a30_ligand_235     -39.3365
1a30_ligand_237     -92.4169
1a30_ligand_238     -60.1909
1a30_ligand_239     -107.6152
1a30_ligand_240     -43.2690
1a30_ligand_241     -36.9250
1a30_ligand_242     -64.1925
1a30_ligand_243     -111.1771
1a30_ligand_244     -99.4348
1a30_ligand_245     -87.8194
1a30_ligand_246     -87.6167
1a30_ligand_248     -70.4626
1a30_ligand_253     -156.7763
1a30_ligand_272     -118.9182
1a30_ligand_274     -172.4031
1a30_ligand_275     -123.1632
1a30_ligand_280     -181.5015
1a30_ligand_282     -91.0204
1a30_ligand_283     -169.3273
1a30_ligand_284     -180.3628
1a30_ligand_287     -167.1977
1a30_ligand_29      -144.7946
1a30_ligand_291     -160.1996
1a30_ligand_292     -176.5527
1a30_ligand_294     -160.7340
1a30_ligand_300     -171.8282
1a30_ligand_303     -157.8712
1a30_ligand_307     -147.0710
1a30_ligand_31      -124.5811
1a30_ligand_311     -150.1283
1a30_ligand_319     -179.8558
1a30_ligand_327     -190.3556
1a30_ligand_338     -125.5360
1a30_ligand_34      -100.0891
1a30_ligand_342     -122.8486
1a30_ligand_35      -125.3296
1a30_ligand_351     -177.9331
1a30_ligand_354     -262.1981
1a30_ligand_366     -211.2183
1a30_ligand_377     -237.6728
1a30_ligand_387     -187.6006
1a30_ligand_397     -114.0036
1a30_ligand_402     -198.8609
1a30_ligand_428     -181.1403
1a30_ligand_445     -190.6562
1a30_ligand_51      -157.6799
1a30_ligand_52      -121.5714
1a30_ligand_55      -103.0251
1a30_ligand_60      -100.2867
1a30_ligand_63      -121.4786
1a30_ligand_65      -62.0280
1a30_ligand_66      -135.2495
1a30_ligand_68      -145.6470
1a30_ligand_69      -111.1830
1a30_ligand_7       -125.8749
1a30_ligand_71      -162.5449
1a30_ligand_74      -180.0402
1a30_ligand_75      -105.2157
1a30_ligand_79      -109.5414
1a30_ligand_83      -109.6511
1a30_ligand_85      -117.7956
1a30_ligand_90      -137.7654
1a30_ligand_92      -126.9301
1a30_ligand_93      -115.5998
1a30_ligand_99      -109.9329
1bcu_ligand_160     -133.2435
1bcu_ligand_189     -167.2922
1bcu_ligand_193     -99.5549
1bcu_ligand_196     -111.4279
1bcu_ligand_200     -118.6085
1bcu_ligand_215     -108.6699
1bcu_ligand_219     -104.2425
1bcu_ligand_222     -57.2439
1bcu_ligand_224     -130.6063
1bcu_ligand_227     -77.8139
1bcu_ligand_237     -122.4680
1bcu_ligand_24      -132.0560
1bcu_ligand_253     -98.3407
1bcu_ligand_262     -82.2298
1bcu_ligand_263     -86.7506
1bcu_ligand_268     -130.9496
1bcu_ligand_269     -106.2845
1bcu_ligand_272     -102.4363
1bcu_ligand_275     -162.4103
1bcu_ligand_281     -107.1714
1bcu_ligand_283     -103.1907
1bcu_ligand_285     -98.7059
1bcu_ligand_286     -112.8431
1bcu_ligand_29      -168.8959
1bcu_ligand_296     -84.2105
1bcu_ligand_298     -43.6740
1bcu_ligand_310     -141.3240
1bcu_ligand_313     -148.4081
1bcu_ligand_315     -137.7257
1bcu_ligand_318     -148.7060
1bcu_ligand_331     -141.2859
1bcu_ligand_338     -118.1064
1bcu_ligand_340     -108.7018
1bcu_ligand_345     -121.0895
1bcu_ligand_355     -101.3600
1bcu_ligand_357     -112.3805
1bcu_ligand_358     -106.6177
1bcu_ligand_361     -78.3521
1bcu_ligand_365     -76.5792
1bcu_ligand_369     -73.8102
1bcu_ligand_370     -79.1855
1bcu_ligand_371     -89.3266
1bcu_ligand_373     -60.5822
1bcu_ligand_374     -81.4652
1bcu_ligand_375     -72.9168
1bcu_ligand_377     -73.6966
1bcu_ligand_378     -78.9163
1bcu_ligand_379     -89.4692
1bcu_ligand_380     -61.4591
1bcu_ligand_381     -87.7516
1bcu_ligand_382     -65.0949
1bcu_ligand_383     -55.9943
1bcu_ligand_385     -75.3296
1bcu_ligand_386     -63.4611
1bcu_ligand_387     -34.5434
1bcu_ligand_388     -44.2850
1bcu_ligand_389     -35.4320
1bcu_ligand_390     -57.8021
1bcu_ligand_393     -51.7379
1bcu_ligand_394     -51.0708
1bcu_ligand_395     -76.7942
1bcu_ligand_396     -85.4220
1bcu_ligand_397     -30.3269
1bcu_ligand_398     -63.2045
1bcu_ligand_399     -30.9704
1bcu_ligand_400     -46.0813
1bcu_ligand_402     -152.0277
1bcu_ligand_405     -135.4986
1bcu_ligand_406     -131.7241
1bcu_ligand_408     -71.5130
1bcu_ligand_412     -80.2334
1bcu_ligand_418     -94.1101
1bcu_ligand_420     -77.3180
1bcu_ligand_422     -64.2293
1bcu_ligand_430     -95.2764
1bcu_ligand_432     -59.8394
1bcu_ligand_433     -76.9507
1bcu_ligand_434     -82.7161
1bcu_ligand_435     -56.0634
1bcu_ligand_436     -79.6630
1bcu_ligand_441     -82.0048
1bcu_ligand_444     -73.2544
1bcu_ligand_446     -81.4226
1bcu_ligand_447     -90.7955
1bcu_ligand_449     -85.1701
1bcu_ligand_450     -81.6261
1bcu_ligand_451     -132.0134
1bcu_ligand_456     -129.6162
1bcu_ligand_458     -115.5189
1bcu_ligand_46      -109.8148
1bcu_ligand_463     -88.5054
1bcu_ligand_471     -114.3528
1bcu_ligand_479     -98.2199
1bcu_ligand_488     -84.5282
1bcu_ligand_490     -102.1497
1bcu_ligand_491     -65.6470
1bcu_ligand_493     -86.8076
1bcu_ligand_499     -83.1701
1bcu_ligand_500     -89.5847
1bcu_ligand_72      -160.0830
1bzc_ligand_103     -162.4690
1bzc_ligand_104     -111.9552
1bzc_ligand_11      -94.0099
1bzc_ligand_12      -148.7040
1bzc_ligand_120     -124.7294
1bzc_ligand_137     -108.2033
1bzc_ligand_144     -128.4712
1bzc_ligand_146     -142.5855
1bzc_ligand_150     -113.6358
1bzc_ligand_152     -177.3721
1bzc_ligand_177     -159.1232
1bzc_ligand_179     -136.9959
1bzc_ligand_182     -124.8131
1bzc_ligand_184     -195.3421
1bzc_ligand_190     -148.0048
1bzc_ligand_194     -115.8902
1bzc_ligand_195     -128.5473
1bzc_ligand_200     -147.0809
1bzc_ligand_201     -146.5140
1bzc_ligand_202     -152.3843
1bzc_ligand_209     -98.5165
1bzc_ligand_214     -95.9387
1bzc_ligand_215     -85.9304
1bzc_ligand_216     -96.3357
1bzc_ligand_220     -116.1348
1bzc_ligand_221     -81.7619
1bzc_ligand_224     -88.1964
1bzc_ligand_227     -85.0617
1bzc_ligand_228     -50.9528
1bzc_ligand_230     -108.2128
1bzc_ligand_232     -51.5397
1bzc_ligand_234     -103.5158
1bzc_ligand_235     -100.3203
1bzc_ligand_236     -79.1651
1bzc_ligand_237     -84.6830
1bzc_ligand_239     -103.2372
1bzc_ligand_241     -104.4803
1bzc_ligand_242     -101.8266
1bzc_ligand_243     -78.0672
1bzc_ligand_245     -88.7015
1bzc_ligand_246     -100.3304
1bzc_ligand_247     -47.7105
1bzc_ligand_248     -121.4863
1bzc_ligand_250     -76.6142
1bzc_ligand_251     -112.8156
1bzc_ligand_26      -81.1840
1bzc_ligand_260     -124.5810
1bzc_ligand_263     -139.4097
1bzc_ligand_265     -169.1705
1bzc_ligand_273     -125.9027
1bzc_ligand_274     -98.4566
1bzc_ligand_276     -97.2934
1bzc_ligand_28      -117.3973
1bzc_ligand_284     -142.2802
1bzc_ligand_285     -130.1731
1bzc_ligand_289     -114.0839
1bzc_ligand_292     -138.4748
1bzc_ligand_294     -87.0962
1bzc_ligand_295     -147.2973
1bzc_ligand_298     -107.9712
1bzc_ligand_299     -94.5463
1bzc_ligand_308     -133.4404
1bzc_ligand_331     -118.9344
1bzc_ligand_332     -72.7077
1bzc_ligand_343     -126.2097
1bzc_ligand_345     -166.5013
1bzc_ligand_350     -109.6115
1bzc_ligand_36      -125.2806
1bzc_ligand_361     -173.1990
1bzc_ligand_373     -142.0829
1bzc_ligand_379     -116.1186
1bzc_ligand_390     -127.4220
1bzc_ligand_397     -131.1682
1bzc_ligand_399     -174.4794
1bzc_ligand_400     -165.6481
1bzc_ligand_41      -121.6711
1bzc_ligand_424     -129.1420
1bzc_ligand_44      -129.2627
1bzc_ligand_457     -124.9371
1bzc_ligand_484     -192.0564
1bzc_ligand_52      -60.9007
1bzc_ligand_55      -107.7507
1bzc_ligand_61      -58.5790
1bzc_ligand_62      -86.4184
1bzc_ligand_66      -155.4898
1bzc_ligand_67      -125.7537
1bzc_ligand_68      -109.2312
1bzc_ligand_7       -133.5842
1bzc_ligand_71      -147.0999
1bzc_ligand_74      -75.9132
1bzc_ligand_75      -50.8456
