#code_ligand_num    score   
1a30_ligand_102     -169.8796
1a30_ligand_11      -148.4626
1a30_ligand_120     -161.8137
1a30_ligand_126     -221.4288
1a30_ligand_138     -215.9004
1a30_ligand_148     -146.5099
1a30_ligand_149     -233.4711
1a30_ligand_153     -254.3935
1a30_ligand_156     -235.0333
1a30_ligand_16      -123.9097
1a30_ligand_164     -281.5678
1a30_ligand_168     -246.0377
1a30_ligand_170     -192.7573
1a30_ligand_174     -238.8920
1a30_ligand_175     -194.8331
1a30_ligand_182     -219.0253
1a30_ligand_184     -169.5501
1a30_ligand_186     -228.8172
1a30_ligand_191     -195.5609
1a30_ligand_195     -271.6066
1a30_ligand_196     -249.0264
1a30_ligand_198     -229.6934
1a30_ligand_201     -110.2565
1a30_ligand_202     -123.5184
1a30_ligand_206     -80.1275
1a30_ligand_209     -156.6402
1a30_ligand_211     -125.2625
1a30_ligand_214     -120.7487
1a30_ligand_217     -93.0027
1a30_ligand_218     -130.3150
1a30_ligand_219     -157.9065
1a30_ligand_222     -117.5892
1a30_ligand_224     -100.6071
1a30_ligand_225     -74.5642
1a30_ligand_226     -70.1634
1a30_ligand_228     -105.5988
1a30_ligand_232     -150.1027
1a30_ligand_233     -116.5776
1a30_ligand_235     -45.3741
1a30_ligand_237     -145.3155
1a30_ligand_243     -106.4109
1a30_ligand_245     -93.3639
1a30_ligand_247     -78.8153
1a30_ligand_249     -132.3683
1a30_ligand_257     -152.2603
1a30_ligand_261     -153.8645
1a30_ligand_265     -107.3336
1a30_ligand_267     -187.7526
1a30_ligand_268     -222.0419
1a30_ligand_269     -213.5034
1a30_ligand_272     -196.8531
1a30_ligand_284     -178.4513
1a30_ligand_285     -170.2889
1a30_ligand_287     -204.6904
1a30_ligand_291     -260.7658
1a30_ligand_295     -174.7269
1a30_ligand_297     -158.9662
1a30_ligand_304     -196.7799
1a30_ligand_307     -176.8122
1a30_ligand_319     -166.5484
1a30_ligand_325     -167.3105
1a30_ligand_330     -161.8312
1a30_ligand_334     -205.3321
1a30_ligand_344     -239.8071
1a30_ligand_351     -422.4486
1a30_ligand_36      -117.9908
