#code_ligand_num    score   
1a30_ligand_102     -133.7263
1a30_ligand_103     -223.9265
1a30_ligand_108     -187.9182
1a30_ligand_109     -155.4751
1a30_ligand_11      -76.4383
1a30_ligand_111     -136.7259
1a30_ligand_113     -118.4802
1a30_ligand_116     -158.3277
1a30_ligand_118     -159.1779
1a30_ligand_119     -196.6163
1a30_ligand_12      -58.2537
1a30_ligand_123     -143.2283
1a30_ligand_13      -80.6768
1a30_ligand_133     -111.1244
1a30_ligand_135     -152.6990
1a30_ligand_148     -112.4154
1a30_ligand_157     -181.4836
1a30_ligand_16      -141.7720
1a30_ligand_162     -219.6297
1a30_ligand_169     -167.6435
1a30_ligand_17      -78.7791
1a30_ligand_176     -212.2235
1a30_ligand_183     -159.5686
1a30_ligand_188     -214.4592
1a30_ligand_193     -161.7720
1a30_ligand_199     -241.5525
1a30_ligand_200     -215.8735
1a30_ligand_201     -100.1799
1a30_ligand_209     -156.8618
1a30_ligand_214     -68.9866
1a30_ligand_224     -120.6637
1a30_ligand_225     -67.1490
1a30_ligand_232     -72.2333
1a30_ligand_233     -124.1648
1a30_ligand_234     -123.2649
1a30_ligand_235     -125.0837
1a30_ligand_239     -121.8578
1a30_ligand_244     -114.7828
1a30_ligand_263     -164.0249
1a30_ligand_27      -119.6842
1a30_ligand_283     -160.5160
1a30_ligand_287     -191.5484
1a30_ligand_29      -74.4730
1a30_ligand_296     -129.3532
1a30_ligand_297     -171.3548
1a30_ligand_3       -154.8796
1a30_ligand_305     -171.8701
1a30_ligand_31      -80.8631
1a30_ligand_311     -182.7148
1a30_ligand_32      -79.0483
1a30_ligand_325     -111.5580
1a30_ligand_33      -196.6302
1a30_ligand_332     -130.3730
1a30_ligand_342     -175.3780
1a30_ligand_346     -154.6557
1a30_ligand_36      -112.8139
1a30_ligand_362     -195.9285
1a30_ligand_368     -160.0761
1a30_ligand_376     -225.6158
1a30_ligand_377     -153.2181
1a30_ligand_38      -105.6955
1a30_ligand_386     -247.6959
1a30_ligand_389     -169.5476
1a30_ligand_390     -162.5764
1a30_ligand_397     -170.6094
1a30_ligand_4       -108.9949
1a30_ligand_400     -164.3997
1a30_ligand_41      -84.5157
1a30_ligand_42      -91.1661
1a30_ligand_427     -289.3243
1a30_ligand_43      -84.8358
1a30_ligand_432     -175.8276
1a30_ligand_44      -57.9536
1a30_ligand_444     -138.7823
1a30_ligand_449     -173.9653
1a30_ligand_45      -106.2775
1a30_ligand_462     -187.4456
1a30_ligand_466     -210.8949
1a30_ligand_498     -222.7934
1a30_ligand_58      -188.3744
1a30_ligand_6       -108.4597
1a30_ligand_60      -115.7223
1a30_ligand_63      -121.0577
1a30_ligand_65      -194.4685
1a30_ligand_66      -84.2277
1a30_ligand_67      -136.6018
1a30_ligand_7       -96.2650
1a30_ligand_70      -121.2620
1a30_ligand_73      -98.6614
1a30_ligand_74      -71.5364
1a30_ligand_76      -238.1957
1a30_ligand_79      -183.1343
1a30_ligand_8       -92.8747
1a30_ligand_82      -63.3158
1a30_ligand_85      -136.7012
1a30_ligand_89      -96.9224
1a30_ligand_9       -138.4891
1a30_ligand_94      -180.4510
1a30_ligand_95      -137.4684
1a30_ligand_96      -162.0697
1bcu_ligand_152     -130.1731
1bcu_ligand_156     -144.2770
1bcu_ligand_160     -132.4991
1bcu_ligand_162     -147.4016
1bcu_ligand_166     -146.4350
1bcu_ligand_172     -145.0259
1bcu_ligand_175     -128.1795
1bcu_ligand_179     -135.8095
1bcu_ligand_182     -156.7465
1bcu_ligand_184     -129.4761
1bcu_ligand_186     -170.9259
1bcu_ligand_189     -151.6291
1bcu_ligand_194     -138.0619
1bcu_ligand_207     -113.8504
1bcu_ligand_211     -162.3921
1bcu_ligand_218     -146.2391
1bcu_ligand_228     -115.3906
1bcu_ligand_229     -122.4576
1bcu_ligand_232     -101.0441
1bcu_ligand_234     -115.2689
1bcu_ligand_236     -92.3387
1bcu_ligand_237     -148.7726
1bcu_ligand_240     -103.4106
1bcu_ligand_242     -133.4621
1bcu_ligand_246     -132.6703
1bcu_ligand_257     -122.2882
1bcu_ligand_262     -92.4755
1bcu_ligand_263     -57.9124
1bcu_ligand_265     -101.3219
1bcu_ligand_294     -97.4841
1bcu_ligand_298     -110.6656
1bcu_ligand_299     -129.6723
1bcu_ligand_302     -156.3125
1bcu_ligand_303     -178.2491
1bcu_ligand_311     -166.7465
1bcu_ligand_315     -174.8115
1bcu_ligand_316     -186.4417
1bcu_ligand_317     -149.7839
1bcu_ligand_320     -147.7310
1bcu_ligand_331     -169.8500
1bcu_ligand_339     -137.8689
1bcu_ligand_346     -126.2985
1bcu_ligand_347     -175.1375
1bcu_ligand_351     -107.6502
1bcu_ligand_353     -101.7202
1bcu_ligand_355     -98.2054
1bcu_ligand_357     -91.4036
1bcu_ligand_360     -94.7621
1bcu_ligand_363     -60.7725
1bcu_ligand_365     -76.4718
1bcu_ligand_366     -96.3983
1bcu_ligand_369     -64.9412
1bcu_ligand_370     -80.8898
1bcu_ligand_372     -88.3681
1bcu_ligand_373     -61.0855
1bcu_ligand_376     -55.1827
1bcu_ligand_377     -81.0339
1bcu_ligand_379     -53.4892
1bcu_ligand_380     -69.3230
1bcu_ligand_381     -84.4383
1bcu_ligand_382     -42.4143
1bcu_ligand_383     -60.3970
1bcu_ligand_384     -65.7546
1bcu_ligand_385     -51.7104
1bcu_ligand_386     -88.7030
1bcu_ligand_387     -34.1844
1bcu_ligand_388     -40.1423
1bcu_ligand_389     -60.8182
1bcu_ligand_391     -92.0688
1bcu_ligand_392     -55.6157
1bcu_ligand_393     -35.4494
1bcu_ligand_394     -66.6452
1bcu_ligand_395     -54.2088
