#code_ligand_num    score   
1a30_ligand_10      -82.0571
1a30_ligand_102     -101.3870
1a30_ligand_106     -145.2891
1a30_ligand_108     -87.8761
1a30_ligand_111     -179.7150
1a30_ligand_116     -134.1924
1a30_ligand_117     -132.3462
1a30_ligand_12      -53.4239
1a30_ligand_122     -157.8177
1a30_ligand_127     -130.3163
1a30_ligand_129     -135.1336
1a30_ligand_131     -102.5753
1a30_ligand_132     -99.3911
1a30_ligand_141     -122.8184
1a30_ligand_147     -113.5167
1a30_ligand_15      -113.7220
1a30_ligand_162     -235.5621
1a30_ligand_168     -310.2666
1a30_ligand_169     -212.2513
1a30_ligand_170     -231.5236
1a30_ligand_181     -221.0410
1a30_ligand_182     -242.5193
1a30_ligand_185     -192.8162
1a30_ligand_19      -81.1884
1a30_ligand_197     -205.7205
1a30_ligand_204     -95.1638
1a30_ligand_205     -96.9490
1a30_ligand_206     -80.9278
1a30_ligand_208     -101.8583
1a30_ligand_209     -107.7479
1a30_ligand_210     -125.1501
1a30_ligand_211     -60.0969
1a30_ligand_216     -108.5339
1a30_ligand_223     -152.7052
1a30_ligand_224     -40.2080
1a30_ligand_228     -107.5332
1a30_ligand_229     -78.7797
1a30_ligand_232     -97.4928
1a30_ligand_235     -55.3586
1a30_ligand_236     -37.7927
1a30_ligand_237     -113.4978
1a30_ligand_240     -77.5425
1a30_ligand_241     -139.6661
1a30_ligand_247     -86.9185
1a30_ligand_248     -34.4950
1a30_ligand_249     -99.5098
1a30_ligand_259     -208.7375
1a30_ligand_261     -258.0001
1a30_ligand_264     -122.5864
1a30_ligand_270     -176.8077
1a30_ligand_273     -169.7349
1a30_ligand_274     -148.2962
1a30_ligand_28      -113.4021
1a30_ligand_282     -213.3837
1a30_ligand_287     -172.9297
1a30_ligand_289     -148.4498
1a30_ligand_292     -178.5770
1a30_ligand_295     -159.9684
1a30_ligand_297     -89.3491
1a30_ligand_299     -141.3573
1a30_ligand_300     -165.3128
1a30_ligand_31      -95.0580
1a30_ligand_316     -203.7655
1a30_ligand_319     -203.1877
1a30_ligand_32      -91.3582
1a30_ligand_320     -201.2592
1a30_ligand_33      -86.5265
1a30_ligand_330     -214.4799
1a30_ligand_336     -123.4425
1a30_ligand_338     -226.5520
1a30_ligand_340     -199.3794
1a30_ligand_342     -127.7622
1a30_ligand_346     -186.4648
1a30_ligand_350     -225.9866
1a30_ligand_353     -219.1095
1a30_ligand_40      -91.2643
1a30_ligand_42      -91.9334
1a30_ligand_43      -120.8081
1a30_ligand_46      -89.9770
1a30_ligand_5       -107.5998
1a30_ligand_50      -118.6614
1a30_ligand_53      -59.6458
1a30_ligand_6       -114.2624
1a30_ligand_64      -51.9354
1a30_ligand_65      -117.6166
1a30_ligand_66      -98.5025
1a30_ligand_68      -63.5648
1a30_ligand_70      -81.1179
1a30_ligand_71      -137.0700
1a30_ligand_73      -77.7489
1a30_ligand_76      -128.3495
1a30_ligand_8       -78.1222
1a30_ligand_83      -211.7551
1a30_ligand_86      -111.0077
1a30_ligand_87      -101.5005
1a30_ligand_89      -110.0528
1a30_ligand_90      -148.1551
1a30_ligand_96      -56.5584
1a30_ligand_98      -77.8711
1a30_ligand_99      -47.9346
1bcu_ligand_160     -166.1775
1bcu_ligand_168     -173.6409
1bcu_ligand_169     -169.6614
1bcu_ligand_178     -177.8782
1bcu_ligand_179     -185.2039
1bcu_ligand_188     -181.6255
1bcu_ligand_197     -166.9950
1bcu_ligand_198     -183.7402
1bcu_ligand_209     -94.9106
1bcu_ligand_211     -105.8154
1bcu_ligand_213     -102.9209
1bcu_ligand_215     -133.7432
1bcu_ligand_216     -140.3471
1bcu_ligand_217     -68.4179
1bcu_ligand_219     -180.5266
1bcu_ligand_221     -130.5595
1bcu_ligand_222     -154.3314
1bcu_ligand_223     -119.0055
1bcu_ligand_226     -90.9981
1bcu_ligand_231     -61.2012
1bcu_ligand_235     -137.2358
1bcu_ligand_236     -85.1622
1bcu_ligand_239     -72.4383
1bcu_ligand_245     -157.3743
1bcu_ligand_247     -128.4315
1bcu_ligand_248     -101.2333
1bcu_ligand_249     -103.5698
1bcu_ligand_250     -110.5604
1bcu_ligand_257     -160.6102
1bcu_ligand_259     -108.4899
1bcu_ligand_274     -173.6873
1bcu_ligand_277     -161.3385
1bcu_ligand_278     -165.6014
1bcu_ligand_280     -142.5786
1bcu_ligand_282     -98.7543
1bcu_ligand_285     -175.3475
1bcu_ligand_290     -79.0488
1bcu_ligand_293     -155.0264
1bcu_ligand_315     -162.8803
1bcu_ligand_322     -174.0105
1bcu_ligand_328     -149.4175
1bcu_ligand_336     -133.0427
1bcu_ligand_337     -149.8645
1bcu_ligand_339     -191.1321
1bcu_ligand_340     -137.7752
1bcu_ligand_353     -115.0958
1bcu_ligand_357     -96.9204
1bcu_ligand_362     -101.9591
1bcu_ligand_363     -52.2014
1bcu_ligand_365     -96.6270
1bcu_ligand_366     -60.3389
1bcu_ligand_367     -55.3043
1bcu_ligand_368     -50.6490
1bcu_ligand_369     -43.4764
1bcu_ligand_370     -54.7718
1bcu_ligand_371     -107.7270
1bcu_ligand_373     -53.4345
1bcu_ligand_377     -38.3650
1bcu_ligand_378     -59.2979
1bcu_ligand_379     -32.5680
1bcu_ligand_380     -69.9858
1bcu_ligand_384     -63.5383
1bcu_ligand_385     -38.2429
1bcu_ligand_389     -32.7023
1bcu_ligand_391     -36.1375
1bcu_ligand_392     -23.7503
1bcu_ligand_393     -55.8033
1bcu_ligand_394     -41.5438
1bcu_ligand_395     -49.4018
1bcu_ligand_396     -40.4450
1bcu_ligand_398     -57.9545
1bcu_ligand_399     -16.0307
1bcu_ligand_400     -15.6489
1bcu_ligand_406     -87.9443
1bcu_ligand_411     -86.4147
1bcu_ligand_421     -62.4251
1bcu_ligand_426     -85.7066
1bcu_ligand_427     -97.8905
1bcu_ligand_429     -86.9712
1bcu_ligand_430     -48.4244
1bcu_ligand_433     -51.1493
1bcu_ligand_435     -58.1647
1bcu_ligand_443     -70.3320
1bcu_ligand_445     -46.7283
1bcu_ligand_448     -45.2013
1bcu_ligand_450     -19.8950
1bcu_ligand_457     -81.6542
1bcu_ligand_458     -103.1337
1bcu_ligand_461     -105.9718
1bcu_ligand_468     -72.5130
1bcu_ligand_472     -79.2970
1bcu_ligand_477     -50.7585
1bcu_ligand_478     -102.2171
1bcu_ligand_479     -64.6272
1bcu_ligand_483     -74.9852
1bcu_ligand_484     -62.6089
1bcu_ligand_485     -75.3980
1bcu_ligand_488     -98.8049
1bcu_ligand_493     -65.4184
1bcu_ligand_499     -65.4475
1bzc_ligand_108     -186.4169
1bzc_ligand_110     -134.8366
1bzc_ligand_116     -105.3502
1bzc_ligand_118     -72.3604
1bzc_ligand_126     -100.2143
1bzc_ligand_13      -88.1851
1bzc_ligand_130     -138.4765
1bzc_ligand_132     -189.0403
1bzc_ligand_139     -243.7026
1bzc_ligand_144     -152.9026
1bzc_ligand_16      -105.3398
1bzc_ligand_160     -206.0177
1bzc_ligand_162     -239.0859
1bzc_ligand_164     -199.0535
1bzc_ligand_167     -202.0637
1bzc_ligand_170     -243.0694
1bzc_ligand_171     -229.9137
1bzc_ligand_176     -255.1238
1bzc_ligand_177     -210.5365
1bzc_ligand_18      -167.5399
1bzc_ligand_180     -200.3267
1bzc_ligand_196     -272.9100
1bzc_ligand_203     -87.8498
1bzc_ligand_205     -109.7674
1bzc_ligand_208     -89.8683
1bzc_ligand_209     -49.3786
1bzc_ligand_210     -103.9785
1bzc_ligand_211     -67.1963
1bzc_ligand_212     -185.4192
1bzc_ligand_213     -26.3214
1bzc_ligand_214     -97.6691
1bzc_ligand_216     -98.9173
1bzc_ligand_218     -140.0333
1bzc_ligand_219     -84.8904
1bzc_ligand_22      -159.3672
1bzc_ligand_220     -131.0327
1bzc_ligand_221     -58.7963
1bzc_ligand_223     -194.6441
1bzc_ligand_226     -139.4805
1bzc_ligand_229     -68.6399
1bzc_ligand_23      -134.2220
1bzc_ligand_230     -96.3074
1bzc_ligand_231     -59.9550
1bzc_ligand_232     -87.3922
1bzc_ligand_233     -130.2994
1bzc_ligand_235     -102.5375
1bzc_ligand_236     -124.9126
1bzc_ligand_238     -135.5712
1bzc_ligand_240     -133.7659
1bzc_ligand_243     -111.1740
1bzc_ligand_244     -81.6723
1bzc_ligand_245     -77.4878
1bzc_ligand_246     -147.6764
1bzc_ligand_248     -97.5682
1bzc_ligand_249     -132.3182
1bzc_ligand_250     -145.6493
1bzc_ligand_257     -144.1630
1bzc_ligand_259     -242.8077
1bzc_ligand_263     -188.8864
1bzc_ligand_269     -157.3194
1bzc_ligand_28      -142.9116
1bzc_ligand_29      -93.4176
1bzc_ligand_292     -274.7092
1bzc_ligand_294     -112.5302
1bzc_ligand_295     -174.6732
1bzc_ligand_297     -186.9110
1bzc_ligand_30      -144.8351
1bzc_ligand_303     -201.6317
1bzc_ligand_308     -240.3200
1bzc_ligand_309     -230.0195
1bzc_ligand_314     -247.5132
1bzc_ligand_321     -198.3550
1bzc_ligand_326     -221.6105
1bzc_ligand_329     -145.6129
1bzc_ligand_331     -210.5990
1bzc_ligand_339     -202.8645
1bzc_ligand_34      -95.6140
1bzc_ligand_340     -217.2174
1bzc_ligand_343     -204.9808
1bzc_ligand_347     -199.1237
1bzc_ligand_348     -219.3288
1bzc_ligand_349     -241.6709
1bzc_ligand_392     -157.2604
1bzc_ligand_40      -86.0987
1bzc_ligand_44      -164.1680
1bzc_ligand_45      -123.0380
1bzc_ligand_5       -188.9987
1bzc_ligand_51      -75.5367
1bzc_ligand_54      -120.0454
1bzc_ligand_55      -209.2969
1bzc_ligand_58      -202.4150
1bzc_ligand_59      -150.6489
1bzc_ligand_67      -90.0460
1bzc_ligand_68      -139.1064
1bzc_ligand_69      -108.4924
1bzc_ligand_71      -154.8421
1bzc_ligand_74      -73.9075
1bzc_ligand_78      -191.4307
1bzc_ligand_9       -133.8130
1bzc_ligand_94      -158.7371
1c5z_ligand_152     -99.1067
1c5z_ligand_153     -98.1567
1c5z_ligand_156     -99.1916
1c5z_ligand_157     -80.0764
1c5z_ligand_159     -80.6659
1c5z_ligand_162     -98.5895
1c5z_ligand_163     -87.9183
1c5z_ligand_165     -100.4615
1c5z_ligand_166     -107.6648
1c5z_ligand_167     -91.2713
1c5z_ligand_168     -88.3849
1c5z_ligand_172     -96.8649
1c5z_ligand_173     -80.8894
1c5z_ligand_174     -100.9441
1c5z_ligand_176     -82.8290
1c5z_ligand_183     -76.6920
1c5z_ligand_184     -92.0070
1c5z_ligand_185     -68.3080
1c5z_ligand_189     -76.3821
1c5z_ligand_193     -81.1102
1c5z_ligand_195     -98.7897
1c5z_ligand_197     -103.0667
1c5z_ligand_198     -58.2631
1c5z_ligand_199     -84.5077
1c5z_ligand_201     -94.3567
1c5z_ligand_202     -78.6484
1c5z_ligand_204     -103.0862
1c5z_ligand_206     -85.2267
1c5z_ligand_209     -61.8403
1c5z_ligand_213     -74.6880
1c5z_ligand_214     -48.8088
1c5z_ligand_217     -36.7900
1c5z_ligand_218     -28.6713
1c5z_ligand_221     -51.9351
1c5z_ligand_224     -91.3027
1c5z_ligand_225     -50.0591
1c5z_ligand_226     -71.5076
1c5z_ligand_233     -56.3684
1c5z_ligand_234     -89.0037
1c5z_ligand_235     -82.6355
1c5z_ligand_236     -30.4930
1c5z_ligand_237     -31.7271
1c5z_ligand_238     -82.7214
1c5z_ligand_239     -57.4875
1c5z_ligand_244     -9.9701 
1c5z_ligand_246     -91.2617
1c5z_ligand_247     -48.7943
1c5z_ligand_249     -41.3762
1c5z_ligand_250     -98.6601
1c5z_ligand_252     -35.1194
1c5z_ligand_255     -51.0219
1c5z_ligand_258     -22.6016
1c5z_ligand_260     -82.4698
1c5z_ligand_263     -81.3611
1c5z_ligand_268     -82.0657
1c5z_ligand_269     -21.9730
1c5z_ligand_270     -43.1517
1c5z_ligand_276     -77.9284
1c5z_ligand_278     -18.3632
1c5z_ligand_283     -31.3859
1c5z_ligand_286     -86.2484
1c5z_ligand_289     -57.7869
1c5z_ligand_290     -106.0923
1c5z_ligand_292     -86.2063
1c5z_ligand_293     -33.5345
