#code_ligand_num    score   
1a30_ligand_1       -167.3434
1a30_ligand_11      -146.2389
1a30_ligand_112     -254.6361
1a30_ligand_114     -159.8474
1a30_ligand_115     -206.0488
1a30_ligand_117     -222.3775
1a30_ligand_128     -222.4108
1a30_ligand_129     -225.2513
1a30_ligand_131     -112.9015
1a30_ligand_14      -172.1048
1a30_ligand_141     -150.7837
1a30_ligand_146     -124.7901
1a30_ligand_148     -108.4024
1a30_ligand_149     -120.7774
1a30_ligand_155     -204.2517
1a30_ligand_16      -206.6353
1a30_ligand_161     -206.7548
1a30_ligand_164     -176.2327
1a30_ligand_166     -228.6032
1a30_ligand_168     -221.4386
1a30_ligand_169     -217.5131
1a30_ligand_173     -142.8415
1a30_ligand_175     -177.9861
1a30_ligand_177     -177.5427
1a30_ligand_178     -210.2285
1a30_ligand_180     -161.6695
1a30_ligand_184     -210.6003
1a30_ligand_19      -176.7318
1a30_ligand_190     -176.2115
1a30_ligand_195     -179.4937
1a30_ligand_198     -186.7921
1a30_ligand_200     -163.7724
1a30_ligand_204     -168.4876
1a30_ligand_206     -94.1138
1a30_ligand_212     -136.8377
1a30_ligand_217     -156.0686
1a30_ligand_221     -193.9873
1a30_ligand_225     -53.0712
1a30_ligand_227     -217.0573
1a30_ligand_232     -118.3795
1a30_ligand_234     -176.6879
1a30_ligand_235     -152.4410
1a30_ligand_241     -220.0077
1a30_ligand_246     -178.2991
1a30_ligand_255     -220.9970
1a30_ligand_265     -118.2395
1a30_ligand_267     -147.5508
1a30_ligand_277     -177.4548
1a30_ligand_279     -170.7408
1a30_ligand_28      -184.7447
1a30_ligand_280     -192.5258
1a30_ligand_286     -168.1450
1a30_ligand_291     -171.6474
1a30_ligand_305     -224.9295
1a30_ligand_31      -116.0909
1a30_ligand_316     -219.1973
1a30_ligand_320     -201.4437
1a30_ligand_327     -209.4344
1a30_ligand_333     -174.8751
1a30_ligand_335     -192.3764
1a30_ligand_34      -103.1866
1a30_ligand_345     -219.4867
1a30_ligand_349     -141.4948
1a30_ligand_359     -232.4660
1a30_ligand_36      -155.3211
1a30_ligand_360     -235.3320
1a30_ligand_362     -293.7919
1a30_ligand_371     -264.4364
1a30_ligand_374     -240.1091
1a30_ligand_376     -227.8531
1a30_ligand_381     -306.7698
1a30_ligand_388     -216.4412
1a30_ligand_397     -214.1361
1a30_ligand_399     -263.7868
1a30_ligand_400     -222.5332
1a30_ligand_422     -191.0573
1a30_ligand_434     -198.1958
1a30_ligand_45      -105.0194
1a30_ligand_488     -230.1973
1a30_ligand_493     -230.6411
1a30_ligand_495     -290.4626
1a30_ligand_5       -175.3050
1a30_ligand_50      -128.3023
1a30_ligand_53      -108.7558
1a30_ligand_56      -115.3162
1a30_ligand_59      -93.9359
1a30_ligand_6       -179.3355
