#code_ligand_num    score   
1a30_ligand_11      -175.4890
1a30_ligand_112     -88.7888
1a30_ligand_113     -142.2840
1a30_ligand_117     -109.4636
1a30_ligand_119     -98.7477
1a30_ligand_120     -118.9853
1a30_ligand_128     -121.2283
1a30_ligand_13      -204.8895
1a30_ligand_134     -174.2656
1a30_ligand_14      -160.1954
1a30_ligand_146     -119.2891
1a30_ligand_150     -109.9678
1a30_ligand_151     -226.9651
1a30_ligand_156     -167.5135
1a30_ligand_159     -213.4296
1a30_ligand_165     -183.1069
1a30_ligand_173     -176.4890
1a30_ligand_179     -121.4864
1a30_ligand_181     -125.5083
1a30_ligand_182     -179.6454
1a30_ligand_188     -158.5457
1a30_ligand_189     -156.9862
1a30_ligand_191     -137.1941
1a30_ligand_192     -105.7325
1a30_ligand_194     -171.5667
1a30_ligand_197     -151.6245
1a30_ligand_198     -161.2247
1a30_ligand_20      -103.6712
1a30_ligand_200     -239.2401
1a30_ligand_206     -122.8447
1a30_ligand_209     -134.5815
1a30_ligand_221     -159.5498
1a30_ligand_223     -101.3001
1a30_ligand_225     -80.8548
1a30_ligand_228     -104.8282
1a30_ligand_232     -119.4567
1a30_ligand_235     -83.7852
1a30_ligand_236     -81.0681
1a30_ligand_237     -91.2261
1a30_ligand_238     -38.7940
1a30_ligand_241     -51.7461
1a30_ligand_244     -109.4487
1a30_ligand_247     -165.7829
1a30_ligand_249     -115.9306
1a30_ligand_250     -75.5260
1a30_ligand_251     -206.9561
1a30_ligand_259     -133.2594
1a30_ligand_26      -131.3617
1a30_ligand_263     -116.9767
1a30_ligand_271     -126.5846
1a30_ligand_272     -125.4950
1a30_ligand_273     -93.4430
1a30_ligand_276     -180.0189
1a30_ligand_278     -143.7836
1a30_ligand_282     -142.3280
1a30_ligand_287     -143.8152
1a30_ligand_288     -143.7012
1a30_ligand_29      -152.6773
1a30_ligand_294     -96.5742
1a30_ligand_296     -115.8716
1a30_ligand_298     -104.6436
1a30_ligand_306     -235.9451
1a30_ligand_307     -166.4844
1a30_ligand_308     -173.1108
1a30_ligand_322     -85.4866
1a30_ligand_328     -198.8072
1a30_ligand_329     -167.4851
1a30_ligand_330     -180.6329
1a30_ligand_331     -207.0988
1a30_ligand_335     -116.3820
1a30_ligand_341     -177.5735
1a30_ligand_343     -190.8157
1a30_ligand_348     -177.9633
1a30_ligand_349     -130.3374
1a30_ligand_36      -121.9721
1a30_ligand_373     -286.1036
1a30_ligand_375     -227.8135
1a30_ligand_381     -221.5834
1a30_ligand_390     -285.5643
1a30_ligand_391     -234.3469
1a30_ligand_393     -244.9554
1a30_ligand_398     -261.2572
1a30_ligand_399     -170.0783
1a30_ligand_448     -201.8606
1a30_ligand_49      -141.3966
1a30_ligand_55      -119.4080
1a30_ligand_60      -116.8999
1a30_ligand_67      -107.5873
1a30_ligand_68      -78.3341
1a30_ligand_69      -103.3695
1a30_ligand_72      -96.2844
1a30_ligand_75      -210.7949
1a30_ligand_77      -67.7375
1a30_ligand_82      -69.0264
1a30_ligand_83      -105.6577
1a30_ligand_85      -125.3124
1a30_ligand_86      -58.3856
1a30_ligand_91      -133.8136
1a30_ligand_95      -76.0550
1a30_ligand_96      -85.4005
1bcu_ligand_157     -105.2206
1bcu_ligand_173     -96.5751
1bcu_ligand_175     -117.8937
1bcu_ligand_191     -133.9857
1bcu_ligand_204     -94.0283
1bcu_ligand_212     -113.3464
1bcu_ligand_215     -87.6448
1bcu_ligand_219     -82.7226
1bcu_ligand_221     -73.1310
1bcu_ligand_225     -64.9924
1bcu_ligand_227     -67.1877
1bcu_ligand_232     -111.5517
1bcu_ligand_233     -96.9753
1bcu_ligand_234     -108.3017
1bcu_ligand_235     -85.0342
1bcu_ligand_236     -80.2796
1bcu_ligand_238     -55.9690
1bcu_ligand_243     -99.8213
1bcu_ligand_245     -117.3996
1bcu_ligand_252     -99.3764
1bcu_ligand_259     -85.1415
1bcu_ligand_260     -90.9796
1bcu_ligand_267     -104.8964
1bcu_ligand_269     -111.5927
1bcu_ligand_273     -77.2929
1bcu_ligand_275     -79.6043
1bcu_ligand_277     -113.3199
1bcu_ligand_285     -128.3010
1bcu_ligand_297     -96.0753
1bcu_ligand_301     -132.4009
1bcu_ligand_304     -150.5337
1bcu_ligand_305     -162.3952
1bcu_ligand_306     -98.8201
1bcu_ligand_318     -138.3353
1bcu_ligand_319     -129.3031
1bcu_ligand_321     -130.0479
1bcu_ligand_324     -128.8011
1bcu_ligand_330     -124.6005
1bcu_ligand_347     -109.7943
1bcu_ligand_354     -127.9800
1bcu_ligand_355     -72.9786
1bcu_ligand_362     -138.6252
1bcu_ligand_365     -97.9644
1bcu_ligand_368     -88.8040
1bcu_ligand_369     -102.6297
1bcu_ligand_370     -67.6895
1bcu_ligand_373     -73.6330
1bcu_ligand_378     -100.7382
1bcu_ligand_379     -108.7149
1bcu_ligand_380     -113.0918
1bcu_ligand_382     -40.9576
1bcu_ligand_386     -84.3429
1bcu_ligand_387     -88.1070
1bcu_ligand_388     -85.6781
1bcu_ligand_389     -57.6925
1bcu_ligand_390     -92.7850
1bcu_ligand_391     -67.5690
1bcu_ligand_392     -72.5469
1bcu_ligand_393     -61.5830
1bcu_ligand_394     -71.4414
1bcu_ligand_395     -96.6995
1bcu_ligand_396     -87.3030
1bcu_ligand_397     -72.4752
1bcu_ligand_398     -63.1260
1bcu_ligand_399     -49.4979
1bcu_ligand_400     -62.1089
1bcu_ligand_404     -109.0067
1bcu_ligand_407     -108.8923
1bcu_ligand_411     -118.9241
1bcu_ligand_412     -120.3363
1bcu_ligand_414     -143.6573
1bcu_ligand_415     -106.7063
1bcu_ligand_416     -139.8572
1bcu_ligand_418     -121.3192
1bcu_ligand_419     -103.8028
1bcu_ligand_420     -134.4383
1bcu_ligand_424     -130.4320
1bcu_ligand_425     -92.1637
1bcu_ligand_428     -86.1379
1bcu_ligand_432     -115.4541
1bcu_ligand_437     -100.4234
1bcu_ligand_438     -109.3009
1bcu_ligand_439     -161.3440
1bcu_ligand_442     -83.9337
1bcu_ligand_447     -73.8582
1bcu_ligand_449     -96.4193
1bcu_ligand_451     -147.4194
1bcu_ligand_452     -124.5242
1bcu_ligand_459     -140.2714
1bcu_ligand_461     -119.8252
1bcu_ligand_463     -100.8397
1bcu_ligand_464     -125.5617
1bcu_ligand_471     -150.6035
1bcu_ligand_477     -99.0755
1bcu_ligand_479     -128.5056
1bcu_ligand_487     -117.0594
1bcu_ligand_489     -96.6987
1bcu_ligand_495     -111.4988
1bcu_ligand_498     -97.1841
1bcu_ligand_70      -84.5328
1bzc_ligand_111     -130.2319
1bzc_ligand_139     -134.1840
1bzc_ligand_153     -174.9967
1bzc_ligand_158     -156.9102
1bzc_ligand_165     -170.1495
1bzc_ligand_169     -142.0127
1bzc_ligand_171     -113.3507
1bzc_ligand_178     -144.4480
1bzc_ligand_18      -169.4329
1bzc_ligand_186     -175.6292
1bzc_ligand_191     -201.7998
1bzc_ligand_192     -107.0423
1bzc_ligand_194     -127.3549
1bzc_ligand_195     -127.1438
1bzc_ligand_196     -143.1078
1bzc_ligand_197     -175.9826
1bzc_ligand_198     -132.4407
1bzc_ligand_201     -114.6407
1bzc_ligand_205     -131.7649
1bzc_ligand_206     -100.7827
1bzc_ligand_207     -81.5295
1bzc_ligand_208     -99.9446
1bzc_ligand_210     -95.5573
1bzc_ligand_211     -88.5980
1bzc_ligand_212     -100.2423
1bzc_ligand_213     -110.7070
1bzc_ligand_215     -98.0062
1bzc_ligand_216     -64.0808
1bzc_ligand_218     -146.5284
1bzc_ligand_222     -120.2209
1bzc_ligand_227     -90.5106
1bzc_ligand_228     -97.6685
1bzc_ligand_230     -141.0892
1bzc_ligand_236     -83.8941
1bzc_ligand_237     -81.1098
1bzc_ligand_239     -94.9230
