#code_ligand_num    score   
1a30_ligand_104     -162.3435
1a30_ligand_113     -172.8392
1a30_ligand_116     -136.8625
1a30_ligand_118     -152.0662
1a30_ligand_122     -129.6545
1a30_ligand_123     -70.6489
1a30_ligand_130     -160.3371
1a30_ligand_132     -80.4020
1a30_ligand_133     -220.9564
1a30_ligand_136     -90.2890
1a30_ligand_137     -125.7797
1a30_ligand_14      -127.0602
1a30_ligand_147     -264.5713
1a30_ligand_148     -194.2850
1a30_ligand_15      -106.9779
1a30_ligand_150     -167.0912
1a30_ligand_152     -272.2270
1a30_ligand_154     -211.7500
1a30_ligand_164     -183.9932
1a30_ligand_167     -245.2952
1a30_ligand_168     -238.1012
1a30_ligand_169     -221.0452
1a30_ligand_170     -179.0174
1a30_ligand_174     -309.7833
1a30_ligand_181     -284.8490
1a30_ligand_183     -277.4681
1a30_ligand_199     -210.7305
1a30_ligand_200     -228.6749
1a30_ligand_203     -147.6185
1a30_ligand_204     -116.0886
1a30_ligand_209     -111.1899
1a30_ligand_21      -78.5780
1a30_ligand_210     -57.4670
1a30_ligand_211     -78.9910
1a30_ligand_213     -122.8613
1a30_ligand_215     -156.0080
1a30_ligand_218     -91.8988
1a30_ligand_219     -67.1667
1a30_ligand_222     -79.5158
1a30_ligand_224     -105.1913
1a30_ligand_225     -75.4396
1a30_ligand_226     -88.5837
1a30_ligand_227     -101.0493
1a30_ligand_229     -113.8427
1a30_ligand_230     -159.0108
1a30_ligand_232     -130.7691
1a30_ligand_233     -47.6989
1a30_ligand_238     -114.2751
1a30_ligand_239     -73.6811
1a30_ligand_243     -59.7013
1a30_ligand_247     -116.5663
1a30_ligand_248     -129.6038
1a30_ligand_266     -128.4527
1a30_ligand_267     -184.5133
1a30_ligand_27      -103.1312
1a30_ligand_276     -211.9815
1a30_ligand_284     -193.3748
1a30_ligand_287     -203.4295
1a30_ligand_297     -200.2554
1a30_ligand_299     -256.3875
1a30_ligand_30      -165.6636
1a30_ligand_309     -137.0673
1a30_ligand_31      -124.8946
1a30_ligand_311     -228.0012
1a30_ligand_317     -123.0439
1a30_ligand_32      -181.9232
1a30_ligand_320     -140.8388
1a30_ligand_321     -156.6769
1a30_ligand_323     -201.0045
1a30_ligand_325     -123.0290
1a30_ligand_331     -155.0260
1a30_ligand_333     -251.1740
1a30_ligand_336     -148.3009
1a30_ligand_337     -271.8257
1a30_ligand_338     -199.6494
1a30_ligand_339     -246.7202
1a30_ligand_34      -142.9881
1a30_ligand_343     -197.6447
1a30_ligand_36      -146.1443
1a30_ligand_363     -330.9486
1a30_ligand_367     -250.3387
1a30_ligand_372     -363.8090
1a30_ligand_375     -286.4510
1a30_ligand_39      -116.0004
1a30_ligand_4       -128.9886
1a30_ligand_48      -104.7953
1a30_ligand_487     -257.7182
1a30_ligand_49      -119.8502
1a30_ligand_54      -114.4396
1a30_ligand_57      -166.9107
1a30_ligand_60      -105.7477
1a30_ligand_66      -192.2304
1a30_ligand_69      -143.0258
1a30_ligand_76      -155.2274
1a30_ligand_77      -145.5478
1a30_ligand_83      -136.9663
1a30_ligand_88      -264.1263
1a30_ligand_9       -64.7122
1a30_ligand_91      -217.0015
