#code_ligand_num    score   
1a30_ligand_112     -0.52607781
1a30_ligand_116     108.36767
1a30_ligand_117     36.749474
1a30_ligand_120     -3.2665083
1a30_ligand_124     -1.4791701
1a30_ligand_126     -5.3215342
1a30_ligand_127     -5.222898
1a30_ligand_129     -5.0844254
1a30_ligand_131     -4.8913112
1a30_ligand_135     -1.8615108
1a30_ligand_141     -5.0646124
1a30_ligand_143     -3.9887409
1a30_ligand_147     16.094137
1a30_ligand_151     605.12  
1a30_ligand_162     1818.0253
1a30_ligand_163     118.78687
1a30_ligand_170     474.03235
1a30_ligand_176     4083.7749
1a30_ligand_185     14.960207
1a30_ligand_195     612.86383
1a30_ligand_197     369.40875
1a30_ligand_20      -2.0527096
1a30_ligand_201     3.2997952
1a30_ligand_202     9.631197
1a30_ligand_206     -1.7488803
1a30_ligand_210     -4.2968345
1a30_ligand_212     2694.0752
1a30_ligand_220     167.54709
1a30_ligand_223     5.2086062
1a30_ligand_226     91.658592
1a30_ligand_228     -2.398591
1a30_ligand_23      3.7368398
1a30_ligand_232     -1.7587516
1a30_ligand_233     10.05031
1a30_ligand_234     -3.4690619
1a30_ligand_236     42.110439
1a30_ligand_237     49961.648
1a30_ligand_238     1.8881688
1a30_ligand_241     1020.6771
1a30_ligand_242     5.7117162
1a30_ligand_244     92.536819
1a30_ligand_245     -4.5408649
1a30_ligand_247     5.3322625
1a30_ligand_248     -2.4299521
1a30_ligand_250     0.061575867
1a30_ligand_255     2668.8708
1a30_ligand_259     3847.5659
1a30_ligand_26      -0.68915594
1a30_ligand_265     2600.9883
1a30_ligand_266     397.35977
1a30_ligand_267     355.33572
1a30_ligand_276     171.85278
1a30_ligand_28      125.15676
1a30_ligand_282     73.339607
1a30_ligand_283     931.13464
1a30_ligand_284     209.90164
1a30_ligand_286     1885.0414
1a30_ligand_289     94.254791
1a30_ligand_291     670719.88
1a30_ligand_295     771694.62
1a30_ligand_297     14702.322
1a30_ligand_304     419.21179
1a30_ligand_306     176.71027
1a30_ligand_31      -1.5900236
1a30_ligand_316     41.536701
1a30_ligand_325     128.76537
1a30_ligand_335     2175390.5
1a30_ligand_346     27.818878
1a30_ligand_349     2204.9517
1a30_ligand_359     -3.5965111
1a30_ligand_368     -3.5204508
1a30_ligand_369     -1.2466615
1a30_ligand_381     -2.9813275
1a30_ligand_384     38.480259
1a30_ligand_408     -5.2416739
1a30_ligand_412     -4.3812027
1a30_ligand_427     14.312181
1a30_ligand_429     -5.2291479
1a30_ligand_443     -0.79002732
1a30_ligand_444     -1.4584919
1a30_ligand_446     -4.7195382
1a30_ligand_45      1.4091401
1a30_ligand_458     -5.5764046
1a30_ligand_479     -6.4925456
1a30_ligand_480     -4.9342132
1a30_ligand_49      9.8398228
1a30_ligand_51      -3.7388308
1a30_ligand_53      -4.9061375
1a30_ligand_54      -4.6995587
1a30_ligand_56      -3.5165586
1a30_ligand_57      3.9838345
1a30_ligand_66      1.0468148
1a30_ligand_68      -3.1428096
1a30_ligand_7       -5.2749801
1a30_ligand_71      -4.4213252
1a30_ligand_75      -4.0899453
1a30_ligand_78      -2.9597409
1a30_ligand_79      -0.58198643
1a30_ligand_83      -2.6678751
1a30_ligand_91      -2.7823701
1bcu_ligand_138     -4.0506325
1bcu_ligand_140     -4.5825844
1bcu_ligand_146     -3.9729652
1bcu_ligand_149     14.752866
1bcu_ligand_151     91.089149
1bcu_ligand_152     4.2001243
1bcu_ligand_163     6.8871341
1bcu_ligand_166     32847402
1bcu_ligand_186     259.77127
1bcu_ligand_213     530.69861
1bcu_ligand_214     2.1310279
1bcu_ligand_216     1.7115419
1bcu_ligand_218     -1.8703301
1bcu_ligand_223     0.86904699
1bcu_ligand_224     0.099445969
1bcu_ligand_233     7.8496661
1bcu_ligand_234     -1.8505769
1bcu_ligand_237     -3.3861341
1bcu_ligand_246     53.319851
1bcu_ligand_249     23.854486
1bcu_ligand_266     -3.4362288
1bcu_ligand_270     0.70386893
1bcu_ligand_274     460.81836
1bcu_ligand_280     -1.2542514
1bcu_ligand_289     54.119869
1bcu_ligand_291     -0.31125587
1bcu_ligand_302     53.065525
1bcu_ligand_303     267.16858
1bcu_ligand_305     3535.3872
1bcu_ligand_311     11.854983
1bcu_ligand_313     63.036964
1bcu_ligand_314     35.635372
1bcu_ligand_328     89.79586
1bcu_ligand_332     12.201321
1bcu_ligand_335     0.88748431
1bcu_ligand_337     35.480339
1bcu_ligand_342     18.220966
1bcu_ligand_353     -3.901176
1bcu_ligand_356     -3.5039682
1bcu_ligand_357     -3.6871676
1bcu_ligand_359     -3.5312107
1bcu_ligand_363     -2.9810538
1bcu_ligand_366     -3.5346825
1bcu_ligand_367     -3.8209128
1bcu_ligand_368     -3.5567675
