#code_ligand_num    score   
1a30_ligand_1       -1.3069229
1a30_ligand_104     -2.7843351
1a30_ligand_117     -3.7350845
1a30_ligand_120     -4.4645429
1a30_ligand_138     26.528919
1a30_ligand_139     0.42711487
1a30_ligand_15      30.465937
1a30_ligand_152     639.33105
1a30_ligand_153     152924.2
1a30_ligand_155     16560.248
1a30_ligand_157     22946.842
1a30_ligand_158     6853.9634
1a30_ligand_16      -3.9491756
1a30_ligand_170     6201.0918
1a30_ligand_171     46054.027
1a30_ligand_187     234.87585
1a30_ligand_188     2563.613
1a30_ligand_191     767600.88
1a30_ligand_192     652.14691
1a30_ligand_196     410.23752
1a30_ligand_197     5020.3799
1a30_ligand_198     271378.31
1a30_ligand_200     721.22015
1a30_ligand_21      3.489651
1a30_ligand_210     28.503124
1a30_ligand_215     540.30701
1a30_ligand_218     1022.6111
1a30_ligand_219     182.70851
1a30_ligand_22      3.5567131
1a30_ligand_220     291.79663
1a30_ligand_223     37.063251
1a30_ligand_225     9757.625
1a30_ligand_226     43.36116
1a30_ligand_228     72.54026
1a30_ligand_229     291.12418
1a30_ligand_230     34.77504
1a30_ligand_231     492.50131
1a30_ligand_232     71.381126
1a30_ligand_233     113.393 
1a30_ligand_234     248.25682
1a30_ligand_235     266.27774
1a30_ligand_236     174.28795
1a30_ligand_237     6240.229
1a30_ligand_238     13061.223
1a30_ligand_239     253.74701
1a30_ligand_240     192.20407
1a30_ligand_242     51.799438
1a30_ligand_243     7854.3125
1a30_ligand_245     243.95729
1a30_ligand_248     143.13123
1a30_ligand_250     867.58588
1a30_ligand_253     607.89935
1a30_ligand_255     4153.4448
1a30_ligand_260     5078.3501
1a30_ligand_261     2038.665
1a30_ligand_263     74.686684
1a30_ligand_265     2532074.2
1a30_ligand_270     1592.3538
1a30_ligand_271     2086.842
1a30_ligand_273     6679.7759
1a30_ligand_274     85313.586
1a30_ligand_275     1157.0006
1a30_ligand_278     181.15579
1a30_ligand_283     3393.179
1a30_ligand_284     941.62323
1a30_ligand_291     422414.81
1a30_ligand_292     7112.8706
1a30_ligand_294     1001.011
1a30_ligand_295     854.34509
1a30_ligand_297     82.418381
1a30_ligand_298     564.56982
1a30_ligand_3       1.5477278
1a30_ligand_301     7021.0205
1a30_ligand_31      5.1454287
1a30_ligand_311     171.65433
1a30_ligand_316     80.273605
1a30_ligand_317     3014110 
1a30_ligand_323     231216.09
1a30_ligand_327     1429.5005
1a30_ligand_329     372.02814
1a30_ligand_338     167.13373
1a30_ligand_341     646.69977
1a30_ligand_348     4294.979
1a30_ligand_361     -4.9315972
1a30_ligand_364     42.502472
1a30_ligand_374     -7.1665363
1a30_ligand_393     -1.2788242
1a30_ligand_400     1.3037738
1a30_ligand_412     -6.8143196
1a30_ligand_42      11.551214
1a30_ligand_420     -4.6513906
1a30_ligand_44      147.66734
1a30_ligand_52      39.870277
1a30_ligand_59      43.222889
1a30_ligand_62      36.960915
1a30_ligand_66      3.6540103
1a30_ligand_70      -3.4800768
1a30_ligand_74      42.422504
