#code_ligand_num    score   
1a30_ligand_105     4.8526549
1a30_ligand_107     -5.6311007
1a30_ligand_108     -4.2842083
1a30_ligand_115     -3.2884998
1a30_ligand_120     -5.1871033
1a30_ligand_124     27.767506
1a30_ligand_131     156.49959
1a30_ligand_134     -4.5702667
1a30_ligand_138     -2.7026749
1a30_ligand_156     13319.606
1a30_ligand_158     1733.4844
1a30_ligand_163     254184.34
1a30_ligand_17      -1.2988654
1a30_ligand_172     928.21643
1a30_ligand_175     1924815.5
1a30_ligand_185     220.10149
1a30_ligand_186     461.71588
1a30_ligand_194     13.926609
1a30_ligand_195     3622.4744
1a30_ligand_196     45.659184
1a30_ligand_198     1198.3589
1a30_ligand_205     4.3903956
1a30_ligand_206     4.2039051
1a30_ligand_208     -2.2253969
1a30_ligand_210     16721.32
1a30_ligand_211     -2.9802241
1a30_ligand_215     1323.3759
1a30_ligand_216     12.944319
1a30_ligand_218     18.289801
1a30_ligand_224     26.250198
1a30_ligand_225     -0.99526477
1a30_ligand_226     0.10352538
1a30_ligand_232     109.084 
1a30_ligand_233     19.598631
1a30_ligand_235     36.623135
1a30_ligand_236     86.804787
1a30_ligand_237     0.060857609
1a30_ligand_238     35.720165
1a30_ligand_239     37.927567
1a30_ligand_24      -2.880738
1a30_ligand_242     -3.5811837
1a30_ligand_243     35.392773
1a30_ligand_245     -3.3334703
1a30_ligand_246     4.0557437
1a30_ligand_247     1090.9677
1a30_ligand_248     42.778908
1a30_ligand_249     47.109493
1a30_ligand_250     54.899559
1a30_ligand_254     28.524267
1a30_ligand_258     238.43262
1a30_ligand_267     1016.8883
1a30_ligand_268     1541.5209
1a30_ligand_271     534.18176
1a30_ligand_275     64.698151
1a30_ligand_276     179.00452
1a30_ligand_277     70180.125
1a30_ligand_28      22.016382
1a30_ligand_281     73.891151
1a30_ligand_287     99.978081
1a30_ligand_288     317.62839
1a30_ligand_291     1385.7611
1a30_ligand_299     2572.4504
1a30_ligand_300     48.841549
1a30_ligand_303     15244.895
1a30_ligand_305     4.5255654e+008
1a30_ligand_306     56.461594
1a30_ligand_307     29.965014
1a30_ligand_315     3769.2861
1a30_ligand_316     5745.9434
1a30_ligand_318     615.45416
1a30_ligand_321     112.23405
1a30_ligand_324     2064.46 
1a30_ligand_325     1090.547
1a30_ligand_328     709.27191
1a30_ligand_330     279.89282
1a30_ligand_336     146054.59
1a30_ligand_339     6119.6035
1a30_ligand_342     654.01758
1a30_ligand_343     567.70941
1a30_ligand_344     208.91647
1a30_ligand_345     64.213661
1a30_ligand_35      3.3038437
1a30_ligand_350     18.670717
1a30_ligand_387     45.997009
1a30_ligand_391     74.810555
1a30_ligand_395     41.169044
1a30_ligand_396     52.321617
1a30_ligand_40      10.099433
1a30_ligand_469     -2.7227213
1a30_ligand_47      -4.8730221
1a30_ligand_471     -3.3229017
1a30_ligand_55      59.432209
1a30_ligand_66      -4.1935191
1a30_ligand_68      -2.1904976
1a30_ligand_70      2.3936055
1a30_ligand_75      16.158405
1a30_ligand_8       -3.8167598
1a30_ligand_85      33.879337
1a30_ligand_88      -3.3305159
1a30_ligand_96      -0.73620349
1bcu_ligand_10      3.183507
1bcu_ligand_110     -4.1318431
1bcu_ligand_150     -1.8280613
1bcu_ligand_154     229074.86
1bcu_ligand_156     2477.4719
1bcu_ligand_169     11.349065
1bcu_ligand_177     -3.4370582
1bcu_ligand_184     -3.9857848
1bcu_ligand_187     -2.1748431
1bcu_ligand_192     -4.1693964
1bcu_ligand_198     -4.2148423
1bcu_ligand_203     -3.051605
1bcu_ligand_204     -1.4418821
1bcu_ligand_206     -3.5561936
1bcu_ligand_215     5.1231875
1bcu_ligand_216     49.991184
1bcu_ligand_220     -4.3911195
1bcu_ligand_223     -2.084604
1bcu_ligand_224     -4.1672339
1bcu_ligand_229     65.172569
1bcu_ligand_232     -3.8450511
1bcu_ligand_237     -4.1664352
1bcu_ligand_239     -2.7082529
1bcu_ligand_240     -3.9836373
1bcu_ligand_241     -3.9873371
1bcu_ligand_247     -1.8331789
1bcu_ligand_257     -4.3015027
1bcu_ligand_258     -4.4138961
1bcu_ligand_259     0.83684504
1bcu_ligand_263     -4.5536051
1bcu_ligand_268     -4.3370667
1bcu_ligand_269     -3.7950902
1bcu_ligand_286     -3.8644135
1bcu_ligand_287     -3.5347037
1bcu_ligand_289     -3.0990691
1bcu_ligand_290     19.297001
1bcu_ligand_293     17319.941
1bcu_ligand_295     -4.5391593
1bcu_ligand_296     -4.1429472
1bcu_ligand_299     -3.1904516
1bcu_ligand_301     4.8513002
1bcu_ligand_303     0.92376393
1bcu_ligand_306     1.0615755
1bcu_ligand_307     1.732064
1bcu_ligand_309     -1.712487
1bcu_ligand_312     -0.096709371
1bcu_ligand_314     0.65790719
1bcu_ligand_319     -0.19935766
1bcu_ligand_321     -2.0119855
1bcu_ligand_323     50.769547
1bcu_ligand_329     0.63816178
1bcu_ligand_330     1716.6326
1bcu_ligand_332     6.4153118
1bcu_ligand_333     3.9936721
1bcu_ligand_336     2.5149887
1bcu_ligand_337     9.1928463
1bcu_ligand_339     -2.1804304
1bcu_ligand_340     -4.2910199
1bcu_ligand_341     -4.1475959
1bcu_ligand_342     190.05083
1bcu_ligand_348     25.038902
1bcu_ligand_350     -4.1964946
1bcu_ligand_363     -3.4494481
1bcu_ligand_367     -3.1627126
1bcu_ligand_368     -2.9013631
1bcu_ligand_370     -1.9218206
1bcu_ligand_371     -3.5187659
1bcu_ligand_372     -2.7014341
1bcu_ligand_373     -2.6928375
1bcu_ligand_377     -2.7878537
1bcu_ligand_379     -3.2723522
1bcu_ligand_380     -3.2203248
1bcu_ligand_381     -3.4890571
1bcu_ligand_382     -3.2084913
1bcu_ligand_385     65.964722
1bcu_ligand_391     -2.9648087
1bcu_ligand_393     -1.4692197
1bcu_ligand_394     -2.915586
1bcu_ligand_395     -3.097383
1bcu_ligand_398     -2.463521
1bcu_ligand_399     -3.3091023
1bcu_ligand_400     -3.4196079
1bcu_ligand_401     -3.1770322
1bcu_ligand_403     -2.7662683
1bcu_ligand_420     -3.1146605
1bcu_ligand_429     -1.7114401
1bcu_ligand_434     -3.2848895
1bcu_ligand_435     -3.2057531
1bcu_ligand_441     -2.7696233
1bcu_ligand_442     -3.3675697
1bcu_ligand_443     -3.4247594
1bcu_ligand_446     -2.1175237
1bcu_ligand_451     -3.0567803
1bcu_ligand_461     5.0787187
1bcu_ligand_462     -2.5587163
1bcu_ligand_472     -4.2708497
1bcu_ligand_48      4.1860867
1bcu_ligand_486     -1.9240609
1bcu_ligand_492     -1.9517101
1bcu_ligand_88      -0.30302739
1bzc_ligand_111     -5.1596017
1bzc_ligand_122     -2.3801944
1bzc_ligand_146     0.86377394
1bzc_ligand_15      -4.4187989
1bzc_ligand_152     673.80005
1bzc_ligand_154     9138.7646
1bzc_ligand_157     320.09375
1bzc_ligand_160     91244.789
1bzc_ligand_164     40767.457
1bzc_ligand_166     578.48828
1bzc_ligand_168     7217.0371
1bzc_ligand_172     409.28879
1bzc_ligand_173     28.008091
1bzc_ligand_182     338.53043
1bzc_ligand_184     50.86898
1bzc_ligand_192     -0.65523374
1bzc_ligand_193     39.879017
1bzc_ligand_195     165.81404
1bzc_ligand_197     30.122803
1bzc_ligand_201     -3.8419089
1bzc_ligand_202     -4.3059597
1bzc_ligand_203     -4.3972025
1bzc_ligand_204     9.0365705
1bzc_ligand_207     3.9528861
1bzc_ligand_208     5.8459406
1bzc_ligand_209     -1.9564793
1bzc_ligand_211     2.9859016
1bzc_ligand_213     15.29166
1bzc_ligand_214     6.5889478
1bzc_ligand_216     31.419584
1bzc_ligand_217     0.8734386
1bzc_ligand_222     -3.6865869
1bzc_ligand_226     -4.3352442
1bzc_ligand_232     0.71974933
1bzc_ligand_235     11.917998
1bzc_ligand_236     3.4868588
1bzc_ligand_237     0.13491492
1bzc_ligand_238     4.0328898
1bzc_ligand_240     -3.7533383
1bzc_ligand_241     -2.8328493
1bzc_ligand_245     8.7646503
1bzc_ligand_247     14.866102
1bzc_ligand_248     222.28416
1bzc_ligand_249     5.3710408
1bzc_ligand_250     24.770802
1bzc_ligand_253     1929.9221
1bzc_ligand_254     61.814987
1bzc_ligand_256     239.24234
