#code_ligand_num    score   
1a30_ligand_105     -5.4262872
1a30_ligand_106     2460.6011
1a30_ligand_108     4.2903018
1a30_ligand_109     1.861565
1a30_ligand_111     4.0832901
1a30_ligand_114     0.33265862
1a30_ligand_115     -2.2620075
1a30_ligand_120     -5.2194271
1a30_ligand_125     84.044312
1a30_ligand_127     3.6904304
1a30_ligand_128     8.2166042
1a30_ligand_13      -0.73062366
1a30_ligand_136     469.18076
1a30_ligand_140     11.072516
1a30_ligand_141     -4.8122654
1a30_ligand_143     -2.3468797
1a30_ligand_148     -0.83263236
1a30_ligand_153     5176.394
1a30_ligand_16      2464.9644
1a30_ligand_165     1005.2012
1a30_ligand_17      13.426371
1a30_ligand_171     91721.852
1a30_ligand_180     825.20087
1a30_ligand_197     5160.5073
1a30_ligand_198     671787.25
1a30_ligand_200     567.30719
1a30_ligand_206     41.740013
1a30_ligand_215     519.30908
1a30_ligand_218     1135.8949
1a30_ligand_219     763.05463
1a30_ligand_222     159040.41
1a30_ligand_223     349.20615
1a30_ligand_225     97.507454
1a30_ligand_232     150.23888
1a30_ligand_234     20880.857
1a30_ligand_235     3391469.8
1a30_ligand_237     20898346
1a30_ligand_240     428.32834
1a30_ligand_242     831.18481
1a30_ligand_243     112.10249
1a30_ligand_244     63910.109
1a30_ligand_247     969.73364
1a30_ligand_253     1839.8613
1a30_ligand_254     244428.58
1a30_ligand_259     8160.6558
1a30_ligand_264     1420.2588
1a30_ligand_278     349346.53
1a30_ligand_29      -1.562242
1a30_ligand_293     739.69043
1a30_ligand_294     184842.25
1a30_ligand_296     632.97943
1a30_ligand_30      3.2255459
1a30_ligand_306     3.3289073e+010
1a30_ligand_309     867.75836
1a30_ligand_311     31204.965
1a30_ligand_331     10303.949
1a30_ligand_339     190347.11
1a30_ligand_341     406.89078
1a30_ligand_346     33879.242
1a30_ligand_349     7.8530131e+008
1a30_ligand_36      -0.32291135
1a30_ligand_364     1.6411201
1a30_ligand_371     -0.0089835459
1a30_ligand_372     -2.0734344
1a30_ligand_374     8.6655588
1a30_ligand_375     13.722744
1a30_ligand_377     23.379993
1a30_ligand_383     8.0897532
1a30_ligand_385     6.7087789
1a30_ligand_394     36.277306
1a30_ligand_395     11.835855
1a30_ligand_4       13.82021
1a30_ligand_400     8.2465992
1a30_ligand_401     -2.0124981
1a30_ligand_42      -0.42745489
1a30_ligand_437     1.4117993
1a30_ligand_440     4.4860773
1a30_ligand_492     1.1105797
1a30_ligand_52      -2.6913121
1a30_ligand_53      0.09050753
1a30_ligand_54      2.1866066
1a30_ligand_56      1.7040089
1a30_ligand_58      -2.6624553
1a30_ligand_59      -0.56616789
1a30_ligand_60      -1.6533183
1a30_ligand_61      31.65823
1a30_ligand_62      -3.4135096
1a30_ligand_63      4.4095769
1a30_ligand_70      28.558548
1a30_ligand_71      3490.2017
1a30_ligand_74      -1.8528224
1a30_ligand_75      418.60434
1a30_ligand_77      5301.542
1a30_ligand_80      25.379286
1a30_ligand_84      -4.0317392
1a30_ligand_85      25.049316
1a30_ligand_86      38.479572
1a30_ligand_88      -2.9643848
1a30_ligand_90      8328.0527
1a30_ligand_99      -3.8090951
1bcu_ligand_142     1.5640917
1bcu_ligand_159     67.147385
1bcu_ligand_165     -3.7077641
1bcu_ligand_169     85.32341
1bcu_ligand_170     23090.473
1bcu_ligand_171     2.2028179
1bcu_ligand_172     107094.38
1bcu_ligand_178     41.529964
1bcu_ligand_189     90.281441
1bcu_ligand_190     -0.29584354
1bcu_ligand_191     1091.2635
1bcu_ligand_195     2028.1116
1bcu_ligand_196     -0.078635737
1bcu_ligand_197     70.856674
1bcu_ligand_198     1152.48 
1bcu_ligand_201     -4.575592
1bcu_ligand_207     0.14535777
1bcu_ligand_210     8.0279789
1bcu_ligand_217     -2.9046504
1bcu_ligand_224     22.345158
1bcu_ligand_226     21.591782
1bcu_ligand_228     32717.645
1bcu_ligand_232     -2.5856931
1bcu_ligand_233     376.26077
1bcu_ligand_238     8.7126007
1bcu_ligand_239     173.4857
1bcu_ligand_241     12.682929
1bcu_ligand_244     2.6020319
1bcu_ligand_247     1.2198417
1bcu_ligand_248     7.3986859
1bcu_ligand_250     2597.2593
1bcu_ligand_256     26.177952
1bcu_ligand_264     484.82971
1bcu_ligand_265     -1.2404972
1bcu_ligand_267     15.577702
1bcu_ligand_270     2050.4292
1bcu_ligand_274     -1.9283119
1bcu_ligand_275     71015.281
1bcu_ligand_283     3115.3157
1bcu_ligand_284     -3.2293451
1bcu_ligand_285     11.940868
1bcu_ligand_286     68.811653
1bcu_ligand_298     15.258  
1bcu_ligand_299     4432351.5
1bcu_ligand_3       -4.9197264
1bcu_ligand_300     2292.5688
1bcu_ligand_301     85.062874
1bcu_ligand_305     21.914251
1bcu_ligand_308     17.244347
1bcu_ligand_309     84.336578
1bcu_ligand_310     49.962799
1bcu_ligand_313     13.935142
1bcu_ligand_314     154.34598
1bcu_ligand_316     1180.2836
1bcu_ligand_319     1.1268061
1bcu_ligand_32      -2.361696
1bcu_ligand_325     77.720886
1bcu_ligand_327     1.9133092
1bcu_ligand_328     12.787706
1bcu_ligand_341     0.8437888
1bcu_ligand_343     43320.805
1bcu_ligand_346     6.0171347
1bcu_ligand_347     -3.7126966
1bcu_ligand_348     18383536
1bcu_ligand_352     -4.5744863
1bcu_ligand_355     -5.1770267
1bcu_ligand_357     -4.1449218
1bcu_ligand_363     -5.2053566
1bcu_ligand_365     -2.2115574
1bcu_ligand_366     -3.7160711
1bcu_ligand_37      4.1995125
1bcu_ligand_371     -0.11487364
1bcu_ligand_381     -3.6930275
1bcu_ligand_385     -4.5653772
1bcu_ligand_386     -2.64996
1bcu_ligand_388     -3.8290122
1bcu_ligand_389     -4.8013902
1bcu_ligand_390     -3.7208476
1bcu_ligand_391     -3.0923579
1bcu_ligand_394     -4.3730626
1bcu_ligand_395     -3.731602
1bcu_ligand_396     -3.8312783
1bcu_ligand_398     -3.8983738
1bcu_ligand_399     -3.1588206
1bcu_ligand_400     -4.129612
1bcu_ligand_447     -3.9471302
1bcu_ligand_45      -4.9695477
1bcu_ligand_450     -3.2919424
1bcu_ligand_454     -4.7382736
1bcu_ligand_456     -4.7679391
1bcu_ligand_459     -5.040751
1bcu_ligand_464     -5.032599
1bcu_ligand_476     -4.5404472
1bcu_ligand_49      -0.85007322
1bcu_ligand_492     -4.6168423
1bcu_ligand_495     -4.4321756
1bcu_ligand_499     -4.436677
1bcu_ligand_500     -4.8115587
1bcu_ligand_57      22.852413
1bcu_ligand_72      1199.936
1bzc_ligand_1       18.419935
1bzc_ligand_100     122.77503
1bzc_ligand_102     0.34634691
1bzc_ligand_11      -0.43056113
1bzc_ligand_114     -2.7959673
1bzc_ligand_119     5.446353
1bzc_ligand_122     -4.5134125
1bzc_ligand_123     3.5537546
1bzc_ligand_124     -5.6136227
1bzc_ligand_132     27.777012
1bzc_ligand_136     -4.1906939
1bzc_ligand_144     12.625102
1bzc_ligand_145     -0.82401162
1bzc_ligand_149     -3.924315
1bzc_ligand_152     933887.19
1bzc_ligand_158     10736.626
1bzc_ligand_159     3.5292455e+010
1bzc_ligand_161     4098.4155
1bzc_ligand_162     447146.44
1bzc_ligand_172     4077204.2
1bzc_ligand_175     13120.894
1bzc_ligand_180     70192.938
1bzc_ligand_181     7641.5981
1bzc_ligand_183     1333957.8
1bzc_ligand_184     1648573.2
1bzc_ligand_186     13130.491
1bzc_ligand_187     113167.55
1bzc_ligand_188     5609.3843
1bzc_ligand_191     4705.7402
1bzc_ligand_192     107.31499
1bzc_ligand_196     6561656.5
1bzc_ligand_199     31818.484
1bzc_ligand_202     10.799537
1bzc_ligand_203     126.25279
1bzc_ligand_204     28.0814 
1bzc_ligand_205     99.333786
1bzc_ligand_213     153.13324
1bzc_ligand_215     1048.4943
1bzc_ligand_218     184.6657
1bzc_ligand_22      0.25867519
1bzc_ligand_221     407.51181
1bzc_ligand_222     138.12508
1bzc_ligand_223     4443.6675
1bzc_ligand_224     1495.3422
1bzc_ligand_225     10505.984
1bzc_ligand_228     3282.4861
1bzc_ligand_236     74619.883
1bzc_ligand_238     2460.4138
1bzc_ligand_241     1509.0793
1bzc_ligand_242     214.58894
1bzc_ligand_243     5574.707
1bzc_ligand_244     13999.13
1bzc_ligand_245     480.94373
1bzc_ligand_246     3008475 
1bzc_ligand_247     4496.5151
1bzc_ligand_250     10326.54
1bzc_ligand_260     61991776
1bzc_ligand_281     47894940
1bzc_ligand_284     15996.44
