#code_ligand_num    score   
1a30_ligand_1       -0.064598925
1a30_ligand_101     8.8782263
1a30_ligand_106     -6.4730206
1a30_ligand_108     -4.3981743
1a30_ligand_11      -1.1939857
1a30_ligand_113     -3.1033938
1a30_ligand_124     7.6125097
1a30_ligand_126     -5.1255059
1a30_ligand_133     8.6782513
1a30_ligand_139     -5.1117892
1a30_ligand_140     -4.9846964
1a30_ligand_142     -4.8030696
1a30_ligand_148     0.79274058
1a30_ligand_167     14.304168
1a30_ligand_185     18.421207
1a30_ligand_187     1354.1224
1a30_ligand_188     89.573814
1a30_ligand_190     44.376701
1a30_ligand_191     12.667258
1a30_ligand_192     10.155111
1a30_ligand_199     55.691399
1a30_ligand_204     -0.51620835
1a30_ligand_208     53.340397
1a30_ligand_211     0.30967975
1a30_ligand_213     1.8299459
1a30_ligand_215     1.7333742
1a30_ligand_216     32.599483
1a30_ligand_217     -4.3351092
1a30_ligand_22      -4.7900887
1a30_ligand_224     35.815605
1a30_ligand_227     0.80245727
1a30_ligand_23      -3.7848427
1a30_ligand_231     529.35443
1a30_ligand_233     0.81712627
1a30_ligand_240     4.7181358
1a30_ligand_245     18.382477
1a30_ligand_246     15.493622
1a30_ligand_248     15.589171
1a30_ligand_249     21.966568
1a30_ligand_25      -2.5786648
1a30_ligand_250     14.239502
1a30_ligand_261     27.070341
1a30_ligand_267     343.19586
1a30_ligand_27      -4.6002431
1a30_ligand_271     37.589767
1a30_ligand_272     11.610223
1a30_ligand_283     136.07761
1a30_ligand_290     9627.0811
1a30_ligand_293     156.32127
1a30_ligand_299     5.1769547
1a30_ligand_300     54.933891
1a30_ligand_308     6849.5601
1a30_ligand_309     7022.29 
1a30_ligand_310     6131.208
1a30_ligand_315     25595.689
1a30_ligand_316     1094605.9
1a30_ligand_317     52.576637
1a30_ligand_318     2181.658
1a30_ligand_319     94232.141
1a30_ligand_32      -5.0750437
1a30_ligand_323     221760.45
1a30_ligand_327     85.29496
1a30_ligand_337     27635.002
1a30_ligand_344     216.6367
1a30_ligand_345     228.51163
1a30_ligand_350     555.21893
1a30_ligand_353     -5.2130461
1a30_ligand_37      1175.9454
1a30_ligand_370     3.4384689
1a30_ligand_374     -5.7632365
1a30_ligand_378     -5.9638462
1a30_ligand_380     -5.8126011
1a30_ligand_382     -5.2338181
1a30_ligand_39      -4.6181054
1a30_ligand_393     -3.1044209
1a30_ligand_401     -5.6564026
1a30_ligand_411     -5.2742367
1a30_ligand_43      -3.73224
1a30_ligand_45      -2.2257283
1a30_ligand_462     -5.721417
1a30_ligand_467     -6.6145401
