#code_ligand_num    score   
1a30_ligand_102     63004.402
1a30_ligand_103     62482.516
1a30_ligand_105     1212.5236
1a30_ligand_106     204.01439
1a30_ligand_108     4243.2998
1a30_ligand_11      15046.354
1a30_ligand_111     2378.1421
1a30_ligand_113     1696.8586
1a30_ligand_114     276485.06
1a30_ligand_117     145.88432
1a30_ligand_126     559.68591
1a30_ligand_128     12266.007
1a30_ligand_129     49093.609
1a30_ligand_13      4.897281e+009
1a30_ligand_130     2637.9424
1a30_ligand_132     209.06612
1a30_ligand_133     1512.3962
1a30_ligand_136     323.35168
1a30_ligand_142     9109033 
1a30_ligand_143     2608.4033
1a30_ligand_146     127.14913
1a30_ligand_175     6.8620968e+010
1a30_ligand_183     7878.6494
1a30_ligand_185     471953.12
1a30_ligand_187     49030.262
1a30_ligand_19      49.726238
1a30_ligand_192     4225464.5
1a30_ligand_195     5489034 
1a30_ligand_199     13773.855
1a30_ligand_202     1422.6091
1a30_ligand_204     273.39304
1a30_ligand_205     1763.6406
1a30_ligand_206     249287.25
1a30_ligand_212     1414.2502
1a30_ligand_216     2980.0276
1a30_ligand_223     779.61853
1a30_ligand_225     8370.9424
1a30_ligand_226     3198.6375
1a30_ligand_228     139616.41
1a30_ligand_230     14220057
1a30_ligand_233     7340.3198
1a30_ligand_234     1289.407
1a30_ligand_237     36537.816
1a30_ligand_240     152001.47
1a30_ligand_242     346.20807
1a30_ligand_25      1989.4827
1a30_ligand_253     5024.0791
1a30_ligand_258     10664.916
1a30_ligand_268     785523.62
1a30_ligand_27      354.52118
1a30_ligand_279     12193.243
1a30_ligand_280     72018.914
1a30_ligand_282     43289880
1a30_ligand_285     501450.97
1a30_ligand_286     2596476.8
1a30_ligand_288     4602.7827
1a30_ligand_289     517911.5
1a30_ligand_293     35949976
1a30_ligand_297     27946866
1a30_ligand_298     174907.95
1a30_ligand_300     18640.902
1a30_ligand_301     1.8337368e+008
1a30_ligand_312     174655.17
1a30_ligand_315     1.2842582e+008
1a30_ligand_316     1.3057738e+008
1a30_ligand_319     5880.3037
1a30_ligand_325     47770444
1a30_ligand_332     1.6158523e+011
1a30_ligand_335     225011.02
1a30_ligand_342     208429.73
1a30_ligand_347     36106.375
1a30_ligand_350     23771.236
1a30_ligand_366     316089.06
1a30_ligand_378     323.17502
1a30_ligand_380     40.575104
1a30_ligand_394     24.394962
1a30_ligand_397     196.34949
1a30_ligand_398     66.6315 
1a30_ligand_41      37.75325
1a30_ligand_42      651.58844
1a30_ligand_430     392.7594
1a30_ligand_447     15.2486 
1a30_ligand_49      584.24133
1a30_ligand_52      249323.58
1a30_ligand_54      171.60066
1a30_ligand_59      1668.5327
1a30_ligand_62      339.2305
1a30_ligand_65      16436243
1a30_ligand_7       880.875 
1a30_ligand_72      653.69739
1a30_ligand_75      9158.0156
1a30_ligand_78      649.90131
1a30_ligand_79      631.23291
1a30_ligand_80      154.21181
1a30_ligand_81      1188.459
1a30_ligand_83      11451.582
1a30_ligand_85      16562.447
1a30_ligand_88      55471.496
1a30_ligand_97      479.2449
1a30_ligand_99      109813.52
1bcu_ligand_102     9.0274372
1bcu_ligand_153     107.09779
1bcu_ligand_154     193.42194
1bcu_ligand_155     206.6097
1bcu_ligand_157     221.55197
1bcu_ligand_159     2.780673e+008
1bcu_ligand_164     8625.5527
1bcu_ligand_177     8136288.5
1bcu_ligand_181     209.5956
1bcu_ligand_183     897.42151
1bcu_ligand_185     782.76196
1bcu_ligand_189     6709.0581
1bcu_ligand_190     452075.47
1bcu_ligand_191     11560.172
1bcu_ligand_193     427683.16
1bcu_ligand_194     1639.5988
1bcu_ligand_195     27744.668
1bcu_ligand_196     74.363205
1bcu_ligand_198     1368.3457
1bcu_ligand_199     9585.0918
1bcu_ligand_202     32.97509
1bcu_ligand_205     46.177513
1bcu_ligand_206     62.284679
1bcu_ligand_216     25.548897
1bcu_ligand_217     34.163132
1bcu_ligand_225     168.91313
1bcu_ligand_226     12.676189
1bcu_ligand_234     459.75937
1bcu_ligand_238     138399.59
1bcu_ligand_240     107.57196
1bcu_ligand_241     1485.9634
1bcu_ligand_242     32.944874
1bcu_ligand_244     5027142 
1bcu_ligand_246     291.28949
1bcu_ligand_247     574121.25
1bcu_ligand_248     162.85295
1bcu_ligand_249     32.099239
1bcu_ligand_250     558.73413
1bcu_ligand_257     26929.057
1bcu_ligand_259     1111.282
1bcu_ligand_266     5473.3613
1bcu_ligand_269     238.41919
1bcu_ligand_275     371808.78
1bcu_ligand_282     13033.36
1bcu_ligand_283     28810.223
1bcu_ligand_286     3953.9973
1bcu_ligand_288     5336966 
1bcu_ligand_289     110.99387
1bcu_ligand_293     38974.574
1bcu_ligand_294     51841.789
1bcu_ligand_296     7.6588293e+009
1bcu_ligand_297     1209433 
1bcu_ligand_311     78.762978
1bcu_ligand_314     64.821518
1bcu_ligand_325     1250.6375
1bcu_ligand_330     723.91681
1bcu_ligand_331     988567.75
1bcu_ligand_334     16966414
1bcu_ligand_336     45203.508
1bcu_ligand_338     16.464407
1bcu_ligand_342     8515.1299
1bcu_ligand_344     34.287155
1bcu_ligand_347     137969.56
1bcu_ligand_348     302.34171
1bcu_ligand_350     407601.97
1bcu_ligand_354     4.4980502
1bcu_ligand_361     1.6033394
1bcu_ligand_367     14.472776
1bcu_ligand_371     10.389617
1bcu_ligand_373     1279.1923
1bcu_ligand_375     21.91906
