#code_ligand_num    score   
1a30_ligand_1       404.81958
1a30_ligand_102     59.018654
1a30_ligand_106     1906.6459
1a30_ligand_111     69.411346
1a30_ligand_112     60.409828
1a30_ligand_114     57.155693
1a30_ligand_118     40.274918
1a30_ligand_119     470.26376
1a30_ligand_126     12.397692
1a30_ligand_128     92.396111
1a30_ligand_13      218.2515
1a30_ligand_15      38.805733
1a30_ligand_157     7.0328228e+009
1a30_ligand_162     68001.102
1a30_ligand_165     1961635.1
1a30_ligand_166     273842.72
1a30_ligand_172     4824.5322
1a30_ligand_173     1534156.9
1a30_ligand_175     1269878.6
1a30_ligand_176     19976.279
1a30_ligand_179     32366.252
1a30_ligand_185     497116.62
1a30_ligand_187     177611.06
1a30_ligand_192     55157.578
1a30_ligand_193     1416766.8
1a30_ligand_20      168.17255
1a30_ligand_202     298.61154
1a30_ligand_203     294.98679
1a30_ligand_207     8672.54 
1a30_ligand_209     1492821.6
1a30_ligand_210     4855.9927
1a30_ligand_212     15187.889
1a30_ligand_215     109645.3
1a30_ligand_217     31916.08
1a30_ligand_220     4486.7109
1a30_ligand_223     19615.158
1a30_ligand_225     1096.2291
1a30_ligand_226     463.1832
1a30_ligand_227     12835.852
1a30_ligand_229     190.38727
1a30_ligand_23      51.083084
1a30_ligand_232     1392.4285
1a30_ligand_235     18937.656
1a30_ligand_236     60082.883
1a30_ligand_242     185456.53
1a30_ligand_243     66091.352
1a30_ligand_244     249.75903
1a30_ligand_246     2162.5134
1a30_ligand_249     4319.2505
1a30_ligand_260     2513735.8
1a30_ligand_267     641591.81
1a30_ligand_270     739.05865
1a30_ligand_272     54249.848
1a30_ligand_274     5608608.5
1a30_ligand_275     141739.8
1a30_ligand_277     600646.06
1a30_ligand_28      597.69977
1a30_ligand_280     127233.05
1a30_ligand_281     5.6488781e+008
1a30_ligand_287     1102.186
1a30_ligand_289     9088.5225
1a30_ligand_294     65479748
1a30_ligand_295     1066.1536
1a30_ligand_296     20513.029
1a30_ligand_298     1.3345846e+008
1a30_ligand_300     17352.473
1a30_ligand_306     4421682 
1a30_ligand_33      56.875843
1a30_ligand_330     17700.314
1a30_ligand_338     18884712
1a30_ligand_340     7930454.5
1a30_ligand_342     325.99814
1a30_ligand_350     20041.854
1a30_ligand_36      273.84766
1a30_ligand_360     0.038676705
1a30_ligand_373     -0.094386101
1a30_ligand_379     -1.8011992
1a30_ligand_381     3.4225676
1a30_ligand_389     6.0422087
1a30_ligand_391     5.5560961
