#code_ligand_num    score   
1a30_ligand_100     117.9423
1a30_ligand_105     66.500603
1a30_ligand_106     56.678951
1a30_ligand_108     -0.0045782453
1a30_ligand_119     -4.0950742
1a30_ligand_13      6.8826947
1a30_ligand_134     1.7952367
1a30_ligand_138     -0.2376307
1a30_ligand_14      659.40289
1a30_ligand_141     12.917952
1a30_ligand_148     -0.30568346
1a30_ligand_15      -2.9443853
1a30_ligand_158     140324.16
1a30_ligand_159     434039.44
1a30_ligand_16      -4.7585907
1a30_ligand_166     706647  
1a30_ligand_167     3337.7341
1a30_ligand_169     1290.719
1a30_ligand_171     3747.1968
1a30_ligand_182     407.03522
1a30_ligand_196     10418034
1a30_ligand_197     112.83326
1a30_ligand_2       -5.0089064
1a30_ligand_202     2.6122334
1a30_ligand_203     2.849767
1a30_ligand_206     10.784135
1a30_ligand_207     16.630264
1a30_ligand_21      -0.26234645
1a30_ligand_215     10.435647
1a30_ligand_216     29.221642
1a30_ligand_217     14.812792
1a30_ligand_218     5.0268273
1a30_ligand_219     3.9336207
1a30_ligand_22      204.4393
1a30_ligand_220     20379.592
1a30_ligand_225     340.42221
1a30_ligand_23      -2.926419
1a30_ligand_233     14.851243
1a30_ligand_239     19.602699
1a30_ligand_243     36.351292
1a30_ligand_246     962.77356
1a30_ligand_248     23.453415
1a30_ligand_253     29347.842
1a30_ligand_26      52.386208
1a30_ligand_27      7.3898406
1a30_ligand_274     949.72607
1a30_ligand_275     3782.9478
1a30_ligand_279     728.06653
1a30_ligand_282     25.988884
1a30_ligand_29      -3.3492548
1a30_ligand_290     1148873.2
1a30_ligand_291     350.38129
1a30_ligand_294     30348.053
1a30_ligand_310     1.894816e+008
1a30_ligand_314     289.2807
1a30_ligand_315     616.48596
1a30_ligand_318     2460.8928
1a30_ligand_323     949.50519
1a30_ligand_326     46.750954
1a30_ligand_329     1757.8729
1a30_ligand_34      -3.7976391
1a30_ligand_353     -3.6677728
1a30_ligand_356     -3.4259977
1a30_ligand_357     -4.2059608
1a30_ligand_36      -5.4610047
1a30_ligand_363     -2.7718008
1a30_ligand_366     37.117699
