#code_ligand_num    score   
1a30_ligand_1       -3.7058387
1a30_ligand_11      -5.0820456
1a30_ligand_129     1.4279046
1a30_ligand_135     853.50317
1a30_ligand_141     94.696236
1a30_ligand_142     193.99895
1a30_ligand_150     6.0408349
1a30_ligand_154     653.08167
1a30_ligand_167     3335.094
1a30_ligand_169     823.42395
1a30_ligand_170     151.26114
1a30_ligand_174     148.73795
1a30_ligand_178     2776.5884
1a30_ligand_18      -1.2360562
1a30_ligand_181     253.92914
1a30_ligand_183     22204.52
1a30_ligand_186     797.05658
1a30_ligand_190     19.319433
1a30_ligand_191     1013.8772
1a30_ligand_196     4.3035415e+010
1a30_ligand_197     1335.882
1a30_ligand_203     10.762823
1a30_ligand_205     1.0102717
1a30_ligand_206     -3.1446986
1a30_ligand_210     11.593009
1a30_ligand_211     83.173775
1a30_ligand_212     17.034807
1a30_ligand_213     1113.2953
1a30_ligand_214     9.198184
1a30_ligand_215     27.324512
1a30_ligand_217     31961.764
1a30_ligand_223     -1.4155108
1a30_ligand_225     39.394405
1a30_ligand_227     106.25966
1a30_ligand_230     76.244759
1a30_ligand_231     20.976566
1a30_ligand_235     6.3927455
1a30_ligand_238     36.686665
1a30_ligand_239     1.5976343
1a30_ligand_24      41.223274
1a30_ligand_240     79.050583
1a30_ligand_242     299.07568
1a30_ligand_245     23.113785
1a30_ligand_246     75.542671
1a30_ligand_247     195.80251
1a30_ligand_249     9.5405102
1a30_ligand_250     7.8558588
1a30_ligand_255     4029.8562
1a30_ligand_26      -3.6985893
1a30_ligand_265     317.64841
1a30_ligand_27      -4.460618
1a30_ligand_272     90.091591
1a30_ligand_274     3137.1204
1a30_ligand_276     5149.8906
1a30_ligand_277     274332.59
1a30_ligand_278     81.628265
1a30_ligand_28      -4.8625593
1a30_ligand_280     8.9646397e+009
1a30_ligand_284     78.234253
1a30_ligand_286     95.281357
1a30_ligand_291     55.865852
1a30_ligand_293     254.58286
1a30_ligand_294     129.38882
1a30_ligand_297     539.75  
1a30_ligand_3       9.1656332
1a30_ligand_30      -4.1359358
1a30_ligand_302     216769.28
1a30_ligand_303     640.10236
1a30_ligand_305     179891.56
1a30_ligand_307     3263902.2
1a30_ligand_309     53.2542 
1a30_ligand_311     384559.47
1a30_ligand_314     23.240353
1a30_ligand_318     4852.1948
1a30_ligand_322     7140.0518
1a30_ligand_327     211.51259
1a30_ligand_329     4626765 
1a30_ligand_33      1.2673709e+009
1a30_ligand_330     1189.9116
1a30_ligand_338     156.8979
1a30_ligand_343     2868.1907
1a30_ligand_35      -4.6142659
1a30_ligand_350     130.12712
1a30_ligand_374     -4.1172047
1a30_ligand_383     -4.3586802
1a30_ligand_384     -4.7303486
1a30_ligand_385     -5.4912305
1a30_ligand_39      -0.76917726
1a30_ligand_404     -5.4525323
1a30_ligand_421     -4.8573194
1a30_ligand_47      9.7552462
1a30_ligand_497     -4.8183913
1a30_ligand_5       111.68604
1a30_ligand_57      1.3791873
1a30_ligand_58      20.848766
1a30_ligand_62      2.588098
1a30_ligand_63      16.488186
1a30_ligand_64      36.219227
1a30_ligand_8       -3.6859245
1a30_ligand_92      43.699745
1bcu_ligand_151     -2.9037867
1bcu_ligand_157     7.8520126
1bcu_ligand_163     -3.9345834
1bcu_ligand_164     -4.6892385
1bcu_ligand_173     54.278179
1bcu_ligand_182     -4.3187661
1bcu_ligand_183     18.069965
1bcu_ligand_185     59.722359
1bcu_ligand_190     -1.9725887
1bcu_ligand_191     -3.9903677
1bcu_ligand_194     -1.1036907
1bcu_ligand_207     -4.1488357
1bcu_ligand_211     -2.1890278
1bcu_ligand_215     3.3853645
1bcu_ligand_220     3.5759315
1bcu_ligand_221     116.11868
1bcu_ligand_223     -1.0693609
1bcu_ligand_224     -3.4309711
1bcu_ligand_228     -4.2667813
1bcu_ligand_245     -1.407562
1bcu_ligand_246     -4.0780172
1bcu_ligand_249     -1.7641643
1bcu_ligand_250     -4.1014886
1bcu_ligand_252     18.516289
1bcu_ligand_256     0.51529968
1bcu_ligand_265     10.284307
1bcu_ligand_274     62.764359
1bcu_ligand_277     -3.8770456
1bcu_ligand_278     51.063454
1bcu_ligand_283     4.7663288
1bcu_ligand_284     -3.6931884
1bcu_ligand_285     -4.6003804
1bcu_ligand_291     -0.22286499
1bcu_ligand_292     -3.5390403
1bcu_ligand_293     4.5907059
1bcu_ligand_296     -0.27412212
1bcu_ligand_297     -1.4545501
1bcu_ligand_299     0.069869407
1bcu_ligand_300     -4.3438311
1bcu_ligand_304     539.51086
1bcu_ligand_310     2.8057194
1bcu_ligand_313     2.4545858
1bcu_ligand_314     127.28576
1bcu_ligand_315     34229.566
1bcu_ligand_32      -2.7789114
1bcu_ligand_337     1.1268326
1bcu_ligand_344     3.3195338
1bcu_ligand_345     -0.1768342
1bcu_ligand_346     1131.0596
1bcu_ligand_347     19.588547
1bcu_ligand_348     3.1446676
1bcu_ligand_351     -3.7108161
1bcu_ligand_353     -4.6904845
1bcu_ligand_356     -3.9917452
1bcu_ligand_361     -4.1216884
1bcu_ligand_362     -3.9636495
1bcu_ligand_363     -3.8192904
1bcu_ligand_365     -3.0252085
1bcu_ligand_366     -4.3820028
1bcu_ligand_367     -3.4555893
1bcu_ligand_369     -2.844769
1bcu_ligand_370     -2.6459825
1bcu_ligand_373     -3.3977175
1bcu_ligand_374     -3.4396839
1bcu_ligand_375     -2.5774825
1bcu_ligand_376     -3.0210929
1bcu_ligand_377     -3.3025074
1bcu_ligand_378     -3.9620101
1bcu_ligand_379     -2.564074
1bcu_ligand_381     -3.3400507
1bcu_ligand_382     -3.9324443
1bcu_ligand_383     -3.7780313
1bcu_ligand_384     -3.8863683
1bcu_ligand_385     -3.3178432
1bcu_ligand_386     -3.2505128
1bcu_ligand_387     -1.9580342
1bcu_ligand_389     -3.4849007
1bcu_ligand_390     -3.0912628
1bcu_ligand_391     -3.4043965
1bcu_ligand_392     -3.1447642
1bcu_ligand_393     -3.104903
1bcu_ligand_394     -3.1760476
1bcu_ligand_395     -3.3804564
1bcu_ligand_396     -3.2383575
1bcu_ligand_398     -2.2497656
1bcu_ligand_399     -3.4191096
1bcu_ligand_400     -2.6685226
1bcu_ligand_425     -3.9155729
1bcu_ligand_426     -3.1093113
1bcu_ligand_435     -3.0853679
1bcu_ligand_437     -4.5435677
1bcu_ligand_438     -3.6979833
1bcu_ligand_440     -3.6024902
1bcu_ligand_443     -4.4679446
1bcu_ligand_447     -3.608433
1bcu_ligand_448     -3.8410406
1bcu_ligand_449     -2.5859947
1bcu_ligand_479     -4.5462217
1bcu_ligand_495     -3.0183878
1bcu_ligand_500     -3.8184369
1bzc_ligand_119     -0.94513124
1bzc_ligand_128     2.0451591
1bzc_ligand_144     53.580811
1bzc_ligand_150     -4.4049668
1bzc_ligand_153     609.95166
1bzc_ligand_154     26391.502
1bzc_ligand_159     2422.2805
1bzc_ligand_160     258.82559
1bzc_ligand_168     5570.7246
1bzc_ligand_170     21958.051
1bzc_ligand_172     530.69708
1bzc_ligand_173     69204656
1bzc_ligand_174     643.78571
1bzc_ligand_175     164443.09
1bzc_ligand_177     2356.5376
1bzc_ligand_178     20335.207
1bzc_ligand_180     99411.742
1bzc_ligand_182     937.24243
1bzc_ligand_184     422.72696
1bzc_ligand_187     376.65311
1bzc_ligand_188     122361.98
1bzc_ligand_19      0.12328547
1bzc_ligand_191     549.89917
1bzc_ligand_196     767.59454
1bzc_ligand_198     25.569931
1bzc_ligand_199     283419.78
1bzc_ligand_2       -3.7374566
1bzc_ligand_200     3773444.2
1bzc_ligand_204     14.790927
1bzc_ligand_205     526.30011
1bzc_ligand_206     14.243137
1bzc_ligand_208     0.19544309
1bzc_ligand_209     154.10028
1bzc_ligand_212     19.958763
1bzc_ligand_216     -1.5507796
1bzc_ligand_219     -1.5789709
1bzc_ligand_222     185.22086
1bzc_ligand_224     245.67818
1bzc_ligand_226     10.300544
1bzc_ligand_228     24.874342
1bzc_ligand_232     541.73871
1bzc_ligand_234     -1.7462288
1bzc_ligand_235     64.083298
1bzc_ligand_236     6.1947827
1bzc_ligand_237     14.01656
1bzc_ligand_238     63.95657
1bzc_ligand_24      -3.2631357
1bzc_ligand_242     16.138815
1bzc_ligand_246     2105.2192
1bzc_ligand_247     31240.285
1bzc_ligand_248     175.283 
1bzc_ligand_249     47.960979
1bzc_ligand_253     1897.5776
1bzc_ligand_26      -4.3043623
1bzc_ligand_263     3924.3147
1bzc_ligand_265     74.646103
1bzc_ligand_270     79.980301
1bzc_ligand_275     63.227272
1bzc_ligand_276     132.26746
1bzc_ligand_277     1023.4592
1bzc_ligand_280     32.557148
1bzc_ligand_286     570382.44
1bzc_ligand_290     119.14101
1bzc_ligand_292     53.711521
1bzc_ligand_293     299.46988
1bzc_ligand_295     650.80322
1bzc_ligand_300     785.50745
1bzc_ligand_302     1045422.3
1bzc_ligand_303     44.059555
1bzc_ligand_305     3419053.2
1bzc_ligand_308     724.56842
1bzc_ligand_309     283.05902
1bzc_ligand_310     7438.7241
1bzc_ligand_311     25794.41
1bzc_ligand_312     105.56804
1bzc_ligand_313     1262.9871
1bzc_ligand_314     284596.47
1bzc_ligand_324     71632.172
1bzc_ligand_325     402.52704
1bzc_ligand_327     144786.8
1bzc_ligand_330     261.30716
1bzc_ligand_337     227.9697
1bzc_ligand_338     2365.001
1bzc_ligand_339     28.966473
1bzc_ligand_344     99387.336
1bzc_ligand_345     8975.7988
1bzc_ligand_346     971.37659
1bzc_ligand_349     166.1837
1bzc_ligand_37      37.903679
1bzc_ligand_395     -4.8902841
1bzc_ligand_443     -3.6563303
1bzc_ligand_48      -3.9082017
1bzc_ligand_488     -4.8464208
1bzc_ligand_55      6.4271026
1bzc_ligand_66      65.4524 
1bzc_ligand_73      31.178921
1bzc_ligand_83      14.206188
1bzc_ligand_93      5.1737709
1bzc_ligand_94      17.869957
1bzc_ligand_99      -0.72424644
1c5z_ligand_107     -0.4509711
1c5z_ligand_116     -4.0275645
1c5z_ligand_139     -3.1117086
1c5z_ligand_153     -0.54053497
1c5z_ligand_156     -3.4601824
1c5z_ligand_157     9.6196604
1c5z_ligand_163     10841.686
1c5z_ligand_166     -2.5559704
1c5z_ligand_167     -3.2532446
1c5z_ligand_168     -3.45856
1c5z_ligand_169     39.069561
1c5z_ligand_171     -3.1449652
1c5z_ligand_172     15.764233
1c5z_ligand_173     -2.9132173
1c5z_ligand_176     -2.5208619
1c5z_ligand_179     -3.3874125
1c5z_ligand_181     -3.1530063
1c5z_ligand_182     -3.546885
1c5z_ligand_185     -3.4968665
1c5z_ligand_186     -0.63571453
1c5z_ligand_187     13.410494
