#code_ligand_num    score   
1a30_ligand_101     -2.688  
1a30_ligand_103     10000.000
1a30_ligand_114     10000.000
1a30_ligand_115     -2.553  
1a30_ligand_120     10000.000
1a30_ligand_122     -3.294  
1a30_ligand_135     10000.000
1a30_ligand_143     -1.709  
1a30_ligand_148     10000.000
1a30_ligand_158     10000.000
1a30_ligand_159     10000.000
1a30_ligand_16      10000.000
1a30_ligand_163     10000.000
1a30_ligand_167     10000.000
1a30_ligand_171     10000.000
1a30_ligand_175     10000.000
1a30_ligand_176     10000.000
1a30_ligand_177     10000.000
1a30_ligand_178     10000.000
1a30_ligand_179     10000.000
1a30_ligand_18      10000.000
1a30_ligand_186     10000.000
1a30_ligand_189     10000.000
1a30_ligand_190     10000.000
1a30_ligand_191     10000.000
1a30_ligand_194     10000.000
1a30_ligand_195     10000.000
1a30_ligand_196     10000.000
1a30_ligand_199     10000.000
1a30_ligand_203     10000.000
1a30_ligand_204     10000.000
1a30_ligand_206     10000.000
1a30_ligand_207     10000.000
1a30_ligand_209     10000.000
1a30_ligand_211     10000.000
1a30_ligand_213     10000.000
1a30_ligand_215     10000.000
1a30_ligand_216     10000.000
1a30_ligand_217     10000.000
1a30_ligand_221     10000.000
1a30_ligand_222     10000.000
1a30_ligand_223     10000.000
1a30_ligand_225     10000.000
1a30_ligand_226     10000.000
1a30_ligand_229     10000.000
1a30_ligand_232     10000.000
1a30_ligand_234     10000.000
1a30_ligand_237     10000.000
1a30_ligand_239     10000.000
1a30_ligand_241     10000.000
1a30_ligand_242     10000.000
1a30_ligand_247     10000.000
1a30_ligand_249     10000.000
1a30_ligand_265     10000.000
1a30_ligand_269     10000.000
1a30_ligand_27      10000.000
1a30_ligand_273     10000.000
1a30_ligand_282     10000.000
1a30_ligand_284     10000.000
1a30_ligand_285     10000.000
1a30_ligand_287     10000.000
1a30_ligand_293     10000.000
1a30_ligand_294     10000.000
1a30_ligand_296     10000.000
1a30_ligand_297     10000.000
1a30_ligand_30      10000.000
1a30_ligand_309     10000.000
1a30_ligand_317     10000.000
1a30_ligand_329     10000.000
1a30_ligand_334     10000.000
1a30_ligand_341     10000.000
1a30_ligand_343     10000.000
1a30_ligand_344     10000.000
1a30_ligand_349     10000.000
1a30_ligand_356     -5.482  
1a30_ligand_36      10000.000
1a30_ligand_4       10000.000
1a30_ligand_400     -5.551  
1a30_ligand_43      10000.000
1a30_ligand_44      -2.015  
1a30_ligand_454     -5.975  
1a30_ligand_5       -1.698  
1a30_ligand_51      -2.322  
1a30_ligand_52      10000.000
1a30_ligand_53      -1.735  
1a30_ligand_57      -3.930  
1a30_ligand_65      10000.000
1a30_ligand_68      10000.000
1a30_ligand_71      -1.796  
1a30_ligand_76      -3.522  
