#code_ligand_num    score   
1a30_ligand_1       10000.000
1a30_ligand_10      -3.316  
1a30_ligand_102     10000.000
1a30_ligand_103     -2.813  
1a30_ligand_106     -2.464  
1a30_ligand_109     -3.731  
1a30_ligand_111     -3.238  
1a30_ligand_114     -3.067  
1a30_ligand_115     -3.637  
1a30_ligand_116     -3.010  
1a30_ligand_121     10000.000
1a30_ligand_123     10000.000
1a30_ligand_126     -3.090  
1a30_ligand_13      -3.305  
1a30_ligand_130     10000.000
1a30_ligand_131     -2.967  
1a30_ligand_147     -2.928  
1a30_ligand_151     10000.000
1a30_ligand_16      -1.985  
1a30_ligand_165     10000.000
1a30_ligand_169     10000.000
1a30_ligand_182     10000.000
1a30_ligand_186     10000.000
1a30_ligand_188     10000.000
1a30_ligand_190     10000.000
1a30_ligand_191     10000.000
1a30_ligand_195     10000.000
1a30_ligand_198     10000.000
1a30_ligand_203     -1.681  
1a30_ligand_208     10000.000
1a30_ligand_215     10000.000
1a30_ligand_219     10000.000
1a30_ligand_22      10000.000
1a30_ligand_226     10000.000
1a30_ligand_228     -1.142  
1a30_ligand_231     10000.000
1a30_ligand_234     -0.989  
1a30_ligand_239     10000.000
1a30_ligand_242     10000.000
1a30_ligand_243     10000.000
1a30_ligand_245     10000.000
1a30_ligand_246     10000.000
1a30_ligand_249     10000.000
1a30_ligand_25      10000.000
1a30_ligand_259     10000.000
1a30_ligand_268     10000.000
1a30_ligand_269     10000.000
1a30_ligand_27      10000.000
1a30_ligand_271     10000.000
1a30_ligand_272     10000.000
1a30_ligand_280     10000.000
1a30_ligand_284     10000.000
1a30_ligand_29      10000.000
1a30_ligand_291     10000.000
1a30_ligand_296     10000.000
1a30_ligand_307     10000.000
1a30_ligand_319     10000.000
1a30_ligand_32      -1.508  
1a30_ligand_328     10000.000
1a30_ligand_336     10000.000
1a30_ligand_341     10000.000
1a30_ligand_342     10000.000
1a30_ligand_349     10000.000
1a30_ligand_350     10000.000
1a30_ligand_366     -1.955  
1a30_ligand_376     -2.997  
1a30_ligand_380     -3.834  
1a30_ligand_39      10000.000
1a30_ligand_395     -2.681  
1a30_ligand_402     -4.238  
1a30_ligand_403     -4.229  
1a30_ligand_416     -5.213  
1a30_ligand_421     -4.350  
1a30_ligand_438     -3.660  
1a30_ligand_458     -4.266  
1a30_ligand_47      -2.327  
1a30_ligand_475     -5.346  
1a30_ligand_479     -3.661  
1a30_ligand_48      -2.068  
1a30_ligand_497     -3.186  
1a30_ligand_55      -3.755  
1a30_ligand_58      -3.618  
1a30_ligand_60      -1.791  
1a30_ligand_61      10000.000
1a30_ligand_63      10000.000
1a30_ligand_64      -3.440  
1a30_ligand_65      10000.000
1a30_ligand_69      10000.000
1a30_ligand_7       -2.919  
1a30_ligand_72      -3.118  
1a30_ligand_74      -1.936  
1a30_ligand_80      -4.210  
1a30_ligand_82      -3.311  
1a30_ligand_86      -3.243  
1a30_ligand_87      -2.577  
1a30_ligand_88      -3.828  
1a30_ligand_9       10000.000
1a30_ligand_90      -1.781  
1a30_ligand_92      -3.511  
1a30_ligand_96      -1.532  
1bcu_ligand_109     -4.213  
1bcu_ligand_139     10000.000
1bcu_ligand_159     10000.000
1bcu_ligand_165     10000.000
1bcu_ligand_168     10000.000
1bcu_ligand_190     10000.000
1bcu_ligand_192     10000.000
1bcu_ligand_195     10000.000
1bcu_ligand_201     10000.000
1bcu_ligand_205     -2.183  
1bcu_ligand_207     -3.846  
1bcu_ligand_21      -4.454  
1bcu_ligand_212     10000.000
1bcu_ligand_213     10000.000
1bcu_ligand_215     10000.000
1bcu_ligand_220     10000.000
1bcu_ligand_222     10000.000
1bcu_ligand_224     10000.000
1bcu_ligand_225     10000.000
1bcu_ligand_227     10000.000
1bcu_ligand_228     10000.000
1bcu_ligand_233     10000.000
1bcu_ligand_234     10000.000
1bcu_ligand_241     10000.000
1bcu_ligand_242     10000.000
1bcu_ligand_250     10000.000
1bcu_ligand_255     10000.000
1bcu_ligand_260     10000.000
1bcu_ligand_266     10000.000
1bcu_ligand_282     10000.000
