#code_ligand_num    score   
1a30_ligand_1       -3.744  
1a30_ligand_104     -5.343  
1a30_ligand_117     -5.090  
1a30_ligand_120     -5.657  
1a30_ligand_138     10000.000
1a30_ligand_139     10000.000
1a30_ligand_15      10000.000
1a30_ligand_152     10000.000
1a30_ligand_153     10000.000
1a30_ligand_155     10000.000
1a30_ligand_157     10000.000
1a30_ligand_158     10000.000
1a30_ligand_16      10000.000
1a30_ligand_170     10000.000
1a30_ligand_171     10000.000
1a30_ligand_187     10000.000
1a30_ligand_188     10000.000
1a30_ligand_191     10000.000
1a30_ligand_192     10000.000
1a30_ligand_196     10000.000
1a30_ligand_197     10000.000
1a30_ligand_198     10000.000
1a30_ligand_200     10000.000
1a30_ligand_21      10000.000
1a30_ligand_210     10000.000
1a30_ligand_215     10000.000
1a30_ligand_218     10000.000
1a30_ligand_219     10000.000
1a30_ligand_22      10000.000
1a30_ligand_220     10000.000
1a30_ligand_223     10000.000
1a30_ligand_225     10000.000
1a30_ligand_226     10000.000
1a30_ligand_228     10000.000
1a30_ligand_229     10000.000
1a30_ligand_230     10000.000
1a30_ligand_231     10000.000
1a30_ligand_232     10000.000
1a30_ligand_233     10000.000
1a30_ligand_234     10000.000
1a30_ligand_235     10000.000
1a30_ligand_236     10000.000
1a30_ligand_237     10000.000
1a30_ligand_238     10000.000
1a30_ligand_239     10000.000
1a30_ligand_240     10000.000
1a30_ligand_242     10000.000
1a30_ligand_243     10000.000
1a30_ligand_245     10000.000
1a30_ligand_248     10000.000
1a30_ligand_250     10000.000
1a30_ligand_253     10000.000
1a30_ligand_255     10000.000
1a30_ligand_260     10000.000
1a30_ligand_261     10000.000
1a30_ligand_263     10000.000
1a30_ligand_265     10000.000
1a30_ligand_270     10000.000
1a30_ligand_271     10000.000
1a30_ligand_273     10000.000
1a30_ligand_274     10000.000
1a30_ligand_275     10000.000
1a30_ligand_278     10000.000
1a30_ligand_283     10000.000
1a30_ligand_284     10000.000
1a30_ligand_291     10000.000
1a30_ligand_292     10000.000
1a30_ligand_294     10000.000
1a30_ligand_295     10000.000
1a30_ligand_297     10000.000
1a30_ligand_298     10000.000
1a30_ligand_3       10000.000
1a30_ligand_301     10000.000
1a30_ligand_31      10000.000
1a30_ligand_311     10000.000
1a30_ligand_316     10000.000
1a30_ligand_317     10000.000
1a30_ligand_323     10000.000
1a30_ligand_327     10000.000
1a30_ligand_329     10000.000
1a30_ligand_338     10000.000
1a30_ligand_341     10000.000
1a30_ligand_348     10000.000
1a30_ligand_361     -5.576  
1a30_ligand_364     10000.000
1a30_ligand_374     -6.196  
1a30_ligand_393     10000.000
1a30_ligand_400     10000.000
1a30_ligand_412     -6.237  
1a30_ligand_42      10000.000
1a30_ligand_420     -5.623  
1a30_ligand_44      10000.000
1a30_ligand_52      10000.000
1a30_ligand_59      10000.000
1a30_ligand_62      10000.000
1a30_ligand_66      10000.000
1a30_ligand_70      -5.775  
1a30_ligand_74      10000.000
1a30_ligand_86      10000.000
1a30_ligand_98      10000.000
1bcu_ligand_103     10000.000
1bcu_ligand_11      10000.000
1bcu_ligand_111     -7.005  
1bcu_ligand_115     10000.000
1bcu_ligand_117     10000.000
1bcu_ligand_12      10000.000
1bcu_ligand_13      10000.000
1bcu_ligand_140     10000.000
1bcu_ligand_15      10000.000
1bcu_ligand_161     -5.539  
1bcu_ligand_164     10000.000
1bcu_ligand_175     -6.826  
1bcu_ligand_180     10000.000
1bcu_ligand_186     10000.000
1bcu_ligand_191     10000.000
1bcu_ligand_193     10000.000
1bcu_ligand_202     -5.322  
1bcu_ligand_205     10000.000
1bcu_ligand_208     10000.000
1bcu_ligand_210     10000.000
1bcu_ligand_211     10000.000
1bcu_ligand_217     -5.895  
1bcu_ligand_221     10000.000
1bcu_ligand_224     10000.000
1bcu_ligand_231     10000.000
1bcu_ligand_239     -6.539  
1bcu_ligand_240     10000.000
1bcu_ligand_246     10000.000
1bcu_ligand_247     10000.000
1bcu_ligand_248     10000.000
1bcu_ligand_255     10000.000
1bcu_ligand_26      10000.000
1bcu_ligand_263     10000.000
1bcu_ligand_264     10000.000
1bcu_ligand_269     10000.000
1bcu_ligand_271     10000.000
1bcu_ligand_272     10000.000
1bcu_ligand_281     10000.000
1bcu_ligand_283     10000.000
1bcu_ligand_286     10000.000
1bcu_ligand_287     10000.000
1bcu_ligand_288     10000.000
1bcu_ligand_294     10000.000
1bcu_ligand_295     10000.000
1bcu_ligand_3       -6.494  
1bcu_ligand_300     10000.000
1bcu_ligand_301     10000.000
1bcu_ligand_303     10000.000
1bcu_ligand_304     10000.000
1bcu_ligand_305     10000.000
1bcu_ligand_308     10000.000
1bcu_ligand_318     10000.000
1bcu_ligand_320     10000.000
1bcu_ligand_321     10000.000
1bcu_ligand_325     10000.000
1bcu_ligand_326     10000.000
1bcu_ligand_331     10000.000
1bcu_ligand_332     10000.000
1bcu_ligand_335     10000.000
1bcu_ligand_337     10000.000
1bcu_ligand_341     10000.000
1bcu_ligand_342     10000.000
1bcu_ligand_345     10000.000
1bcu_ligand_346     10000.000
1bcu_ligand_347     10000.000
1bcu_ligand_348     10000.000
1bcu_ligand_349     10000.000
1bcu_ligand_361     -7.466  
1bcu_ligand_362     -7.306  
1bcu_ligand_368     -6.890  
1bcu_ligand_369     -5.738  
1bcu_ligand_380     -6.220  
1bcu_ligand_382     -6.378  
