#code_ligand_num    score   
1a30_ligand_105     10000.000
1a30_ligand_107     -2.308  
1a30_ligand_108     -1.309  
1a30_ligand_115     -1.251  
1a30_ligand_120     -2.109  
1a30_ligand_124     10000.000
1a30_ligand_131     10000.000
1a30_ligand_134     -1.775  
1a30_ligand_138     0.371   
1a30_ligand_156     10000.000
1a30_ligand_158     10000.000
1a30_ligand_163     0.280   
1a30_ligand_17      -1.427  
1a30_ligand_172     10000.000
1a30_ligand_175     10000.000
1a30_ligand_185     0.493   
1a30_ligand_186     10000.000
1a30_ligand_194     10000.000
1a30_ligand_195     0.320   
1a30_ligand_196     0.279   
1a30_ligand_198     10000.000
1a30_ligand_205     0.112   
1a30_ligand_206     10000.000
1a30_ligand_208     10000.000
1a30_ligand_210     0.224   
1a30_ligand_211     10000.000
1a30_ligand_215     10000.000
1a30_ligand_216     10000.000
1a30_ligand_218     10000.000
1a30_ligand_224     0.295   
1a30_ligand_225     10000.000
1a30_ligand_226     10000.000
1a30_ligand_232     10000.000
1a30_ligand_233     10000.000
1a30_ligand_235     10000.000
1a30_ligand_236     10000.000
1a30_ligand_237     10000.000
1a30_ligand_238     10000.000
1a30_ligand_239     -1.312  
1a30_ligand_24      -2.120  
1a30_ligand_242     0.171   
1a30_ligand_243     10000.000
1a30_ligand_245     10000.000
1a30_ligand_246     10000.000
1a30_ligand_247     0.461   
1a30_ligand_248     10000.000
1a30_ligand_249     0.364   
1a30_ligand_250     10000.000
1a30_ligand_254     10000.000
1a30_ligand_258     10000.000
1a30_ligand_267     10000.000
1a30_ligand_268     10000.000
1a30_ligand_271     10000.000
1a30_ligand_275     10000.000
1a30_ligand_276     10000.000
1a30_ligand_277     0.334   
1a30_ligand_28      10000.000
1a30_ligand_281     0.453   
1a30_ligand_287     10000.000
1a30_ligand_288     10000.000
1a30_ligand_291     0.514   
1a30_ligand_299     0.489   
1a30_ligand_300     10000.000
1a30_ligand_303     10000.000
1a30_ligand_305     10000.000
1a30_ligand_306     -3.177  
1a30_ligand_307     0.183   
1a30_ligand_315     10000.000
1a30_ligand_316     10000.000
1a30_ligand_318     0.200   
1a30_ligand_321     0.014   
1a30_ligand_324     10000.000
1a30_ligand_325     10000.000
1a30_ligand_328     10000.000
1a30_ligand_330     -0.556  
1a30_ligand_336     0.497   
1a30_ligand_339     10000.000
1a30_ligand_342     0.382   
1a30_ligand_343     10000.000
1a30_ligand_344     -0.173  
1a30_ligand_345     10000.000
1a30_ligand_35      10000.000
1a30_ligand_350     0.669   
1a30_ligand_387     10000.000
1a30_ligand_391     10000.000
1a30_ligand_395     10000.000
1a30_ligand_396     10000.000
1a30_ligand_40      10000.000
1a30_ligand_469     -3.053  
1a30_ligand_47      -2.585  
1a30_ligand_471     -3.737  
1a30_ligand_55      10000.000
1a30_ligand_66      -1.651  
1a30_ligand_68      10000.000
1a30_ligand_70      -1.116  
1a30_ligand_75      10000.000
1a30_ligand_8       -0.288  
1a30_ligand_85      10000.000
1a30_ligand_88      -0.329  
1a30_ligand_96      -2.653  
1bcu_ligand_10      10000.000
1bcu_ligand_110     -4.575  
1bcu_ligand_150     10000.000
1bcu_ligand_154     10000.000
1bcu_ligand_156     10000.000
1bcu_ligand_169     10000.000
1bcu_ligand_177     10000.000
1bcu_ligand_184     10000.000
1bcu_ligand_187     10000.000
1bcu_ligand_192     10000.000
1bcu_ligand_198     -2.002  
1bcu_ligand_203     10000.000
1bcu_ligand_204     10000.000
1bcu_ligand_206     10000.000
1bcu_ligand_215     10000.000
1bcu_ligand_216     10000.000
1bcu_ligand_220     10000.000
1bcu_ligand_223     -1.990  
1bcu_ligand_224     10000.000
1bcu_ligand_229     10000.000
1bcu_ligand_232     10000.000
1bcu_ligand_237     10000.000
1bcu_ligand_239     -1.998  
1bcu_ligand_240     -1.997  
1bcu_ligand_241     -2.001  
1bcu_ligand_247     10000.000
1bcu_ligand_257     10000.000
1bcu_ligand_258     10000.000
1bcu_ligand_259     10000.000
1bcu_ligand_263     10000.000
1bcu_ligand_268     10000.000
1bcu_ligand_269     10000.000
1bcu_ligand_286     10000.000
1bcu_ligand_287     10000.000
1bcu_ligand_289     10000.000
1bcu_ligand_290     10000.000
1bcu_ligand_293     10000.000
1bcu_ligand_295     10000.000
1bcu_ligand_296     10000.000
1bcu_ligand_299     10000.000
1bcu_ligand_301     10000.000
1bcu_ligand_303     10000.000
1bcu_ligand_306     10000.000
1bcu_ligand_307     10000.000
1bcu_ligand_309     10000.000
1bcu_ligand_312     10000.000
1bcu_ligand_314     10000.000
