#code_ligand_num    score   
1a30_ligand_102     -2.364  
1a30_ligand_11      -0.852  
1a30_ligand_120     -1.764  
1a30_ligand_126     -3.534  
1a30_ligand_138     10000.000
1a30_ligand_148     -3.304  
1a30_ligand_149     10000.000
1a30_ligand_153     10000.000
1a30_ligand_156     10000.000
1a30_ligand_16      10000.000
1a30_ligand_164     10000.000
1a30_ligand_168     10000.000
1a30_ligand_170     10000.000
1a30_ligand_174     10000.000
1a30_ligand_175     10000.000
1a30_ligand_182     10000.000
1a30_ligand_184     10000.000
1a30_ligand_186     10000.000
1a30_ligand_191     10000.000
1a30_ligand_195     10000.000
1a30_ligand_196     10000.000
1a30_ligand_198     10000.000
1a30_ligand_201     -1.463  
1a30_ligand_202     10000.000
1a30_ligand_206     -0.009  
1a30_ligand_209     10000.000
1a30_ligand_211     10000.000
1a30_ligand_214     10000.000
1a30_ligand_217     10000.000
1a30_ligand_218     10000.000
1a30_ligand_219     10000.000
1a30_ligand_222     10000.000
1a30_ligand_224     10000.000
1a30_ligand_225     10000.000
1a30_ligand_226     10000.000
1a30_ligand_228     10000.000
1a30_ligand_232     10000.000
1a30_ligand_233     10000.000
1a30_ligand_235     10000.000
1a30_ligand_237     10000.000
1a30_ligand_243     10000.000
1a30_ligand_245     10000.000
1a30_ligand_247     10000.000
1a30_ligand_249     10000.000
1a30_ligand_257     10000.000
1a30_ligand_261     10000.000
1a30_ligand_265     10000.000
1a30_ligand_267     10000.000
1a30_ligand_268     10000.000
1a30_ligand_269     10000.000
1a30_ligand_272     10000.000
1a30_ligand_284     10000.000
1a30_ligand_285     10000.000
1a30_ligand_287     10000.000
1a30_ligand_291     10000.000
1a30_ligand_295     10000.000
1a30_ligand_297     10000.000
1a30_ligand_304     10000.000
1a30_ligand_307     10000.000
1a30_ligand_319     10000.000
1a30_ligand_325     10000.000
1a30_ligand_330     10000.000
1a30_ligand_334     10000.000
1a30_ligand_344     10000.000
1a30_ligand_351     10000.000
1a30_ligand_36      10000.000
1a30_ligand_366     -4.054  
1a30_ligand_374     -2.842  
1a30_ligand_379     -3.611  
1a30_ligand_4       -2.055  
1a30_ligand_40      -1.510  
1a30_ligand_413     -5.020  
1a30_ligand_427     -4.167  
1a30_ligand_428     10000.000
1a30_ligand_43      -1.867  
1a30_ligand_446     -3.430  
1a30_ligand_482     -4.374  
1a30_ligand_51      10000.000
1a30_ligand_56      -1.772  
1a30_ligand_57      -1.601  
1a30_ligand_58      -2.116  
1a30_ligand_65      -2.936  
1a30_ligand_67      -1.117  
1a30_ligand_69      10000.000
1a30_ligand_7       -2.180  
1a30_ligand_73      -3.082  
1a30_ligand_75      10000.000
1a30_ligand_78      -1.786  
1a30_ligand_79      -2.302  
1a30_ligand_8       10000.000
1a30_ligand_81      -2.389  
1a30_ligand_86      10000.000
1a30_ligand_88      10000.000
1a30_ligand_9       -2.261  
1a30_ligand_90      -2.816  
1a30_ligand_92      -0.810  
1a30_ligand_93      10000.000
1a30_ligand_95      10000.000
1a30_ligand_96      -3.098  
1a30_ligand_97      -1.733  
1bcu_ligand_14      -4.892  
1bcu_ligand_153     10000.000
1bcu_ligand_174     -5.209  
1bcu_ligand_177     10000.000
1bcu_ligand_189     10000.000
1bcu_ligand_196     10000.000
1bcu_ligand_204     10000.000
1bcu_ligand_212     10000.000
1bcu_ligand_216     10000.000
1bcu_ligand_218     10000.000
1bcu_ligand_220     -4.473  
1bcu_ligand_225     -2.673  
1bcu_ligand_227     10000.000
1bcu_ligand_232     10000.000
1bcu_ligand_234     -2.906  
1bcu_ligand_240     10000.000
1bcu_ligand_243     -3.999  
1bcu_ligand_245     -3.670  
