#code_ligand_num    score   
1a30_ligand_101     -2.776  
1a30_ligand_102     10000.000
1a30_ligand_107     10000.000
1a30_ligand_109     -2.884  
1a30_ligand_110     10000.000
1a30_ligand_111     -3.135  
1a30_ligand_112     10000.000
1a30_ligand_124     10000.000
1a30_ligand_125     10000.000
1a30_ligand_127     10000.000
1a30_ligand_131     10000.000
1a30_ligand_139     -2.538  
1a30_ligand_142     -2.269  
1a30_ligand_144     10000.000
1a30_ligand_145     10000.000
1a30_ligand_148     -3.622  
1a30_ligand_150     -2.747  
1a30_ligand_159     10000.000
1a30_ligand_16      10000.000
1a30_ligand_160     10000.000
1a30_ligand_17      10000.000
1a30_ligand_184     10000.000
1a30_ligand_196     10000.000
1a30_ligand_201     10000.000
1a30_ligand_202     10000.000
1a30_ligand_203     10000.000
1a30_ligand_205     10000.000
1a30_ligand_207     10000.000
1a30_ligand_208     10000.000
1a30_ligand_209     10000.000
1a30_ligand_21      10000.000
1a30_ligand_211     10000.000
1a30_ligand_220     10000.000
1a30_ligand_227     10000.000
1a30_ligand_228     10000.000
1a30_ligand_230     10000.000
1a30_ligand_232     10000.000
1a30_ligand_234     10000.000
1a30_ligand_235     10000.000
1a30_ligand_237     10000.000
1a30_ligand_238     10000.000
1a30_ligand_242     10000.000
1a30_ligand_248     10000.000
1a30_ligand_273     10000.000
1a30_ligand_28      10000.000
1a30_ligand_285     10000.000
1a30_ligand_287     10000.000
1a30_ligand_295     10000.000
1a30_ligand_30      10000.000
1a30_ligand_301     10000.000
1a30_ligand_308     10000.000
1a30_ligand_313     10000.000
1a30_ligand_326     10000.000
1a30_ligand_336     10000.000
1a30_ligand_339     10000.000
1a30_ligand_34      10000.000
1a30_ligand_348     10000.000
1a30_ligand_351     -4.378  
1a30_ligand_366     -5.338  
1a30_ligand_378     10000.000
1a30_ligand_382     10000.000
1a30_ligand_383     10000.000
1a30_ligand_385     10000.000
1a30_ligand_387     10000.000
1a30_ligand_39      10000.000
1a30_ligand_419     -5.310  
1a30_ligand_421     10000.000
1a30_ligand_428     -3.659  
1a30_ligand_43      -0.988  
1a30_ligand_435     10000.000
1a30_ligand_436     10000.000
1a30_ligand_439     -2.848  
1a30_ligand_444     10000.000
1a30_ligand_447     10000.000
1a30_ligand_45      10000.000
1a30_ligand_47      -1.913  
1a30_ligand_474     -5.434  
1a30_ligand_5       10000.000
1a30_ligand_50      10000.000
1a30_ligand_51      10000.000
1a30_ligand_55      10000.000
1a30_ligand_57      10000.000
1a30_ligand_58      10000.000
1a30_ligand_60      10000.000
1a30_ligand_64      10000.000
1a30_ligand_67      10000.000
1a30_ligand_68      -3.340  
1a30_ligand_7       10000.000
1a30_ligand_71      -3.286  
1a30_ligand_72      10000.000
1a30_ligand_74      10000.000
1a30_ligand_77      -2.362  
1a30_ligand_79      10000.000
1a30_ligand_82      10000.000
1a30_ligand_9       -2.646  
1a30_ligand_93      -2.157  
1a30_ligand_94      10000.000
1a30_ligand_95      10000.000
1a30_ligand_98      10000.000
1a30_ligand_99      -2.214  
1bcu_ligand_168     10000.000
1bcu_ligand_191     10000.000
1bcu_ligand_196     10000.000
1bcu_ligand_2       -6.185  
1bcu_ligand_203     -5.520  
1bcu_ligand_204     10000.000
1bcu_ligand_205     10000.000
1bcu_ligand_210     -6.979  
1bcu_ligand_213     -6.546  
1bcu_ligand_216     10000.000
1bcu_ligand_217     -4.515  
1bcu_ligand_222     -5.545  
1bcu_ligand_223     10000.000
1bcu_ligand_225     10000.000
1bcu_ligand_227     10000.000
1bcu_ligand_229     10000.000
1bcu_ligand_230     10000.000
1bcu_ligand_231     10000.000
1bcu_ligand_234     10000.000
1bcu_ligand_237     10000.000
1bcu_ligand_242     10000.000
1bcu_ligand_243     10000.000
1bcu_ligand_250     10000.000
1bcu_ligand_255     10000.000
1bcu_ligand_267     -6.194  
1bcu_ligand_269     10000.000
1bcu_ligand_277     10000.000
1bcu_ligand_284     10000.000
1bcu_ligand_285     10000.000
1bcu_ligand_294     10000.000
1bcu_ligand_297     10000.000
1bcu_ligand_298     10000.000
1bcu_ligand_299     10000.000
1bcu_ligand_300     10000.000
1bcu_ligand_309     10000.000
1bcu_ligand_318     10000.000
1bcu_ligand_319     10000.000
1bcu_ligand_321     10000.000
1bcu_ligand_333     10000.000
1bcu_ligand_354     -6.729  
1bcu_ligand_355     -6.053  
1bcu_ligand_358     10000.000
1bcu_ligand_360     -4.538  
1bcu_ligand_361     -5.335  
1bcu_ligand_364     10000.000
1bcu_ligand_365     -5.594  
1bcu_ligand_366     10000.000
1bcu_ligand_367     -3.103  
1bcu_ligand_368     10000.000
1bcu_ligand_369     -4.445  
1bcu_ligand_370     -4.428  
1bcu_ligand_371     -4.002  
1bcu_ligand_373     10000.000
1bcu_ligand_374     -3.021  
1bcu_ligand_375     10000.000
1bcu_ligand_376     -4.197  
1bcu_ligand_377     -3.046  
1bcu_ligand_379     -4.196  
1bcu_ligand_381     10000.000
1bcu_ligand_382     -4.288  
1bcu_ligand_383     -3.393  
1bcu_ligand_384     -4.914  
