#code_ligand_num    score   
1a30_ligand_100     10000.000
1a30_ligand_105     10000.000
1a30_ligand_106     10000.000
1a30_ligand_108     10000.000
1a30_ligand_119     -3.233  
1a30_ligand_13      10000.000
1a30_ligand_134     10000.000
1a30_ligand_138     -1.955  
1a30_ligand_14      10000.000
1a30_ligand_141     10000.000
1a30_ligand_148     10000.000
1a30_ligand_15      10000.000
1a30_ligand_158     10000.000
1a30_ligand_159     10000.000
1a30_ligand_16      -0.941  
1a30_ligand_166     10000.000
1a30_ligand_167     10000.000
1a30_ligand_169     10000.000
1a30_ligand_171     10000.000
1a30_ligand_182     10000.000
1a30_ligand_196     10000.000
1a30_ligand_197     10000.000
1a30_ligand_2       -1.861  
1a30_ligand_202     10000.000
1a30_ligand_203     10000.000
1a30_ligand_206     10000.000
1a30_ligand_207     10000.000
1a30_ligand_21      10000.000
1a30_ligand_215     10000.000
1a30_ligand_216     10000.000
1a30_ligand_217     10000.000
1a30_ligand_218     10000.000
1a30_ligand_219     10000.000
1a30_ligand_22      10000.000
1a30_ligand_220     10000.000
1a30_ligand_225     10000.000
1a30_ligand_23      -1.407  
1a30_ligand_233     10000.000
1a30_ligand_239     10000.000
1a30_ligand_243     10000.000
1a30_ligand_246     10000.000
1a30_ligand_248     10000.000
1a30_ligand_253     10000.000
1a30_ligand_26      10000.000
1a30_ligand_27      10000.000
1a30_ligand_274     10000.000
1a30_ligand_275     10000.000
1a30_ligand_279     10000.000
1a30_ligand_282     10000.000
1a30_ligand_29      -1.468  
1a30_ligand_290     10000.000
1a30_ligand_291     10000.000
1a30_ligand_294     10000.000
1a30_ligand_310     10000.000
1a30_ligand_314     10000.000
1a30_ligand_315     10000.000
1a30_ligand_318     10000.000
1a30_ligand_323     10000.000
1a30_ligand_326     10000.000
1a30_ligand_329     10000.000
1a30_ligand_34      -0.166  
1a30_ligand_353     -3.091  
1a30_ligand_356     -3.175  
1a30_ligand_357     -2.573  
1a30_ligand_36      -4.208  
1a30_ligand_363     10000.000
1a30_ligand_366     10000.000
1a30_ligand_372     10000.000
1a30_ligand_379     10000.000
1a30_ligand_38      10000.000
1a30_ligand_39      10000.000
1a30_ligand_391     10000.000
1a30_ligand_395     10000.000
1a30_ligand_398     10000.000
1a30_ligand_411     10000.000
1a30_ligand_42      10000.000
1a30_ligand_421     -3.770  
1a30_ligand_45      10000.000
1a30_ligand_467     10000.000
1a30_ligand_481     -2.227  
1a30_ligand_49      -1.136  
1a30_ligand_496     -3.404  
1a30_ligand_52      10000.000
1a30_ligand_56      -1.831  
1a30_ligand_59      10000.000
1a30_ligand_6       10000.000
1a30_ligand_63      10000.000
1a30_ligand_64      -2.836  
1a30_ligand_68      10000.000
1a30_ligand_7       10000.000
1a30_ligand_73      10000.000
1a30_ligand_76      10000.000
1a30_ligand_81      -3.066  
1a30_ligand_82      10000.000
1a30_ligand_88      10000.000
1a30_ligand_9       10000.000
1a30_ligand_94      10000.000
1a30_ligand_95      10000.000
1a30_ligand_97      -2.982  
1a30_ligand_99      -2.633  
1bcu_ligand_105     -6.953  
1bcu_ligand_126     10000.000
1bcu_ligand_153     10000.000
1bcu_ligand_170     -5.571  
1bcu_ligand_172     -5.475  
1bcu_ligand_188     10000.000
1bcu_ligand_189     -4.608  
1bcu_ligand_211     10000.000
1bcu_ligand_220     10000.000
1bcu_ligand_221     10000.000
1bcu_ligand_239     10000.000
1bcu_ligand_241     -4.415  
1bcu_ligand_248     10000.000
1bcu_ligand_250     10000.000
1bcu_ligand_252     10000.000
1bcu_ligand_256     -3.732  
1bcu_ligand_258     10000.000
1bcu_ligand_26      -4.669  
1bcu_ligand_265     10000.000
1bcu_ligand_269     -4.838  
1bcu_ligand_270     10000.000
1bcu_ligand_273     10000.000
1bcu_ligand_277     -4.179  
1bcu_ligand_278     -4.652  
1bcu_ligand_284     -4.569  
1bcu_ligand_286     10000.000
1bcu_ligand_288     -3.687  
1bcu_ligand_293     -4.157  
1bcu_ligand_300     -4.344  
1bcu_ligand_312     10000.000
1bcu_ligand_327     10000.000
1bcu_ligand_329     10000.000
1bcu_ligand_342     10000.000
1bcu_ligand_343     10000.000
1bcu_ligand_345     10000.000
1bcu_ligand_347     10000.000
1bcu_ligand_352     -4.384  
1bcu_ligand_361     -3.680  
1bcu_ligand_362     -2.935  
1bcu_ligand_364     10000.000
1bcu_ligand_365     -3.516  
1bcu_ligand_366     -3.831  
1bcu_ligand_367     -2.586  
1bcu_ligand_369     -2.588  
1bcu_ligand_371     -2.553  
1bcu_ligand_372     10000.000
1bcu_ligand_374     10000.000
1bcu_ligand_376     -3.468  
