#code_ligand_num    score   
1a30_ligand_100     -2.010  
1a30_ligand_102     10000.000
1a30_ligand_104     -3.063  
1a30_ligand_110     -1.761  
1a30_ligand_113     10000.000
1a30_ligand_115     -0.853  
1a30_ligand_119     10000.000
1a30_ligand_12      -2.179  
1a30_ligand_121     10000.000
1a30_ligand_124     10000.000
1a30_ligand_125     10000.000
1a30_ligand_127     -4.075  
1a30_ligand_132     10000.000
1a30_ligand_133     10000.000
1a30_ligand_134     -3.091  
1a30_ligand_137     10000.000
1a30_ligand_15      10000.000
1a30_ligand_16      -1.541  
1a30_ligand_160     10000.000
1a30_ligand_18      10000.000
1a30_ligand_185     10000.000
1a30_ligand_19      10000.000
1a30_ligand_2       10000.000
1a30_ligand_20      0.312   
1a30_ligand_201     10000.000
1a30_ligand_202     -0.706  
1a30_ligand_204     -0.772  
1a30_ligand_206     10000.000
1a30_ligand_208     0.623   
1a30_ligand_209     10000.000
1a30_ligand_212     -0.071  
1a30_ligand_216     10000.000
1a30_ligand_217     0.039   
1a30_ligand_218     10000.000
1a30_ligand_219     -0.857  
1a30_ligand_22      10000.000
1a30_ligand_220     10000.000
1a30_ligand_221     10000.000
1a30_ligand_223     10000.000
1a30_ligand_224     -0.217  
1a30_ligand_226     10000.000
1a30_ligand_227     0.426   
1a30_ligand_228     10000.000
1a30_ligand_230     0.437   
1a30_ligand_231     0.492   
1a30_ligand_236     0.844   
1a30_ligand_24      10000.000
1a30_ligand_240     10000.000
1a30_ligand_244     -0.639  
1a30_ligand_245     10000.000
1a30_ligand_246     0.625   
1a30_ligand_247     10000.000
1a30_ligand_249     10000.000
1a30_ligand_253     10000.000
1a30_ligand_26      10000.000
1a30_ligand_267     10000.000
1a30_ligand_27      10000.000
1a30_ligand_270     10000.000
1a30_ligand_272     10000.000
1a30_ligand_278     10000.000
1a30_ligand_281     10000.000
1a30_ligand_289     10000.000
1a30_ligand_297     10000.000
1a30_ligand_298     10000.000
1a30_ligand_299     10000.000
1a30_ligand_300     10000.000
1a30_ligand_313     10000.000
1a30_ligand_32      10000.000
1a30_ligand_322     10000.000
1a30_ligand_327     10000.000
1a30_ligand_341     10000.000
1a30_ligand_343     10000.000
1a30_ligand_347     10000.000
1a30_ligand_348     10000.000
1a30_ligand_357     10000.000
1a30_ligand_38      -2.442  
1a30_ligand_384     10000.000
1a30_ligand_389     10000.000
1a30_ligand_40      -1.531  
1a30_ligand_42      -2.369  
1a30_ligand_46      10000.000
1a30_ligand_49      -1.397  
1a30_ligand_5       -0.851  
1a30_ligand_50      -1.389  
1a30_ligand_51      10000.000
1a30_ligand_52      -1.621  
1a30_ligand_54      -0.619  
1a30_ligand_56      10000.000
1a30_ligand_62      -1.994  
1a30_ligand_64      10000.000
1a30_ligand_65      -2.824  
1a30_ligand_67      -2.221  
1a30_ligand_70      -0.620  
1a30_ligand_76      -2.631  
1a30_ligand_78      -2.503  
1a30_ligand_79      -2.426  
1a30_ligand_86      10000.000
1a30_ligand_90      -2.447  
1a30_ligand_92      10000.000
1a30_ligand_98      -2.330  
1bcu_ligand_126     10000.000
1bcu_ligand_158     10000.000
1bcu_ligand_161     10000.000
1bcu_ligand_166     10000.000
1bcu_ligand_168     10000.000
1bcu_ligand_171     10000.000
1bcu_ligand_174     10000.000
1bcu_ligand_175     10000.000
1bcu_ligand_177     10000.000
1bcu_ligand_180     10000.000
1bcu_ligand_182     10000.000
1bcu_ligand_185     10000.000
1bcu_ligand_19      10000.000
1bcu_ligand_193     10000.000
1bcu_ligand_194     10000.000
1bcu_ligand_196     10000.000
1bcu_ligand_199     10000.000
1bcu_ligand_21      10000.000
1bcu_ligand_210     10000.000
1bcu_ligand_214     10000.000
1bcu_ligand_225     10000.000
1bcu_ligand_226     10000.000
1bcu_ligand_230     10000.000
1bcu_ligand_233     10000.000
1bcu_ligand_234     10000.000
1bcu_ligand_237     10000.000
1bcu_ligand_240     10000.000
1bcu_ligand_243     10000.000
1bcu_ligand_244     10000.000
1bcu_ligand_248     10000.000
1bcu_ligand_250     10000.000
1bcu_ligand_273     10000.000
1bcu_ligand_276     10000.000
1bcu_ligand_286     10000.000
1bcu_ligand_297     10000.000
1bcu_ligand_302     10000.000
1bcu_ligand_303     10000.000
