#code_ligand_num    score   
1a30_ligand_102     -3.077  
1a30_ligand_103     1.113   
1a30_ligand_106     -1.010  
1a30_ligand_11      -2.428  
1a30_ligand_111     -1.038  
1a30_ligand_115     -2.664  
1a30_ligand_12      4.547   
1a30_ligand_125     -2.749  
1a30_ligand_128     -2.598  
1a30_ligand_13      3.396   
1a30_ligand_134     -1.907  
1a30_ligand_136     -3.137  
1a30_ligand_137     6.004   
1a30_ligand_139     -1.425  
1a30_ligand_14      5.070   
1a30_ligand_141     10000.000
1a30_ligand_144     4.599   
1a30_ligand_145     10000.000
1a30_ligand_146     10000.000
1a30_ligand_147     0.374   
1a30_ligand_149     -1.824  
1a30_ligand_150     0.172   
1a30_ligand_16      -1.141  
1a30_ligand_160     10000.000
1a30_ligand_168     10000.000
1a30_ligand_173     10000.000
1a30_ligand_180     10000.000
1a30_ligand_187     10000.000
1a30_ligand_192     10000.000
1a30_ligand_194     10000.000
1a30_ligand_195     10000.000
1a30_ligand_20      10000.000
1a30_ligand_204     10000.000
1a30_ligand_211     1.794   
1a30_ligand_214     2.584   
1a30_ligand_224     -0.731  
1a30_ligand_227     10000.000
1a30_ligand_230     10000.000
1a30_ligand_238     10000.000
1a30_ligand_239     10000.000
1a30_ligand_242     1.278   
1a30_ligand_248     -1.007  
1a30_ligand_250     0.272   
1a30_ligand_267     10000.000
1a30_ligand_269     10000.000
1a30_ligand_282     10000.000
1a30_ligand_285     10000.000
1a30_ligand_29      5.594   
1a30_ligand_290     10000.000
1a30_ligand_297     10000.000
1a30_ligand_30      2.754   
1a30_ligand_300     10000.000
1a30_ligand_303     10000.000
1a30_ligand_305     10000.000
1a30_ligand_307     10000.000
1a30_ligand_318     10000.000
1a30_ligand_325     10000.000
1a30_ligand_33      -1.979  
1a30_ligand_334     10000.000
1a30_ligand_336     10000.000
1a30_ligand_338     10000.000
1a30_ligand_342     10000.000
1a30_ligand_347     10000.000
1a30_ligand_350     10000.000
1a30_ligand_355     -4.766  
1a30_ligand_367     10000.000
1a30_ligand_37      2.610   
1a30_ligand_371     10000.000
1a30_ligand_375     -3.989  
1a30_ligand_379     -0.014  
1a30_ligand_38      -1.331  
1a30_ligand_381     10000.000
1a30_ligand_383     2.530   
1a30_ligand_384     10000.000
1a30_ligand_397     -3.613  
1a30_ligand_399     10000.000
1a30_ligand_4       -3.091  
1a30_ligand_40      -0.410  
1a30_ligand_403     -4.802  
1a30_ligand_414     -3.489  
1a30_ligand_42      1.736   
1a30_ligand_434     10000.000
1a30_ligand_44      10000.000
1a30_ligand_440     -0.785  
1a30_ligand_455     -0.724  
1a30_ligand_467     3.129   
1a30_ligand_47      -0.033  
1a30_ligand_478     -3.636  
1a30_ligand_53      10000.000
1a30_ligand_63      0.398   
1a30_ligand_69      -1.847  
1a30_ligand_71      1.605   
1a30_ligand_83      -3.084  
1a30_ligand_89      10000.000
1a30_ligand_90      2.158   
1a30_ligand_92      0.490   
1a30_ligand_93      -1.452  
1a30_ligand_94      -2.183  
1a30_ligand_96      10000.000
1a30_ligand_97      -1.373  
1bcu_ligand_127     -1.495  
1bcu_ligand_134     10000.000
1bcu_ligand_152     10000.000
1bcu_ligand_176     10000.000
1bcu_ligand_179     10000.000
1bcu_ligand_182     10000.000
1bcu_ligand_188     10000.000
1bcu_ligand_189     10000.000
1bcu_ligand_199     10000.000
1bcu_ligand_200     10000.000
1bcu_ligand_205     10000.000
1bcu_ligand_207     10000.000
1bcu_ligand_211     -3.036  
1bcu_ligand_214     -2.115  
1bcu_ligand_216     -3.091  
1bcu_ligand_227     10000.000
1bcu_ligand_228     10000.000
1bcu_ligand_230     10000.000
1bcu_ligand_233     -1.395  
1bcu_ligand_234     10000.000
1bcu_ligand_238     10000.000
1bcu_ligand_249     10000.000
1bcu_ligand_261     10000.000
1bcu_ligand_262     -4.892  
1bcu_ligand_268     10000.000
1bcu_ligand_273     10000.000
1bcu_ligand_274     -0.463  
1bcu_ligand_285     10000.000
1bcu_ligand_289     10000.000
1bcu_ligand_291     10000.000
1bcu_ligand_293     10000.000
1bcu_ligand_316     10000.000
1bcu_ligand_324     10000.000
1bcu_ligand_326     10000.000
1bcu_ligand_336     10000.000
1bcu_ligand_337     10000.000
1bcu_ligand_340     10000.000
1bcu_ligand_341     10000.000
1bcu_ligand_343     10000.000
1bcu_ligand_348     10000.000
1bcu_ligand_351     -1.657  
1bcu_ligand_355     10000.000
1bcu_ligand_356     10000.000
1bcu_ligand_358     10000.000
1bcu_ligand_360     -2.117  
1bcu_ligand_361     -3.332  
1bcu_ligand_367     -2.296  
1bcu_ligand_368     -1.703  
1bcu_ligand_369     -1.015  
1bcu_ligand_372     -0.875  
1bcu_ligand_374     10000.000
1bcu_ligand_375     0.574   
1bcu_ligand_377     10000.000
1bcu_ligand_378     2.646   
1bcu_ligand_379     -1.659  
1bcu_ligand_381     10000.000
1bcu_ligand_383     10000.000
1bcu_ligand_386     -0.777  
1bcu_ligand_388     -0.697  
1bcu_ligand_389     -1.993  
1bcu_ligand_390     10000.000
1bcu_ligand_391     -1.007  
1bcu_ligand_392     -1.344  
1bcu_ligand_393     0.557   
1bcu_ligand_394     10000.000
1bcu_ligand_395     10000.000
1bcu_ligand_396     -2.080  
1bcu_ligand_398     -1.153  
1bcu_ligand_399     10000.000
1bcu_ligand_401     10000.000
1bcu_ligand_402     -2.166  
1bcu_ligand_409     -3.649  
1bcu_ligand_411     10000.000
1bcu_ligand_425     -1.227  
1bcu_ligand_426     -2.714  
1bcu_ligand_430     -2.734  
1bcu_ligand_432     10000.000
1bcu_ligand_437     -2.183  
1bcu_ligand_439     10000.000
1bcu_ligand_442     10000.000
1bcu_ligand_443     -0.647  
1bcu_ligand_444     -3.848  
1bcu_ligand_446     -1.694  
1bcu_ligand_447     10000.000
1bcu_ligand_464     -1.171  
1bcu_ligand_469     10000.000
1bcu_ligand_472     0.434   
1bcu_ligand_473     10000.000
1bcu_ligand_476     10000.000
1bcu_ligand_478     10000.000
1bcu_ligand_480     -0.943  
1bcu_ligand_482     10000.000
1bcu_ligand_488     -1.180  
1bcu_ligand_49      -1.290  
1bcu_ligand_491     -3.025  
1bcu_ligand_492     -2.160  
1bcu_ligand_498     10000.000
1bcu_ligand_500     -1.407  
1bcu_ligand_52      -1.744  
1bcu_ligand_75      10000.000
1bzc_ligand_10      10000.000
1bzc_ligand_101     -0.567  
1bzc_ligand_105     10000.000
1bzc_ligand_11      10000.000
1bzc_ligand_115     -2.171  
1bzc_ligand_117     -2.220  
1bzc_ligand_122     10000.000
1bzc_ligand_126     -0.955  
1bzc_ligand_131     2.600   
1bzc_ligand_136     -2.617  
1bzc_ligand_138     5.308   
1bzc_ligand_145     -2.625  
1bzc_ligand_150     10000.000
1bzc_ligand_152     10000.000
1bzc_ligand_161     10000.000
1bzc_ligand_162     10000.000
1bzc_ligand_166     10000.000
1bzc_ligand_168     10000.000
1bzc_ligand_170     10000.000
1bzc_ligand_182     10000.000
1bzc_ligand_193     10000.000
1bzc_ligand_196     10000.000
1bzc_ligand_20      10000.000
