#code_ligand_num    score   
1a30_ligand_1       10000.000
1a30_ligand_10      -1.314  
1a30_ligand_105     10000.000
1a30_ligand_106     0.348   
1a30_ligand_107     -2.167  
1a30_ligand_111     1.989   
1a30_ligand_113     -1.532  
1a30_ligand_114     -0.255  
1a30_ligand_115     0.304   
1a30_ligand_117     -1.438  
1a30_ligand_119     10000.000
1a30_ligand_12      2.893   
1a30_ligand_126     1.361   
1a30_ligand_127     -2.281  
1a30_ligand_131     1.685   
1a30_ligand_134     4.840   
1a30_ligand_136     -1.438  
1a30_ligand_139     3.070   
1a30_ligand_14      10000.000
1a30_ligand_144     -0.407  
1a30_ligand_145     3.529   
1a30_ligand_148     -1.844  
1a30_ligand_150     1.206   
1a30_ligand_16      10000.000
1a30_ligand_169     10000.000
1a30_ligand_17      1.944   
1a30_ligand_179     10000.000
1a30_ligand_19      5.975   
1a30_ligand_192     10000.000
1a30_ligand_199     10000.000
1a30_ligand_2       2.636   
1a30_ligand_20      10000.000
1a30_ligand_204     10000.000
1a30_ligand_21      10000.000
1a30_ligand_218     3.407   
1a30_ligand_221     10000.000
1a30_ligand_232     10000.000
1a30_ligand_24      4.283   
1a30_ligand_242     10000.000
1a30_ligand_244     -0.331  
1a30_ligand_245     10000.000
1a30_ligand_26      -0.815  
1a30_ligand_268     10000.000
1a30_ligand_27      10000.000
1a30_ligand_28      5.139   
1a30_ligand_282     10000.000
1a30_ligand_29      10000.000
1a30_ligand_292     10000.000
1a30_ligand_31      10000.000
1a30_ligand_316     10000.000
1a30_ligand_319     10000.000
1a30_ligand_326     10000.000
1a30_ligand_33      0.344   
1a30_ligand_335     10000.000
1a30_ligand_343     10000.000
1a30_ligand_35      2.163   
1a30_ligand_350     10000.000
1a30_ligand_356     10000.000
1a30_ligand_36      10000.000
1a30_ligand_379     1.601   
1a30_ligand_38      3.000   
1a30_ligand_385     1.489   
1a30_ligand_388     10000.000
1a30_ligand_39      1.420   
1a30_ligand_4       10000.000
1a30_ligand_40      -2.058  
1a30_ligand_400     0.507   
1a30_ligand_411     -0.064  
1a30_ligand_425     10000.000
1a30_ligand_455     10000.000
1a30_ligand_459     4.055   
1a30_ligand_464     10000.000
1a30_ligand_476     -2.891  
1a30_ligand_48      10000.000
1a30_ligand_485     4.766   
1a30_ligand_51      3.801   
1a30_ligand_52      10000.000
1a30_ligand_54      2.039   
1a30_ligand_57      -0.137  
1a30_ligand_58      10000.000
1a30_ligand_59      1.006   
1a30_ligand_60      -0.163  
1a30_ligand_63      10000.000
1a30_ligand_66      -1.538  
1a30_ligand_67      10000.000
1a30_ligand_70      -0.434  
1a30_ligand_74      0.252   
1a30_ligand_75      -1.427  
1a30_ligand_77      -0.324  
1a30_ligand_80      10000.000
1a30_ligand_81      10000.000
1a30_ligand_85      -2.129  
1a30_ligand_87      2.081   
1a30_ligand_88      -2.484  
1a30_ligand_89      10000.000
1a30_ligand_91      0.953   
1a30_ligand_93      10000.000
1a30_ligand_96      10000.000
1a30_ligand_97      -0.096  
1a30_ligand_99      10000.000
1bcu_ligand_152     10000.000
1bcu_ligand_169     10000.000
1bcu_ligand_17      10000.000
1bcu_ligand_170     10000.000
1bcu_ligand_180     10000.000
1bcu_ligand_187     10000.000
1bcu_ligand_209     10000.000
1bcu_ligand_215     10000.000
1bcu_ligand_225     10000.000
1bcu_ligand_231     -1.424  
1bcu_ligand_232     -1.213  
