#code_ligand_num    score   
1a30_ligand_102     10000.000
1a30_ligand_103     10000.000
1a30_ligand_105     10000.000
1a30_ligand_106     10000.000
1a30_ligand_108     10000.000
1a30_ligand_11      10000.000
1a30_ligand_111     10000.000
1a30_ligand_113     10000.000
1a30_ligand_114     10000.000
1a30_ligand_117     10000.000
1a30_ligand_126     10000.000
1a30_ligand_128     10000.000
1a30_ligand_129     10000.000
1a30_ligand_13      10000.000
1a30_ligand_130     10000.000
1a30_ligand_132     10000.000
1a30_ligand_133     10000.000
1a30_ligand_136     10000.000
1a30_ligand_142     10000.000
1a30_ligand_143     10000.000
1a30_ligand_146     10000.000
1a30_ligand_175     10000.000
1a30_ligand_183     10000.000
1a30_ligand_185     10000.000
1a30_ligand_187     10000.000
1a30_ligand_19      10000.000
1a30_ligand_192     10000.000
1a30_ligand_195     10000.000
1a30_ligand_199     10000.000
1a30_ligand_202     10000.000
1a30_ligand_204     10000.000
1a30_ligand_205     10000.000
1a30_ligand_206     10000.000
1a30_ligand_212     10000.000
1a30_ligand_216     10000.000
1a30_ligand_223     10000.000
1a30_ligand_225     10000.000
1a30_ligand_226     10000.000
1a30_ligand_228     10000.000
1a30_ligand_230     10000.000
1a30_ligand_233     10000.000
1a30_ligand_234     10000.000
1a30_ligand_237     10000.000
1a30_ligand_240     10000.000
1a30_ligand_242     10000.000
1a30_ligand_25      10000.000
1a30_ligand_253     10000.000
1a30_ligand_258     10000.000
1a30_ligand_268     10000.000
1a30_ligand_27      10000.000
1a30_ligand_279     10000.000
1a30_ligand_280     10000.000
1a30_ligand_282     10000.000
1a30_ligand_285     10000.000
1a30_ligand_286     10000.000
1a30_ligand_288     10000.000
1a30_ligand_289     10000.000
1a30_ligand_293     10000.000
1a30_ligand_297     10000.000
1a30_ligand_298     10000.000
1a30_ligand_300     10000.000
1a30_ligand_301     10000.000
1a30_ligand_312     10000.000
1a30_ligand_315     10000.000
1a30_ligand_316     10000.000
1a30_ligand_319     10000.000
1a30_ligand_325     10000.000
1a30_ligand_332     10000.000
1a30_ligand_335     10000.000
1a30_ligand_342     10000.000
1a30_ligand_347     10000.000
1a30_ligand_350     10000.000
1a30_ligand_366     10000.000
1a30_ligand_378     10000.000
1a30_ligand_380     10000.000
1a30_ligand_394     10000.000
1a30_ligand_397     10000.000
1a30_ligand_398     10000.000
1a30_ligand_41      10000.000
1a30_ligand_42      10000.000
1a30_ligand_430     10000.000
1a30_ligand_447     10000.000
1a30_ligand_49      10000.000
1a30_ligand_52      10000.000
1a30_ligand_54      10000.000
1a30_ligand_59      10000.000
1a30_ligand_62      10000.000
1a30_ligand_65      10000.000
1a30_ligand_7       10000.000
1a30_ligand_72      10000.000
1a30_ligand_75      10000.000
1a30_ligand_78      10000.000
1a30_ligand_79      10000.000
1a30_ligand_80      10000.000
1a30_ligand_81      10000.000
1a30_ligand_83      10000.000
1a30_ligand_85      10000.000
1a30_ligand_88      10000.000
1a30_ligand_97      10000.000
1a30_ligand_99      10000.000
1bcu_ligand_102     10000.000
1bcu_ligand_153     10000.000
1bcu_ligand_154     10000.000
1bcu_ligand_155     10000.000
1bcu_ligand_157     10000.000
1bcu_ligand_159     10000.000
1bcu_ligand_164     10000.000
1bcu_ligand_177     10000.000
1bcu_ligand_181     10000.000
1bcu_ligand_183     10000.000
1bcu_ligand_185     10000.000
1bcu_ligand_189     10000.000
1bcu_ligand_190     10000.000
1bcu_ligand_191     10000.000
1bcu_ligand_193     10000.000
1bcu_ligand_194     10000.000
1bcu_ligand_195     10000.000
1bcu_ligand_196     10000.000
1bcu_ligand_198     10000.000
1bcu_ligand_199     10000.000
1bcu_ligand_202     10000.000
1bcu_ligand_205     10000.000
1bcu_ligand_206     10000.000
1bcu_ligand_216     10000.000
1bcu_ligand_217     10000.000
1bcu_ligand_225     10000.000
1bcu_ligand_226     10000.000
1bcu_ligand_234     10000.000
1bcu_ligand_238     10000.000
1bcu_ligand_240     10000.000
1bcu_ligand_241     10000.000
1bcu_ligand_242     10000.000
1bcu_ligand_244     10000.000
1bcu_ligand_246     10000.000
1bcu_ligand_247     10000.000
1bcu_ligand_248     10000.000
