#code_ligand_num    score   
1a30_ligand_102     -0.937  
1a30_ligand_11      1.786   
1a30_ligand_120     0.058   
1a30_ligand_126     -2.297  
1a30_ligand_138     10000.000
1a30_ligand_148     -3.864  
1a30_ligand_149     10000.000
1a30_ligand_153     10000.000
1a30_ligand_156     10000.000
1a30_ligand_16      10000.000
1a30_ligand_164     10000.000
1a30_ligand_168     10000.000
1a30_ligand_170     10000.000
1a30_ligand_174     10000.000
1a30_ligand_175     10000.000
1a30_ligand_182     10000.000
1a30_ligand_184     10000.000
1a30_ligand_186     10000.000
1a30_ligand_191     10000.000
1a30_ligand_195     10000.000
1a30_ligand_196     10000.000
1a30_ligand_198     10000.000
1a30_ligand_201     6.354   
1a30_ligand_202     10000.000
1a30_ligand_206     4.697   
1a30_ligand_209     10000.000
1a30_ligand_211     10000.000
1a30_ligand_214     10000.000
1a30_ligand_217     10000.000
1a30_ligand_218     10000.000
1a30_ligand_219     10000.000
1a30_ligand_222     10000.000
1a30_ligand_224     10000.000
1a30_ligand_225     10000.000
1a30_ligand_226     10000.000
1a30_ligand_228     10000.000
1a30_ligand_232     10000.000
1a30_ligand_233     10000.000
1a30_ligand_235     10000.000
1a30_ligand_237     10000.000
1a30_ligand_243     10000.000
1a30_ligand_245     10000.000
1a30_ligand_247     10000.000
1a30_ligand_249     10000.000
1a30_ligand_257     10000.000
1a30_ligand_261     10000.000
1a30_ligand_265     10000.000
1a30_ligand_267     10000.000
1a30_ligand_268     10000.000
1a30_ligand_269     10000.000
1a30_ligand_272     10000.000
1a30_ligand_284     10000.000
1a30_ligand_285     10000.000
1a30_ligand_287     10000.000
1a30_ligand_291     10000.000
1a30_ligand_295     10000.000
1a30_ligand_297     10000.000
1a30_ligand_304     10000.000
1a30_ligand_307     10000.000
1a30_ligand_319     10000.000
1a30_ligand_325     10000.000
1a30_ligand_330     10000.000
1a30_ligand_334     10000.000
1a30_ligand_344     10000.000
1a30_ligand_351     10000.000
1a30_ligand_36      10000.000
1a30_ligand_366     -0.855  
1a30_ligand_374     -0.637  
1a30_ligand_379     2.950   
1a30_ligand_4       -0.615  
1a30_ligand_40      -1.572  
1a30_ligand_413     1.508   
1a30_ligand_427     -4.718  
1a30_ligand_428     10000.000
1a30_ligand_43      3.112   
1a30_ligand_446     -3.011  
1a30_ligand_482     1.157   
1a30_ligand_51      10000.000
1a30_ligand_56      -2.836  
1a30_ligand_57      -2.504  
1a30_ligand_58      -2.035  
1a30_ligand_65      -2.186  
1a30_ligand_67      -1.276  
1a30_ligand_69      10000.000
1a30_ligand_7       -2.213  
1a30_ligand_73      -4.530  
1a30_ligand_75      10000.000
1a30_ligand_78      -2.604  
1a30_ligand_79      1.646   
1a30_ligand_8       10000.000
1a30_ligand_81      -2.461  
1a30_ligand_86      10000.000
1a30_ligand_88      10000.000
1a30_ligand_9       -0.422  
1a30_ligand_90      -3.052  
1a30_ligand_92      -0.960  
1a30_ligand_93      10000.000
1a30_ligand_95      10000.000
1a30_ligand_96      -3.469  
1a30_ligand_97      0.241   
1bcu_ligand_14      -0.996  
1bcu_ligand_153     10000.000
1bcu_ligand_174     -3.715  
1bcu_ligand_177     10000.000
1bcu_ligand_189     10000.000
1bcu_ligand_196     10000.000
1bcu_ligand_204     10000.000
1bcu_ligand_212     10000.000
1bcu_ligand_216     10000.000
1bcu_ligand_218     10000.000
1bcu_ligand_220     -2.773  
1bcu_ligand_225     0.580   
1bcu_ligand_227     10000.000
1bcu_ligand_232     10000.000
1bcu_ligand_234     0.440   
1bcu_ligand_240     10000.000
1bcu_ligand_243     0.893   
1bcu_ligand_245     -1.224  
1bcu_ligand_246     10000.000
1bcu_ligand_248     10000.000
1bcu_ligand_263     10000.000
1bcu_ligand_268     -1.905  
1bcu_ligand_271     10000.000
1bcu_ligand_274     -2.617  
1bcu_ligand_279     -2.508  
1bcu_ligand_280     10000.000
1bcu_ligand_281     10000.000
1bcu_ligand_288     10000.000
1bcu_ligand_293     -1.826  
1bcu_ligand_294     10000.000
1bcu_ligand_298     10000.000
1bcu_ligand_33      -1.193  
1bcu_ligand_332     10000.000
1bcu_ligand_336     10000.000
1bcu_ligand_337     10000.000
1bcu_ligand_341     10000.000
1bcu_ligand_346     10000.000
1bcu_ligand_348     10000.000
1bcu_ligand_351     1.392   
1bcu_ligand_358     0.403   
1bcu_ligand_362     -1.178  
1bcu_ligand_364     0.580   
1bcu_ligand_365     -0.718  
1bcu_ligand_367     0.570   
1bcu_ligand_368     10000.000
1bcu_ligand_369     -1.152  
1bcu_ligand_373     -1.248  
1bcu_ligand_375     0.455   
1bcu_ligand_376     -1.084  
1bcu_ligand_378     -1.667  
1bcu_ligand_379     -1.399  
1bcu_ligand_380     -0.959  
1bcu_ligand_381     -1.001  
1bcu_ligand_382     -1.577  
1bcu_ligand_383     10000.000
1bcu_ligand_385     -0.884  
1bcu_ligand_387     0.231   
1bcu_ligand_388     -0.067  
1bcu_ligand_389     -1.422  
1bcu_ligand_391     10000.000
1bcu_ligand_392     -0.608  
1bcu_ligand_394     -0.739  
1bcu_ligand_395     2.563   
1bcu_ligand_397     0.233   
1bcu_ligand_406     -3.099  
1bcu_ligand_411     -2.690  
1bcu_ligand_412     10000.000
1bcu_ligand_415     -0.130  
1bcu_ligand_418     -1.424  
1bcu_ligand_419     10000.000
1bcu_ligand_420     -1.435  
1bcu_ligand_422     -0.984  
1bcu_ligand_427     -1.819  
1bcu_ligand_430     -0.394  
1bcu_ligand_431     0.800   
1bcu_ligand_434     -0.948  
1bcu_ligand_435     -0.188  
1bcu_ligand_441     -1.476  
1bcu_ligand_442     -2.075  
1bcu_ligand_443     -1.371  
1bcu_ligand_444     -0.408  
1bcu_ligand_445     -2.104  
1bcu_ligand_446     -1.298  
1bcu_ligand_447     -0.305  
1bcu_ligand_449     -1.665  
1bcu_ligand_453     -3.448  
1bcu_ligand_455     -4.039  
1bcu_ligand_459     -1.617  
1bcu_ligand_461     10000.000
1bcu_ligand_465     -3.452  
1bcu_ligand_469     -1.867  
1bcu_ligand_470     -2.592  
1bcu_ligand_472     -2.203  
1bcu_ligand_474     10000.000
1bcu_ligand_482     -1.803  
1bcu_ligand_491     -1.045  
1bcu_ligand_493     10000.000
1bcu_ligand_499     -0.264  
1bcu_ligand_500     -0.950  
1bcu_ligand_53      -3.822  
1bzc_ligand_102     10000.000
1bzc_ligand_108     10000.000
1bzc_ligand_125     0.996   
1bzc_ligand_129     10000.000
1bzc_ligand_14      2.947   
1bzc_ligand_152     10000.000
1bzc_ligand_154     10000.000
1bzc_ligand_155     10000.000
1bzc_ligand_158     10000.000
1bzc_ligand_161     10000.000
1bzc_ligand_167     10000.000
1bzc_ligand_176     10000.000
1bzc_ligand_177     10000.000
1bzc_ligand_184     10000.000
1bzc_ligand_192     10000.000
1bzc_ligand_194     10000.000
1bzc_ligand_195     10000.000
1bzc_ligand_196     10000.000
