#code_ligand_num    score   
1a30_ligand_10      10000.000
1a30_ligand_102     -2.567  
1a30_ligand_105     -4.805  
1a30_ligand_108     10000.000
1a30_ligand_109     10000.000
1a30_ligand_114     -2.900  
1a30_ligand_116     -3.785  
1a30_ligand_124     -0.159  
1a30_ligand_128     10000.000
1a30_ligand_129     10000.000
1a30_ligand_13      -1.429  
1a30_ligand_133     -3.095  
1a30_ligand_135     10000.000
1a30_ligand_141     -3.627  
1a30_ligand_15      10000.000
1a30_ligand_151     10000.000
1a30_ligand_157     10000.000
1a30_ligand_158     10000.000
1a30_ligand_168     10000.000
1a30_ligand_17      1.437   
1a30_ligand_174     10000.000
1a30_ligand_179     10000.000
1a30_ligand_184     10000.000
1a30_ligand_193     10000.000
1a30_ligand_204     10000.000
1a30_ligand_211     10000.000
1a30_ligand_212     9.220   
1a30_ligand_214     10000.000
1a30_ligand_217     10000.000
1a30_ligand_219     0.501   
1a30_ligand_220     10000.000
1a30_ligand_222     5.383   
1a30_ligand_225     2.847   
1a30_ligand_226     10000.000
1a30_ligand_232     10000.000
1a30_ligand_233     10000.000
1a30_ligand_234     -0.245  
1a30_ligand_235     10000.000
1a30_ligand_236     -2.617  
1a30_ligand_237     10000.000
1a30_ligand_240     10000.000
1a30_ligand_241     10000.000
1a30_ligand_242     10000.000
1a30_ligand_244     10000.000
1a30_ligand_245     10000.000
1a30_ligand_246     10000.000
1a30_ligand_248     10000.000
1a30_ligand_249     10000.000
1a30_ligand_251     10000.000
1a30_ligand_257     10000.000
1a30_ligand_258     10000.000
1a30_ligand_267     10000.000
1a30_ligand_275     10000.000
1a30_ligand_279     10000.000
1a30_ligand_283     10000.000
1a30_ligand_287     10000.000
1a30_ligand_289     10000.000
1a30_ligand_290     10000.000
1a30_ligand_293     10000.000
1a30_ligand_296     10000.000
1a30_ligand_298     10000.000
1a30_ligand_299     10000.000
1a30_ligand_3       7.057   
1a30_ligand_30      3.140   
1a30_ligand_306     10000.000
1a30_ligand_308     10000.000
1a30_ligand_309     10000.000
1a30_ligand_312     10000.000
1a30_ligand_317     10000.000
1a30_ligand_319     10000.000
1a30_ligand_320     10000.000
1a30_ligand_324     10000.000
1a30_ligand_326     10000.000
1a30_ligand_328     10000.000
1a30_ligand_329     10000.000
1a30_ligand_334     10000.000
1a30_ligand_336     10000.000
1a30_ligand_337     10000.000
1a30_ligand_339     10000.000
1a30_ligand_340     10000.000
1a30_ligand_343     10000.000
1a30_ligand_346     10000.000
1a30_ligand_364     10000.000
1a30_ligand_366     -2.369  
1a30_ligand_376     -3.222  
1a30_ligand_387     -4.295  
1a30_ligand_390     -5.578  
1a30_ligand_419     -4.252  
1a30_ligand_426     -5.438  
1a30_ligand_49      10000.000
1a30_ligand_5       0.573   
1a30_ligand_60      2.450   
1a30_ligand_61      1.026   
1a30_ligand_76      -1.667  
1a30_ligand_79      3.574   
1a30_ligand_86      -2.246  
1a30_ligand_90      -1.780  
1a30_ligand_93      -3.099  
1a30_ligand_96      -2.401  
1a30_ligand_98      -1.703  
1bcu_ligand_149     10000.000
1bcu_ligand_153     10000.000
1bcu_ligand_155     10000.000
1bcu_ligand_156     10000.000
1bcu_ligand_157     10000.000
1bcu_ligand_161     10000.000
1bcu_ligand_164     10000.000
1bcu_ligand_170     10000.000
1bcu_ligand_174     10000.000
1bcu_ligand_189     10000.000
1bcu_ligand_192     10000.000
1bcu_ligand_198     -1.348  
1bcu_ligand_203     10000.000
1bcu_ligand_208     -1.719  
1bcu_ligand_215     -2.258  
1bcu_ligand_217     10000.000
1bcu_ligand_219     -2.183  
1bcu_ligand_224     10000.000
1bcu_ligand_229     -1.137  
1bcu_ligand_233     -1.864  
1bcu_ligand_241     -1.868  
1bcu_ligand_242     10000.000
1bcu_ligand_250     -0.678  
1bcu_ligand_256     10000.000
1bcu_ligand_261     10000.000
1bcu_ligand_268     10000.000
1bcu_ligand_272     -1.872  
1bcu_ligand_274     -2.040  
1bcu_ligand_278     10000.000
1bcu_ligand_282     10000.000
1bcu_ligand_284     10000.000
1bcu_ligand_287     10000.000
1bcu_ligand_290     10000.000
1bcu_ligand_293     10000.000
1bcu_ligand_294     -1.004  
1bcu_ligand_297     10000.000
1bcu_ligand_302     10000.000
1bcu_ligand_303     10000.000
1bcu_ligand_304     10000.000
1bcu_ligand_307     -1.284  
1bcu_ligand_312     10000.000
1bcu_ligand_322     10000.000
1bcu_ligand_326     10000.000
1bcu_ligand_336     10000.000
1bcu_ligand_342     10000.000
1bcu_ligand_347     10000.000
1bcu_ligand_352     -1.854  
1bcu_ligand_355     -2.654  
1bcu_ligand_357     -0.461  
1bcu_ligand_358     -1.862  
1bcu_ligand_360     -1.795  
1bcu_ligand_361     -1.844  
1bcu_ligand_365     0.414   
1bcu_ligand_366     -2.761  
1bcu_ligand_368     0.039   
1bcu_ligand_369     -1.161  
1bcu_ligand_371     10000.000
1bcu_ligand_372     -2.978  
1bcu_ligand_374     -0.601  
1bcu_ligand_375     10000.000
1bcu_ligand_376     -0.824  
