#code_ligand_num    score   
1a30_ligand_10      10000.000
1a30_ligand_101     2.276   
1a30_ligand_102     10000.000
1a30_ligand_108     10000.000
1a30_ligand_109     -0.550  
1a30_ligand_11      10000.000
1a30_ligand_110     -3.016  
1a30_ligand_111     4.368   
1a30_ligand_114     -3.906  
1a30_ligand_116     10000.000
1a30_ligand_120     10000.000
1a30_ligand_122     -4.082  
1a30_ligand_123     10000.000
1a30_ligand_124     -1.343  
1a30_ligand_129     10000.000
1a30_ligand_133     -2.922  
1a30_ligand_134     10000.000
1a30_ligand_139     -0.084  
1a30_ligand_14      10000.000
1a30_ligand_147     -0.388  
1a30_ligand_152     10000.000
1a30_ligand_157     10000.000
1a30_ligand_16      10000.000
1a30_ligand_162     10000.000
1a30_ligand_163     10000.000
1a30_ligand_164     10000.000
1a30_ligand_168     10000.000
1a30_ligand_170     10000.000
1a30_ligand_186     10000.000
1a30_ligand_189     10000.000
1a30_ligand_195     10000.000
1a30_ligand_202     10000.000
1a30_ligand_203     10000.000
1a30_ligand_209     10000.000
1a30_ligand_210     -1.141  
1a30_ligand_212     -0.421  
1a30_ligand_217     10000.000
1a30_ligand_218     10000.000
1a30_ligand_220     -0.040  
1a30_ligand_222     10000.000
1a30_ligand_223     10000.000
1a30_ligand_224     10000.000
1a30_ligand_226     10000.000
1a30_ligand_230     2.475   
1a30_ligand_232     10000.000
1a30_ligand_235     0.941   
1a30_ligand_236     -0.678  
1a30_ligand_238     10000.000
1a30_ligand_244     10000.000
1a30_ligand_246     -0.118  
1a30_ligand_249     10000.000
1a30_ligand_256     10000.000
1a30_ligand_263     10000.000
1a30_ligand_27      -0.995  
1a30_ligand_271     10000.000
1a30_ligand_273     10000.000
1a30_ligand_29      -0.033  
1a30_ligand_298     10000.000
1a30_ligand_299     10000.000
1a30_ligand_311     10000.000
1a30_ligand_317     10000.000
1a30_ligand_318     10000.000
1a30_ligand_32      10000.000
1a30_ligand_322     10000.000
1a30_ligand_33      0.080   
1a30_ligand_333     10000.000
1a30_ligand_337     10000.000
1a30_ligand_340     10000.000
1a30_ligand_350     10000.000
1a30_ligand_357     -1.749  
1a30_ligand_36      10000.000
1a30_ligand_363     -1.679  
1a30_ligand_366     10000.000
1a30_ligand_37      -0.543  
1a30_ligand_373     -3.200  
1a30_ligand_376     -0.333  
1a30_ligand_382     10000.000
1a30_ligand_385     -2.323  
1a30_ligand_389     10000.000
1a30_ligand_390     10000.000
1a30_ligand_394     10000.000
1a30_ligand_43      10000.000
1a30_ligand_435     10000.000
1a30_ligand_44      -4.066  
1a30_ligand_447     10000.000
1a30_ligand_46      4.693   
1a30_ligand_471     0.346   
1a30_ligand_49      10000.000
1a30_ligand_499     10000.000
1a30_ligand_56      0.775   
1a30_ligand_6       10000.000
1a30_ligand_60      10000.000
1a30_ligand_63      -2.449  
1a30_ligand_64      1.548   
1a30_ligand_75      10000.000
1a30_ligand_77      10000.000
1a30_ligand_79      10000.000
1a30_ligand_86      10000.000
1a30_ligand_95      -1.631  
1a30_ligand_96      1.211   
1bcu_ligand_127     -5.175  
1bcu_ligand_138     10000.000
1bcu_ligand_148     10000.000
1bcu_ligand_152     10000.000
1bcu_ligand_153     10000.000
1bcu_ligand_154     10000.000
1bcu_ligand_169     10000.000
1bcu_ligand_171     10000.000
1bcu_ligand_190     10000.000
1bcu_ligand_191     10000.000
1bcu_ligand_199     10000.000
1bcu_ligand_208     -2.728  
1bcu_ligand_209     -2.431  
1bcu_ligand_215     -2.978  
1bcu_ligand_216     10000.000
1bcu_ligand_217     10000.000
1bcu_ligand_220     10000.000
1bcu_ligand_221     -3.571  
1bcu_ligand_223     -2.128  
1bcu_ligand_229     10000.000
1bcu_ligand_232     10000.000
1bcu_ligand_236     10000.000
1bcu_ligand_239     10000.000
1bcu_ligand_240     10000.000
1bcu_ligand_244     10000.000
1bcu_ligand_245     10000.000
1bcu_ligand_246     -1.191  
1bcu_ligand_247     -1.754  
1bcu_ligand_25      -4.219  
1bcu_ligand_258     10000.000
1bcu_ligand_259     10000.000
1bcu_ligand_261     10000.000
1bcu_ligand_262     10000.000
1bcu_ligand_266     10000.000
1bcu_ligand_268     10000.000
1bcu_ligand_286     10000.000
1bcu_ligand_293     10000.000
1bcu_ligand_294     -1.657  
1bcu_ligand_295     10000.000
1bcu_ligand_315     10000.000
1bcu_ligand_318     10000.000
1bcu_ligand_321     10000.000
1bcu_ligand_323     10000.000
1bcu_ligand_328     10000.000
1bcu_ligand_340     10000.000
1bcu_ligand_348     10000.000
1bcu_ligand_354     -3.124  
1bcu_ligand_360     -2.325  
1bcu_ligand_362     -1.975  
1bcu_ligand_365     -0.936  
1bcu_ligand_369     -0.243  
1bcu_ligand_370     10000.000
1bcu_ligand_372     -3.316  
1bcu_ligand_373     -0.181  
1bcu_ligand_375     10000.000
