#code_ligand_num    score   
1a30_ligand_10      10000.000
1a30_ligand_102     2.980   
1a30_ligand_106     10000.000
1a30_ligand_108     10000.000
1a30_ligand_111     10000.000
1a30_ligand_116     10000.000
1a30_ligand_117     10000.000
1a30_ligand_12      1.849   
1a30_ligand_122     10000.000
1a30_ligand_127     10000.000
1a30_ligand_129     10000.000
1a30_ligand_131     10000.000
1a30_ligand_132     0.840   
1a30_ligand_141     10000.000
1a30_ligand_147     -2.534  
1a30_ligand_15      2.892   
1a30_ligand_162     10000.000
1a30_ligand_168     10000.000
1a30_ligand_169     10000.000
1a30_ligand_170     10000.000
1a30_ligand_181     10000.000
1a30_ligand_182     10000.000
1a30_ligand_185     10000.000
1a30_ligand_19      -0.569  
1a30_ligand_197     10000.000
1a30_ligand_204     10000.000
1a30_ligand_205     3.345   
1a30_ligand_206     0.456   
1a30_ligand_208     10000.000
1a30_ligand_209     10000.000
1a30_ligand_210     10000.000
1a30_ligand_211     10000.000
1a30_ligand_216     0.230   
1a30_ligand_223     10000.000
1a30_ligand_224     0.453   
1a30_ligand_228     10000.000
1a30_ligand_229     10000.000
1a30_ligand_232     10000.000
1a30_ligand_235     10000.000
1a30_ligand_236     10000.000
1a30_ligand_237     10000.000
1a30_ligand_240     10000.000
1a30_ligand_241     10000.000
1a30_ligand_247     10000.000
1a30_ligand_248     10000.000
1a30_ligand_249     10000.000
1a30_ligand_259     10000.000
1a30_ligand_261     10000.000
1a30_ligand_264     10000.000
1a30_ligand_270     10000.000
1a30_ligand_273     10000.000
1a30_ligand_274     10000.000
1a30_ligand_28      -0.398  
1a30_ligand_282     10000.000
1a30_ligand_287     10000.000
1a30_ligand_289     10000.000
1a30_ligand_292     10000.000
1a30_ligand_295     10000.000
1a30_ligand_297     10000.000
1a30_ligand_299     10000.000
1a30_ligand_300     10000.000
1a30_ligand_31      -1.541  
1a30_ligand_316     10000.000
1a30_ligand_319     10000.000
1a30_ligand_32      10000.000
1a30_ligand_320     10000.000
1a30_ligand_33      10000.000
1a30_ligand_330     10000.000
1a30_ligand_336     10000.000
1a30_ligand_338     10000.000
1a30_ligand_340     10000.000
1a30_ligand_342     10000.000
1a30_ligand_346     10000.000
1a30_ligand_350     10000.000
1a30_ligand_353     -4.191  
1a30_ligand_40      10000.000
1a30_ligand_42      0.948   
1a30_ligand_43      3.708   
1a30_ligand_46      10000.000
1a30_ligand_5       10000.000
1a30_ligand_50      10000.000
1a30_ligand_53      3.535   
1a30_ligand_6       4.418   
1a30_ligand_64      10000.000
1a30_ligand_65      10000.000
1a30_ligand_66      10000.000
1a30_ligand_68      -1.235  
1a30_ligand_70      10000.000
1a30_ligand_71      10000.000
1a30_ligand_73      10000.000
1a30_ligand_76      10000.000
1a30_ligand_8       1.387   
1a30_ligand_83      10000.000
1a30_ligand_86      -0.456  
1a30_ligand_87      2.241   
1a30_ligand_89      10000.000
1a30_ligand_90      10000.000
1a30_ligand_96      10000.000
1a30_ligand_98      -1.340  
1a30_ligand_99      -1.448  
1bcu_ligand_160     10000.000
1bcu_ligand_168     10000.000
1bcu_ligand_169     10000.000
1bcu_ligand_178     10000.000
1bcu_ligand_179     10000.000
1bcu_ligand_188     10000.000
1bcu_ligand_197     10000.000
1bcu_ligand_198     10000.000
1bcu_ligand_209     1.101   
1bcu_ligand_211     -2.375  
1bcu_ligand_213     -3.301  
1bcu_ligand_215     10000.000
1bcu_ligand_216     10000.000
1bcu_ligand_217     -1.969  
1bcu_ligand_219     10000.000
1bcu_ligand_221     10000.000
1bcu_ligand_222     10000.000
1bcu_ligand_223     -3.019  
1bcu_ligand_226     -2.117  
1bcu_ligand_231     -1.744  
1bcu_ligand_235     10000.000
1bcu_ligand_236     10000.000
1bcu_ligand_239     -1.480  
1bcu_ligand_245     10000.000
1bcu_ligand_247     10000.000
1bcu_ligand_248     -2.716  
1bcu_ligand_249     10000.000
1bcu_ligand_250     10000.000
1bcu_ligand_257     10000.000
1bcu_ligand_259     10000.000
1bcu_ligand_274     10000.000
1bcu_ligand_277     10000.000
1bcu_ligand_278     10000.000
1bcu_ligand_280     10000.000
1bcu_ligand_282     10000.000
1bcu_ligand_285     10000.000
1bcu_ligand_290     10000.000
1bcu_ligand_293     10000.000
1bcu_ligand_315     10000.000
1bcu_ligand_322     10000.000
1bcu_ligand_328     10000.000
1bcu_ligand_336     10000.000
1bcu_ligand_337     10000.000
1bcu_ligand_339     10000.000
1bcu_ligand_340     10000.000
1bcu_ligand_353     10000.000
1bcu_ligand_357     10000.000
1bcu_ligand_362     10000.000
1bcu_ligand_363     -0.108  
1bcu_ligand_365     10000.000
1bcu_ligand_366     -0.163  
1bcu_ligand_367     -0.148  
1bcu_ligand_368     0.151   
1bcu_ligand_369     -0.477  
1bcu_ligand_370     10000.000
1bcu_ligand_371     10000.000
1bcu_ligand_373     -0.785  
1bcu_ligand_377     -1.130  
1bcu_ligand_378     -0.203  
1bcu_ligand_379     -0.616  
1bcu_ligand_380     0.256   
1bcu_ligand_384     -0.174  
1bcu_ligand_385     -0.967  
1bcu_ligand_389     -0.549  
1bcu_ligand_391     0.540   
1bcu_ligand_392     -0.570  
1bcu_ligand_393     -1.059  
1bcu_ligand_394     0.207   
1bcu_ligand_395     -0.102  
1bcu_ligand_396     10000.000
1bcu_ligand_398     -0.706  
1bcu_ligand_399     10000.000
1bcu_ligand_400     -1.294  
1bcu_ligand_406     0.277   
1bcu_ligand_411     -0.561  
1bcu_ligand_421     0.042   
1bcu_ligand_426     -0.590  
1bcu_ligand_427     10000.000
1bcu_ligand_429     -1.416  
1bcu_ligand_430     -0.233  
1bcu_ligand_433     -0.632  
1bcu_ligand_435     -0.022  
1bcu_ligand_443     -0.202  
1bcu_ligand_445     -1.175  
1bcu_ligand_448     -0.137  
1bcu_ligand_450     -1.140  
1bcu_ligand_457     -0.052  
1bcu_ligand_458     10000.000
1bcu_ligand_461     -2.633  
1bcu_ligand_468     -0.561  
1bcu_ligand_472     10000.000
1bcu_ligand_477     -1.169  
1bcu_ligand_478     10000.000
1bcu_ligand_479     -0.436  
1bcu_ligand_483     -1.236  
1bcu_ligand_484     10000.000
1bcu_ligand_485     0.778   
1bcu_ligand_488     -0.163  
1bcu_ligand_493     -0.022  
1bcu_ligand_499     -1.021  
1bzc_ligand_108     10000.000
1bzc_ligand_110     10000.000
1bzc_ligand_116     10000.000
1bzc_ligand_118     0.639   
1bzc_ligand_126     10000.000
1bzc_ligand_13      10000.000
1bzc_ligand_130     10000.000
1bzc_ligand_132     10000.000
1bzc_ligand_139     10000.000
1bzc_ligand_144     10000.000
1bzc_ligand_16      -1.615  
1bzc_ligand_160     10000.000
1bzc_ligand_162     10000.000
1bzc_ligand_164     10000.000
1bzc_ligand_167     10000.000
1bzc_ligand_170     10000.000
